title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Add XXE inside SVG,2019-03-23T19:30:38Z,2019-03-23T22:02:32Z,2019-03-23T22:02:32Z,2,,2.5316666666666667,1,0,Merged
Update TTY shell command for python,2020-01-10T12:28:04Z,2020-01-17T16:11:46Z,2020-01-17T16:11:46Z,1,,171.72833333333332,1,87,Merged
Update Linux - Persistence.md,2020-09-02T09:43:34Z,2020-09-23T15:30:32Z,2020-09-23T15:30:32Z,1,,509.78277777777777,1,0,Merged
Update PHP.md,2020-09-25T02:44:12Z,2020-09-25T11:30:13Z,2020-09-25T11:30:13Z,1,,8.766944444444444,1,31,Merged
Updated Responder link and added InveighZero,2020-10-02T04:41:48Z,2020-10-02T08:31:13Z,2020-10-02T08:31:13Z,3,,3.823611111111111,1,181,Merged
Use cloudflared to expose internal services,2020-10-03T20:15:44Z,2020-10-09T08:34:27Z,2020-10-09T08:34:27Z,1,,132.31194444444444,1,113,Merged
Added traversal bypass of nginx/alb,2020-10-04T09:47:07Z,2020-10-04T12:18:07Z,2020-10-04T12:18:08Z,1,,2.5166666666666666,1,0,Merged
updated web based gmap api scanner,2020-10-13T16:37:09Z,,2020-10-15T10:01:16Z,3,,41.401944444444446,1,0,Closed
TWITTER.md added,2020-11-03T10:41:28Z,2020-11-03T11:57:54Z,2020-11-03T11:57:54Z,1,,1.2738888888888888,1,268,Merged
Fix table of contents,2020-12-02T13:21:02Z,2020-12-07T16:21:03Z,2020-12-07T16:21:03Z,2,,123.00027777777778,1,0,Merged
Create python-package.yml,2020-12-26T21:33:35Z,,2021-01-13T09:25:57Z,1,,419.8727777777778,1,0,Closed
Update Reverse Shell Cheatsheet.md,2021-03-28T13:28:25Z,2021-04-26T08:05:59Z,2021-04-26T08:05:59Z,2,,690.6261111111111,1,32,Merged
Adds Lessjs injections,2021-07-06T14:37:18Z,2021-07-16T16:54:48Z,2021-07-16T16:54:48Z,7,,242.29166666666666,1,65,Merged
Add missing link and add ReverseSSH to Reverse Shell Cheatsheet,2021-07-19T21:15:12Z,,2021-11-08T16:08:52Z,1,,2682.8944444444446,1,0,Closed
Adding extra information about API key,2021-07-31T03:32:27Z,,2021-07-31T09:24:36Z,1,,5.869166666666667,1,75,Closed
Replace the web.config with the far better version web.web.config,2021-08-09T10:59:16Z,2021-12-08T20:53:34Z,2021-12-08T20:53:34Z,1,,2913.905,2,67,Merged
Delete unused import,2021-10-16T08:34:56Z,2021-11-07T20:16:37Z,2021-11-07T20:16:38Z,1,,539.6947222222223,1,50,Merged
Update XXE Injection,2021-10-18T08:13:55Z,2021-10-18T10:39:53Z,2021-10-18T10:39:53Z,2,,2.432777777777778,1,84,Merged
Update XSS README.md & Update Race Condition README.md,2021-11-10T15:43:43Z,2022-04-19T09:34:19Z,2022-04-19T09:34:19Z,1,,3833.8433333333332,2,176,Merged
Update README.md,2021-11-23T17:05:58Z,2022-04-18T19:02:50Z,2022-04-18T19:02:50Z,1,,3505.947777777778,1,54,Merged
[update] Angular XSS payload,2022-02-23T15:22:10Z,2022-04-18T19:01:44Z,2022-04-18T19:01:44Z,1,,1299.6594444444445,1,1510,Merged
added Groovy EL section,2022-03-04T16:41:10Z,2022-04-20T08:13:41Z,2022-04-20T08:13:41Z,2,,1119.5419444444444,1,31,Merged
Update README.md,2022-03-08T09:35:53Z,,2022-04-18T18:59:35Z,1,,993.395,1,0,Closed
SSRF: Don't encode entire IP,2022-03-12T17:31:39Z,2022-09-06T21:15:20Z,2022-09-06T21:15:20Z,1,,4275.728055555555,1,0,Merged
import os,2022-03-24T06:09:47Z,2022-04-18T18:58:40Z,2022-04-18T18:58:40Z,1,,612.8147222222223,1,0,Merged
Add XSS document blacklist bypass,2022-04-09T10:56:05Z,2022-04-18T18:59:20Z,2022-04-18T18:59:20Z,1,,224.05416666666667,1,0,Merged
Update CORS POC,2022-07-16T03:22:26Z,,2022-08-18T03:59:31Z,1,,792.6180555555555,2,0,Closed
new technique for bypassing user-agent restriction,2022-08-02T11:30:50Z,,2022-09-10T17:52:00Z,1,,942.3527777777778,1,124,Closed
Merge AWSome Pentesting into Cloud - AWS Pentest,2022-10-06T16:44:11Z,2022-10-11T09:24:21Z,2022-10-11T09:24:21Z,1,,112.66944444444445,1,37,Merged
Typo corrections in PostgreSQL Injection.md,2023-01-04T05:04:30Z,2023-02-18T21:23:53Z,2023-02-18T21:23:53Z,1,,1096.3230555555556,1,37,Merged
Fixed spelling errors in README.md,2024-09-16T10:49:59Z,,2024-09-16T12:01:35Z,1,,1.1933333333333334,38,378,Closed
