title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
fix a couple typos,2019-05-06T23:33:59Z,2019-05-09T15:53:16Z,2019-05-09T15:53:16Z,2,,64.32138888888889,1,61,Merged
s/expereince/experience,2019-05-07T03:37:11Z,2019-05-09T15:57:30Z,2019-05-09T15:57:30Z,1,,60.33861111111111,1,0,Merged
Images for Specs,2019-05-29T21:43:06Z,,2019-11-11T21:49:56Z,2,,3984.113888888889,6,0,Closed
Fixed typo in readme,2019-09-05T16:40:42Z,2019-09-06T17:01:40Z,2019-09-06T17:01:40Z,2,,24.349444444444444,1,948,Merged
update backlog links,2019-09-05T18:47:24Z,2019-09-06T17:02:33Z,2019-09-06T17:02:33Z,1,,22.2525,2,367,Merged
Fixed typo,2019-09-06T11:54:46Z,,2019-09-06T17:18:45Z,1,,5.3997222222222225,1,12,Closed
Update README.md,2019-09-06T13:09:15Z,,2019-09-06T17:19:45Z,1,,4.175,1,1154,Closed
Fix typo,2019-09-06T14:16:20Z,,2019-09-06T17:23:06Z,2,,3.1127777777777776,1,76,Closed
Fixed spelling in ReadMe,2019-09-06T15:18:56Z,2019-09-06T17:42:58Z,2019-09-06T17:42:58Z,1,,2.4005555555555556,1,1271,Merged
Advertise shortcuts,2019-09-06T21:01:28Z,2019-09-09T16:19:17Z,2019-09-09T16:19:17Z,1,,67.29694444444445,3,625,Merged
Slight web bits cleanup,2019-09-06T23:38:59Z,2019-09-09T11:47:19Z,2019-09-09T11:47:19Z,1,,60.138888888888886,10,277,Merged
Update CI pipeline,2019-09-09T08:59:01Z,2019-09-09T13:13:22Z,2019-09-09T13:13:22Z,1,,4.239166666666667,3,829,Merged
Added Hi-res logo (4k PNG),2019-09-09T15:11:26Z,2019-11-15T23:28:19Z,2019-11-15T23:28:19Z,2,APPROVED,1616.2813888888888,1,1249,Merged
Make installer license friendlier,2019-09-09T16:41:44Z,2019-09-13T16:07:16Z,2019-09-13T16:07:16Z,1,,95.42555555555556,4,961,Merged
Fix cppcheck reported issues,2019-09-10T09:18:07Z,2019-09-11T10:38:21Z,2019-09-11T10:38:21Z,1,,25.337222222222223,19,518,Merged
Make Alt-F4 always close the settings window,2019-09-10T10:23:05Z,2019-09-11T10:38:41Z,2019-09-11T10:38:41Z,1,,24.26,1,376,Merged
Don't show the tasklist arrows when taskbar is autohide,2019-09-10T16:50:51Z,2019-09-11T10:38:59Z,2019-09-11T10:38:59Z,1,,17.802222222222223,1,649,Merged
activate zones for windows with custom titlebar,2019-09-11T10:10:03Z,2019-09-11T19:12:40Z,2019-09-11T19:12:40Z,2,,9.043611111111112,1,1210,Merged
default 'flashZones' to false,2019-09-11T14:12:18Z,2019-09-11T19:11:55Z,2019-09-11T19:11:55Z,2,,4.993611111111111,1,435,Merged
Couple of typos,2019-09-12T16:45:31Z,2019-09-14T10:53:54Z,2019-09-14T10:53:54Z,1,,42.139722222222225,1,631,Merged
msi upgrade fix,2019-09-13T13:30:11Z,2019-09-17T07:53:06Z,2019-09-17T07:53:06Z,3,,90.38194444444444,2,1032,Merged
Fix for #195 - Fancy Zones new editor needs to support multiple monitors,2019-09-16T20:17:09Z,2019-09-18T00:58:54Z,2019-09-18T00:58:54Z,1,,28.695833333333333,9,1271,Merged
Improve window filtering.,2019-09-17T11:55:16Z,2019-09-18T08:41:17Z,2019-09-18T08:41:18Z,1,,20.766944444444444,6,525,Merged
"When moving window to a zone, ensure it does not remain in maximized state",2019-09-17T12:43:45Z,2019-09-18T08:41:52Z,2019-09-18T08:41:52Z,1,,19.968611111111112,1,288,Merged
Modifying the startup behaviour of the FancyZones Layout Editor,2019-09-18T16:29:45Z,2019-09-28T14:29:30Z,2019-09-28T14:29:30Z,13,,237.99583333333334,7,1384,Merged
Make FancyZone distinguish different modern apps.,2019-09-19T13:35:15Z,2019-09-26T06:54:01Z,2019-09-26T06:54:02Z,1,,161.31277777777777,4,506,Merged
Added more in-depth check for zone determination when dragging around,2019-09-23T22:10:56Z,2019-09-26T21:23:11Z,2019-09-26T21:23:11Z,3,,71.20416666666667,1,2337,Merged
Add a hotkey settings control and use it in FancyZones,2019-09-27T10:21:30Z,2019-10-02T15:18:56Z,2019-10-02T15:18:56Z,2,,124.95722222222223,13,431,Merged
Add radio button group and add theme select for ShortcutGuide,2019-10-02T15:34:46Z,2019-10-03T08:12:37Z,2019-10-03T08:12:37Z,1,,16.63083333333333,11,742,Merged
Add dropdown settings UI element,2019-10-03T08:33:41Z,2019-10-04T07:26:41Z,2019-10-04T07:26:41Z,1,,22.883333333333333,5,748,Merged
WebView fixes,2019-10-03T16:56:32Z,2019-10-04T09:50:28Z,2019-10-04T09:50:28Z,5,,16.898888888888887,3,1608,Merged
Improve window filter to include start menu and Cortana search box.,2019-10-04T12:49:27Z,2019-10-07T09:12:45Z,2019-10-07T09:12:45Z,5,,68.38833333333334,6,425,Merged
exit Settings on fatal error,2019-10-05T06:53:38Z,2019-10-07T12:39:56Z,2019-10-07T12:39:56Z,3,,53.77166666666667,1,733,Merged
update destination folder,2019-10-08T07:15:25Z,2019-10-08T09:06:54Z,2019-10-08T09:06:54Z,1,,1.8580555555555556,1,706,Merged
Rename CustomSettingsScreen to ModuleSettings,2019-10-08T11:02:23Z,2019-10-09T11:16:38Z,2019-10-09T11:16:38Z,1,,24.2375,3,334,Merged
change window name from window1 to FancyZones Editor,2019-10-08T15:32:40Z,2019-10-09T13:57:33Z,2019-10-09T13:57:33Z,1,,22.414722222222224,2,1375,Merged
fix editor CLI parsing if comma is decimal sep in locale,2019-10-09T04:36:46Z,2019-10-09T14:18:37Z,2019-10-09T14:18:37Z,1,,9.6975,2,1105,Merged
Ignore wix toolset items,2019-10-10T00:17:24Z,2019-10-10T15:25:09Z,2019-10-10T15:25:09Z,1,,15.129166666666666,2,1269,Merged
Add darkmode support for the settings window,2019-10-10T20:13:58Z,2019-10-16T08:21:45Z,2019-10-16T08:21:45Z,4,,132.12972222222223,22,723,Merged
Initial add of PowerRename from SmartRename repo,2019-10-11T20:32:34Z,2019-10-18T03:57:19Z,2019-10-18T03:57:20Z,12,,151.4125,63,216,Merged
Add version number to telemetry event,2019-10-14T16:13:02Z,2019-10-14T17:22:15Z,2019-10-14T17:22:15Z,3,,1.1536111111111111,14,954,Merged
Fix rcNormalPosition in SetWindowPlacement,2019-10-14T19:25:48Z,2019-10-16T16:54:08Z,2019-10-16T16:54:08Z,1,,45.47222222222222,2,250,Merged
Fix typo in organization.md,2019-10-15T03:38:13Z,2019-10-15T07:09:11Z,2019-10-15T07:09:11Z,1,,3.516111111111111,1,1133,Merged
Don't zone hidden windows,2019-10-15T13:37:53Z,2019-10-22T07:46:16Z,2019-10-22T07:46:16Z,2,,162.13972222222222,1,517,Merged
Save the zone when window is moved by hotkeys,2019-10-15T13:42:49Z,2019-10-16T08:23:23Z,2019-10-16T08:23:23Z,2,,18.676111111111112,1,885,Merged
fixes for zone resize,2019-10-15T13:58:31Z,2019-10-15T23:14:41Z,2019-10-15T23:14:41Z,1,,9.269444444444444,1,1319,Merged
Update PowerToysBacklog.md,2019-10-15T17:11:35Z,2019-10-15T19:17:58Z,2019-10-15T19:17:58Z,1,,2.106388888888889,1,1243,Merged
Update README.md,2019-10-15T20:51:24Z,2019-10-15T22:02:13Z,2019-10-15T22:02:13Z,1,,1.1802777777777778,1,1162,Merged
Telemetry events,2019-10-16T10:14:59Z,2019-10-22T06:11:24Z,2019-10-22T06:11:24Z,3,,139.94027777777777,11,1012,Merged
Update settings-web module dependencies,2019-10-17T11:10:40Z,2019-10-17T13:06:27Z,2019-10-17T13:06:27Z,1,,1.9297222222222221,5,362,Merged
Add fade out effect for shortcut guide overlay,2019-10-17T16:39:28Z,,2019-10-24T20:01:47Z,7,,171.37194444444444,66,1376,Closed
fix FZ editor bug in multi monitor scenario,2019-10-18T09:10:29Z,2019-10-22T06:19:15Z,2019-10-22T06:19:15Z,1,,93.14611111111111,1,1287,Merged
Make Start menu not appear if Shortcut Guide fade-in animation completes,2019-10-18T09:45:09Z,2019-10-18T11:40:58Z,2019-10-18T11:40:58Z,1,,1.9302777777777778,1,389,Merged
Add PowerRename icon,2019-10-21T06:27:19Z,2019-10-21T11:28:22Z,2019-10-21T11:28:22Z,4,APPROVED,5.0175,8,886,Merged
Make sure m_callback is not null before using it,2019-10-22T07:45:50Z,2019-10-23T16:42:41Z,2019-10-23T16:42:41Z,1,,32.9475,1,264,Merged
FZ Editor support for small screens,2019-10-22T07:54:18Z,2019-10-24T21:07:10Z,2019-10-24T21:07:10Z,6,,61.214444444444446,2,1515,Merged
Fix telemetry event names,2019-10-23T13:37:36Z,2019-10-28T18:07:33Z,2019-10-28T18:07:33Z,1,,124.49916666666667,7,1087,Merged
Fix for issue 448,2019-10-23T16:37:45Z,2019-10-23T19:22:37Z,2019-10-23T19:22:37Z,1,,2.747777777777778,2,1013,Merged
Updating README,2019-10-24T16:42:08Z,2019-10-24T20:17:45Z,2019-10-24T20:17:45Z,1,,3.593611111111111,1,470,Merged
Add fade out effect for shortcut guide overlay,2019-10-24T21:05:19Z,,2019-12-18T10:28:06Z,2,,1309.3797222222222,2,555,Closed
Add new icon as well as telemetry,2019-10-26T06:19:08Z,2019-10-28T17:15:00Z,2019-10-28T17:15:00Z,3,APPROVED,58.931111111111115,14,382,Merged
"Remove whitespace in ""Power Rename""",2019-10-28T19:00:11Z,2019-10-28T20:48:52Z,2019-10-28T20:48:53Z,1,,1.811388888888889,2,1020,Merged
ShortcutGuide: change vk_code to suppress Start,2019-10-30T10:15:43Z,2019-10-31T09:26:02Z,2019-10-31T09:26:03Z,1,,23.171944444444446,1,461,Merged
Hide Shortcut Guide when screenshots are taken,2019-10-30T17:04:18Z,2019-10-31T09:26:25Z,2019-10-31T09:26:25Z,1,,16.36861111111111,5,493,Merged
Bug Fixes for PowerRename,2019-10-31T07:43:48Z,2019-10-31T13:57:39Z,2019-10-31T13:57:39Z,1,,6.230833333333333,7,342,Merged
