title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Make the compiler resilient to encountering merge conflict markers in a source code file.,2014-12-12T00:59:03Z,2014-12-12T02:04:25Z,2014-12-12T02:04:25Z,2,,1.0894444444444444,9,0,Merged
Strict object literal assignment checking,2015-07-11T03:35:54Z,2015-07-21T18:29:10Z,2015-07-21T18:29:10Z,1,,254.88777777777779,219,2027,Merged
Format false branch of ternary operation,2015-12-03T03:40:58Z,,2018-08-02T21:56:40Z,2,,23370.261666666665,9,220,Closed
Generic defaults,2016-01-05T01:35:30Z,,2017-02-13T17:51:02Z,1,,9736.25888888889,15,191,Closed
Control flow based type analysis,2016-04-11T16:59:49Z,2016-04-22T21:18:56Z,2016-04-22T21:18:56Z,1,,268.3186111111111,198,3087,Merged
Add @callback jsdoc tag,2016-07-07T04:38:04Z,,2017-04-20T00:57:21Z,2,CHANGES_REQUESTED,6884.321388888889,9,956,Closed
Adding tslint rule to enforce consecutive function overloads,2016-07-09T00:10:52Z,,2016-11-11T15:23:25Z,1,,3015.2091666666665,4,514,Closed
Add type relationship functions to checker public api,2016-07-26T02:05:29Z,,2018-06-28T23:06:06Z,12,,16869.01027777778,7,5142,Closed
Pvb/codeaction/api,2016-08-05T23:42:06Z,2016-10-12T02:51:18Z,2016-10-12T02:51:18Z,16,,1611.1533333333334,18,19,Merged
"Fix 10193: Compiler crash with decorator and two ""export default""s",2016-08-09T22:58:56Z,2016-10-06T21:59:43Z,2016-10-06T21:59:43Z,1,,1391.0130555555556,21,11,Merged
routine update of dom libs,2016-08-19T22:05:36Z,2016-08-22T22:34:46Z,2016-08-22T22:34:46Z,2,,72.48611111111111,2,101,Merged
Go to Implementation,2016-08-22T21:09:06Z,2016-09-15T21:09:19Z,2016-09-15T21:09:19Z,1,,576.0036111111111,67,3390,Merged
"An import ending in ""/"" is always an import of a directory.",2016-08-23T20:40:31Z,2016-09-14T21:07:11Z,2016-09-14T21:07:11Z,1,,528.4444444444445,14,13,Merged
Remove service's jsdoc parser and enhance parser's jsdoc parser,2016-09-01T16:34:48Z,2016-09-15T19:27:43Z,2016-09-15T19:27:44Z,2,APPROVED,338.88194444444446,68,541,Merged
Use returned values from super calls as 'this',2016-09-07T22:01:55Z,2016-09-30T07:08:32Z,2016-09-30T07:08:33Z,15,APPROVED,537.1102777777778,680,382,Merged
"For JSX text, construct a single literal node `""foo bar""` instead of `""foo"" + "" "" + ""bar""`",2016-09-08T16:55:01Z,2017-01-05T21:55:43Z,2017-01-05T21:55:43Z,1,APPROVED,2861.0116666666668,5,0,Merged
add Array.prototype.filter signature with type guard,2016-09-14T15:49:32Z,,2017-07-17T18:20:37Z,2,,7346.518055555555,7,440,Closed
Fix 10843: Change Array.prototype.findIndex method definition according to ES6 spec,2016-09-14T17:19:05Z,2016-09-15T16:18:16Z,2016-09-15T16:18:16Z,2,,22.98638888888889,2,619,Merged
Fix literal union type inference,2016-09-14T18:18:04Z,2016-09-15T00:48:17Z,2016-09-15T00:48:17Z,5,,6.503611111111111,6,14,Merged
Add readonly typings for Set and Map,2016-09-14T18:24:00Z,2016-09-15T18:26:30Z,2016-09-15T18:26:30Z,3,,24.041666666666668,1,1455,Merged
[Release 2.0] fix10625,2016-09-14T19:00:51Z,2016-09-14T20:42:17Z,2016-09-14T20:42:17Z,3,REVIEW_REQUIRED,1.6905555555555556,9,11,Merged
Fix super in down-level async method,2016-09-14T20:34:33Z,2016-09-15T00:15:51Z,2016-09-15T00:15:51Z,3,,3.6883333333333335,2,152,Merged
Allow type and NS references to UMD globals from modules,2016-09-14T22:57:18Z,2016-09-15T21:00:51Z,2016-09-15T21:00:51Z,1,,22.059166666666666,4,13,Merged
Remove require name collision check for ES6 modules and later,2016-09-15T01:04:21Z,2016-09-27T22:06:15Z,2016-09-27T22:06:15Z,1,,309.0316666666667,5,307,Merged
correctly update external project if config file is added or removed,2016-09-15T22:40:26Z,2016-09-16T21:39:00Z,2016-09-16T21:39:00Z,1,REVIEW_REQUIRED,22.976111111111113,2,16,Merged
Serialize inferred type alias when type alias symbol is not accessible,2016-09-16T16:27:33Z,2016-09-16T23:30:21Z,2016-09-16T23:30:21Z,5,,7.046666666666667,151,0,Merged
Add throttle limit to typings installer requests,2016-09-17T01:42:24Z,2016-09-20T23:55:21Z,2016-09-20T23:55:21Z,2,REVIEW_REQUIRED,94.21583333333334,5,49,Merged
change error message for assigning from object,2016-09-17T02:15:15Z,2016-09-21T15:47:31Z,2016-09-21T15:47:31Z,1,APPROVED,109.53777777777778,13,519,Merged
Resolve a problem of 1024 bytes limited help message in some terminals.,2016-09-19T07:01:07Z,2016-09-20T18:29:59Z,2016-09-20T18:29:59Z,3,,35.48111111111111,1,7904,Merged
Watch for changes in types roots,2016-09-20T01:30:09Z,2016-09-21T00:12:18Z,2016-09-21T00:12:18Z,2,REVIEW_REQUIRED,22.7025,6,105,Merged
Watch for types changes in tsc,2016-09-20T19:52:06Z,,2017-05-22T23:27:32Z,4,REVIEW_REQUIRED,5859.5905555555555,1,57,Closed
Fix #10002: add dom.iterable to supported lib values,2016-09-21T00:12:04Z,2016-09-26T23:06:18Z,2016-09-26T23:06:18Z,1,,142.9038888888889,8,13,Merged
added unittest for watching @types,2016-09-21T06:07:32Z,2016-09-22T21:17:19Z,2016-09-22T21:17:19Z,1,REVIEW_REQUIRED,39.16305555555556,3,615,Merged
add check if expected directory path is non-empty string,2016-09-21T07:03:19Z,2016-09-21T17:20:08Z,2016-09-21T17:20:08Z,1,REVIEW_REQUIRED,10.280277777777778,1,13,Merged
Fix 10438 - Remove parameters of private methods and constructors in declaration files,2016-09-21T08:06:43Z,,2017-05-22T23:23:17Z,4,CHANGES_REQUESTED,5847.276111111111,21,627,Closed
Fix 9610,2016-09-21T20:49:39Z,2016-09-21T23:52:02Z,2016-09-21T23:52:02Z,1,REVIEW_REQUIRED,3.039722222222222,1,663,Merged
Restructure ast to parse react attributes as object literal,2016-09-23T23:06:51Z,2016-09-26T22:04:38Z,2016-09-26T22:04:38Z,10,CHANGES_REQUESTED,70.96305555555556,11,289,Merged
Fix11081,2016-09-24T00:30:22Z,2016-10-05T17:28:22Z,2016-10-05T17:28:22Z,1,,280.96666666666664,10,258,Merged
Change error message for default export in namespace,2016-09-24T01:21:05Z,2016-12-22T20:31:05Z,2016-12-22T20:31:05Z,3,CHANGES_REQUESTED,2155.1666666666665,5,518,Merged
Change this capturing algorithm for converted loops,2016-09-24T22:11:17Z,2016-09-26T22:35:14Z,2016-09-26T22:35:14Z,1,,48.399166666666666,5,96,Merged
Fix downlevel async hoisting,2016-09-24T22:37:06Z,2016-09-25T17:56:25Z,2016-09-25T17:56:25Z,1,,19.321944444444444,2,96,Merged
Fix some issues with module ES6/target ES5,2016-09-24T23:08:05Z,2016-09-25T17:58:09Z,2016-09-25T17:58:09Z,1,,18.834444444444443,8,84,Merged
Fix missing visit of expression in for..of,2016-09-24T23:22:40Z,2016-09-25T17:59:34Z,2016-09-25T17:59:34Z,1,,18.615,5,112,Merged
Have classic module resolution use @types as a fallback,2016-09-26T14:08:53Z,2016-10-06T17:48:01Z,2016-10-06T17:48:01Z,1,,243.65222222222224,6,640,Merged
Object spread,2016-09-26T16:59:03Z,2016-11-10T17:28:58Z,2016-11-10T17:28:59Z,51,CHANGES_REQUESTED,1080.4986111111111,96,8554,Merged
[Release-2.0.5] Fix 11035: missing generic in .d.ts emit,2016-09-26T21:17:06Z,,2016-10-05T17:29:18Z,4,REVIEW_REQUIRED,212.20333333333335,5,34,Closed
Minify our release files as part of LKG build,2016-09-26T23:45:22Z,,2017-05-22T23:39:08Z,2,,5711.896111111111,5,192,Closed
Routine update of dom libs,2016-09-27T00:34:37Z,2016-09-28T02:00:24Z,2016-09-28T02:00:24Z,1,,25.42972222222222,2,34,Merged
Transformation API Cleanup,2016-09-27T01:17:43Z,2016-09-30T00:44:06Z,2016-09-30T00:44:06Z,6,,71.43972222222222,18,1231,Merged
Fix misleading error TS2410 from issue #10601,2016-09-27T11:55:11Z,2016-09-29T17:33:55Z,2016-09-29T17:33:56Z,5,APPROVED,53.64555555555555,21,411,Merged
JS completion commit on enter fix,2016-09-27T20:44:44Z,2016-09-29T16:56:57Z,2016-09-29T16:56:57Z,1,,44.20361111111111,1,481,Merged
Removed a superfluous line in src/compiler/utilities.ts - getExternalModuleNameFromPath,2016-09-27T21:46:37Z,,2016-10-03T19:51:27Z,3,,142.08055555555555,1,0,Closed
Merge release-2.0.5 to master,2016-09-27T22:06:26Z,2016-09-29T22:12:30Z,2016-09-29T22:12:30Z,2,,48.10111111111111,55,36,Merged
Turn 2 type flags into properties,2016-09-28T16:55:22Z,2016-10-03T23:25:57Z,2016-10-03T23:25:57Z,12,APPROVED,126.50972222222222,2,156,Merged
Ensure that `checkGrammarModuleElementContext` reliably returns `true` when there is bad grammar,2016-09-29T13:17:40Z,2016-09-30T13:03:15Z,2016-09-30T13:03:15Z,1,,23.759722222222223,4,13,Merged
Add overloads for 'map' on tuple types,2016-09-29T17:54:24Z,2016-10-04T03:07:30Z,2016-10-04T03:07:30Z,1,,105.21833333333333,47,875,Merged
Control flow analysis for implicit any variables,2016-09-29T23:07:48Z,2016-10-06T21:23:38Z,2016-10-06T21:23:38Z,7,APPROVED,166.26388888888889,115,1768,Merged
Add IsValidSnippetInsertionAtPosition support,2016-09-29T23:11:09Z,,2016-09-30T17:13:43Z,1,,18.04277777777778,10,135,Closed
Add jsxFactory compiler option.,2016-09-29T23:55:00Z,,2016-11-10T18:12:18Z,15,CHANGES_REQUESTED,1002.2883333333333,41,13,Closed
[Release-2.0.5] Address how Chakra load globalization dll,2016-09-29T23:55:03Z,2016-09-30T17:33:10Z,2016-09-30T17:33:10Z,2,REVIEW_REQUIRED,17.635277777777777,1,11,Merged
Port #11246 to release-2.0.5,2016-09-30T13:10:23Z,2016-09-30T17:12:09Z,2016-09-30T17:12:09Z,1,REVIEW_REQUIRED,4.029444444444445,4,15,Merged
Send config file diagnonstics event even when no errors were found,2016-09-30T20:35:26Z,2016-10-10T23:38:08Z,2016-10-10T23:38:08Z,2,,243.045,3,520,Merged
Visit VariableDeclaration initializer in converted loop,2016-09-30T22:48:30Z,2016-09-30T23:51:58Z,2016-09-30T23:51:58Z,2,,1.0577777777777777,5,165,Merged
expose 'gotoImplementation' for VS,2016-09-30T23:16:33Z,2016-10-01T17:22:56Z,2016-10-01T17:22:56Z,1,,18.10638888888889,1,101,Merged
Fix gulp-typescript to 2.14.1 untill gulpFile.ts is migrated.,2016-09-30T23:41:20Z,2016-10-01T09:16:43Z,2016-10-01T09:16:43Z,1,,9.589722222222223,5,184,Merged
Fix crash with nested generators,2016-10-01T00:31:12Z,2016-10-04T02:06:28Z,2016-10-04T02:06:28Z,1,,73.58777777777777,5,139,Merged
Fix the Function interface (#11269),2016-10-01T02:05:47Z,2016-10-13T23:24:05Z,2016-10-13T23:24:05Z,2,,309.305,1,0,Merged
Fix Array interface (#10886),2016-10-01T02:40:58Z,,2017-05-23T22:07:10Z,1,,5635.4366666666665,39,0,Closed
Validate inferred typing names to be legal package names,2016-10-01T18:58:35Z,2016-10-03T17:31:01Z,2016-10-03T17:31:01Z,1,,46.54055555555556,3,0,Merged
Add newlines between concatted files in lib.d.ts,2016-10-02T23:07:19Z,2016-10-03T16:45:14Z,2016-10-03T16:45:14Z,1,,17.631944444444443,1,178,Merged
do not reset current flow after processing finally block if it was unreachable,2016-10-02T23:23:50Z,2016-10-03T18:03:28Z,2016-10-03T18:03:28Z,2,,18.660555555555554,5,59,Merged
Fix capitalization of lsHost,2016-10-03T17:07:13Z,2016-10-04T13:00:09Z,2016-10-04T13:00:09Z,1,,19.88222222222222,1,0,Merged
Fix triple slash completions,2016-10-03T18:32:28Z,2016-10-06T23:39:35Z,2016-10-06T23:39:35Z,17,APPROVED,77.11861111111111,17,209,Merged
Add isGlobalCompletion to CompletionInfo for snippet injection,2016-10-04T00:47:18Z,2016-10-04T21:17:39Z,2016-10-04T21:17:39Z,4,,20.50583333333333,5,47,Merged
Added literal kind properties for each node.,2016-10-04T05:10:27Z,2016-10-06T21:00:33Z,2016-10-06T21:00:33Z,9,,63.835,21,342,Merged
Restrict base-class-first error to class declaration bases,2016-10-04T13:07:17Z,2016-10-19T18:47:23Z,2016-10-19T18:47:23Z,8,,365.66833333333335,12,33,Merged
Fix tests changed by #11309,2016-10-04T13:31:12Z,2016-10-17T17:57:27Z,2016-10-17T17:57:27Z,1,APPROVED,316.4375,2,11,Merged
Addresses #11348: Could the tsserver add process.noAsar = true;,2016-10-04T13:49:21Z,2016-10-04T17:18:03Z,2016-10-04T17:18:03Z,1,REVIEW_REQUIRED,3.4783333333333335,1,519,Merged
Use native maps when they're available,2016-10-04T14:38:45Z,2016-10-27T20:27:47Z,2016-10-27T20:27:47Z,12,APPROVED,557.8172222222222,68,10614,Merged
Update browserify task for gulp-typescript 3.0,2016-10-04T16:10:50Z,2016-10-05T16:04:07Z,2016-10-05T16:04:07Z,1,,23.888055555555557,1,311,Merged
Ports #11351 into master,2016-10-04T17:50:21Z,2016-10-04T19:11:59Z,2016-10-04T19:11:59Z,1,,1.3605555555555555,1,13,Merged
do not apply subtype reduction if type set contains enum literals fro…,2016-10-04T21:01:29Z,2016-10-04T23:32:16Z,2016-10-04T23:32:16Z,3,,2.5130555555555554,5,759,Merged
Do not treat local resolution of require call as external module,2016-10-04T22:41:40Z,2016-10-17T23:37:03Z,2016-10-17T23:37:03Z,4,,312.92305555555555,6,466,Merged
Handle the require call in javascript file for getSymbolAtLocation,2016-10-04T23:30:34Z,2016-10-06T00:03:43Z,2016-10-06T00:03:44Z,3,,24.5525,2,106,Merged
[Release-2.0.5]: Port PR#11118,2016-10-05T17:40:37Z,2016-10-05T22:26:01Z,2016-10-05T22:26:01Z,1,REVIEW_REQUIRED,4.756666666666667,10,12,Merged
Emit of union type metadata for decorator to use constituent serialized type if its identifier and same across all constituent types,2016-10-05T18:49:23Z,2016-10-06T02:21:17Z,2016-10-06T02:21:17Z,1,,7.531666666666666,9,13,Merged
[Release-2.0.5] Port fix from master to release-2.0.5: Serialize type alias when type-alias is not accessible and emit generic,2016-10-05T19:22:28Z,2016-10-06T23:20:49Z,2016-10-06T23:20:49Z,5,APPROVED,27.9725,154,14,Merged
Don't show globals (e.g. snippets) in JSX positions,2016-10-05T20:34:38Z,2016-10-05T23:21:30Z,2016-10-05T23:21:30Z,2,,2.781111111111111,2,34,Merged
Add missing check in javascript file for valid identifier when creating completion entry from symbol,2016-10-05T20:50:17Z,2016-10-06T00:04:10Z,2016-10-06T00:04:10Z,1,,3.231388888888889,2,13,Merged
[Release-2.0.5] Do not emit wrong extra comma,2016-10-05T21:01:11Z,2016-10-06T20:57:25Z,2016-10-06T20:57:25Z,1,REVIEW_REQUIRED,23.93722222222222,3,11,Merged
Turn on skipLibCheck for js-only inferred project and external project,2016-10-05T21:03:16Z,2016-10-12T02:19:41Z,2016-10-12T02:19:41Z,1,,149.2736111111111,5,519,Merged
Fix incorrect returning of completion entries when in string literal of property assignment expression,2016-10-05T21:22:29Z,2016-10-06T00:02:58Z,2016-10-06T00:02:58Z,1,,2.674722222222222,2,13,Merged
do not run semantic classification on non-ts-or-tsx files,2016-10-05T21:50:33Z,2016-10-05T23:13:17Z,2016-10-05T23:13:17Z,1,,1.3788888888888888,3,101,Merged
Add ES2017 target,2016-10-05T23:22:42Z,2016-10-15T08:57:45Z,2016-10-15T08:57:45Z,40,APPROVED,225.58416666666668,220,261,Merged
check lib command line option when deciding if program structure can be reused,2016-10-06T05:05:52Z,2016-10-06T16:36:38Z,2016-10-06T16:36:38Z,1,,11.512777777777778,2,13,Merged
 Do not get return type from contextual signature if we are already in process of getting return type of it ,2016-10-06T18:35:13Z,2016-10-06T20:18:41Z,2016-10-06T20:18:41Z,1,,1.7244444444444444,5,13,Merged
Fix async return type check,2016-10-06T19:32:22Z,2016-10-31T22:18:11Z,2016-10-31T22:18:11Z,1,,602.7636111111111,8,471,Merged
Fix syntax error in __awaiter when running in ES3,2016-10-06T20:31:00Z,2016-10-07T00:55:06Z,2016-10-07T00:55:07Z,1,,4.401666666666666,36,231,Merged
Control flow analysis for array construction,2016-10-06T21:20:53Z,2016-10-14T23:28:35Z,2016-10-14T23:28:35Z,12,APPROVED,194.12833333333333,20,2128,Merged
