title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Update russian language,2020-06-10T14:10:26Z,2020-06-13T18:03:22Z,2020-06-13T18:03:22Z,1,,75.88222222222223,1,69,Merged
Arabic language update,2020-07-02T20:20:00Z,,2020-12-15T09:46:55Z,1,,3973.448611111111,1,0,Closed
Updates to Russian translation,2020-07-10T05:19:06Z,,2020-09-24T13:02:37Z,2,,1831.7252777777778,1,85,Closed
add GitHub actions state to README,2020-08-24T16:24:36Z,2022-03-26T02:51:26Z,2022-03-26T02:51:26Z,3,,13882.447222222223,1,112,Merged
Update languages.json (Turkish),2021-08-28T11:53:07Z,2021-08-30T10:06:58Z,2021-08-30T10:06:58Z,9,,46.23083333333334,1,0,Merged
Update url,2022-07-13T19:41:11Z,,2024-05-19T08:15:13Z,1,,16212.567222222222,1,64,Closed
add georgian language,2022-07-25T18:14:41Z,2022-07-26T03:14:23Z,2022-07-26T03:14:23Z,1,,8.995,1,0,Merged
Update Spanish (Latinoamérica) translation,2022-11-17T16:10:17Z,2022-11-18T07:25:39Z,2022-11-18T07:25:39Z,1,,15.25611111111111,1,0,Merged
add belarussian and update ukranian and russian,2022-12-01T21:23:36Z,2022-12-02T03:42:59Z,2022-12-02T03:42:59Z,1,,6.323055555555555,1,63,Merged
grub/help/en_US: Fix typos,2022-12-04T07:09:12Z,2022-12-04T09:37:25Z,2022-12-04T09:37:25Z,3,,2.4702777777777776,1,0,Merged
Add Spanish Translation (json/txt) grub menu,2023-01-04T20:17:57Z,2023-01-06T04:23:05Z,2023-01-06T04:23:05Z,2,,32.08555555555556,2,0,Merged
Update ko_KR.json,2023-01-18T11:17:34Z,2023-02-02T07:47:49Z,2023-02-02T07:47:49Z,4,,356.50416666666666,1,0,Merged
Update ko_KR.txt,2023-01-23T20:45:59Z,2023-02-02T07:48:44Z,2023-02-02T07:48:44Z,3,,227.04583333333332,1,0,Merged
fixed russian translation,2023-01-24T22:23:41Z,2023-02-02T07:49:28Z,2023-02-02T07:49:29Z,1,,201.4297222222222,1,0,Merged
fixed russian translation,2023-01-24T22:28:35Z,2023-02-02T07:49:43Z,2023-02-02T07:49:43Z,1,,201.35222222222222,1,0,Merged
Fix typo in EXT/README.txt,2023-02-14T06:04:43Z,2023-02-18T13:31:38Z,2023-02-18T13:31:38Z,1,,103.4486111111111,1,15,Merged
Correct some English in the README and change some elements,2023-04-02T15:32:54Z,,2023-12-07T21:03:19Z,1,,5981.506944444444,1,254,Closed
Environment typos,2023-04-24T02:48:29Z,2023-06-23T08:24:36Z,2023-06-23T08:24:36Z,1,,1445.6019444444444,4,52,Merged
Added Slovenian language,2023-05-03T08:27:08Z,2023-06-23T08:26:19Z,2023-06-23T08:26:19Z,1,,1223.986388888889,1,43,Merged
fix Synchronous Exception on some arm cpus,2023-07-19T15:39:40Z,2023-07-20T02:56:55Z,2023-07-20T02:56:55Z,1,,11.2875,1,573,Merged
Update tr_TR.txt,2023-10-18T08:22:40Z,2024-05-19T08:29:13Z,2024-05-19T08:29:13Z,1,,5136.109166666667,1,39,Merged
