title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Write default config when not found,2017-01-06T05:00:32Z,,2017-01-06T19:20:15Z,1,CHANGES_REQUESTED,14.328611111111112,2,2,Closed
Make it compile on stable Rust (almost),2017-01-07T00:46:41Z,2017-01-07T05:51:25Z,2017-01-07T05:51:25Z,2,,5.078888888888889,16,763,Merged
"Add ""shell"" option to config",2017-01-07T02:08:09Z,2017-01-07T17:46:29Z,2017-01-07T17:46:29Z,7,,15.63888888888889,5,80,Merged
Stop cursor from moving past right screen edge,2017-01-07T02:55:45Z,,2017-01-07T19:43:10Z,1,,16.790277777777778,1,159,Closed
Fixes a slew of bounds issues.,2017-01-07T08:07:21Z,2017-01-07T18:20:02Z,2017-01-07T18:20:02Z,2,,10.211388888888889,1,538,Merged
Better bounds checking.,2017-01-07T21:55:28Z,2017-01-08T05:24:55Z,2017-01-08T05:24:55Z,8,,7.490833333333334,1,236,Merged
add suggestive fallback messages on unavailable fonts,2017-01-08T21:32:48Z,2017-01-13T05:21:15Z,2017-01-13T05:21:15Z,2,,103.8075,2,51,Merged
Fixing panic on cat /dev/urandom,2017-01-10T06:11:49Z,2017-01-10T07:19:08Z,2017-01-10T07:19:08Z,3,,1.1219444444444444,1,602,Merged
Allow arguments in shell option,2017-01-10T12:16:14Z,,2017-01-24T06:46:00Z,9,CHANGES_REQUESTED,330.49611111111113,4,381,Closed
make thin stroke rendering configurable,2017-01-10T14:00:04Z,2017-01-13T05:19:42Z,2017-01-13T05:19:42Z,4,,63.327222222222225,7,156,Merged
support for inverting the cursor or using colors,2017-01-11T15:43:49Z,,2017-01-11T23:31:57Z,1,CHANGES_REQUESTED,7.802222222222222,7,60,Closed
ansi: Designate G0 graphic character set,2017-01-11T20:08:09Z,2017-01-21T20:09:22Z,2017-01-21T20:09:22Z,13,,240.02027777777778,2,776,Merged
support for inverting the cursor or using colors,2017-01-11T23:33:47Z,2017-01-30T00:06:30Z,2017-01-30T00:06:30Z,11,,432.54527777777776,8,12,Merged
Make it run on FreeBSD,2017-01-13T05:46:43Z,2017-01-19T06:28:17Z,2017-01-19T06:28:17Z,2,,144.6927777777778,4,375,Merged
set option as meta,2017-01-14T13:14:31Z,,2017-01-14T20:56:55Z,1,,7.706666666666667,3,1123,Closed
Start using the log-crate instead of printing to stdout,2017-01-14T15:23:58Z,2017-01-23T17:14:02Z,2017-01-23T17:14:02Z,5,,217.83444444444444,18,62,Merged
Add Arch Linux package install instructions,2017-01-14T20:45:40Z,2017-01-30T04:29:23Z,2017-01-30T04:29:23Z,3,,367.7286111111111,1,53,Merged
Add Glyph Offset Option to User Configuration,2017-01-15T18:51:26Z,2017-05-01T15:52:23Z,2017-05-01T15:52:23Z,3,,2541.0158333333334,8,228,Merged
Implement save/restore cursor position,2017-01-16T09:02:52Z,,2017-02-01T18:02:59Z,4,CHANGES_REQUESTED,393.00194444444446,1,171,Closed
Dynamically generate ref tests,2017-01-21T10:15:25Z,2017-01-23T16:59:55Z,2017-01-23T16:59:55Z,1,,54.74166666666667,8,298,Merged
Use clap as cli parser.,2017-01-22T09:09:40Z,2017-01-24T16:38:40Z,2017-01-24T16:38:40Z,2,,55.483333333333334,4,536,Merged
std process command,2017-01-23T09:21:32Z,2017-01-24T05:08:01Z,2017-01-24T05:08:01Z,9,,19.774722222222223,2,359,Merged
Add cursor type,2017-01-23T18:08:30Z,,2017-06-11T20:08:24Z,13,CHANGES_REQUESTED,3337.9983333333334,5,493,Closed
