title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Adding nested dictionary lookups,2014-11-15T22:02:19Z,,2017-04-20T17:10:55Z,2,,21283.143333333333,2,1478,Closed
cloudstack: add dynamic inventory,2014-12-17T13:03:41Z,2015-05-04T15:30:04Z,2015-05-04T15:30:04Z,2,,3314.4397222222224,2,0,Merged
add AIX mounts information,2015-03-11T16:07:02Z,2017-01-12T18:15:09Z,2017-01-12T18:15:09Z,1,,16154.135277777777,1,1179,Merged
dig lookup-plugin: add support for specifying rdclass,2015-03-18T12:00:20Z,2017-04-04T19:00:56Z,2017-04-04T19:00:56Z,2,,17959.01,1,307,Merged
Adding lookup plugin for postgresql database,2015-06-18T15:46:24Z,,2019-06-01T18:25:00Z,2,CHANGES_REQUESTED,34658.64333333333,1,214,Closed
Integrate EUI64 SLAAC into ipaddr() Jinja2 filter,2015-07-20T15:35:50Z,,2017-08-01T17:08:34Z,4,,17833.545555555556,1,592,Closed
tests: check that handlers are able to use 'include',2015-07-29T16:37:28Z,2016-10-21T18:17:42Z,2016-10-21T18:17:43Z,4,,10801.670555555556,5,79,Merged
Tests for amazon ecs modules,2015-07-31T16:34:18Z,,2018-11-29T15:28:45Z,1,,29206.9075,24,2059,Closed
add 'required' to vars_prompt,2015-08-04T15:33:09Z,,2017-03-05T09:33:40Z,1,,13890.00861111111,2,0,Closed
Added boolean to return security groups as list (rather than scalar),2015-08-18T00:42:38Z,,2018-11-16T17:13:08Z,3,,28480.508333333335,2,332,Closed
Update cobbler.py inventory script to more fully leverage Cobbler management fields,2015-08-25T18:24:54Z,,2019-09-19T12:52:06Z,1,,35658.45333333333,2,2252,Closed
Adding concat_lists option to combine filter,2015-10-12T19:50:55Z,,2017-07-19T18:45:15Z,1,,15502.905555555555,2,286,Closed
"1st part of ansible config, adds ansible-config to view/manage configs",2015-10-17T03:42:59Z,2017-06-14T15:08:35Z,2017-06-14T15:08:35Z,38,,14555.426666666666,20,740,Merged
ec2.py Add the feature of combining Autoscaling groups Tags,2015-10-19T14:23:11Z,,2017-03-21T13:45:56Z,7,,12455.379166666668,2,537,Closed
Improve ansible-galaxy handling of role versions,2015-10-26T00:52:04Z,2017-01-17T14:49:16Z,2017-01-17T14:49:16Z,3,,10789.953333333333,2,2469,Merged
Allow ini plugin to load file using other encoding than utf8.,2015-12-05T08:15:29Z,2017-07-27T21:20:19Z,2017-07-27T21:20:19Z,6,,14413.080555555556,9,93,Merged
Add a guestfs connexion plugin,2015-12-20T11:20:33Z,,2019-09-19T12:55:39Z,10,CHANGES_REQUESTED,32857.585,5,612,Closed
Make ModuleArgsParser more understandable,2016-01-19T01:55:37Z,2017-01-13T02:22:55Z,2017-01-13T02:22:55Z,2,,8640.455,1,155,Merged
Add option to group ec2 instances by platform.,2016-02-01T17:19:54Z,,2017-08-07T18:44:26Z,4,CHANGES_REQUESTED,13273.40888888889,2,630,Closed
Pass boto_profile to get_route53_records,2016-02-07T02:42:31Z,2017-02-16T13:49:48Z,2017-02-16T13:49:48Z,2,,9011.121388888889,1,183,Merged
Allow S3 urls in requirements.yml files,2016-03-14T22:57:44Z,,2019-01-18T16:20:24Z,1,,24953.37777777778,1,415,Closed
VMware self signed certs,2016-03-16T08:37:11Z,,2017-06-28T23:50:34Z,1,,11271.223055555556,1,109,Closed
new lookup module: mongodb,2016-03-20T20:41:26Z,2017-01-03T16:40:02Z,2017-01-03T16:40:02Z,3,,6931.9766666666665,2,2495,Merged
IAM role support for EC2 dynamic inventory,2016-03-29T13:12:55Z,2017-03-20T21:19:41Z,2017-03-20T21:19:41Z,4,,8552.112777777778,2,471,Merged
Fix YAML source and lint it,2016-04-19T08:22:34Z,2016-11-11T22:50:57Z,2016-11-11T22:50:57Z,1,,4958.473055555555,253,1069,Merged
Add 'refresh' mode to fact gathering,2016-04-20T14:22:44Z,,2017-07-21T18:47:40Z,1,,10972.415555555555,2,4862,Closed
Do not set RDS instance hostname if hostname_variable is a tag,2016-04-21T16:24:43Z,,2017-07-17T17:19:34Z,1,,10848.914166666667,1,1703,Closed
git: git reset with branch,2016-04-22T00:19:55Z,2017-04-04T17:45:05Z,2017-04-04T17:45:05Z,1,,8345.419444444444,3,320,Merged
Adds integration test steps to win_regedit test to cover Extras 2090,2016-04-28T08:00:32Z,2017-02-27T13:05:01Z,2017-02-27T13:05:01Z,1,,7325.074722222223,1,817,Merged
Key names in the ansible_local variable are converted into lower case,2016-05-11T12:36:13Z,2016-09-21T21:41:04Z,2016-09-21T21:41:04Z,1,,3201.0808333333334,1,359,Merged
Allow the use of paths like ~/.project.json,2016-05-31T08:00:55Z,2017-01-16T14:10:17Z,2017-01-16T14:10:17Z,4,,5526.156111111111,2,554,Merged
Filter tags,2016-06-06T08:35:53Z,,2018-11-16T17:28:17Z,1,,21440.873333333333,2,606,Closed
Add a --json flag to ansible-doc to support JSON output,2016-06-07T18:26:29Z,,2017-03-27T18:50:05Z,1,CHANGES_REQUESTED,7032.393333333333,1,2374,Closed
Enable docker connector command override.,2016-06-09T00:41:47Z,,2018-12-04T12:13:46Z,4,,21803.533055555556,2,871,Closed
Add manpage for ansible-console. (Closes: #16244),2016-06-13T01:24:07Z,2017-03-08T16:04:36Z,2017-03-08T16:04:36Z,2,,6446.674722222222,2,281,Merged
Lastpass lookup plugin,2016-06-14T21:10:34Z,2016-12-22T22:47:34Z,2016-12-22T22:47:34Z,3,,4585.616666666667,2,885,Merged
Docker Connection Plugin Remote fix,2016-06-22T15:42:51Z,,2018-07-16T22:58:15Z,1,,18103.256666666668,1,327,Closed
Add some test cases for parsing/data_loader,2016-06-29T15:34:28Z,,2019-01-15T17:55:46Z,1,,22322.355,7,989,Closed
More consistent Docker unit parsing,2016-07-18T15:51:59Z,2018-08-22T17:05:24Z,2018-08-22T17:05:24Z,3,,18361.223611111112,1,292,Merged
Ignore ControlPersist broken pipe errors. Fixes #16731,2016-07-21T21:17:28Z,2017-04-07T16:06:29Z,2017-04-07T16:06:29Z,1,CHANGES_REQUESTED,6234.816944444445,2,393,Merged
Use HTTPS instead of legacy HTTP for ansible.com,2016-07-29T09:28:03Z,2017-02-16T00:09:34Z,2017-02-16T00:09:34Z,2,,4838.691944444445,13,60,Merged
Set example ansible.cfg *includes_static options to default value,2016-08-03T17:41:54Z,2017-11-02T23:42:09Z,2017-11-02T23:42:09Z,1,,10950.004166666668,1,338,Merged
tests: add handlers listen integration tests,2016-08-12T18:26:35Z,2017-01-03T23:00:01Z,2017-01-03T23:00:01Z,6,,3460.557222222222,5,267,Merged
implement module params deprecation warnings,2016-08-15T12:47:59Z,,2017-01-31T20:01:52Z,1,,4063.231388888889,2,1866,Closed
Update the ec2.py inventory script to set ansible_host as well as ansible_ssh_host,2016-08-17T01:27:12Z,2017-07-17T19:30:11Z,2017-07-17T19:30:12Z,1,,8034.049722222222,1,981,Merged
Relative ansible cfg lookup,2016-08-17T04:03:29Z,,2017-08-03T18:11:40Z,2,,8438.136388888888,1,604,Closed
Add foreman callback plugin,2016-08-18T18:08:56Z,2016-10-03T04:12:13Z,2016-10-03T04:12:13Z,1,,1090.0547222222222,1,613,Merged
New filter: crc32,2016-08-22T12:45:50Z,,2017-08-04T18:42:00Z,3,,8333.93611111111,5,365,Closed
First release of the callback selective.py,2016-08-30T13:43:16Z,2017-01-23T19:54:48Z,2017-01-23T19:54:48Z,2,,3510.1922222222224,1,2307,Merged
"Fix paramiko as connection via API, exception encountered: TypeError: sequence item 0",2016-08-31T19:10:23Z,,2016-11-07T16:14:43Z,2,,1629.0722222222223,1,2284,Closed
Add oVirt utility module,2016-09-02T12:31:02Z,2016-09-21T16:41:36Z,2016-09-21T16:41:37Z,7,,460.1761111111111,2,945,Merged
fixes issue #13981: unsafe_writes block appeared too late in the atom…,2016-09-06T07:37:19Z,2016-09-22T15:31:35Z,2016-09-22T15:31:35Z,6,,391.90444444444444,1,773,Merged
Re-fix diff display in the `actionable` stdout callback,2016-09-08T13:08:14Z,,2018-11-30T23:30:03Z,3,CHANGES_REQUESTED,19522.363611111112,2,1077,Closed
Improve unit testing of 'password' lookup,2016-09-08T18:33:51Z,,2016-09-19T18:39:44Z,10,,264.09805555555556,2,1295,Closed
Feature/add ansible play hosts all,2016-09-10T16:39:22Z,2016-09-23T15:17:46Z,2016-09-23T15:17:46Z,2,,310.64,5,1111,Merged
Wrapped code style remarks in a new 'Style' subsection,2016-09-10T19:23:52Z,,2017-07-26T02:02:26Z,1,,7638.642777777778,1,568,Closed
update facts.py for aix,2016-09-13T10:18:24Z,2016-09-19T16:20:30Z,2016-09-19T16:20:30Z,1,,150.035,1,9850,Merged
Add action plugin for dnos9_template module,2016-09-13T19:16:44Z,2016-09-14T19:40:55Z,2016-09-14T19:40:55Z,1,,24.403055555555557,2,574,Merged
initial 1.0 version of validate plugin to provide a set of methods for variable validation,2016-09-13T19:50:40Z,,2017-07-24T18:51:20Z,1,,7535.011111111111,1,4198,Closed
 Add action plugin to support dnos6_config module,2016-09-13T22:21:47Z,2016-09-14T19:55:45Z,2016-09-14T19:55:45Z,1,,21.566111111111113,2,577,Merged
Add action plugin to support dnos6_template module,2016-09-13T22:24:01Z,2016-09-14T19:37:56Z,2016-09-14T19:37:56Z,2,,21.231944444444444,2,573,Merged
lxd_container module fails if certificate already in trust store #2750,2016-09-14T19:45:52Z,,2016-10-20T02:59:49Z,2,,847.2325,136,947,Closed
Set Suse family for openSUSE Tumbleweed & Leap,2016-09-14T21:04:36Z,2016-10-23T00:04:28Z,2016-10-23T00:04:28Z,1,,914.9977777777777,2,1161,Merged
Vault fixes,2016-09-15T17:13:47Z,2016-09-16T01:39:34Z,2016-09-16T01:39:34Z,9,,8.429722222222223,8,2226,Merged
More verbose ssh failure error messages.,2016-09-15T21:06:10Z,,2017-07-05T15:10:01Z,9,,7026.064166666667,1,907,Closed
module_utils/dimensiondata,2016-09-16T00:08:16Z,2017-01-13T04:50:44Z,2017-01-13T04:50:44Z,36,CHANGES_REQUESTED,2860.7077777777777,2,625,Merged
"Renamed the Modules from dnos* -> dellos*, updated copyright, removed…",2016-09-16T19:23:05Z,2016-09-16T21:45:08Z,2016-09-16T21:45:08Z,3,,2.3675,13,684,Merged
