title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Refactor: Add Kudos idea and update app description in README.md,2019-03-01T00:13:44Z,2019-03-01T04:57:43Z,2019-03-01T04:57:43Z,1,APPROVED,4.733055555555556,2,86,Merged
Feature/add string art,2019-03-03T00:00:45Z,2019-03-03T20:36:22Z,2019-03-03T20:36:22Z,3,CHANGES_REQUESTED,20.593611111111112,2,40,Merged
Feature/add tz bot,2019-03-03T21:07:33Z,2019-03-04T05:09:58Z,2019-03-04T05:09:58Z,1,APPROVED,8.040277777777778,2,28,Merged
Feature: Add Windchill application specification,2019-03-03T21:56:57Z,2019-03-04T18:55:42Z,2019-03-04T18:55:42Z,9,APPROVED,20.979166666666668,3,71,Merged
Feature: Add Ripple Lights application specification,2019-03-03T22:59:21Z,2019-03-04T18:58:11Z,2019-03-04T18:58:11Z,3,APPROVED,19.980555555555554,2,75,Merged
Feature: Add Bin2Dec application specification,2019-03-06T02:02:56Z,2019-03-07T19:14:10Z,2019-03-07T19:14:10Z,1,APPROVED,41.187222222222225,2,69,Merged
Feature: Add TrueOrFalse app specification,2019-03-06T15:14:22Z,2019-03-07T19:13:37Z,2019-03-07T19:13:37Z,1,APPROVED,27.9875,2,65,Merged
Feature: Add Flip Image App specification,2019-03-07T13:29:50Z,2019-03-07T19:12:50Z,2019-03-07T19:12:50Z,1,APPROVED,5.716666666666667,2,64,Merged
Feature: Add Color Cycle application specification,2019-03-09T16:31:06Z,2019-03-10T19:59:57Z,2019-03-10T19:59:57Z,1,APPROVED,27.480833333333333,2,73,Merged
Feature/add causeeffect app,2019-03-14T01:01:39Z,2019-03-14T20:10:08Z,2019-03-14T20:10:08Z,1,APPROVED,19.14138888888889,2,41,Merged
Feature: Add Spell-It app specification,2019-03-15T23:01:26Z,2019-03-16T21:03:53Z,2019-03-16T21:03:53Z,1,APPROVED,22.04083333333333,2,62,Merged
Refactor: Add application summary information,2019-03-17T20:51:08Z,2019-03-18T12:34:18Z,2019-03-18T12:34:18Z,1,APPROVED,15.719444444444445,23,272,Merged
Feature: Add Sports Bracket Generator app specification,2019-03-20T21:28:35Z,2019-03-21T12:38:30Z,2019-03-21T12:38:30Z,1,APPROVED,15.165277777777778,2,77,Merged
[feature] Created the proposal for a Roman2Dec-App idea.,2019-03-22T09:43:53Z,2019-03-25T17:38:01Z,2019-03-25T17:38:01Z,2,CHANGES_REQUESTED,79.90222222222222,1,283,Merged
Feature: Add Survey app specification,2019-03-22T13:30:53Z,2019-03-24T13:57:52Z,2019-03-24T13:57:52Z,4,APPROVED,48.44972222222222,3,203,Merged
Feature/add bbengine app,2019-03-26T00:41:38Z,2019-03-26T05:16:15Z,2019-03-26T05:16:15Z,1,APPROVED,4.576944444444444,2,0,Merged
Feature: Add RegExp Helper app specification,2019-03-28T00:55:21Z,2019-03-29T12:39:49Z,2019-03-29T12:39:49Z,4,APPROVED,35.74111111111111,4,67,Merged
Refactor: Update project documentation to match FCC article,2019-03-29T00:47:27Z,2019-03-29T02:59:41Z,2019-03-29T02:59:41Z,1,APPROVED,2.203888888888889,1,81,Merged
Feature: Add JSON2CSV app specification,2019-03-31T13:38:16Z,2019-03-31T19:34:04Z,2019-03-31T19:34:04Z,1,APPROVED,5.93,2,62,Merged
Feature: Add CSV2JSON app specification,2019-04-02T00:41:20Z,2019-04-02T17:42:50Z,2019-04-02T17:42:50Z,1,APPROVED,17.025,2,62,Merged
Feature/add highstriker app,2019-04-02T22:22:25Z,2019-04-03T19:54:57Z,2019-04-03T19:54:57Z,1,APPROVED,21.54222222222222,3,86,Merged
Feature: Add Elevator app specification,2019-04-05T00:07:26Z,2019-04-05T01:12:27Z,2019-04-05T01:12:27Z,1,APPROVED,1.083611111111111,2,62,Merged
Feature: Add FastFood simulator app specification,2019-04-06T16:42:53Z,2019-04-06T20:43:24Z,2019-04-06T20:43:24Z,1,APPROVED,4.008611111111111,2,73,Merged
Feature: Add Shell game app specification,2019-04-08T00:33:24Z,2019-04-08T04:53:06Z,2019-04-08T04:53:06Z,1,APPROVED,4.328333333333333,2,64,Merged
Feature: Add Typing Practice app specification,2019-04-09T00:54:50Z,2019-04-09T04:40:41Z,2019-04-09T04:40:41Z,1,APPROVED,3.7641666666666667,2,69,Merged
Feature: Add Recipe app specification,2019-04-10T22:16:33Z,2019-04-11T20:02:25Z,2019-04-11T20:02:25Z,1,APPROVED,21.764444444444443,2,60,Merged
Feature: Add Simple Online Store app specification,2019-04-11T22:37:15Z,2019-04-12T04:09:40Z,2019-04-12T04:09:40Z,1,APPROVED,5.540277777777778,3,73,Merged
Feature/countdown timer app,2019-04-13T23:17:16Z,2019-04-14T09:53:38Z,2019-04-14T09:53:38Z,1,APPROVED,10.606111111111112,2,51,Merged
Fix typo,2019-04-14T18:53:13Z,2019-04-15T07:59:22Z,2019-04-15T07:59:22Z,1,APPROVED,13.1025,1,89,Merged
Feature: Add Calorie Counter app specification,2019-04-15T01:36:23Z,2019-04-15T08:00:26Z,2019-04-15T08:00:26Z,1,APPROVED,6.400833333333333,2,69,Merged
Added Instagram Clone to Advanced app ideas,2019-04-15T10:12:22Z,2019-04-15T12:30:46Z,2019-04-15T12:30:46Z,3,APPROVED,2.3066666666666666,2,225,Merged
Feature/key value app,2019-04-16T00:12:00Z,2019-04-16T19:52:21Z,2019-04-16T19:52:21Z,5,,19.6725,2,31,Merged
Feature: Add GitHub Status app specification,2019-04-17T00:13:53Z,2019-04-17T04:15:51Z,2019-04-17T04:15:51Z,1,APPROVED,4.032777777777778,2,67,Merged
Added example project built with react,2019-04-18T16:48:59Z,2019-04-18T20:32:37Z,2019-04-18T20:32:37Z,2,APPROVED,3.727222222222222,1,103,Merged
Added react example for the Binary to Decimal converter app idea,2019-04-19T15:18:34Z,2019-04-23T04:19:21Z,2019-04-23T04:19:21Z,2,APPROVED,85.01305555555555,1,0,Merged
Feature: Add MyPodcast Library app specification,2019-04-19T22:40:23Z,2019-04-21T01:03:17Z,2019-04-21T01:03:17Z,1,APPROVED,26.381666666666668,3,71,Merged
Feature: Add Word Frequency app specification,2019-04-20T22:48:22Z,2019-04-21T01:03:35Z,2019-04-21T01:03:35Z,1,APPROVED,2.2536111111111112,2,68,Merged
Update Notes-App.md,2019-04-21T17:36:19Z,2019-04-23T04:19:57Z,2019-04-23T04:19:57Z,1,APPROVED,34.727222222222224,1,23,Merged
Project: Add Movie and Slack app,2019-04-22T16:34:07Z,,2019-04-23T13:38:30Z,1,CHANGES_REQUESTED,21.073055555555555,1,98,Closed
Feature: Add Shuffle Deck app specification,2019-04-23T00:13:02Z,2019-04-23T04:18:34Z,2019-04-23T04:18:34Z,1,APPROVED,4.092222222222222,2,66,Merged
Project: Movie Database App Add,2019-04-23T13:52:33Z,2019-05-01T11:07:14Z,2019-05-01T11:07:14Z,1,APPROVED,189.2447222222222,2,136,Merged
Feature: Add Bit Mask app specification,2019-04-24T00:24:01Z,2019-04-24T03:34:28Z,2019-04-24T03:34:29Z,1,APPROVED,3.174166666666667,2,62,Merged
Feature: Add Bug Race game specification,2019-04-24T16:13:19Z,2019-04-24T17:54:28Z,2019-04-24T17:54:28Z,1,APPROVED,1.6858333333333333,2,63,Merged
Feature: Add GitTweet app specification,2019-04-25T18:06:38Z,2019-04-26T04:24:09Z,2019-04-26T04:24:09Z,1,APPROVED,10.291944444444445,2,62,Merged
Feature Add Pearson Regression app specification,2019-04-26T21:38:59Z,2019-04-27T18:15:45Z,2019-04-27T18:15:45Z,1,APPROVED,20.61277777777778,2,72,Merged
Feature/charity finder app,2019-04-28T00:53:29Z,2019-04-29T16:42:27Z,2019-04-29T16:42:27Z,1,APPROVED,39.81611111111111,2,57,Merged
Feature/contribution tracker app,2019-04-28T20:31:27Z,2019-04-29T16:43:13Z,2019-04-29T16:43:13Z,1,APPROVED,20.19611111111111,3,189,Merged
Add Sample Project to Kudos-Slackbot.md,2019-04-28T21:08:49Z,2019-05-01T11:05:44Z,2019-05-01T11:05:44Z,2,APPROVED,61.94861111111111,1,77,Merged
Feature: Add Hello app specification,2019-04-30T12:56:25Z,2019-05-01T11:08:02Z,2019-05-01T11:08:02Z,1,APPROVED,22.19361111111111,2,59,Merged
Feature: Add QRCode Badge Generator app specification,2019-05-02T19:51:29Z,2019-05-04T21:49:27Z,2019-05-04T21:49:27Z,1,APPROVED,49.96611111111111,2,76,Merged
@SpellarBot fixed 37 typos for you :),2019-05-03T20:24:00Z,2019-05-05T11:57:34Z,2019-05-05T11:57:34Z,1,APPROVED,39.559444444444445,28,0,Merged
Feature: Add NASA Exoplanet Query app specification,2019-05-03T23:47:13Z,2019-05-05T11:55:36Z,2019-05-05T11:55:36Z,1,APPROVED,36.139722222222225,2,74,Merged
Feature: Add IoT Mailbox simulator app specification,2019-05-04T17:38:36Z,2019-05-05T11:55:14Z,2019-05-05T11:55:14Z,1,APPROVED,18.27722222222222,2,75,Merged
Feature/first db app,2019-05-08T13:31:40Z,2019-05-10T02:24:48Z,2019-05-10T02:24:48Z,1,APPROVED,36.885555555555555,2,152,Merged
Feature: Add Sales Receipt app specification,2019-05-09T23:50:17Z,2019-05-10T02:25:13Z,2019-05-10T02:25:13Z,1,APPROVED,2.582222222222222,2,67,Merged
Feature/boole bot game,2019-05-11T18:16:28Z,2019-05-12T05:49:07Z,2019-05-12T05:49:07Z,1,APPROVED,11.544166666666667,2,32,Merged
Feature: Add Vigenere Cipher app specification,2019-05-17T01:03:52Z,2019-05-17T02:18:53Z,2019-05-17T02:18:53Z,1,APPROVED,1.2502777777777778,2,69,Merged
Need HTTPS for Behance and Dribble links to work,2019-05-25T01:34:45Z,2019-05-26T15:16:22Z,2019-05-26T15:16:23Z,1,APPROVED,37.69361111111111,1,96,Merged
Fixed grammar,2019-06-05T16:39:49Z,2019-06-06T03:43:11Z,2019-06-06T03:43:11Z,1,APPROVED,11.056111111111111,5,50,Merged
Added React Quiz PWA,2019-06-13T14:15:40Z,2019-06-14T06:13:17Z,2019-06-14T06:13:18Z,1,APPROVED,15.960277777777778,1,44,Merged
fix simple typos,2019-08-12T20:23:36Z,2019-08-21T09:29:50Z,2019-08-21T09:29:50Z,1,APPROVED,205.1038888888889,1,0,Merged
Add Todo App,2019-10-02T15:46:15Z,2019-10-05T17:01:03Z,2019-10-05T17:01:03Z,1,APPROVED,73.24666666666667,1,37,Merged
Create GIF-Maker,2020-02-14T06:26:51Z,,2020-02-19T17:42:56Z,1,,131.26805555555555,1,0,Closed
Update README.md,2020-02-14T08:57:57Z,,2020-02-19T17:42:31Z,1,,128.74277777777777,1,0,Closed
A misspelling was found,2020-07-10T00:24:59Z,,2020-10-25T00:45:02Z,1,,2568.3341666666665,1,41,Closed
Example/timezone slackbot,2020-08-10T01:57:28Z,,2022-09-18T22:17:57Z,1,,18476.34138888889,2,67,Closed
Added Alcohol Based Cocktail Suggestion App Idea,2020-10-05T08:44:52Z,,2023-05-30T15:48:04Z,1,,23215.053333333333,2,0,Closed
URL shorten-er project,2021-03-20T22:27:33Z,,2023-07-06T19:34:43Z,2,,20109.119444444445,2,0,Closed
link not found,2021-05-15T04:33:53Z,,2022-10-19T17:22:09Z,1,,12540.804444444444,1,0,Closed
Tic Tac Toe Game,2021-10-24T00:42:39Z,,2024-08-02T20:10:47Z,1,,24331.46888888889,1,68,Closed
Website,2021-10-28T16:05:30Z,,2023-04-09T17:12:07Z,1,,12673.110277777778,116,823,Closed
"Changed ""Ho Chi Mihn City"" to ""Ho Chi Minh City""",2022-06-12T16:25:28Z,,2023-06-26T08:09:46Z,1,,9087.738333333333,1,36,Closed
