title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Add termbox,2015-03-23T16:41:25Z,2015-03-23T22:36:15Z,2015-03-23T22:36:15Z,1,,5.913888888888889,1,0,Merged
Added ExprTK,2016-11-18T11:05:40Z,2016-11-20T19:34:03Z,2016-11-20T19:34:03Z,1,,56.473055555555554,1,0,Merged
Add Conan and remove Biicode,2016-12-07T09:05:10Z,2016-12-07T15:04:18Z,2016-12-07T15:04:19Z,1,,5.985555555555556,1,96,Merged
Graphics: Add AGG,2017-06-03T05:27:43Z,,2021-04-12T07:29:26Z,1,,33818.02861111111,1,0,Closed
"Add json.h, utf8.h, utest.h",2017-09-15T09:39:40Z,2017-09-16T19:05:11Z,2017-09-16T19:05:11Z,1,CHANGES_REQUESTED,33.42527777777778,1,0,Merged
"Add nghttp2, cppimport, CppSharp, Catch2, CppUTest, ...",2017-12-02T10:22:54Z,2017-12-02T19:38:01Z,2017-12-02T19:38:01Z,2,,9.251944444444444,2,237,Merged
README.md: add tinygettext to i18n section,2017-12-29T12:20:29Z,,2022-03-30T07:45:25Z,1,,37243.415555555555,1,0,Closed
Update README.md,2018-02-19T16:42:42Z,,2018-02-20T10:38:21Z,1,,17.9275,1,15,Closed
"Add several containers, Sorting category and timsort, Nanotimer to benchmarking",2018-04-06T01:14:25Z,2018-04-09T15:25:46Z,2018-04-09T15:25:46Z,3,CHANGES_REQUESTED,86.18916666666667,1,0,Merged
mini_al to miniaudio,2019-03-07T10:25:23Z,2019-03-07T15:36:37Z,2019-03-07T15:36:37Z,1,,5.187222222222222,1,40,Merged
Add static reflection for enums lib,2019-04-08T14:18:58Z,2019-04-09T10:16:31Z,2019-04-09T10:16:31Z,3,,19.95916666666667,1,0,Merged
Add console-component,2019-10-27T18:59:41Z,,2021-01-30T07:55:12Z,1,,11052.925277777778,1,1064,Closed
Add libhv,2020-03-04T09:34:30Z,2020-03-20T23:40:32Z,2020-03-20T23:40:32Z,1,,398.10055555555556,1,0,Merged
Database: Add unqlite,2020-09-15T15:06:40Z,2020-09-15T23:09:13Z,2020-09-15T23:09:13Z,1,,8.0425,2,173,Merged
fixes broken link for the x265 library ,2021-05-25T02:45:15Z,2021-05-25T15:38:43Z,2021-05-25T15:38:43Z,2,,12.891111111111112,1,14,Merged
Added p-ranav/fccf to `Miscellaneous` section,2022-04-29T03:22:30Z,2022-04-30T15:28:32Z,2022-04-30T15:28:32Z,1,,36.10055555555556,1,212,Merged
Update books.md,2022-08-07T08:45:06Z,2022-08-08T04:21:57Z,2022-08-08T04:21:57Z,1,,19.614166666666666,1,131,Merged
Updated the repos.,2023-01-30T19:38:53Z,,2023-09-26T03:02:59Z,1,,5719.401666666667,1,142,Closed
Remove header-only from Catch2 description,2023-04-25T16:52:25Z,2023-05-03T02:59:00Z,2023-05-03T02:59:00Z,1,,178.10972222222222,1,382,Merged
Add Doxide to the Documentation category,2023-06-10T23:02:53Z,2023-06-13T22:51:51Z,2023-06-13T22:51:51Z,1,,71.81611111111111,1,268,Merged
Data visualization typo,2023-08-20T16:56:15Z,2023-08-22T01:06:44Z,2023-08-22T01:06:44Z,1,,32.17472222222222,1,0,Merged
Update details of bit7z,2023-10-03T16:56:52Z,2023-10-04T06:06:57Z,2023-10-04T06:06:57Z,1,,13.168055555555556,1,253,Merged
Cpp-Taskflow has been renamed to Taskflow since 2020,2023-10-11T17:00:46Z,2023-10-12T02:58:06Z,2023-10-12T02:58:06Z,1,,9.955555555555556,1,92,Merged
Added Unum and other ML libraries,2024-01-07T06:16:32Z,2024-01-08T00:35:32Z,2024-01-08T00:35:33Z,1,,18.316666666666666,1,203,Merged
"add TermOx (terminal UI library), sort CLI category",2024-02-17T08:38:53Z,2024-02-17T22:54:01Z,2024-02-17T22:54:01Z,1,,14.252222222222223,1,0,Merged
Fixed typo errors,2024-09-29T08:05:51Z,2024-09-29T22:57:39Z,2024-09-29T22:57:39Z,1,,14.863333333333333,1,122,Merged
