title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
added security tools ,2017-12-04T16:02:49Z,2018-01-23T16:26:57Z,2018-01-23T16:26:57Z,1,,1200.4022222222222,1,0,Merged
added upterm under command line tools,2018-02-07T23:33:32Z,2018-02-09T01:50:00Z,2018-02-09T01:50:00Z,1,,26.274444444444445,1,161,Merged
"Large restructuring, removal of apps with security vulnerabilities, addition of key mac apps, alphabetization",2018-03-31T06:05:13Z,2018-03-31T09:10:55Z,2018-03-31T09:10:55Z,9,,3.095,1,0,Merged
Removed duplicate rishiqing entry,2018-04-02T16:13:51Z,2018-04-02T22:48:56Z,2018-04-02T22:48:56Z,2,APPROVED,6.584722222222222,1,797,Merged
Added DevDocs to Developer Utilities,2018-04-03T15:37:26Z,,2018-04-04T01:07:15Z,1,,9.496944444444445,2,0,Closed
Add Shifty,2018-04-15T12:42:15Z,2018-04-16T16:19:42Z,2018-04-16T16:19:42Z,3,APPROVED,27.624166666666667,1,622,Merged
Remove duplicate OpenEmu entry,2018-04-15T13:47:16Z,2018-04-15T15:18:22Z,2018-04-15T15:18:22Z,1,APPROVED,1.5183333333333333,1,574,Merged
Remove Gaming section and OpenEmu,2018-04-19T00:11:59Z,,2018-04-19T02:41:02Z,1,,2.484166666666667,1,791,Closed
LuaStudio (Mac OS version) development tool,2018-05-11T15:09:04Z,,2018-05-19T15:59:11Z,1,CHANGES_REQUESTED,192.83527777777778,1,1520,Closed
Add Carol,2018-06-12T16:56:59Z,2018-06-13T01:28:26Z,2018-06-13T01:28:26Z,2,APPROVED,8.524166666666666,1,1528,Merged
Add httpie,2018-06-14T15:13:25Z,2018-06-14T16:29:21Z,2018-06-14T16:29:21Z,1,APPROVED,1.2655555555555555,1,802,Merged
Add Ludwig,2018-06-14T17:46:35Z,,2018-06-14T20:42:15Z,1,CHANGES_REQUESTED,2.9277777777777776,1,945,Closed
Add SlowQuitApps,2018-06-21T22:55:48Z,2018-06-22T02:59:18Z,2018-06-22T02:59:18Z,1,APPROVED,4.058333333333334,1,1294,Merged
"Add Dockstation, Portainer, and Chinese version Docker",2018-06-23T18:56:07Z,2018-06-24T23:57:00Z,2018-06-24T23:57:00Z,3,APPROVED,29.014722222222222,2,1507,Merged
Add Dashline,2018-06-24T13:47:56Z,2018-06-28T00:14:12Z,2018-06-28T00:14:12Z,3,APPROVED,82.43777777777778,2,839,Merged
Add Authy,2018-06-24T14:04:50Z,2018-06-24T23:49:52Z,2018-06-24T23:49:52Z,1,APPROVED,9.750555555555556,1,993,Merged
Resolve #392,2018-06-24T15:53:35Z,2018-06-24T23:44:52Z,2018-06-24T23:44:52Z,3,APPROVED,7.854722222222223,2,1116,Merged
Add Podcasts section,2018-06-30T02:07:02Z,2018-06-30T03:28:16Z,2018-06-30T03:28:16Z,1,APPROVED,1.353888888888889,1,1523,Merged
Add FruitJuice,2018-07-13T20:16:12Z,2018-07-15T22:32:40Z,2018-07-15T22:32:40Z,1,APPROVED,50.27444444444444,1,981,Merged
Reorganize IDEs,2018-07-16T16:00:05Z,2018-07-20T02:54:22Z,2018-07-20T02:54:22Z,12,CHANGES_REQUESTED,82.90472222222222,1,2434,Merged
Add Haskell for Mac,2018-07-23T16:40:33Z,2018-07-23T22:03:04Z,2018-07-23T22:03:05Z,1,APPROVED,5.375277777777778,1,1103,Merged
Added Mac Cache cleaner,2018-07-26T14:52:09Z,2018-07-27T01:14:24Z,2018-07-27T01:14:25Z,1,APPROVED,10.370833333333334,1,349,Merged
Add joplin,2018-07-28T13:21:13Z,2018-07-28T19:44:00Z,2018-07-28T19:44:00Z,1,APPROVED,6.379722222222222,1,475,Merged
Added Dozer,2018-10-04T14:03:35Z,2018-10-05T04:52:49Z,2018-10-05T04:52:49Z,1,APPROVED,14.820555555555556,1,1267,Merged
"Add `bat` and `ag` to the ""command line tools section",2018-10-09T00:02:52Z,2018-10-09T01:27:41Z,2018-10-09T01:27:41Z,1,APPROVED,1.4136111111111112,1,1436,Merged
Adds Trello.,2018-10-09T19:33:51Z,2019-01-12T03:48:25Z,2019-01-12T03:48:25Z,1,APPROVED,2264.242777777778,1,1628,Merged
Adds Cacher - Code snippet manager,2018-10-10T10:35:55Z,2018-10-19T17:04:10Z,2018-10-19T17:04:10Z,3,CHANGES_REQUESTED,222.47083333333333,1,2066,Merged
Add trash to command line tools,2018-10-11T21:40:28Z,2018-10-12T08:44:10Z,2018-10-12T08:44:10Z,2,APPROVED,11.061666666666667,1,1327,Merged
Add Bartender,2018-10-13T01:17:49Z,2018-10-13T18:18:17Z,2018-10-13T18:18:17Z,1,CHANGES_REQUESTED,17.00777777777778,1,1327,Merged
Add LuLu,2018-10-18T06:38:21Z,2018-10-18T07:52:14Z,2018-10-18T07:52:14Z,2,APPROVED,1.2313888888888889,1,1439,Merged
Add Nozbe to To-Do List,2018-10-19T13:08:26Z,2018-10-19T17:00:00Z,2018-10-19T17:00:00Z,1,APPROVED,3.8594444444444442,1,1331,Merged
Added Git Cola (Powerful and Lightweight Git GUI),2018-10-20T18:11:58Z,2019-01-12T03:54:14Z,2019-01-12T03:54:14Z,2,,2001.7044444444443,1,0,Merged
Added Rider to Developer Tools (IDEs),2018-10-26T21:29:09Z,2018-11-16T03:19:30Z,2018-11-16T03:19:30Z,1,APPROVED,485.83916666666664,1,1353,Merged
Add nushell,2019-08-28T06:24:53Z,2019-08-29T14:46:04Z,2019-08-29T14:46:04Z,1,CHANGES_REQUESTED,32.35305555555556,1,1457,Merged
Add HazeOver and neo4j,2019-09-02T02:19:59Z,2019-09-02T04:45:31Z,2019-09-02T04:45:31Z,1,APPROVED,2.4255555555555555,1,943,Merged
Add Hungrymark,2019-10-22T15:33:30Z,2019-10-27T13:36:37Z,2019-10-27T13:36:37Z,1,,118.05194444444444,2,1295,Merged
Added Strategr - time management app,2019-11-20T02:10:09Z,2019-11-20T11:52:52Z,2019-11-20T11:52:52Z,2,,9.711944444444445,1,1392,Merged
Fixed typo light and dark mode,2019-11-30T02:59:54Z,2019-11-30T04:14:23Z,2019-11-30T04:14:23Z,1,APPROVED,1.2413888888888889,1,1014,Merged
"Remove Edge Canary and Replace with Edge, Fix dead links, Remove Yummy FTP",2020-01-16T21:53:23Z,2020-01-17T02:40:20Z,2020-01-17T02:40:20Z,10,CHANGES_REQUESTED,4.7825,1,1297,Merged
Add Bob A really good translate software for mac,2020-01-25T10:35:48Z,,2020-02-11T03:00:28Z,2,,400.4111111111111,2,1408,Closed
Add Dato to Menu Bar Tools section,2020-02-12T09:36:13Z,2020-02-13T01:34:39Z,2020-02-13T01:34:39Z,1,APPROVED,15.973888888888888,1,1358,Merged
added clean my Mac under system tools,2020-04-06T12:52:26Z,,2022-07-29T16:51:00Z,2,,20259.97611111111,1,1327,Closed
Update README.md,2020-07-13T14:10:24Z,,2024-09-28T22:01:12Z,2,,36919.846666666665,1,1390,Closed
Add Fluent Reader for RSS section.,2020-07-31T16:46:10Z,,2021-06-03T14:03:36Z,3,,7365.290555555555,1,1133,Closed
Add maccy,2020-08-11T14:22:39Z,2020-08-12T01:26:24Z,2020-08-12T01:26:24Z,2,,11.0625,1,851,Merged
:bento:,2020-10-07T02:13:49Z,2020-10-08T01:07:16Z,2020-10-08T01:07:16Z,5,,22.890833333333333,2,35,Merged
Fixing broken link for MySQL Chrome,2020-11-25T10:38:40Z,2020-11-25T18:34:45Z,2020-11-25T18:34:45Z,1,APPROVED,7.934722222222222,1,1223,Merged
Added Latest,2020-12-01T11:52:44Z,2024-05-07T02:40:19Z,2024-05-07T02:40:19Z,1,,30062.793055555554,1,1587,Merged
"Add Apple Silicon App Test, for #873",2021-02-20T21:51:33Z,2021-02-21T15:32:57Z,2021-02-21T15:32:57Z,1,APPROVED,17.69,1,1185,Merged
✨ add linked,2021-04-01T05:48:53Z,2021-04-01T16:37:17Z,2021-04-01T16:37:17Z,1,APPROVED,10.806666666666667,1,648,Merged
Update website link to tomato 2,2021-04-05T01:17:24Z,2021-04-05T03:58:46Z,2021-04-05T03:58:46Z,1,APPROVED,2.6894444444444443,1,1193,Merged
Remove OpenOffice,2021-04-07T11:34:50Z,2021-04-07T16:29:19Z,2021-04-07T16:29:19Z,1,APPROVED,4.908055555555555,2,1357,Merged
Add Omniplayer for mac video player tool.,2021-04-09T07:48:32Z,2021-04-10T03:06:37Z,2021-04-10T03:06:37Z,1,APPROVED,19.301388888888887,1,1327,Merged
Added SideNotes app,2021-04-14T08:50:02Z,2021-04-14T16:51:18Z,2021-04-14T16:51:18Z,1,APPROVED,8.02111111111111,1,841,Merged
Add Seamless app,2021-06-15T02:54:37Z,,2022-10-20T17:42:32Z,1,,11822.798611111111,2,1165,Closed
Add 360 Compression,2021-08-03T09:07:33Z,2021-08-04T04:05:14Z,2021-08-04T04:05:14Z,2,,18.961388888888887,1,1327,Merged
Add Snagit,2021-10-12T19:17:01Z,2023-01-17T10:33:19Z,2023-01-17T10:33:19Z,2,,11079.271666666667,1,1330,Merged
"Lots of 'compatible with', but Keepass itself is not in this list",2021-11-22T19:58:06Z,2021-11-22T21:21:29Z,2021-11-22T21:21:29Z,1,APPROVED,1.3897222222222223,1,1313,Merged
Add rcmd app switcher,2021-11-23T10:31:07Z,2021-11-24T15:44:33Z,2021-11-24T15:44:33Z,3,,29.22388888888889,2,1137,Merged
Add official Kobo Reading App under Ebooks,2021-12-13T17:23:57Z,,2023-12-21T17:30:21Z,1,,17712.106666666667,1,425,Closed
Add Work Hours app,2021-12-27T14:54:42Z,2021-12-28T02:27:38Z,2021-12-28T02:27:38Z,1,APPROVED,11.54888888888889,1,1139,Merged
Add Assignee,2022-03-18T10:10:18Z,2024-04-02T03:48:39Z,2024-04-02T03:48:39Z,1,,17897.639166666668,1,1336,Merged
Ninjasmurf move bear to note taking section,2022-05-07T06:40:01Z,,2022-05-08T15:32:59Z,1,,32.882777777777775,1,1561,Closed
"add DeepL, Lingvanex and Terminus",2022-06-27T07:11:52Z,2022-06-27T10:30:25Z,2022-06-27T10:30:25Z,2,,3.3091666666666666,1,40,Merged
Clean up and update clipboard manager category,2022-06-28T01:38:30Z,2022-07-06T02:43:56Z,2022-07-06T02:43:56Z,1,APPROVED,193.09055555555557,1,480,Merged
Add FreeTube,2022-07-18T17:31:59Z,2022-07-19T03:39:40Z,2022-07-19T03:39:40Z,3,,10.128055555555555,1,1027,Merged
