title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Update README.md,2016-11-11T12:50:24Z,2016-11-13T17:45:32Z,2016-11-13T17:45:32Z,1,REVIEW_REQUIRED,52.91888888888889,1,35,Merged
Update README.md,2017-05-08T04:36:51Z,2017-05-17T16:46:54Z,2017-05-17T16:46:54Z,1,APPROVED,228.1675,1,45,Merged
Propose changes for brain.js new location,2017-08-31T18:43:42Z,2017-09-02T14:32:06Z,2017-09-02T14:32:06Z,1,REVIEW_REQUIRED,43.806666666666665,1,0,Merged
Update README.md,2018-09-24T21:30:03Z,,2018-10-04T09:27:20Z,1,REVIEW_REQUIRED,227.95472222222222,1,0,Closed
Update README.md,2019-04-18T19:47:21Z,2019-05-10T19:26:16Z,2019-05-10T19:26:16Z,1,REVIEW_REQUIRED,527.6486111111111,1,132,Merged
sort items lexicographically,2019-09-30T12:05:13Z,,2020-01-27T14:58:13Z,1,REVIEW_REQUIRED,2858.883333333333,2,49,Closed
Delete ml-curriculum.md,2020-06-22T11:04:51Z,,2020-08-18T14:19:05Z,1,REVIEW_REQUIRED,1371.2372222222223,1,0,Closed
Add Intel(R) Extension for Scikit-learn and update name DAAL,2021-06-30T19:01:51Z,2021-07-06T13:57:06Z,2021-07-06T13:57:06Z,1,REVIEW_REQUIRED,138.92083333333332,1,98,Merged
deepface + retinaface + chefboost,2022-01-31T13:53:30Z,2022-03-18T13:40:15Z,2022-03-18T13:40:15Z,1,REVIEW_REQUIRED,1103.7791666666667,1,68,Merged
Update README.md,2022-10-10T17:13:26Z,,2022-11-06T06:25:48Z,1,REVIEW_REQUIRED,637.2061111111111,1,89,Closed
Added the SKBEL package,2022-10-17T08:54:30Z,2022-11-06T15:56:42Z,2022-11-06T15:56:42Z,1,REVIEW_REQUIRED,487.0366666666667,1,131,Merged
Added `DockerDL` a set of ready to use deep-learning docker images,2022-10-22T05:33:42Z,2022-11-06T15:56:59Z,2022-11-06T15:56:59Z,1,REVIEW_REQUIRED,370.3880555555556,1,0,Merged
Add Frouros to README.md,2023-03-18T15:49:06Z,2023-04-12T00:39:15Z,2023-04-12T00:39:15Z,1,REVIEW_REQUIRED,584.8358333333333,1,64,Merged
Updated a broken Link,2023-04-17T07:24:24Z,2023-05-07T21:59:45Z,2023-05-07T21:59:45Z,3,REVIEW_REQUIRED,494.58916666666664,1,155,Merged
Updated ISL books in books.md,2023-07-25T05:31:57Z,2023-08-14T21:29:34Z,2023-08-14T21:29:34Z,1,REVIEW_REQUIRED,495.9602777777778,1,374,Merged
Added C++ backpropagation tool,2023-09-17T18:48:09Z,2023-10-30T15:30:34Z,2023-10-30T15:30:34Z,1,REVIEW_REQUIRED,1028.7069444444444,1,0,Merged
remove duplicated project Neuron,2024-02-14T13:18:46Z,2024-02-26T15:22:25Z,2024-02-26T15:22:25Z,1,REVIEW_REQUIRED,290.06083333333333,1,40,Merged
Added one useful resource,2024-06-11T04:41:44Z,2024-08-07T17:15:58Z,2024-08-07T17:15:58Z,1,REVIEW_REQUIRED,1380.5705555555555,1,199,Merged
