title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Add Jest,2016-10-07T19:30:56Z,2016-10-18T18:15:59Z,2016-10-18T18:15:59Z,2,,262.75083333333333,1,144,Merged
Add unhomoglyph,2016-12-09T09:39:33Z,2016-12-17T00:44:20Z,2016-12-17T00:44:20Z,1,,183.07972222222222,1,284,Merged
Add FuseBox,2017-03-06T07:44:59Z,2017-03-15T10:25:15Z,2017-03-15T10:25:15Z,1,,218.67111111111112,1,218,Merged
Add Docsify docs generator,2017-03-09T08:33:50Z,,2017-04-30T10:46:57Z,1,,1250.2186111111112,1,0,Closed
Add docsify,2017-03-27T12:50:06Z,2017-04-30T15:05:56Z,2017-04-30T15:05:56Z,1,,818.2638888888889,1,11,Merged
Add Serialization section,2017-05-24T16:37:14Z,2018-05-03T17:01:52Z,2018-05-03T17:01:53Z,3,,8256.410555555556,1,453,Merged
Add email-templates,2017-08-23T21:51:56Z,2017-09-22T20:52:01Z,2017-09-22T20:52:01Z,1,,719.0013888888889,1,330,Merged
Add CASL,2017-11-20T12:30:54Z,2018-05-03T19:29:30Z,2018-05-03T19:29:30Z,1,,3942.9766666666665,1,527,Merged
Add fast-xml-parser,2018-02-24T02:56:32Z,2018-05-03T18:57:42Z,2018-05-03T18:57:42Z,2,,1648.0194444444444,1,197,Merged
Add Tipe,2018-06-30T00:20:07Z,2018-10-15T18:38:19Z,2018-10-15T18:38:19Z,1,,2586.3033333333333,1,108,Merged
A new documentation apidoc,2018-07-17T12:47:29Z,,2019-04-29T04:26:20Z,1,,6855.6475,1,330,Closed
Add Terminalizer,2018-07-28T08:12:10Z,,2019-06-29T14:57:14Z,1,,8070.751111111111,1,330,Closed
Add wetland to the list of awesome.,2018-09-09T08:24:53Z,,2019-03-15T09:18:25Z,1,,4488.892222222222,1,86,Closed
Add cherow,2018-12-31T13:53:58Z,2019-04-28T16:03:52Z,2019-04-28T16:03:52Z,1,,2834.165,1,330,Merged
Add Video: CI/CD Pipeline with Node.js and GitHub Actions,2019-02-05T19:28:08Z,,2019-05-29T19:27:58Z,1,,2711.9972222222223,1,728,Closed
Add slonik,2019-02-26T23:07:34Z,2019-04-29T03:29:36Z,2019-04-29T03:29:36Z,1,,1468.3672222222222,1,37,Merged
Add sqs-consumer,2019-03-22T08:33:28Z,,2019-05-10T12:28:04Z,1,,1179.91,1,328,Closed
Add nlp.js ,2019-04-02T13:56:32Z,2019-04-29T05:35:42Z,2019-04-29T05:35:42Z,1,,639.6527777777778,1,614,Merged
chore: add npm semver calculator,2019-04-13T13:30:22Z,,2019-04-17T18:53:01Z,4,,101.3775,1,156,Closed
Added packages for Documentation and Logging,2019-04-13T17:48:00Z,,2019-04-17T18:01:13Z,1,,96.22027777777778,1,330,Closed
Add esm,2019-04-14T08:31:43Z,,2019-05-29T19:25:42Z,2,,1090.8997222222222,1,176,Closed
Update readme.md,2019-04-15T08:50:04Z,,2019-04-17T17:49:32Z,1,,56.99111111111111,1,773,Closed
Add `npm semver calculator`,2019-04-17T18:54:52Z,2019-04-19T12:30:01Z,2019-04-19T12:30:01Z,1,,41.58583333333333,1,70,Merged
Added 'segal-decorators',2019-05-31T10:57:14Z,,2019-06-29T15:15:49Z,2,,700.3097222222223,1,632,Closed
Add endb,2019-08-07T15:58:51Z,,2019-09-24T16:19:04Z,2,,1152.3369444444445,1,2243,Closed
Add swagger-stats,2019-08-18T18:12:09Z,2019-09-26T09:31:05Z,2019-09-26T09:31:05Z,2,,927.3155555555555,1,628,Merged
Add NiM,2020-01-07T03:05:49Z,2020-02-22T19:42:26Z,2020-02-22T19:42:26Z,2,,1120.6102777777778,1,794,Merged
Add pipcook,2020-02-19T08:35:02Z,2020-07-07T19:27:12Z,2020-07-07T19:27:12Z,1,,3346.8694444444445,1,575,Merged
Add Factor,2020-02-23T08:22:53Z,2020-07-19T20:49:22Z,2020-07-19T20:49:22Z,1,,3540.441388888889,1,0,Merged
Add Docusaurus,2020-04-12T15:39:32Z,2020-04-13T07:27:15Z,2020-04-13T07:27:15Z,5,,15.795277777777779,1,398,Merged
Add Optic,2020-07-08T23:44:56Z,,2021-03-07T09:55:13Z,1,,5794.171388888889,1,1293,Closed
Add mineflayer to Mad science category,2020-07-15T23:36:31Z,,2020-11-05T13:11:46Z,1,,2701.5875,1,554,Closed
Add Tinyhttp,2020-07-19T00:03:34Z,2020-10-01T00:36:20Z,2020-10-01T00:36:20Z,2,,1776.546111111111,1,1696,Merged
Add GuideChimp,2020-07-27T09:31:06Z,,2020-09-26T23:50:05Z,1,,1478.316388888889,1,411,Closed
Update description for Grant package,2020-09-05T09:17:28Z,2020-09-05T13:01:31Z,2020-09-05T13:01:31Z,1,,3.734166666666667,1,564,Merged
add yup to data validation,2020-09-10T20:15:10Z,,2020-11-05T13:10:57Z,1,,1336.9297222222222,12,47,Closed
Add pure-http,2021-03-26T06:40:09Z,,2023-06-20T10:35:36Z,1,,19587.924166666668,1,1448,Closed
Add v8-perf link,2021-04-30T01:19:24Z,2021-05-17T06:31:56Z,2021-05-17T06:31:56Z,1,,413.2088888888889,1,382,Merged
Add blitz.js in Framework.,2021-05-15T12:37:24Z,,2022-01-23T09:13:35Z,2,,6068.603055555555,1,330,Closed
Add Lad,2021-09-30T19:19:40Z,2021-10-01T17:21:23Z,2021-10-01T17:21:23Z,2,,22.02861111111111,1,330,Merged
Add undici,2021-10-01T11:38:45Z,2021-10-02T05:29:54Z,2021-10-02T05:29:54Z,2,,17.8525,1,451,Merged
docs(readme): add hyper-express,2021-10-04T10:26:49Z,,2022-01-23T09:12:56Z,1,,2662.768611111111,1,330,Closed
add proxyquire,2021-10-20T05:38:49Z,,2022-01-23T08:59:04Z,1,,2283.3375,1,0,Closed
add testdouble,2021-10-21T08:47:23Z,,2022-01-23T08:58:45Z,6,,2256.1894444444442,1,13,Closed
Validate that links are up (once a week),2022-03-12T16:52:04Z,2022-03-19T16:58:35Z,2022-03-19T16:58:36Z,3,,168.10861111111112,1,836,Merged
Add vite,2022-05-20T14:52:52Z,2023-06-20T10:40:10Z,2023-06-20T10:40:10Z,1,,9499.788333333334,1,330,Merged
Add n2words,2023-01-04T18:44:21Z,,2023-06-20T10:44:12Z,1,,3999.9975,1,510,Closed
Add Hono web framework,2024-03-29T17:04:41Z,2024-03-31T05:49:31Z,2024-03-31T05:49:31Z,2,,36.74722222222222,1,327,Merged
feat: added bree to job queues,2024-04-30T18:27:55Z,2024-06-21T07:48:19Z,2024-06-21T07:48:19Z,1,,1237.34,1,466,Merged
