title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Add petl,2016-01-07T18:34:14Z,,2019-11-06T17:36:53Z,1,,33575.04416666667,1,106,Closed
Add pbr,2016-07-01T15:45:29Z,,2019-11-06T16:37:01Z,1,,29352.858888888888,1,779,Closed
added PyPattyrn to design patterns section.,2016-09-16T11:33:44Z,2016-11-18T06:36:50Z,2016-11-18T06:36:50Z,3,APPROVED,1507.0516666666667,1,1184,Merged
Update README.md,2016-10-21T09:04:20Z,2016-11-08T09:30:58Z,2016-11-08T09:30:58Z,1,CHANGES_REQUESTED,432.44388888888886,1,302,Merged
Added a couple more useful links,2016-10-26T19:48:42Z,,2019-11-06T14:36:33Z,1,,26538.7975,1,302,Closed
added Windows10ToastNotifications,2016-10-27T10:29:15Z,,2019-11-06T15:36:59Z,1,,26525.12888888889,1,422,Closed
"Update sort.py to make the list ""alphabetically sorted""",2016-11-11T13:50:00Z,2016-11-12T14:05:31Z,2016-11-12T14:05:31Z,1,,24.25861111111111,1,146,Merged
Add django-th (trigger happy),2016-11-18T16:24:41Z,,2019-05-02T16:46:41Z,3,,21480.366666666665,1,729,Closed
Added Web2py to Web Frameworks,2016-12-05T21:23:08Z,2017-02-02T07:47:23Z,2017-02-02T07:47:23Z,1,,1402.4041666666667,1,479,Merged
added blender,2016-12-14T00:32:44Z,,2017-01-11T18:34:43Z,1,,690.0330555555555,1,794,Closed
Add surprise,2017-01-30T10:15:35Z,2017-01-31T09:02:17Z,2017-01-31T09:02:17Z,2,,22.778333333333332,1,4752,Merged
Adding Pytorch: deep learning framework that puts Python first.,2017-01-30T17:42:28Z,2017-01-31T17:56:52Z,2017-01-31T17:56:52Z,3,APPROVED,24.24,1,730,Merged
Add weboob to Web Crawling section,2017-02-21T14:08:01Z,,2019-11-29T11:24:51Z,3,,24261.280555555557,1,881,Closed
Add python fire,2017-03-12T18:06:27Z,2017-03-15T03:03:24Z,2017-03-15T03:03:24Z,1,APPROVED,56.94916666666666,1,874,Merged
Fix python-mode url,2017-03-12T18:23:43Z,,2018-04-26T15:01:25Z,1,,9836.628333333334,1,46,Closed
Fixed broken link to Pysonar2,2017-05-24T16:56:27Z,,2019-11-06T13:36:48Z,3,CHANGES_REQUESTED,21500.6725,1,94,Closed
Add Slash to the list of testing frameworks,2017-06-27T09:03:24Z,,2019-11-29T13:24:51Z,1,,21244.3575,1,1613,Closed
Added pypika to ORM Relational Databases,2017-08-15T12:29:07Z,,2019-11-29T18:24:48Z,5,,20069.928055555556,1,871,Closed
Add Selinon - a task flow orchestrator on top of Celery project,2017-09-30T19:57:16Z,,2019-11-06T12:36:45Z,1,,18400.658055555556,1,1630,Closed
Add Dependency Injector,2017-11-03T18:46:29Z,,2019-11-29T14:24:50Z,4,,18139.639166666668,1,1053,Closed
Remove links to Python design patterns repository,2017-12-29T11:30:19Z,,2019-11-06T11:36:38Z,1,,16248.105277777779,1,3234,Closed
Add trafaret library,2018-02-14T10:48:28Z,,2019-11-06T11:36:51Z,1,,15120.806388888888,1,843,Closed
Add link to awesome-jupyter in Interactive Interpreter section,2018-04-05T14:36:31Z,2018-04-05T17:49:57Z,2018-04-05T17:49:57Z,3,APPROVED,3.223888888888889,1,781,Merged
Added PuLP - A Linear Programming Optimization Modeler,2018-04-10T12:45:14Z,,2019-11-06T17:36:41Z,1,,13804.8575,1,314,Closed
add pyvips,2018-08-04T11:48:38Z,,2019-11-07T10:59:53Z,1,,11039.1875,1,597,Closed
Add pyecharts,2018-08-15T18:42:24Z,,2019-11-07T10:59:54Z,1,,10768.291666666666,1,1525,Closed
Python Vim Plugins,2018-08-15T18:58:13Z,,2019-11-06T10:36:45Z,1,,10743.642222222223,1,418,Closed
Add CxFreeze to the build section,2018-08-17T14:54:58Z,,2019-11-06T10:36:48Z,1,,10699.697222222223,1,422,Closed
Add Snips NLU library in Natural Language Processing section,2018-08-17T16:44:42Z,,2019-11-06T10:36:47Z,1,,10697.868055555555,1,2068,Closed
Add PyXLL,2018-08-18T11:44:48Z,,2019-11-29T11:24:53Z,1,,11231.668055555556,1,886,Closed
added spur,2018-08-21T21:40:02Z,,2019-11-06T10:36:46Z,1,,10596.945555555556,1,436,Closed
added spurplus,2018-08-21T21:48:18Z,,2019-11-06T10:36:49Z,1,,10596.808611111112,1,803,Closed
add safrs,2018-08-24T12:30:07Z,,2019-11-06T10:36:51Z,1,,10534.112222222222,1,692,Closed
Added scientific library cctbx,2018-08-25T21:17:36Z,,2019-11-06T10:36:50Z,1,,10501.320555555556,1,137,Closed
Update README.md,2018-10-02T07:06:29Z,,2019-05-25T09:40:10Z,1,,5642.561388888889,1,314,Closed
"fixing links for talkbox, shuup, pysdl2, joblib, and openpyxl",2018-10-23T00:30:57Z,,2019-11-06T09:36:56Z,1,,9105.099722222221,1,61,Closed
Add Loguru (logging),2018-12-13T08:29:31Z,,2019-11-07T10:59:51Z,1,,7898.5055555555555,1,745,Closed
Added link to Python-for-Scientists,2019-01-21T15:31:28Z,,2019-05-25T09:38:06Z,1,,2970.1105555555555,1,293,Closed
Add StanfordNLP,2019-02-02T20:23:36Z,2019-02-03T06:59:58Z,2019-02-03T06:59:58Z,1,,10.606111111111112,1,351,Merged
"Add 'tartiflette', 'tartiflette-aiohttp' and 'tartiflette-asgi' for Python 3.6.",2019-03-08T18:13:03Z,2019-12-15T15:59:35Z,2019-12-15T15:59:35Z,1,,6765.775555555556,1,654,Merged
Added Cloudsmith (Python Repository),2019-04-27T08:52:16Z,,2023-05-24T17:14:55Z,4,,35720.3775,1,1108,Closed
Add Frappe Framework,2019-06-13T17:55:39Z,,2021-10-05T08:13:27Z,3,,20270.296666666665,1,2133,Closed
Add python-codicefiscale,2019-07-08T09:49:04Z,,2019-07-25T12:33:01Z,2,,410.7325,1,961,Closed
Replace ggpy with plotnine,2019-08-07T10:12:01Z,2019-08-07T15:37:51Z,2019-08-07T15:37:51Z,4,,5.430555555555555,1,106,Merged
Hotfix/grammar fix,2019-08-29T13:38:12Z,2019-09-03T06:10:53Z,2019-09-03T06:10:53Z,2,,112.54472222222222,1,292,Merged
Add PySnooper for debugging,2019-08-30T06:25:51Z,,2019-11-07T10:59:55Z,1,,1660.5677777777778,1,703,Closed
Add alive-progress,2019-09-04T06:24:06Z,,2019-11-07T10:59:29Z,1,,1540.5897222222222,1,560,Closed
Update PyWin32 link,2019-10-01T07:56:37Z,2019-11-08T01:39:27Z,2019-11-08T01:39:27Z,1,,905.7138888888888,1,205,Merged
Add httpx,2019-10-07T12:16:30Z,,2019-11-07T10:59:27Z,2,,742.7158333333333,1,359,Closed
README.md Updated,2019-10-19T04:56:16Z,,2019-10-24T18:34:21Z,2,,133.63472222222222,1,387,Closed
Add Chainer,2019-10-20T14:34:05Z,,2019-11-20T10:03:40Z,1,,739.4930555555555,1,361,Closed
Adding aiosonic HTTP client,2019-10-26T20:17:10Z,,2019-11-26T08:24:52Z,2,,732.1283333333333,1,396,Closed
Add weboob to Web Crawling section,2019-11-29T12:46:32Z,,2023-08-07T12:43:47Z,1,,32327.954166666666,1,881,Closed
updated readme to include pylightxl,2019-12-26T07:00:16Z,,2022-05-17T02:35:52Z,1,,20947.593333333334,1,1246,Closed
Add python-viper,2020-01-21T16:43:14Z,,2022-03-29T16:03:15Z,2,,19151.33361111111,1,521,Closed
added pythonprogramming.net for awesome tutorials,2020-01-28T13:17:36Z,,2022-01-25T11:19:03Z,1,,17470.024166666666,1,527,Closed
Added tesserocr,2020-02-07T01:40:06Z,2020-04-08T12:18:33Z,2020-04-08T12:18:33Z,1,,1474.6408333333334,1,761,Merged
PyPy moved to https://foss.heptapod.net/pypy/pypy,2020-02-18T13:11:18Z,2020-04-07T12:59:28Z,2020-04-07T12:59:28Z,1,,1175.8027777777777,1,65,Merged
Add awesome-python-environment,2020-05-06T08:54:17Z,,2020-10-22T12:51:38Z,1,,4059.9558333333334,1,348,Closed
Add pydebug,2020-05-16T16:30:35Z,,2022-02-20T15:31:53Z,1,,15479.021666666667,1,633,Closed
Add lkpy,2020-05-22T13:00:28Z,,2022-07-10T03:53:12Z,1,,18686.87888888889,1,27,Closed
Add alive-progress,2020-06-06T00:35:52Z,2020-06-06T19:51:48Z,2020-06-06T19:51:48Z,1,,19.265555555555554,1,2441,Merged
Add Schemathesis,2020-06-11T14:51:35Z,2020-06-25T18:00:55Z,2020-06-25T18:00:56Z,1,,339.15555555555557,1,1687,Merged
Add Flask-restx,2020-06-12T20:57:58Z,,2022-08-23T15:10:30Z,1,,19242.20888888889,1,547,Closed
add cacheout,2020-07-06T08:41:31Z,,2023-01-15T17:25:00Z,1,,22160.72472222222,1,26,Closed
add ucache,2020-07-06T08:46:53Z,,2023-01-15T17:25:00Z,1,,22160.63527777778,1,65,Closed
Added DearPyGui,2020-08-10T20:30:54Z,2020-08-20T07:19:25Z,2020-08-20T07:19:25Z,2,,226.8086111111111,1,387,Merged
Add Prefect,2020-08-11T01:04:35Z,2020-09-22T08:08:53Z,2020-09-22T08:08:54Z,21,,1015.0716666666667,1,694,Merged
Add Couler to the list,2020-09-04T14:20:25Z,,2021-07-20T18:45:18Z,2,,7660.414722222222,1,464,Closed
Add ipychart,2020-09-15T08:31:52Z,,2024-08-27T07:56:50Z,1,,34607.41611111111,1,264,Closed
Add graphene,2020-09-23T21:04:25Z,2020-09-24T08:20:18Z,2020-09-24T08:20:18Z,1,,11.264722222222222,1,149,Merged
"Add xonsh shell is a Python-powered, Unix-gazing shell language and command prompt",2020-09-24T11:35:18Z,2020-10-27T17:33:21Z,2020-10-27T17:33:21Z,1,,797.9675,1,3115,Merged
Add Pandas_Alive,2020-09-28T12:52:52Z,,2022-05-25T00:47:43Z,1,,14483.914166666667,1,1202,Closed
Update README.md,2020-10-01T11:23:16Z,,2020-10-05T11:08:03Z,1,,95.74638888888889,1,245,Closed
Update README.md to include https://learnxinyminutes.com/docs/python/,2020-10-01T23:01:45Z,,2022-10-19T00:25:42Z,1,,17929.399166666666,1,492,Closed
Add  ProxyRequests,2020-10-03T03:28:42Z,,2020-10-28T03:38:48Z,1,,600.1683333333333,1,424,Closed
Fixing celery link,2020-10-16T08:12:00Z,2020-10-17T13:51:40Z,2020-10-17T13:51:40Z,1,,29.66111111111111,1,72,Merged
Typo,2020-11-03T07:50:39Z,2020-11-04T17:07:48Z,2020-11-04T17:07:48Z,1,,33.285833333333336,1,36,Merged
"Add resource(book): ""Think Python: How to think like a computer scientist""",2020-11-03T11:00:50Z,,2020-11-18T06:46:33Z,1,,355.76194444444445,1,898,Closed
Add flask-state,2020-11-11T10:44:07Z,,2022-05-23T08:01:17Z,2,,13389.28611111111,1,637,Closed
Add Automate the Boring Stuff with Python,2020-11-22T20:17:45Z,,2021-01-16T15:48:40Z,1,,1315.5152777777778,1,381,Closed
🗑 Remove profiling,2021-01-08T10:27:43Z,2021-01-22T10:22:54Z,2021-01-22T10:22:54Z,1,,335.9197222222222,1,329,Merged
🗑 Remove pygeoip,2021-01-08T10:42:36Z,2021-01-22T10:23:17Z,2021-01-22T10:23:17Z,1,,335.67805555555555,1,338,Merged
add pydantic,2021-01-22T15:59:35Z,,2024-05-04T15:11:26Z,8,,28751.1975,1,363,Closed
Fix dramatiq spelling,2021-02-03T23:19:36Z,2021-02-04T06:00:05Z,2021-02-04T06:00:05Z,1,,6.674722222222222,1,51,Merged
adding things to README.md,2021-02-13T16:36:09Z,,2021-03-27T14:21:46Z,1,,1005.7602777777778,1,1569,Closed
Added pdbr,2021-03-06T16:47:50Z,,2023-04-12T21:06:55Z,3,,18412.318055555555,1,376,Closed
Add AWS Lambda Powertools 🙏🏼 ,2021-05-07T06:54:07Z,,2022-06-14T19:31:49Z,6,,9684.628333333334,1,3228,Closed
Update README.md,2021-07-25T06:57:26Z,2021-07-25T12:54:29Z,2021-07-25T12:54:29Z,2,,5.950833333333334,1,39,Merged
Update CONTRIBUTING.md,2021-07-25T07:03:59Z,2021-07-25T12:53:55Z,2021-07-25T12:53:55Z,1,,5.832222222222223,1,27,Merged
Changed the link for the Arcade framework,2021-10-18T18:51:40Z,,2024-03-20T20:22:29Z,1,,21217.51361111111,1,321,Closed
update url linked to github,2021-11-01T18:27:38Z,,2022-07-13T17:32:49Z,1,,6095.086388888889,1,356,Closed
instagetter robot,2022-04-05T16:32:47Z,,2022-04-06T11:42:20Z,1,,19.159166666666668,1,298,Closed
Add Streamlit,2022-04-10T20:01:54Z,,2022-07-29T04:33:42Z,3,,2624.53,1,406,Closed
Add wiki-link,2022-07-10T13:41:23Z,,2024-07-21T14:33:36Z,5,,17808.870277777776,1,428,Closed
"redirected pyqt to official docs, which is more useful for a beginner",2022-10-23T08:50:23Z,2022-10-24T17:34:27Z,2022-10-24T17:34:27Z,3,,32.73444444444444,1,79,Merged
Add Starlette ASGI Framework,2022-11-01T19:50:22Z,,2024-05-30T20:22:34Z,2,,13824.536666666667,1,876,Closed
Add hypercorn ASGI server,2022-11-11T00:21:23Z,,2024-05-26T22:13:49Z,2,,13509.87388888889,0,337,Closed
Remove abandoned project pyannotate,2023-01-03T18:11:35Z,2023-01-05T12:29:52Z,2023-01-05T12:29:52Z,1,,42.304722222222225,1,261,Merged
Update link for Pyston,2023-02-06T10:44:06Z,2023-07-01T08:33:40Z,2023-07-01T08:33:40Z,2,,3477.826111111111,1,144,Merged
Create python-app.yml,2023-02-08T11:36:58Z,,2023-02-08T17:18:00Z,1,,5.683888888888889,1,245,Closed
Update README.md,2023-02-13T06:16:22Z,2023-03-30T03:40:01Z,2023-03-30T03:40:02Z,2,,1077.3941666666667,1,1122,Merged
Add ruff code linter,2023-02-17T02:52:25Z,,2023-11-29T11:56:55Z,1,,6849.075,1,1194,Closed
