title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
adding more resources: faq and HOC,2016-08-25T19:10:04Z,2017-11-02T12:11:27Z,2017-11-02T12:11:27Z,3,CHANGES_REQUESTED,10409.023055555555,1,0,Merged
update jsfiddle with syntax highlighting,2016-10-22T16:20:16Z,,2017-03-05T22:44:12Z,1,,3222.398888888889,1,64,Closed
Add react-laser-beam,2016-10-31T02:48:38Z,,2016-11-01T02:10:04Z,1,,23.357222222222223,1,84,Closed
Add Ant Design,2017-03-05T06:17:27Z,2017-12-23T09:55:24Z,2017-12-23T09:55:24Z,1,APPROVED,7035.6325,1,39,Merged
Added https://github.com/dkozar/react-data-menu,2017-08-30T01:07:23Z,2017-11-02T12:14:35Z,2017-11-02T12:14:35Z,1,APPROVED,1547.12,1,88,Merged
Update README.md,2017-09-20T12:36:07Z,,2017-12-28T20:51:15Z,1,CHANGES_REQUESTED,2384.2522222222224,1,14,Closed
Duplication of the same resource,2017-11-14T07:03:54Z,2017-11-20T23:47:29Z,2017-11-20T23:47:29Z,3,,160.7263888888889,1,0,Merged
Add react-credit-card-input and react-creditcard,2017-11-15T02:18:34Z,2017-11-15T07:57:10Z,2017-11-15T07:57:10Z,1,APPROVED,5.6433333333333335,1,0,Merged
Adding email-autocomplete-input react component,2017-11-15T18:55:22Z,2017-11-16T08:50:12Z,2017-11-16T08:50:12Z,1,,13.91388888888889,1,0,Merged
⚡ Add Stackblitz,2017-11-21T08:47:58Z,2017-11-21T10:28:30Z,2017-11-21T10:28:30Z,1,,1.6755555555555555,1,0,Merged
Add RemoteRetro application link to Real Apps,2017-11-30T16:10:28Z,2017-12-06T17:56:30Z,2017-12-06T17:56:30Z,2,APPROVED,145.76722222222222,1,177,Merged
Added GraphQL bridge to REST API,2017-12-01T23:54:07Z,2018-01-17T08:42:56Z,2018-01-17T08:42:56Z,2,,1112.8136111111112,1,0,Merged
"Add ""react-tv"" in projects topic",2017-12-08T19:51:35Z,2017-12-09T10:16:00Z,2017-12-09T10:16:00Z,1,APPROVED,14.406944444444445,1,0,Merged
Fix typo,2017-12-19T02:38:56Z,2017-12-19T06:16:03Z,2017-12-19T06:16:03Z,1,APPROVED,3.618611111111111,1,0,Merged
Add Hydux(an Elm-Like state manager),2017-12-20T07:34:33Z,2017-12-20T09:17:57Z,2017-12-20T09:17:57Z,2,APPROVED,1.7233333333333334,1,7,Merged
A suggestion for a resource page addition,2017-12-26T14:14:55Z,2017-12-26T15:15:55Z,2017-12-26T15:15:55Z,1,APPROVED,1.0166666666666666,1,747,Merged
Add Prerendering section,2017-12-31T01:21:57Z,2018-01-02T04:54:18Z,2018-01-02T04:54:18Z,1,,51.53916666666667,1,0,Merged
Update README.md,2018-01-09T20:09:18Z,2018-01-09T22:13:13Z,2018-01-09T22:13:13Z,1,APPROVED,2.0652777777777778,1,75,Merged
"Add ""Building React components"" section",2018-01-10T00:14:42Z,2018-01-10T06:26:28Z,2018-01-10T06:26:28Z,1,APPROVED,6.196111111111111,1,196,Merged
Add react-ui-cards to components,2018-01-17T13:55:41Z,2018-01-19T13:29:39Z,2018-01-19T13:29:39Z,1,APPROVED,47.56611111111111,1,102,Merged
New video courses,2018-01-28T03:47:27Z,2018-01-29T08:19:17Z,2018-01-29T08:19:17Z,1,,28.530555555555555,1,44,Merged
added link to a React + Redux + TypeScript boilerplate with extensive…,2018-02-05T09:58:14Z,2018-02-06T16:37:50Z,2018-02-06T16:37:50Z,1,APPROVED,30.66,1,92,Merged
Added Community Curated React Resources,2018-03-12T14:01:27Z,2018-03-12T16:27:18Z,2018-03-12T16:27:18Z,1,APPROVED,2.430833333333333,1,38,Merged
fix: type error Apolo should be Apollo,2018-03-16T03:40:20Z,2018-03-16T07:31:29Z,2018-03-16T07:31:29Z,1,APPROVED,3.8525,1,6,Merged
"Added GraphQL tutorial with Apollo, React and Meteor",2018-05-10T20:45:37Z,2018-05-11T07:19:37Z,2018-05-11T07:19:37Z,1,APPROVED,10.566666666666666,1,94,Merged
add react router5 to routing libs,2018-05-10T21:16:13Z,2018-05-11T06:36:19Z,2018-05-11T06:36:19Z,1,APPROVED,9.335,1,33,Merged
Remove duplicate,2018-06-23T02:49:16Z,2018-06-23T05:42:25Z,2018-06-23T05:42:25Z,1,APPROVED,2.8858333333333333,1,29,Merged
Add react-cli,2018-07-01T13:08:46Z,2018-07-01T17:35:54Z,2018-07-01T17:35:54Z,1,APPROVED,4.452222222222222,1,0,Merged
Add ReactJS interview questions and answers,2018-08-06T02:27:50Z,,2018-08-06T16:06:24Z,2,,13.642777777777777,7,107,Closed
"Add ""Analyzing React Performance"" section",2018-10-02T18:11:57Z,2018-10-11T10:51:14Z,2018-10-11T10:51:14Z,4,APPROVED,208.65472222222223,1,431,Merged
Add cogo-toast to React Components,2018-10-11T09:41:09Z,2018-10-11T10:49:33Z,2018-10-11T10:49:33Z,3,APPROVED,1.14,1,120,Merged
Add React 360,2018-10-23T01:34:56Z,,2019-01-07T20:27:44Z,1,,1842.88,1,50,Closed
Sub category of components - animation components to make it tidier & a component suggestion,2018-12-10T17:51:00Z,2018-12-11T09:02:55Z,2018-12-11T09:02:55Z,1,,15.198611111111111,1,1145,Merged
Add reactjs-popup component,2018-12-16T01:30:29Z,2018-12-17T13:20:15Z,2018-12-17T13:20:15Z,1,,35.82944444444445,1,38,Merged
Add Razzle Material-UI Styled Example and related article,2019-01-04T17:05:09Z,2019-01-06T07:06:39Z,2019-01-06T07:06:39Z,2,APPROVED,38.025,1,138,Merged
"Curate the ""real apps"" section",2019-01-07T20:45:49Z,2019-01-07T21:47:14Z,2019-01-07T21:47:14Z,1,APPROVED,1.023611111111111,1,265,Merged
Add filterbuilder component,2019-01-12T21:45:15Z,2019-01-14T13:13:55Z,2019-01-14T13:13:55Z,1,,39.477777777777774,1,0,Merged
added React Material Web Components,2019-01-16T07:36:19Z,2019-01-16T08:38:17Z,2019-01-16T08:38:17Z,1,APPROVED,1.0327777777777778,2,422,Merged
Add ClearX: Effortless React State Management,2019-03-11T08:12:46Z,2019-03-12T08:43:12Z,2019-03-12T08:43:12Z,1,,24.50722222222222,1,170,Merged
Add MDB React,2019-07-03T10:44:55Z,,2019-12-14T07:37:36Z,1,,3932.8780555555554,1,206,Closed
Added react-stack-cards,2019-07-04T17:46:07Z,,2019-12-14T07:33:10Z,2,,3901.784166666667,1,32,Closed
Added some data visualization libraries,2019-08-22T00:02:52Z,2019-08-24T11:03:45Z,2019-08-24T11:03:45Z,3,APPROVED,59.014722222222225,1,147,Merged
Added Reakit to React Component Libraries,2019-09-10T06:35:10Z,2019-09-10T10:53:36Z,2019-09-10T10:53:36Z,1,,4.307222222222222,1,0,Merged
Adding connected-react-router and atlaskit,2019-10-09T10:59:35Z,2019-10-10T09:00:20Z,2019-10-10T09:00:20Z,2,,22.0125,1,0,Merged
Add react-toastify to Readme.md,2019-11-12T14:38:18Z,,2021-02-03T15:15:23Z,2,,10776.618055555555,1,119,Closed
Add Base Web to React Component Libraries,2020-01-03T23:02:34Z,2020-01-06T16:27:23Z,2020-01-06T16:27:23Z,1,,65.41361111111111,1,0,Merged
Added unstated a React state management library,2020-02-06T06:35:27Z,,2021-04-22T13:35:43Z,1,,10591.004444444445,1,180,Closed
Removes Omniscient.js,2020-06-28T04:05:13Z,2020-11-23T17:14:57Z,2020-11-23T17:14:57Z,1,,3565.162222222222,1,68,Merged
Added react-onboard,2020-07-08T23:44:22Z,,2023-04-18T11:55:28Z,1,,24324.185,1,210,Closed
Add official CKEditor integrations,2020-07-24T12:26:18Z,2020-11-24T13:40:17Z,2020-11-24T13:40:17Z,1,,2953.2330555555554,1,7,Merged
feature: Added Develop Live Project with React with Payment Integrati…,2020-08-09T17:25:18Z,2020-08-10T09:53:25Z,2020-08-10T09:53:25Z,1,,16.468611111111112,1,243,Merged
Add React Renderers section,2020-11-28T12:55:39Z,2020-12-01T10:24:28Z,2020-12-01T10:24:28Z,2,APPROVED,69.48027777777777,2,0,Merged
Add React slick carousel,2020-12-15T16:59:57Z,,2020-12-18T16:13:57Z,1,,71.23333333333333,1,0,Closed
Remove deprecated and update with new React Accessibility package,2020-12-15T18:49:51Z,2020-12-17T08:54:01Z,2020-12-17T08:54:01Z,2,,38.06944444444444,1,0,Merged
Add react accessible accordion component,2020-12-16T10:41:03Z,2020-12-22T08:28:41Z,2020-12-22T08:28:41Z,2,,141.7938888888889,1,0,Merged
Some of links updated! And added info,2021-01-27T21:01:38Z,2021-02-09T20:21:42Z,2021-02-09T20:21:42Z,1,,311.33444444444444,1,131,Merged
Add easy-peasy to React State Management,2021-02-25T23:09:28Z,2021-03-01T15:32:10Z,2021-03-01T15:32:11Z,1,,88.37833333333333,1,126,Merged
Add superplate - React Starter Kits and Toolchains,2021-08-27T09:09:47Z,,2023-04-19T11:54:11Z,1,,14402.74,1,0,Closed
add react-scanner to React Development Tools ,2021-10-11T18:34:41Z,2021-10-12T07:45:16Z,2021-10-12T07:45:16Z,1,APPROVED,13.176388888888889,1,0,Merged
Added @react-facet,2021-10-26T12:55:53Z,2021-10-26T15:39:40Z,2021-10-26T15:39:40Z,1,,2.729722222222222,1,43,Merged
Radix primitives,2021-11-03T17:40:37Z,,2021-11-04T09:06:07Z,1,,15.425,1,0,Closed
Add Rematch and react-location,2022-02-07T08:28:09Z,2022-02-08T08:35:20Z,2022-02-08T08:35:20Z,2,,24.119722222222222,1,255,Merged
Added Materio Free MUI React NextJS Admin Template,2022-03-16T14:18:44Z,,2023-04-19T14:48:23Z,1,,9576.494166666667,1,669,Closed
Add AgnosticUI,2022-03-19T15:22:03Z,,2023-04-19T14:50:24Z,1,,9503.4725,1,0,Closed
added two sites in demo app section,2023-03-31T10:28:50Z,,2023-04-20T19:33:23Z,1,,489.0758333333333,1,0,Closed
reactjs.org ---> react.dev,2023-03-31T10:56:52Z,2023-04-03T08:48:05Z,2023-04-03T08:48:05Z,1,APPROVED,69.8536111111111,1,37,Merged
Update README.md,2023-06-25T18:10:25Z,,2023-08-25T09:23:05Z,1,,1455.2111111111112,1,63,Closed
Added link to React Tutorial,2024-04-18T07:45:41Z,,2024-09-23T10:49:26Z,1,,3795.0625,1,70,Closed
feat(README.md): add MantineUI,2024-05-11T03:20:24Z,2024-09-23T10:46:11Z,2024-09-23T10:46:11Z,1,,3247.429722222222,1,150,Merged
