title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Add v-pagination,2016-09-17T12:14:24Z,,2016-09-18T16:57:49Z,1,,28.72361111111111,1,0,Closed
Update stars and description for the vue-infinite-loading,2016-09-19T08:23:48Z,2016-09-20T07:59:54Z,2016-09-20T07:59:54Z,1,APPROVED,23.601666666666667,1,0,Merged
Add Vue.js入门基础,2016-09-20T06:08:50Z,,2016-09-20T12:20:24Z,1,CHANGES_REQUESTED,6.192777777777778,1,31,Closed
"add vue-2048 demo. 2048-game implemented using vue,webpack",2016-09-20T07:32:54Z,2016-09-20T11:32:34Z,2016-09-20T11:32:34Z,1,,3.9944444444444445,1,59,Merged
Add Vue.js入门基础,2016-09-20T09:07:32Z,,2016-09-22T03:53:01Z,2,,42.75805555555556,1,29,Closed
Add script to update repository stars,2016-09-22T01:28:10Z,,2016-11-14T17:37:43Z,1,,1288.1591666666666,2,513,Closed
Add e-commerce tutorial,2016-09-29T15:40:23Z,,2016-10-01T08:05:53Z,1,CHANGES_REQUESTED,40.425,1,0,Closed
added Neutronium,2016-09-30T02:13:30Z,2016-09-30T17:43:01Z,2016-09-30T17:43:01Z,1,APPROVED,15.491944444444444,1,0,Merged
add vue-sync,2016-09-30T04:55:41Z,2016-09-30T17:43:43Z,2016-09-30T17:43:43Z,1,APPROVED,12.800555555555556,1,0,Merged
"Add iView, Radon UI, Vue-beauty, vue-antd",2016-10-01T00:43:25Z,2016-10-02T13:54:53Z,2016-10-02T13:54:53Z,1,APPROVED,37.19111111111111,1,0,Merged
add wovue components,2016-10-01T03:03:50Z,2016-10-03T01:35:30Z,2016-10-03T01:35:30Z,1,APPROVED,46.52777777777778,1,35,Merged
Add e-commerce tutorial,2016-10-01T08:09:04Z,2016-10-02T13:56:13Z,2016-10-02T13:56:13Z,1,APPROVED,29.785833333333333,1,0,Merged
added vue-cluster to the readme,2016-10-02T22:33:28Z,2016-10-03T01:38:12Z,2016-10-03T01:38:12Z,1,APPROVED,3.078888888888889,1,185,Merged
add vue-ts-loader,2016-10-04T08:29:37Z,2016-10-04T09:53:27Z,2016-10-04T09:53:27Z,1,APPROVED,1.3972222222222221,1,64,Merged
add vuex-plugin-jsdata,2016-10-04T13:29:17Z,2016-10-05T06:51:18Z,2016-10-05T06:51:18Z,2,CHANGES_REQUESTED,17.366944444444446,1,0,Merged
Add vue-gmaps plugin,2016-10-06T00:08:16Z,2016-10-06T03:15:26Z,2016-10-06T03:15:26Z,2,APPROVED,3.1194444444444445,1,67,Merged
Update README.md,2016-10-06T09:28:15Z,2016-10-07T02:27:57Z,2016-10-07T02:27:57Z,3,APPROVED,16.995,1,24,Merged
Added wijmo interop controls to readme,2016-10-06T15:34:36Z,2016-10-19T16:53:57Z,2016-10-19T16:53:57Z,10,APPROVED,313.3225,1,180,Merged
Added express-vue,2016-10-06T21:18:01Z,2016-10-09T01:46:48Z,2016-10-09T01:46:48Z,1,APPROVED,52.47972222222222,1,94,Merged
Update README.md,2016-10-08T05:51:12Z,,2016-10-09T10:20:54Z,1,CHANGES_REQUESTED,28.495,1,45,Closed
feat: update star,2016-10-08T06:11:09Z,2016-10-09T01:47:03Z,2016-10-09T01:47:03Z,1,APPROVED,19.598333333333333,1,0,Merged
Add 4 components,2016-10-08T09:31:40Z,2016-10-09T01:49:10Z,2016-10-09T01:49:10Z,1,APPROVED,16.291666666666668,1,80,Merged
add one boilerplate for vue2.0,2016-10-08T11:49:11Z,2016-10-09T01:50:48Z,2016-10-09T01:50:48Z,1,APPROVED,14.026944444444444,1,93,Merged
Update README.md,2016-10-08T15:10:15Z,2016-10-09T01:51:31Z,2016-10-09T01:51:31Z,1,APPROVED,10.687777777777777,1,13,Merged
add plugin,2016-10-09T02:15:11Z,2016-10-09T10:26:17Z,2016-10-09T10:26:17Z,1,APPROVED,8.185,1,38,Merged
Add projects,2016-10-10T12:07:19Z,2016-10-12T15:49:52Z,2016-10-12T15:49:52Z,1,APPROVED,51.70916666666667,1,142,Merged
Adding vue.draggable for vue.js 2.0,2016-10-13T16:32:39Z,2016-10-14T05:15:01Z,2016-10-14T05:15:01Z,1,APPROVED,12.706111111111111,1,0,Merged
vue.js2 Tutorials,2016-10-16T23:09:31Z,,2016-10-19T00:47:34Z,1,CHANGES_REQUESTED,49.634166666666665,1,66,Closed
Removing some deleted repos 🚮,2016-10-20T01:50:08Z,2016-10-20T04:36:50Z,2016-10-20T04:36:50Z,1,APPROVED,2.7783333333333333,1,75,Merged
udpate https://github.com/bhnddowinf/vuejs2-learn,2016-10-20T07:01:27Z,2016-10-20T09:49:23Z,2016-10-20T09:49:23Z,1,APPROVED,2.798888888888889,1,50,Merged
Add vue tree view component,2016-10-21T02:33:43Z,2016-10-21T10:49:26Z,2016-10-21T10:49:26Z,1,CHANGES_REQUESTED,8.261944444444444,1,147,Merged
Update project stars,2016-10-21T17:21:46Z,2016-10-25T07:24:23Z,2016-10-25T07:24:23Z,1,APPROVED,86.0436111111111,1,0,Merged
Fix vuejs-firebase Hyperlink,2016-10-21T19:39:47Z,2016-10-25T07:22:34Z,2016-10-25T07:22:34Z,1,APPROVED,83.71305555555556,1,53,Merged
Add vue-medium-editor,2016-10-22T17:43:43Z,2016-10-25T07:23:59Z,2016-10-25T07:23:59Z,1,APPROVED,61.67111111111111,1,203,Merged
add vue-img-loader UI component,2016-10-23T13:36:36Z,2016-10-25T07:25:13Z,2016-10-25T07:25:13Z,1,APPROVED,41.81027777777778,1,32,Merged
Add vue-adonis in boilerplates,2016-10-23T18:01:49Z,2016-10-25T07:26:19Z,2016-10-25T07:26:20Z,1,APPROVED,37.40833333333333,1,40,Merged
Add vue-axios,2016-10-25T08:40:24Z,2016-10-25T09:59:34Z,2016-10-25T09:59:34Z,1,APPROVED,1.3194444444444444,1,0,Merged
Update README.md,2016-10-25T15:15:21Z,,2016-10-26T01:23:22Z,1,CHANGES_REQUESTED,10.133611111111112,1,24,Closed
Vue Typewriter,2016-10-25T20:45:05Z,2016-10-26T01:14:42Z,2016-10-26T01:14:42Z,3,APPROVED,4.493611111111111,1,25,Merged
Add Job Portal Link,2016-10-25T21:44:43Z,2016-10-26T00:31:47Z,2016-10-26T00:31:47Z,1,APPROVED,2.7844444444444445,1,0,Merged
Add vue-lory,2016-10-26T00:58:37Z,,2016-10-26T02:24:03Z,1,CHANGES_REQUESTED,1.423888888888889,1,0,Closed
Add vue-charts,2016-10-26T01:26:45Z,2016-10-26T02:27:41Z,2016-10-26T02:27:41Z,1,APPROVED,1.0155555555555555,1,15,Merged
Updated express-vue link with stars,2016-10-26T09:47:02Z,2016-10-27T16:50:08Z,2016-10-27T16:50:08Z,1,APPROVED,31.051666666666666,1,0,Merged
Added gitlab,2016-10-27T04:04:20Z,2016-10-27T17:04:20Z,2016-10-27T17:04:20Z,2,APPROVED,13.0,2,0,Merged
Add vue-slick component,2016-10-27T13:56:40Z,2016-10-27T16:57:12Z,2016-10-27T16:57:12Z,1,APPROVED,3.008888888888889,1,0,Merged
Update bootstrap-vue,2016-10-28T14:06:44Z,2016-10-29T17:07:30Z,2016-10-29T17:07:30Z,1,APPROVED,27.012777777777778,1,36,Merged
naaab.ir added to open source projects using vuejs,2016-10-28T14:08:30Z,2016-10-29T17:09:40Z,2016-10-29T17:09:40Z,1,APPROVED,27.019444444444446,1,0,Merged
added laravel-like-vue-validator,2016-10-28T20:18:48Z,2016-10-29T17:10:58Z,2016-10-29T17:10:58Z,1,APPROVED,20.869444444444444,1,57,Merged
Update Vue-Socket.io 2,2016-10-28T22:07:40Z,2016-10-29T17:11:21Z,2016-10-29T17:11:21Z,1,APPROVED,19.06138888888889,1,0,Merged
Update vue-charts star and descripttion,2016-10-29T05:53:23Z,2016-10-29T17:11:42Z,2016-10-29T17:11:42Z,1,APPROVED,11.305277777777778,1,40,Merged
Update electron-vue & vue-electron stargazer counts,2016-10-29T07:08:32Z,2016-10-29T17:12:00Z,2016-10-29T17:12:00Z,1,APPROVED,10.057777777777778,1,0,Merged
Update `vue-timepicker` with Vue 2.x version,2016-10-29T07:39:49Z,2016-10-29T17:12:47Z,2016-10-29T17:12:47Z,1,APPROVED,9.549444444444445,1,0,Merged
add vue-mugen-scroll,2016-10-29T09:41:44Z,2016-10-29T17:14:25Z,2016-10-29T17:14:25Z,1,APPROVED,7.544722222222222,1,15,Merged
Add Livestorm - Webinar / Live events app,2016-10-29T15:39:24Z,2016-10-29T17:16:51Z,2016-10-29T17:16:51Z,1,APPROVED,1.6241666666666668,1,0,Merged
Add icebob/vue-touch-keyboard,2016-10-29T21:36:43Z,2016-10-30T04:59:05Z,2016-10-30T04:59:05Z,1,APPROVED,7.372777777777777,1,0,Merged
Vue-Easy-Validator & Vue-Laravel-Validator,2016-10-30T13:21:48Z,2016-11-01T08:33:26Z,2016-11-01T08:33:26Z,1,APPROVED,43.193888888888885,1,57,Merged
Vue integration for the Laravel Echo library.,2016-10-30T19:00:38Z,2016-11-01T08:34:20Z,2016-11-01T08:34:20Z,1,APPROVED,37.56166666666667,1,0,Merged
Add tutorial: Medium-like Image Loading with Vue.js,2016-10-30T22:23:05Z,2016-11-01T08:35:39Z,2016-11-01T08:35:39Z,1,APPROVED,34.20944444444444,1,0,Merged
added vue-types reference,2016-10-31T08:36:41Z,2016-11-01T12:08:10Z,2016-11-01T12:08:10Z,1,APPROVED,27.524722222222223,1,224,Merged
Add nicolasbeauvais/vue-social-sharing,2016-11-01T22:06:49Z,2016-11-02T14:24:51Z,2016-11-02T14:24:51Z,2,APPROVED,16.300555555555555,1,0,Merged
add vue-ghpages-blog,2016-11-03T08:59:20Z,2016-11-04T09:12:18Z,2016-11-04T09:12:18Z,1,APPROVED,24.21611111111111,1,0,Merged
Add several TypeScript tools,2016-11-03T09:11:13Z,2016-11-04T09:16:12Z,2016-11-04T09:16:12Z,1,APPROVED,24.083055555555557,1,28,Merged
A small lazy image loader for Vue,2016-11-03T18:19:27Z,2016-11-04T09:18:04Z,2016-11-04T09:18:04Z,1,APPROVED,14.976944444444445,1,217,Merged
add sprockets-vue,2016-11-05T08:59:53Z,2016-11-06T00:51:10Z,2016-11-06T00:51:10Z,1,APPROVED,15.854722222222222,1,89,Merged
add Framework7-VueJS example site+app,2016-11-06T13:38:42Z,2016-11-06T15:07:22Z,2016-11-06T15:07:22Z,1,APPROVED,1.4777777777777779,1,0,Merged
fix minor description issues,2016-11-07T09:49:05Z,2016-11-07T15:11:39Z,2016-11-07T15:11:39Z,1,APPROVED,5.376111111111111,1,0,Merged
add my component to awesome-vue,2016-11-08T03:09:37Z,,2016-11-14T07:28:25Z,1,CHANGES_REQUESTED,148.31333333333333,1,106,Closed
Add vue-plugin-simple to Boilerplates.,2016-11-08T10:28:07Z,2016-11-08T15:29:12Z,2016-11-08T15:29:12Z,1,APPROVED,5.018055555555556,1,0,Merged
"Update stars, add building blocks",2016-11-08T15:57:33Z,2016-11-09T15:03:04Z,2016-11-09T15:03:04Z,1,APPROVED,23.091944444444444,1,0,Merged
Meet Graham Award + Enterprise Usage CLM,2016-11-09T04:25:37Z,2016-11-09T15:04:07Z,2016-11-09T15:04:07Z,2,APPROVED,10.641666666666667,1,0,Merged
Add vue-meta,2016-11-09T06:08:26Z,2016-11-09T15:04:42Z,2016-11-09T15:04:42Z,1,APPROVED,8.937777777777777,1,0,Merged
adding `vue-contextable` - easy form validation,2016-11-09T12:16:33Z,2016-11-09T23:08:45Z,2016-11-09T23:08:45Z,1,,10.87,1,0,Merged
Update README.md,2016-11-10T08:01:26Z,,2016-12-05T18:37:51Z,1,CHANGES_REQUESTED,610.6069444444445,1,0,Closed
Update Quasar's description,2016-11-10T20:20:03Z,2016-11-10T21:31:04Z,2016-11-10T21:31:04Z,1,APPROVED,1.1836111111111112,1,0,Merged
Add a blog CMS powered by Vue2.0 as an example,2016-11-11T15:59:14Z,2016-11-13T06:16:09Z,2016-11-13T06:16:09Z,2,APPROVED,38.28194444444444,1,46,Merged
Add vue-shortkey to vue-awesome,2016-11-11T18:59:49Z,2016-11-12T21:42:36Z,2016-11-12T21:42:36Z,1,APPROVED,26.713055555555556,1,0,Merged
ADD Muse UI — Material Desgin UI library for Vuejs 2.0,2016-11-12T11:39:47Z,2016-11-12T21:43:55Z,2016-11-12T21:43:55Z,1,APPROVED,10.068888888888889,1,40,Merged
add vonic UI Components & vue-scroller,2016-11-12T14:31:59Z,2016-11-13T06:15:22Z,2016-11-13T06:15:22Z,2,APPROVED,15.723055555555556,1,0,Merged
Add Vuedo blog platform - open source,2016-11-12T22:47:29Z,2016-11-14T00:33:34Z,2016-11-14T00:33:34Z,1,APPROVED,25.768055555555556,1,0,Merged
update Vuikit desc,2016-11-14T06:03:11Z,2016-11-14T15:40:13Z,2016-11-14T15:40:13Z,1,APPROVED,9.617222222222223,1,0,Merged
add component in readme.md,2016-11-14T07:27:24Z,2016-11-14T15:41:39Z,2016-11-14T15:41:39Z,1,APPROVED,8.2375,1,106,Merged
Add vue-settler to scaffold section,2016-11-14T20:47:42Z,2016-11-15T15:37:50Z,2016-11-15T15:37:50Z,1,APPROVED,18.835555555555555,1,182,Merged
Google analytics,2016-11-15T16:15:27Z,2016-11-16T16:56:25Z,2016-11-16T16:56:26Z,1,APPROVED,24.682777777777776,1,30,Merged
