title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
CAddrMan: stochastic address manager,2012-01-27T04:16:49Z,2012-03-22T14:45:51Z,2012-03-22T14:45:51Z,2,,1330.483888888889,17,339,Merged
"Add 'mempool' P2P command, and extend 'getdata' behavior",2012-07-31T22:08:17Z,2012-08-20T14:21:35Z,2012-08-20T14:21:35Z,1,,472.2216666666667,3,125,Merged
"Add -reindex, to perform in-place reindexing of block chain files",2012-10-21T22:13:23Z,2012-11-09T22:50:30Z,2012-11-09T22:50:30Z,1,,456.61861111111114,12,246,Merged
Relay OP_RETURN data TxOut as standard transaction type.,2013-06-04T20:32:17Z,2013-10-22T05:47:24Z,2013-10-22T05:47:24Z,1,,3345.2519444444442,5,164,Merged
Reduce latency in network processing,2013-10-28T23:40:34Z,2013-11-04T05:52:25Z,2013-11-04T05:52:25Z,1,,150.1975,2,440,Merged
Add verbose flag to getrawmempool,2013-11-12T01:14:08Z,2013-11-30T06:04:19Z,2013-11-30T06:04:19Z,2,,436.8363888888889,16,994,Merged
"Per-peer block tracking, stalled block download detection, orphan pool limiting",2014-01-11T18:21:17Z,2014-03-10T12:23:23Z,2014-03-10T12:23:23Z,2,,1386.035,4,2591,Merged
"Add -zapwallettx function, a diagnostic tool to assist in wallet repair",2014-02-12T14:23:33Z,2014-02-14T17:21:38Z,2014-02-14T17:21:38Z,1,,50.96805555555556,5,102,Merged
GUI: Receive: Remove option to reuse a previous address,2014-02-21T04:44:35Z,2017-11-11T18:33:39Z,2017-11-11T18:33:39Z,2,,32629.81777777778,2,123,Merged
[QT] Fixes feel when resizing the last column on tables (issue #2862),2014-02-25T03:08:05Z,,2014-03-21T05:31:06Z,1,,578.3836111111111,6,716,Closed
Add a getutxos command to the p2p protocol,2014-06-16T16:40:35Z,2014-08-25T08:37:50Z,2014-08-25T08:37:50Z,1,,1671.9541666666667,4,7477,Merged
Headers-first synchronization,2014-07-05T23:09:10Z,2014-10-17T10:31:03Z,2014-10-17T10:31:03Z,2,,2483.364722222222,15,1101,Merged
show scriptSig signature hash types in transaction decodes. fixes #3166,2014-11-12T13:56:12Z,2015-09-25T17:19:26Z,2015-09-25T17:19:27Z,2,,7611.387222222223,12,400,Merged
Use equivalent PoW for non-main-chain requests,2015-03-17T13:51:11Z,2015-04-28T14:46:41Z,2015-04-28T14:46:41Z,1,,1008.925,4,289,Merged
wallet: fix boost::get usage with boost 1.58,2015-05-06T20:54:21Z,2015-05-07T08:08:43Z,2015-05-07T08:08:43Z,2,,11.239444444444445,1,44,Merged
Add option `-alerts` to opt out of alert system,2015-06-12T10:04:35Z,2015-06-15T07:57:43Z,2015-06-15T07:57:43Z,2,,69.88555555555556,3,307,Merged
Implementation of BIP 101 : maximum block size increase,2015-06-26T12:21:51Z,,2015-07-15T15:11:15Z,1,,458.8233333333333,27,1973,Closed
BIP-113: Mempool-only median time-past as endpoint for lock-time calculations,2015-08-18T01:20:06Z,2015-10-26T10:32:57Z,2015-10-26T10:32:57Z,1,,1665.2141666666666,6,1150,Merged
log bytes recv/sent per command,2015-08-25T15:12:39Z,2015-12-07T12:54:36Z,2015-12-07T12:54:36Z,1,,2493.6991666666668,3,1050,Merged
Limit mempool by throwing away the cheapest txn and setting min relay fee to it,2015-09-25T03:21:16Z,2015-10-21T06:50:32Z,2015-10-21T06:50:32Z,1,,627.4877777777778,10,93,Merged
"[Wallet] Add RPC call ""rescanblockchain <startheight> <stopheight>""",2015-11-19T15:10:15Z,2017-10-13T22:23:35Z,2017-10-13T22:23:35Z,80,,16663.222222222223,7,189,Merged
Travis: Test build against system libs (& Qt4),2015-12-01T10:46:46Z,2017-09-12T19:53:46Z,2017-09-12T19:53:46Z,4,,15633.116666666667,1,63,Merged
[Wallet] Simple HD/BIP32 support,2016-01-02T16:04:13Z,,2016-05-10T09:26:39Z,6,,3089.373888888889,15,924,Closed
Read/write bitcoin_rw.conf for exposing shared Daemon/GUI options in the GUI,2016-02-11T06:58:23Z,,2016-10-18T19:35:50Z,1,,6012.6241666666665,15,649,Closed
Bugfix: Only use git for build info if the repository is actually the right one,2016-02-12T05:41:46Z,2017-05-17T09:07:10Z,2017-05-17T09:07:10Z,2,,11043.423333333334,4,286,Merged
RPC: sendrawtransaction: Allow the user to ignore/override specific rejections,2016-02-14T09:00:39Z,,2018-08-31T10:48:03Z,1,,22297.79,13,348,Closed
"Implement ""feefilter"" P2P message",2016-02-16T20:18:49Z,2016-03-21T17:03:14Z,2016-03-21T17:03:14Z,1,,812.7402777777778,22,117,Merged
Add importmulti RPC call,2016-02-17T17:45:12Z,2016-10-20T07:04:46Z,2016-10-20T07:04:46Z,10,,5893.3261111111115,7,1820,Merged
[WIP] HTLC implementation in the wallet,2016-02-25T20:54:26Z,,2017-10-26T06:37:03Z,5,,14601.710277777778,13,226,Closed
rpc: introduce 'label' API for wallet,2016-03-21T16:02:09Z,,2018-04-05T17:46:47Z,19,,17881.74388888889,5,3055,Closed
Remove priority estimation,2016-03-21T17:34:49Z,,2016-11-07T12:38:30Z,2,,5539.061388888889,6,986,Closed
Enforce expected outbound services,2016-03-26T20:18:49Z,2016-06-13T17:34:30Z,2016-06-13T17:34:30Z,1,,1893.2613888888889,11,397,Merged
[WIP] rest: Stream entire utxo set,2016-03-28T20:55:18Z,,2016-10-18T19:14:48Z,6,,4894.325,3,2070,Closed
[Qt] RPC-Console: support nested commands and simple value queries,2016-04-01T15:15:03Z,2016-09-20T12:15:46Z,2016-09-20T12:15:46Z,3,,4125.011944444444,6,1057,Merged
Track block download times per individual block,2016-04-03T20:23:59Z,2016-04-07T11:07:23Z,2016-04-07T11:07:23Z,3,,86.72333333333333,2,448,Merged
Manual block file pruning.,2016-04-13T14:29:08Z,2017-01-11T13:26:19Z,2017-01-11T13:26:19Z,15,APPROVED,6550.953055555556,8,252,Merged
Optimize reindex,2016-04-20T14:13:21Z,2016-05-18T10:31:45Z,2016-05-18T10:31:45Z,2,,668.3066666666666,12,1053,Merged
Improve rolling bloom filter performance and benchmark,2016-04-24T17:01:24Z,2016-05-09T06:52:50Z,2016-05-09T06:52:50Z,1,,349.8572222222222,5,717,Merged
[RPC] Add RPC long poll notifications,2016-04-26T15:33:04Z,,2019-06-17T09:22:20Z,4,,27521.821111111112,8,1747,Closed
Increase DEFAULT_KEYPOOL_SIZE to 10000.,2016-05-09T01:20:30Z,,2016-05-31T13:50:51Z,1,,540.5058333333334,1,41,Closed
[Wallet] Add simplest BIP32/deterministic key generation implementation,2016-05-10T09:21:39Z,2016-06-14T09:44:53Z,2016-06-14T09:44:53Z,1,,840.3872222222222,6,471,Merged
Expose information on whether transaction relay is enabled in `getnetwork`,2016-05-12T12:27:20Z,2016-05-26T13:02:31Z,2016-05-26T13:02:31Z,1,,336.5863888888889,5,48,Merged
Compact Blocks,2016-05-18T01:49:04Z,2016-06-22T12:30:56Z,2016-06-22T12:30:56Z,6,,850.6977777777778,18,533,Merged
Segregated witness rebased,2016-06-06T13:06:01Z,2016-06-24T16:09:44Z,2016-06-24T16:09:44Z,2,,435.06194444444446,80,758,Merged
[trivial][doc] Use Debian 8.5 in the gitian-build guide,2016-06-12T12:37:19Z,2016-06-13T09:19:12Z,2016-06-13T09:19:12Z,1,,20.698055555555555,1,0,Merged
[Qt] fix a bug where the SplashScreen will not be hidden during startup,2016-06-21T08:57:28Z,2016-06-22T06:50:27Z,2016-06-22T06:50:27Z,1,,21.883055555555554,1,295,Merged
[wallet] Set fLimitFree = true,2016-06-29T15:06:01Z,2016-10-18T19:05:24Z,2016-10-18T19:05:24Z,1,,2667.989722222222,3,167,Merged
Consensus: MOVEONLY: Move functions for tx verification,2016-07-11T16:46:54Z,2017-05-18T19:02:22Z,2017-05-18T19:02:22Z,5,,7466.257777777778,13,556,Merged
"Structure Packing Optimizations in C{,Mutable}Transaction",2016-07-11T19:38:00Z,2017-09-06T18:15:37Z,2017-09-06T18:15:37Z,11,,10126.626944444444,2,167,Merged
Consensus: MOVEONLY: Move functions for header verification,2016-07-13T13:28:06Z,,2017-06-19T06:57:13Z,3,,8177.485277777778,7,325,Closed
[Qt] Add out-of-sync modal info layer,2016-07-19T13:57:32Z,2016-09-23T16:23:04Z,2016-09-23T16:23:04Z,5,,1586.4255555555555,17,689,Merged
Add witness data output to TxInError messages,2016-07-20T19:15:02Z,2017-05-18T00:14:32Z,2017-05-18T00:14:32Z,3,,7228.991666666667,2,29,Merged
Support for compact blocks together with segwit,2016-07-22T15:22:16Z,2016-10-10T11:16:58Z,2016-10-10T11:16:58Z,15,,1915.9116666666666,9,62,Merged
Store mempool and prioritization data to disk,2016-08-03T04:16:44Z,2016-11-02T10:13:19Z,2016-11-02T10:13:19Z,11,,2189.9430555555555,6,499,Merged
[RPC] Simplified bumpfee command.,2016-08-04T13:52:22Z,2017-01-19T18:59:36Z,2017-01-19T18:59:36Z,103,APPROVED,4037.1205555555557,8,2031,Merged
Parametrize buried soft fork in regtest and refactor,2016-08-04T21:26:53Z,,2017-02-15T13:17:55Z,2,,4671.850555555556,10,800,Closed
[POC] Introducing property based testing to Core,2016-08-06T01:48:20Z,,2018-10-10T02:39:46Z,8,,19080.85722222222,23,1834,Closed
"Key origin metadata, with HD wallet support",2016-08-06T06:27:44Z,,2019-03-05T19:50:19Z,1,,22597.37638888889,5,185,Closed
Untested: libconsensus: Expose VerifyHeader,2016-08-09T23:43:01Z,,2017-06-19T06:57:22Z,1,,7519.239166666666,16,2499,Closed
"[init, wallet] ParameterInteraction() iff wallet enabled",2016-08-10T06:43:18Z,2016-09-19T09:38:35Z,2016-09-19T09:38:35Z,1,APPROVED,962.9213888888889,1,50,Merged
Near-Bugfix: Optimization: Minimize the number of times it is checked that no money...,2016-08-11T03:44:21Z,2017-10-11T08:45:44Z,2017-10-11T08:45:44Z,46,,10229.023055555555,4,675,Merged
Add several policy limits and disable uncompressed keys for segwit scripts,2016-08-11T16:24:53Z,2016-10-17T11:27:28Z,2016-10-17T11:27:28Z,38,,1603.0430555555556,18,98,Merged
Add mempool statistics collector,2016-08-12T12:00:25Z,,2018-11-08T23:20:55Z,14,,19643.341666666667,12,1601,Closed
Make non-minimal OP_IF/NOTIF argument non-standard for P2WSH,2016-08-16T15:51:32Z,2016-09-27T15:10:29Z,2016-09-27T15:10:29Z,4,,1007.3158333333333,8,342,Merged
[Qt] Add interactive mempool graph,2016-08-19T19:30:50Z,,2018-08-31T10:46:39Z,14,,17799.26361111111,19,842,Closed
new var DIST_CONTRIB adds useful things for packagers from contrib,2016-08-24T03:29:46Z,,2016-11-07T12:09:48Z,3,,1808.6672222222223,1,633,Closed
Make CTransaction actually immutable,2016-08-24T16:47:01Z,2016-12-05T07:06:06Z,2016-12-05T07:06:06Z,29,APPROVED,2462.3180555555555,28,742,Merged
"Add option to opt into full-RBF when sending funds (rebase, original by petertodd)",2016-08-26T10:17:17Z,2016-09-13T09:35:41Z,2016-09-13T09:35:41Z,1,,431.3066666666667,2,263,Merged
Share unused mempool memory with coincache,2016-08-27T13:24:11Z,2017-01-05T21:52:38Z,2017-01-05T21:52:38Z,4,,3152.474166666667,2,436,Merged
Nuke boost::thread and boost::thread_group,2016-08-31T02:33:56Z,,2016-12-06T03:01:52Z,3,,2328.4655555555555,33,2701,Closed
Add policy: null signature for failed CHECK(MULTI)SIG,2016-08-31T05:34:23Z,2016-09-27T15:54:39Z,2016-09-27T15:54:39Z,8,APPROVED,658.3377777777778,8,587,Merged
