title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
fix: add missing quotation in sample zsh config,2021-10-29T19:15:23Z,2021-10-29T22:39:36Z,2021-10-29T22:39:36Z,1,,3.403611111111111,1,165,Merged
Begin working on CI tasks for bun-framework-next,2021-11-11T19:02:36Z,2021-11-24T00:35:46Z,2021-11-24T00:35:46Z,19,CHANGES_REQUESTED,293.5527777777778,14,296,Merged
Add experimental nix support,2021-12-12T02:39:34Z,,2023-07-31T13:39:26Z,8,,14314.997777777779,2,1078,Closed
Bun instructions for existing CRA app,2022-03-09T18:09:42Z,,2023-03-29T21:10:34Z,2,,9243.014444444445,1,186,Closed
expose mmap size and offset option,2022-04-12T19:30:13Z,2022-04-14T02:08:57Z,2022-04-14T02:08:57Z,3,,30.645555555555557,2,0,Merged
Improve ZSH completions,2022-04-19T06:05:24Z,,2023-07-31T13:39:26Z,13,,11239.567222222222,1,1604,Closed
Add start dev server step in next.js example in readme,2022-05-29T13:28:15Z,,2022-05-30T10:52:11Z,3,,21.398888888888887,1,102,Closed
Updated logLevel to include `debug` in readme,2022-06-15T07:15:52Z,2022-07-11T23:20:10Z,2022-07-11T23:20:10Z,1,,640.0716666666667,1,21,Merged
discord interactions template,2022-07-05T15:26:50Z,2022-07-05T16:26:59Z,2022-07-05T16:26:59Z,1,,1.0025,11,0,Merged
Update landing page,2022-07-06T01:49:45Z,,2022-07-13T21:10:15Z,1,,187.34166666666667,1,59,Closed
Add Bun logo in README,2022-07-06T03:24:32Z,2022-07-06T11:12:45Z,2022-07-06T11:12:45Z,1,,7.8036111111111115,1,149,Merged
Add a space in page.tsx,2022-07-06T13:40:36Z,2022-07-07T05:03:07Z,2022-07-07T05:03:07Z,1,,15.375277777777777,1,477,Merged
[strings] Fix typo in string_immutable.zig,2022-07-06T17:12:29Z,2022-07-07T09:46:32Z,2022-07-07T09:46:32Z,1,,16.5675,1,25,Merged
fix: Fixed punctuation on homepage.,2022-07-06T18:40:37Z,2022-07-14T18:20:43Z,2022-07-14T18:20:43Z,4,,191.66833333333332,3,96,Merged
:fire: Fixed some typos,2022-07-06T18:43:34Z,,2022-07-08T01:56:45Z,6,,31.219722222222224,1,0,Closed
feat: new blank template,2022-07-06T19:34:06Z,2022-07-08T09:32:55Z,2022-07-08T09:32:55Z,4,,37.98027777777778,3,111,Merged
fix: add unzip is required information,2022-07-06T21:53:34Z,2022-07-08T01:36:41Z,2022-07-08T01:36:41Z,4,,27.718611111111112,1,464,Merged
fix-262-missing-favicon,2022-07-07T03:31:35Z,,2022-07-08T19:59:29Z,3,,40.465,10,32,Closed
Further landing accessibility improvements,2022-07-07T05:34:10Z,2022-07-08T13:13:50Z,2022-07-08T13:13:50Z,2,,31.66111111111111,2,1144,Merged
Update README.md,2022-07-07T09:33:33Z,,2022-07-07T11:36:55Z,2,,2.056111111111111,1,275,Closed
Added note of AVX2 requirement and mentioned Intel SDE workaround in README.md,2022-07-07T10:03:52Z,2022-07-11T22:36:51Z,2022-07-11T22:36:51Z,4,,108.54972222222223,1,67,Merged
Fix: long numbers + unused css,2022-07-07T15:28:16Z,2022-07-07T18:52:27Z,2022-07-07T18:52:27Z,1,,3.4030555555555555,1,392,Merged
Update README.md,2022-07-07T15:40:50Z,2022-07-07T16:57:41Z,2022-07-07T16:57:41Z,1,,1.2808333333333333,1,27,Merged
Support for  completion in Bash,2022-07-08T01:21:47Z,2022-07-25T07:47:34Z,2022-07-25T07:47:34Z,2,,414.4297222222222,2,53,Merged
Fix typo,2022-07-08T02:01:51Z,,2022-07-08T08:05:03Z,1,,6.053333333333334,1,357,Closed
bugfix: performance.now function should return MS instead of nano,2022-07-08T10:00:08Z,2022-07-10T01:33:52Z,2022-07-10T01:33:52Z,3,,39.562222222222225,1,0,Merged
Fix react example README typo.,2022-07-08T10:38:10Z,2022-07-08T13:24:25Z,2022-07-08T13:24:25Z,1,,2.7708333333333335,1,0,Merged
fix dotenv config snippet,2022-07-08T12:17:23Z,2022-07-09T19:49:37Z,2022-07-09T19:49:37Z,2,,31.537222222222223,1,123,Merged
README.md typo fix,2022-07-08T16:08:19Z,2022-07-09T19:39:02Z,2022-07-09T19:39:02Z,1,,27.511944444444445,1,55,Merged
fix: remove unnecessary quotes in commit message,2022-07-08T23:48:49Z,2022-07-11T03:42:44Z,2022-07-11T03:42:44Z,1,,51.89861111111111,1,265,Merged
feat: add issue templates,2022-07-09T00:17:09Z,2022-07-10T01:34:20Z,2022-07-10T01:34:20Z,2,,25.28638888888889,3,175,Merged
[BYS Example]: Scrape data from Youtube with Bun.,2022-07-09T00:38:57Z,,2022-07-12T23:52:43Z,6,CHANGES_REQUESTED,95.22944444444444,6,199,Closed
feat(types): Add types for node modules and various fixing,2022-07-09T01:16:17Z,2022-07-11T12:40:08Z,2022-07-11T12:40:08Z,7,,59.3975,24,1545,Merged
Fix grammar erros in README.md,2022-07-09T06:48:08Z,2022-07-09T18:29:04Z,2022-07-09T18:29:04Z,1,,11.682222222222222,1,177,Merged
typo,2022-07-09T09:40:27Z,2022-07-09T18:29:16Z,2022-07-09T18:29:16Z,1,,8.813611111111111,1,0,Merged
fix `blank` template,2022-07-10T01:34:16Z,2022-07-12T10:03:17Z,2022-07-12T10:03:18Z,2,,56.48361111111111,1,0,Merged
feat(core): implement web interaction APIs,2022-07-10T05:35:53Z,2022-07-11T15:11:02Z,2022-07-11T15:11:02Z,7,,33.58583333333333,3,156,Merged
refactor(Global): mark more error code as cold and introduce new internal exit API,2022-07-10T15:17:31Z,,2022-12-23T17:26:01Z,7,,3986.141666666667,20,713,Closed
chore: update issue templates,2022-07-10T17:02:59Z,2022-07-11T03:46:31Z,2022-07-11T03:46:31Z,1,,10.725555555555555,4,199,Merged
fix: Support specifying a JSON response type in bun.d.ts,2022-07-11T03:21:29Z,2022-07-12T08:47:58Z,2022-07-12T08:47:58Z,4,,29.441388888888888,1,31,Merged
Fixes typo in src/c.zig,2022-07-11T06:18:08Z,2022-07-11T12:39:04Z,2022-07-11T12:39:04Z,1,,6.348888888888889,1,113,Merged
add node:http Server polyfill,2022-07-11T09:45:56Z,2022-07-13T14:08:57Z,2022-07-13T14:08:57Z,9,,52.38361111111111,2,22,Merged
hono example with typescript,2022-07-11T13:21:08Z,2022-07-12T09:46:22Z,2022-07-12T09:46:22Z,6,,20.420555555555556,4,28,Merged
fix(types): add missing types for WebSocket,2022-07-11T13:49:45Z,2022-07-25T07:39:26Z,2022-07-25T07:39:26Z,3,,329.8280555555556,1,109,Merged
chore(docs): add comma,2022-07-11T14:52:27Z,2022-07-11T22:33:03Z,2022-07-11T22:33:03Z,1,,7.676666666666667,1,0,Merged
builtin -> built-in,2022-07-11T16:30:26Z,2022-07-11T22:38:42Z,2022-07-11T22:38:42Z,1,,6.137777777777778,1,12,Merged
fix(env_loader): Ignore spaces before equals sign,2022-07-11T23:10:16Z,2022-07-12T08:42:36Z,2022-07-12T08:42:36Z,1,,9.53888888888889,1,84,Merged
docs: correct typo missing dots,2022-07-11T23:13:39Z,2022-07-13T21:51:22Z,2022-07-13T21:51:22Z,1,,46.62861111111111,1,79,Merged
Update README.md - add punctuation,2022-07-12T04:16:09Z,2022-07-13T21:20:54Z,2022-07-13T21:20:55Z,1,,41.079166666666666,1,0,Merged
Update README.md on install troubleshooting,2022-07-12T06:39:17Z,,2022-07-13T12:40:55Z,2,,30.02722222222222,3,103,Closed
Add 'scripts/nproc' helper script,2022-07-12T11:20:58Z,2022-07-25T07:45:57Z,2022-07-25T07:45:57Z,1,,308.4163888888889,1,133,Merged
Updated react example template,2022-07-12T14:24:07Z,2022-07-15T10:17:38Z,2022-07-15T10:17:38Z,7,,67.89194444444445,4,404,Merged
Create share image for social media,2022-07-12T14:48:42Z,2022-07-12T20:20:39Z,2022-07-12T20:20:39Z,2,,5.5325,2,137,Merged
Fix hono example template,2022-07-12T15:53:14Z,2022-07-14T18:42:19Z,2022-07-14T18:42:19Z,2,,50.81805555555555,2,443,Merged
fix #638,2022-07-12T18:27:08Z,2022-07-12T20:10:05Z,2022-07-12T20:10:05Z,1,,1.7158333333333333,1,137,Merged
fix #640,2022-07-12T18:46:05Z,2022-07-12T20:11:43Z,2022-07-12T20:11:43Z,1,,1.4272222222222222,1,93,Merged
adds bun-bakery template,2022-07-12T21:16:03Z,2022-07-13T20:40:29Z,2022-07-13T20:40:29Z,2,,23.407222222222224,6,97,Merged
Cleaning up the js/ts examples,2022-07-12T23:04:22Z,,2023-02-17T16:09:11Z,1,,5273.080277777778,3,118,Closed
Make bun docs searchable and easy to navigate,2022-07-13T06:54:26Z,,2022-07-18T08:44:16Z,1,,121.83055555555555,31,123,Closed
feat: create PR template,2022-07-13T06:59:00Z,,2023-03-29T21:11:04Z,2,,6230.2011111111115,1,209,Closed
docs: react-refresh setup,2022-07-13T09:44:58Z,2022-07-13T21:44:08Z,2022-07-13T21:44:08Z,1,,11.98611111111111,1,12,Merged
minor edit: Makefile,2022-07-13T10:42:15Z,2022-07-15T23:42:54Z,2022-07-15T23:42:54Z,5,,61.01083333333333,1,74,Merged
[napi] fix typo,2022-07-13T17:29:48Z,2022-07-13T21:32:46Z,2022-07-13T21:32:46Z,1,,4.049444444444444,1,21,Merged
"Fixes [After unsuccessful installation due to permission, the script shows that bun was successfully installed. #293]",2022-07-14T03:02:55Z,,2024-07-09T20:24:07Z,1,,17441.353333333333,1,1787,Closed
templates(blank): update bun types,2022-07-14T11:11:44Z,2022-07-14T18:43:02Z,2022-07-14T18:43:02Z,1,,7.5216666666666665,1,24,Merged
fix: small typo error,2022-07-14T11:40:04Z,2022-07-14T17:56:51Z,2022-07-14T17:56:51Z,2,,6.279722222222222,1,0,Merged
template(kingworld): add kingworld template,2022-07-14T13:20:56Z,2022-07-15T11:54:19Z,2022-07-15T11:54:19Z,4,,22.55638888888889,7,92,Merged
docs: update README for better readability and clarity.,2022-07-14T15:55:49Z,,2022-07-15T19:01:13Z,9,,27.09,1,63,Closed
Added  readme file for `blank template` ,2022-07-15T13:12:46Z,2022-07-15T20:09:56Z,2022-07-15T20:09:56Z,3,,6.9527777777777775,1,115,Merged
refactor(installer): renovate install script,2022-07-16T10:47:46Z,2022-07-19T18:56:28Z,2022-07-19T18:56:28Z,1,,80.145,1,561,Merged
Bumped hono version number,2022-07-16T11:32:54Z,2022-07-17T16:57:29Z,2022-07-17T16:57:29Z,4,,29.40972222222222,1,12,Merged
fix printing message for thrown non-error objects,2022-07-17T13:15:53Z,2022-07-17T20:24:35Z,2022-07-17T20:24:36Z,1,,7.145,1,57,Merged
Change bun-types to latest,2022-07-17T20:04:05Z,2022-07-24T20:55:16Z,2022-07-24T20:55:16Z,1,,168.85305555555556,1,29,Merged
chore(benchmark): fix deno console.log benchmark,2022-07-18T04:23:53Z,2022-07-18T23:30:58Z,2022-07-18T23:30:58Z,1,,19.118055555555557,7,0,Merged
