title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Add htpasswd support for basic auth,2015-08-30T18:10:13Z,2015-09-05T20:56:23Z,2015-09-05T20:56:23Z,2,REVIEW_REQUIRED,146.76944444444445,4,141,Merged
Add check for per-host maximum connections,2016-03-08T14:39:44Z,2016-03-14T21:25:44Z,2016-03-14T21:25:44Z,7,REVIEW_REQUIRED,150.76666666666668,5,404,Merged
proxy: don't append predefined headers,2016-09-17T01:47:27Z,2016-09-25T03:02:19Z,2016-09-25T03:02:19Z,17,APPROVED,193.24777777777777,2,372,Merged
parser: fix broken absolute path imports,2016-09-18T02:20:53Z,2016-09-19T22:28:55Z,2016-09-19T22:28:55Z,2,APPROVED,44.13388888888889,2,56,Merged
Add the multipass plugin to the directives,2016-09-20T09:35:07Z,2016-09-20T15:06:28Z,2016-09-20T15:06:28Z,1,APPROVED,5.5225,1,126,Merged
Add expires directive,2016-09-22T20:50:07Z,2016-09-25T03:11:30Z,2016-09-25T03:11:30Z,2,REVIEW_REQUIRED,54.35638888888889,1,59,Merged
improvements for Linux systemd integration,2016-09-22T21:23:07Z,2016-09-23T22:50:39Z,2016-09-23T22:50:39Z,7,APPROVED,25.45888888888889,2,492,Merged
Fastcgi persistent fix,2016-09-23T17:01:00Z,2016-09-24T05:29:23Z,2016-09-24T05:29:23Z,11,APPROVED,12.473055555555556,5,2318,Merged
Add tests for FastCGI persistent connections,2016-09-24T22:19:39Z,2016-09-28T00:12:22Z,2016-09-28T00:12:22Z,19,APPROVED,73.87861111111111,5,389,Merged
proxy: Improve failover logic and retries,2016-09-24T22:39:06Z,2016-09-27T23:53:44Z,2016-09-27T23:53:44Z,4,APPROVED,73.24388888888889,3,2120,Merged
Fastcgi persistent fix.. again,2016-09-27T04:57:35Z,,2016-09-27T23:54:26Z,1,REVIEW_REQUIRED,18.9475,2,0,Closed
header: defer header operations,2016-09-27T07:41:04Z,2016-09-28T01:02:28Z,2016-09-28T01:02:28Z,1,APPROVED,17.356666666666666,2,56,Merged
1136 fix (IP hash policy no longer removes down host from pool),2016-09-27T21:46:18Z,2016-09-28T14:07:58Z,2016-09-28T14:07:58Z,2,APPROVED,16.36111111111111,2,355,Merged
Remove the eager check in the browse middleware,2016-09-28T08:14:03Z,2016-09-28T18:23:44Z,2016-09-28T18:23:44Z,3,APPROVED,10.161388888888888,2,234,Merged
replacer: evaluate header placeholder when replacing,2016-09-28T09:03:05Z,2016-09-28T16:42:42Z,2016-09-28T16:42:42Z,1,APPROVED,7.660277777777778,2,56,Merged
Fix [1152]? Fix unexpected behavior in redir,2016-10-01T13:29:50Z,,2016-10-01T15:24:40Z,1,CHANGES_REQUESTED,1.913888888888889,1,318,Closed
proxy: handle 'without' option in encoded form of URL path,2016-10-02T10:51:27Z,2016-10-02T19:39:55Z,2016-10-02T19:39:55Z,1,APPROVED,8.807777777777778,2,56,Merged
Feature Request: #1117,2016-10-03T07:21:50Z,2016-10-03T16:52:46Z,2016-10-03T16:52:46Z,2,APPROVED,9.515555555555556,3,222,Merged
CurvePreferences (Test) -- Code Style,2016-10-03T18:08:26Z,2016-10-03T23:15:23Z,2016-10-03T23:15:23Z,1,APPROVED,5.115833333333334,1,45,Merged
(WIP) Add maxrequestbody directive,2016-10-03T18:29:21Z,2016-11-04T00:25:49Z,2016-11-04T00:25:50Z,38,APPROVED,749.9411111111111,9,133,Merged
Have milliseconds as the latency log time unit,2016-10-04T03:41:48Z,2016-10-08T20:48:48Z,2016-10-08T20:48:49Z,3,APPROVED,113.11666666666666,2,136,Merged
"Added directive ""filter"" to whitelist for support of caddy-filter plugin",2016-10-04T12:31:24Z,2016-10-15T15:31:23Z,2016-10-15T15:31:23Z,1,APPROVED,266.9997222222222,1,242,Merged
Adding Go Report Card badge,2016-10-04T19:12:32Z,2016-10-05T21:38:27Z,2016-10-05T21:38:27Z,1,APPROVED,26.431944444444444,1,89,Merged
header: implement http.Hijacker for responseWriterWrapper,2016-10-10T07:37:10Z,2016-10-14T05:09:21Z,2016-10-14T05:09:21Z,5,APPROVED,93.5363888888889,6,56,Merged
dist: adapt to archiver's refactor,2016-10-10T08:43:28Z,2016-10-10T18:41:00Z,2016-10-10T18:41:00Z,1,APPROVED,9.95888888888889,1,108,Merged
proxy: preserve path trailing slash if it was there,2016-10-11T09:08:51Z,2016-10-11T16:26:51Z,2016-10-11T16:26:51Z,1,REVIEW_REQUIRED,7.3,2,56,Merged
Very simple fix for #1153,2016-10-13T21:00:40Z,2016-10-16T18:11:52Z,2016-10-16T18:11:52Z,5,APPROVED,69.18666666666667,3,291,Merged
add separate upstart scripts for centos 6 and ubuntu 12.04,2016-10-17T19:59:30Z,2016-10-19T14:13:44Z,2016-10-19T14:13:44Z,1,APPROVED,42.23722222222222,3,164,Merged
errors: don't join the absolute file path,2016-10-18T01:21:11Z,2016-10-18T02:48:45Z,2016-10-18T02:48:45Z,1,APPROVED,1.4594444444444445,2,56,Merged
Update to Go 1.7.3,2016-10-19T21:30:40Z,2016-10-20T00:00:00Z,2016-10-20T00:00:00Z,1,APPROVED,2.488888888888889,2,39,Merged
Make fastcgi load balanceable too,2016-10-20T11:32:13Z,,2016-11-16T20:57:49Z,19,APPROVED,657.4266666666666,6,220,Closed
