title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Number of arguments section.,2017-01-04T22:26:03Z,,2017-01-10T03:29:22Z,2,,125.05527777777777,1,273,Closed
Rephrase default value advice,2017-01-06T04:16:49Z,2017-01-11T03:23:09Z,2017-01-11T03:23:09Z,1,CHANGES_REQUESTED,119.10555555555555,1,543,Merged
Use destructuring for explanatory variables,2017-01-06T08:52:10Z,2017-01-11T03:29:28Z,2017-01-11T03:29:28Z,2,CHANGES_REQUESTED,114.62166666666667,1,154,Merged
Feature/change var,2017-01-06T12:02:18Z,,2017-01-08T16:58:10Z,3,,52.931111111111115,1,108,Closed
Add: Error Handling Section,2017-01-06T16:42:18Z,2017-01-07T03:13:30Z,2017-01-07T03:13:30Z,4,CHANGES_REQUESTED,10.52,1,0,Merged
Change var and let where necessary,2017-01-06T22:02:49Z,2017-01-08T16:42:27Z,2017-01-08T16:42:27Z,3,CHANGES_REQUESTED,42.660555555555554,1,64,Merged
Open/Closed Principle (OCP) example change,2017-01-08T13:28:48Z,,2017-01-11T02:52:59Z,1,,61.403055555555554,1,344,Closed
parenthesize arrow function arguments consistently,2017-01-09T01:19:11Z,2017-01-11T03:17:45Z,2017-01-11T03:17:45Z,2,CHANGES_REQUESTED,49.97611111111111,1,103,Merged
Fill missing commas,2017-01-09T02:35:01Z,2017-01-13T04:26:54Z,2017-01-13T04:26:54Z,1,,97.86472222222223,0,0,Merged
address anonymous functions,2017-01-09T17:56:33Z,2017-01-11T03:16:05Z,2017-01-11T03:16:05Z,2,CHANGES_REQUESTED,33.32555555555555,1,582,Merged
Fix/getter setter,2017-01-10T09:28:57Z,2017-01-11T03:05:02Z,2017-01-11T03:05:02Z,1,CHANGES_REQUESTED,17.601388888888888,1,0,Merged
Functions are cleaner than subclasses,2017-01-11T15:25:02Z,,2017-01-24T03:59:06Z,3,CHANGES_REQUESTED,300.5677777777778,1,177,Closed
Rename state to zipCode to avoid confusion,2017-01-11T18:20:11Z,2017-01-13T03:29:40Z,2017-01-13T03:29:40Z,3,CHANGES_REQUESTED,33.158055555555556,1,139,Merged
Add Side Effects pt.2,2017-01-12T09:51:53Z,2017-01-17T03:48:44Z,2017-01-17T03:48:44Z,6,CHANGES_REQUESTED,113.9475,1,38,Merged
feature: iterator variable names,2017-01-12T18:09:24Z,,2021-05-24T15:52:46Z,1,CHANGES_REQUESTED,38229.72277777778,1,255,Closed
"[Update] ""Prefer composition over inheritance"" section content",2017-01-14T18:59:57Z,,2021-05-24T15:52:40Z,6,,38180.87861111111,1,331,Closed
Composition over inheritance suggestions,2017-01-24T13:15:39Z,,2017-01-27T04:36:16Z,8,,63.34361111111111,1,216,Closed
Fixes some typo issues,2017-02-04T09:30:35Z,2017-02-05T20:35:27Z,2017-02-05T20:35:27Z,1,,35.08111111111111,1,32,Merged
fix: code style,2017-02-10T09:07:15Z,2017-02-11T01:31:20Z,2017-02-11T01:31:20Z,1,,16.40138888888889,1,19,Merged
translate to chinese.,2017-02-13T03:52:02Z,,2017-02-13T16:48:21Z,1,,12.938611111111111,2,21,Closed
Add Object Spread example to 'Set default objects' section,2017-04-20T00:27:26Z,,2021-05-24T15:52:20Z,1,,35895.415,1,0,Closed
Update README.md to include explanatory function names per #200,2017-04-20T17:14:57Z,2017-05-11T16:23:24Z,2017-05-11T16:23:24Z,2,,503.1408333333333,1,75,Merged
"Update function name in ""Don't add unneeded context""",2017-04-27T22:44:52Z,,2021-05-23T18:53:23Z,1,,35684.14194444445,1,198,Closed
"fix code sample in ""Use Promises, not callbacks"" section",2017-04-28T21:46:55Z,,2021-05-23T18:50:49Z,1,,35661.065,1,84,Closed
"Capital letters in const, remove default data in class Car",2017-06-02T16:32:15Z,2017-06-09T21:19:42Z,2017-06-09T21:19:42Z,4,,172.79083333333332,1,58,Merged
Spanish,2017-07-13T19:18:57Z,,2017-07-16T21:14:00Z,2,,73.9175,1,14,Closed
Spanish,2017-07-14T20:37:13Z,,2020-10-07T20:18:15Z,1,,28343.68388888889,1,0,Closed
"Change argument name of ""Use default arguments instead of short circu…",2018-01-15T11:06:52Z,2018-01-20T17:19:05Z,2018-01-20T17:19:05Z,1,,126.20361111111112,1,75,Merged
excess comma removed,2018-11-09T18:28:09Z,,2019-01-24T02:55:23Z,3,,1808.453888888889,1,27,Closed
Feature/add spanish translation,2019-01-23T18:15:30Z,,2019-02-02T10:20:54Z,4,,232.09,1,83,Closed
Change argument name from inner variable name,2020-01-21T08:29:03Z,2020-07-31T03:09:46Z,2020-07-31T03:09:46Z,1,,4602.678611111111,1,0,Merged
Add Serbian translation.,2020-10-10T16:08:01Z,2021-01-21T03:27:40Z,2021-01-21T03:27:40Z,1,,2459.3275,1,0,Merged
added 'Use let/const instead of var',2021-01-06T03:20:09Z,,2021-05-23T18:04:41Z,1,,3302.742222222222,1,140,Closed
replace avoid conditionals with a more Gaurd Cluases,2021-04-28T03:53:59Z,,2021-05-23T18:34:36Z,2,,614.6769444444444,1,155,Closed
