title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Add ping/pong to the protocol,2019-03-05T01:17:28Z,2019-03-05T03:26:17Z,2019-03-05T03:26:17Z,3,APPROVED,2.1469444444444443,8,0,Merged
Implement #4 - fix password via CLI,2019-03-05T18:10:01Z,2019-03-06T08:08:43Z,2019-03-06T08:08:43Z,8,,13.978333333333333,2,189,Merged
Add task for packaging release,2019-03-05T18:38:06Z,2019-03-07T00:15:53Z,2019-03-07T00:15:53Z,4,,29.629722222222224,8,0,Merged
Fixes calculate num of cpu threads for HappyPack,2019-03-05T20:48:29Z,2019-03-05T23:02:50Z,2019-03-05T23:02:50Z,1,APPROVED,2.2391666666666667,1,142,Merged
Open localhost URL with --open,2019-03-06T05:52:28Z,2019-03-07T17:23:55Z,2019-03-07T17:23:55Z,5,APPROVED,35.524166666666666,3,125,Merged
Update to vscode 1.31.1,2019-03-06T17:30:34Z,2019-03-06T19:10:24Z,2019-03-06T19:10:24Z,1,APPROVED,1.663888888888889,3,0,Merged
Fix spelling error,2019-03-06T18:00:17Z,2019-03-07T00:21:34Z,2019-03-07T00:21:34Z,1,APPROVED,6.354722222222223,1,0,Merged
"Generate secure passwords, resolves issue #26",2019-03-06T21:13:24Z,2019-03-07T00:25:45Z,2019-03-07T00:25:45Z,1,APPROVED,3.2058333333333335,1,777,Merged
Revise welcome page,2019-03-06T22:47:58Z,,2019-03-07T16:25:47Z,1,CHANGES_REQUESTED,17.630277777777778,3,51,Closed
Add Dockerfile and some cleanup,2019-03-06T23:02:20Z,2019-03-07T02:59:44Z,2019-03-07T02:59:44Z,23,APPROVED,3.9566666666666666,5,13,Merged
make docker build working with after a fresh checkout,2019-03-07T08:07:12Z,,2019-03-07T21:28:36Z,6,,13.356666666666667,13,0,Closed
Generate the en_US.UTF-8 locale in the docker image,2019-03-07T14:01:50Z,,2019-03-07T19:08:10Z,1,CHANGES_REQUESTED,5.105555555555555,1,77,Closed
update example docker command port bind options,2019-03-07T15:55:27Z,2019-03-07T17:31:02Z,2019-03-07T17:31:02Z,2,APPROVED,1.5930555555555554,1,197,Merged
Patch welcome page,2019-03-07T17:33:19Z,,2019-03-20T14:22:24Z,2,CHANGES_REQUESTED,308.81805555555553,1,40,Closed
Docker issues,2019-03-07T20:43:55Z,,2019-03-16T17:47:47Z,24,,213.06444444444443,7,246,Closed
Improve .dockerignore,2019-03-07T21:58:40Z,2019-03-08T17:13:25Z,2019-03-08T17:13:25Z,2,APPROVED,19.245833333333334,1,66,Merged
Add note about extensions needing to be OSS,2019-03-08T00:44:00Z,2019-03-22T19:58:14Z,2019-03-22T19:58:14Z,4,APPROVED,355.2372222222222,1,387,Merged
Feature/1.32.0 update,2019-03-08T01:57:36Z,2019-03-08T16:37:04Z,2019-03-08T16:37:04Z,1,APPROVED,14.657777777777778,16,0,Merged
Fixed documentation download links based on latest version,2019-03-08T10:59:07Z,2019-03-18T15:45:20Z,2019-03-18T15:45:20Z,5,CHANGES_REQUESTED,244.77027777777778,3,415,Merged
Use a timing-safe equality check for passwords,2019-03-08T13:07:04Z,2019-03-09T17:24:37Z,2019-03-09T17:24:37Z,1,APPROVED,28.2925,3,526,Merged
Add support for Kubernetes ,2019-03-08T18:57:17Z,2019-03-18T15:44:08Z,2019-03-18T15:44:09Z,6,APPROVED,236.78083333333333,2,760,Merged
Added serviceworker and web-manifest,2019-03-09T00:20:31Z,2019-04-16T20:44:58Z,2019-04-16T20:44:58Z,15,APPROVED,932.4075,6,886,Merged
Adhere to XDG base directory spec for dataDir and logDir,2019-03-09T01:55:33Z,2019-03-09T17:11:31Z,2019-03-09T17:11:31Z,2,APPROVED,15.266111111111112,2,529,Merged
Fix typo in Dockerfile,2019-03-09T07:05:07Z,2019-03-09T17:06:48Z,2019-03-09T17:06:48Z,1,APPROVED,10.028055555555556,1,266,Merged
Improve github issue template,2019-03-09T09:45:53Z,2019-03-09T17:07:43Z,2019-03-09T17:07:43Z,1,APPROVED,7.363888888888889,4,99,Merged
Clone exact vscode release branch when build task,2019-03-09T11:03:43Z,2019-03-10T15:02:09Z,2019-03-10T15:02:09Z,2,APPROVED,27.97388888888889,1,216,Merged
Added ENTRYPOINT to omit full command at launch.,2019-03-09T13:20:50Z,,2019-03-09T22:51:54Z,2,CHANGES_REQUESTED,9.517777777777777,1,195,Closed
