title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours
readme: Add my tutorial on shell,2018-05-11T10:08:57Z,2018-05-12T07:55:36Z,2018-05-12T07:55:36Z,3,,21.7775
Add: Generate SVG images in C,2018-05-12T08:21:04Z,,2018-05-13T10:53:26Z,1,,26.539444444444445
"Add ""Build your own Window Manager""",2018-05-13T14:44:31Z,2018-05-14T06:51:54Z,2018-05-14T06:51:54Z,1,,16.123055555555556
added 'Build your own CI server' title & one item,2018-05-14T14:37:35Z,2018-05-15T13:35:32Z,2018-05-15T13:35:32Z,3,,22.965833333333332
Update README.md,2018-05-14T17:30:12Z,2018-05-14T18:55:00Z,2018-05-14T18:55:00Z,2,,1.4133333333333333
Added a New Category : Text Editor,2018-05-24T05:49:20Z,2018-05-24T09:21:06Z,2018-05-24T09:21:06Z,1,,3.5294444444444446
"Found a Web site hosting these tutorials, want to add a link",2018-06-24T09:09:39Z,,2018-06-29T10:33:16Z,1,,121.39361111111111
Add Build your own Front-end Framework re-implement react fiber,2019-03-27T02:34:20Z,,2019-10-07T02:28:58Z,1,,4655.910555555555
Added a tutorial: Lest's build a NodeJS micro framework,2019-04-13T12:06:48Z,,2024-07-25T17:59:41Z,1,,46325.88138888889
Add 'Twitter Bot Tutorial-Node.js and Processing',2019-10-06T15:01:26Z,,2020-10-30T19:20:29Z,1,,9364.3175
Add an article about monadic parser combinators in C#,2019-11-10T21:06:49Z,,2022-11-28T09:34:36Z,1,,26724.463055555556
Add Write your own Excel in 100 lines of F#,2020-02-07T13:37:24Z,,2023-07-30T08:45:16Z,1,,30451.13111111111
Fix a broken link with archive,2020-07-27T02:13:06Z,,2024-02-12T22:30:30Z,1,,31100.29
Update readme,2020-08-02T21:17:08Z,,2023-07-16T16:00:52Z,1,,25866.72888888889
Add Web App Server in Golang,2020-10-01T12:55:06Z,,2020-10-25T18:24:41Z,1,,581.4930555555555
Add Test Collision With Separating Axis Theorem in JavaScript,2020-10-03T19:26:47Z,,2021-12-02T14:21:40Z,1,,10194.914722222222
"Add link to ""ugit: Building Git Yourself""",2020-10-11T11:29:49Z,2023-01-31T07:38:01Z,2023-01-31T07:38:01Z,1,,20204.136666666665
Add Ray Tracing in One Weekend,2020-11-17T02:38:14Z,2023-01-31T07:44:39Z,2023-01-31T07:44:39Z,2,,19325.106944444444
Add a tutorial about writing a Tetris game.,2021-06-16T14:11:33Z,,2021-08-29T15:42:17Z,1,,1777.5122222222221
chore: remove reverse engineering react unavailable resourse,2021-11-05T16:13:59Z,2021-11-30T08:41:01Z,2021-11-30T08:41:01Z,1,,592.4505555555555
added cryptoCurreny miner and dockerize tuturial,2021-11-17T20:04:08Z,,2022-07-18T13:41:33Z,1,,5825.623611111111
Emphasize JavaScript's Regex Implementation Topic,2022-02-13T17:59:19Z,2022-02-16T14:06:28Z,2022-02-16T14:06:28Z,1,,68.11916666666667
Added tutorial for building a basic Rust CLI app,2022-06-17T12:00:53Z,,2023-07-04T13:04:41Z,4,,9169.063333333334
Update Games With Go unavailable link,2022-07-16T11:43:47Z,2022-07-20T14:00:56Z,2022-07-20T14:00:56Z,1,,98.28583333333333
New 2D game development with JavaScript added,2022-08-15T01:52:46Z,,2022-11-08T10:10:48Z,1,,2048.3005555555555
Update README.md,2022-08-16T14:14:12Z,,2024-05-25T15:36:32Z,1,,15553.372222222222
add python slack bot,2022-09-02T02:55:49Z,,2023-03-02T06:23:48Z,3,,4347.466388888889
Add Create Your Own CLI Tool with NodeJS,2022-10-05T17:56:03Z,2022-10-09T10:17:49Z,2022-10-09T10:17:49Z,1,,88.36277777777778
Add KV store,2023-02-14T19:48:30Z,2023-02-16T11:17:42Z,2023-02-16T11:17:42Z,2,,39.486666666666665
Add quote information,2023-03-26T10:00:21Z,,2023-10-16T15:00:21Z,1,,4901.0
add Build your own VPN/Virtual Switch,2023-05-09T09:03:51Z,2023-05-10T00:26:40Z,2023-05-10T00:26:40Z,3,,15.380277777777778
Fix: Replaced a broken link with alternative from smashingmagazine.com,2023-09-30T06:56:25Z,2023-10-26T20:04:50Z,2023-10-26T20:04:50Z,1,,637.1402777777778
Update README.md,2023-10-11T11:40:19Z,,2023-10-16T17:13:38Z,1,,125.55527777777777
new pull request,2023-11-23T18:00:26Z,,2023-11-24T11:55:09Z,1,,17.911944444444444
added python commandline tool,2024-04-12T03:57:56Z,,2024-04-14T10:53:53Z,2,,54.9325
fix: fixed broken link from list,2024-06-05T21:00:45Z,2024-06-12T21:49:32Z,2024-06-12T21:49:32Z,3,,168.81305555555556
feat: added how to build a cli app with node 2024 guide,2024-06-29T08:23:12Z,,2024-09-13T13:41:27Z,1,,1829.3041666666666
"Updated the article link for ""Python: Developing a License Plate Recognition System with Machine Learning in Python""",2024-07-13T18:06:33Z,,2024-07-15T11:09:09Z,3,,41.04333333333334
Update README.md,2024-08-03T14:41:51Z,2024-08-06T00:02:50Z,2024-08-06T00:02:51Z,1,,57.34972222222222
