title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Added free discrete math book,2016-09-23T14:49:08Z,,2016-10-03T12:56:46Z,1,,238.12722222222223,1,87,Closed
updated books and courses,2016-10-13T15:41:12Z,,2016-10-13T22:39:33Z,16,,6.9725,3,193,Closed
updated books,2016-10-14T09:25:53Z,,2016-10-23T09:14:09Z,1,,215.80444444444444,2,40,Closed
Improved some english phrases,2016-10-18T08:27:53Z,2016-10-18T10:02:38Z,2016-10-18T10:02:38Z,1,,1.5791666666666666,1,0,Merged
ADD: Advanced Operating Systems from U.C.B.,2016-11-13T11:33:33Z,2016-11-15T20:47:09Z,2016-11-15T20:47:09Z,2,,57.22666666666667,1,62,Merged
Update courses.md,2018-01-16T03:00:16Z,,2018-09-27T22:32:52Z,1,CHANGES_REQUESTED,6115.543333333333,1,69,Closed
Fixed a few grammatical mistakes.,2018-10-13T12:10:41Z,2018-10-16T14:28:49Z,2018-10-16T14:28:49Z,3,,74.30222222222223,1,61,Merged
Add curricular guidelines,2018-10-22T23:51:13Z,,2018-11-06T05:31:57Z,1,CHANGES_REQUESTED,341.6788888888889,2,287,Closed
Update to current version of LAFF course website,2019-04-11T13:21:23Z,2019-04-11T19:34:40Z,2019-04-11T19:34:40Z,1,,6.221388888888889,1,0,Merged
README: Small text fixes,2019-10-11T09:25:57Z,2019-10-11T22:00:03Z,2019-10-11T22:00:03Z,2,,12.568333333333333,1,25,Merged
Update README.md,2020-09-18T11:42:52Z,,2021-08-03T17:22:58Z,1,,7661.668333333333,1,85,Closed
"Add ""Practical C Programming by Steve Oualline""",2020-12-28T04:49:58Z,,2021-01-18T14:33:48Z,2,,513.7305555555556,1,206,Closed
Update Game Design specialization,2021-01-26T18:59:21Z,2021-01-29T08:26:13Z,2021-01-29T08:26:13Z,2,,61.44777777777778,1,189,Merged
Set theme jekyll-theme-cayman,2021-03-04T07:58:42Z,,2021-03-31T01:52:40Z,1,,641.8994444444445,1,76,Closed
Switch 3b1b Linear Algebra from pre to corequisite,2021-07-24T04:16:19Z,2021-10-09T06:19:36Z,2021-10-09T06:19:36Z,1,,1850.0547222222222,1,92,Merged
Add interesting/useful reading resources,2021-08-25T18:42:22Z,2021-10-09T06:22:21Z,2021-10-09T06:22:21Z,1,,1067.6663888888888,1,189,Merged
Add The Linux Command Line book to Tools section in extra readings,2021-10-01T20:49:06Z,2021-12-10T18:58:22Z,2021-12-10T18:58:22Z,1,,1678.1544444444444,1,173,Merged
Fixes typos,2022-03-20T10:51:30Z,2022-03-21T21:46:28Z,2022-03-21T21:46:28Z,1,,34.916111111111114,1,46,Merged
Swap Intro CS from edX to OpenCourseWare,2022-08-03T06:10:03Z,2022-08-23T23:16:16Z,2022-08-23T23:16:16Z,1,,497.1036111111111,1,15,Merged
Add a new project from a student,2023-02-01T12:29:20Z,2023-04-05T04:18:42Z,2023-04-05T04:18:42Z,1,,1503.8227777777777,1,398,Merged
for test,2023-08-04T05:35:55Z,,2023-08-04T19:18:01Z,1,,13.701666666666666,2,0,Closed
Adding a new URL course for Git and GitHub because the old link invalid,2024-01-28T00:35:19Z,2024-01-28T04:26:18Z,2024-01-28T04:26:18Z,2,,3.8497222222222223,1,223,Merged
Remove mentions of outdated materials and add warning about them,2024-02-17T06:24:47Z,2024-02-18T17:16:58Z,2024-02-18T17:16:59Z,1,,34.86972222222222,1,1293,Merged
Mark the Py4E course link as link,2024-03-22T17:26:39Z,2024-03-26T03:45:35Z,2024-03-26T03:45:35Z,1,,82.31555555555556,1,323,Merged
