title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Fix typo in index.md,2021-12-12T15:28:32Z,2021-12-13T03:35:33Z,2021-12-13T03:35:33Z,1,,12.116944444444444,1,0,Merged
format issue at csdiy.wiki: duke coursera C markdown format fix.,2022-04-16T14:12:36Z,2022-04-16T16:03:20Z,2022-04-16T16:03:20Z,1,,1.8455555555555556,1,232,Merged
Update CS61A.md,2022-05-08T15:15:44Z,2022-05-11T15:43:10Z,2022-05-11T15:43:10Z,1,CHANGES_REQUESTED,72.45722222222223,1,69,Merged
"[New Course] Add ""Digital Design and Computer Architecture""",2022-05-11T01:02:19Z,2022-05-11T06:58:45Z,2022-05-11T06:58:45Z,3,CHANGES_REQUESTED,5.940555555555555,2,0,Merged
"[Books] Add books for Computer Graphics, Gameplay, Game Engine and Design Patterns",2022-05-24T03:35:27Z,2022-05-24T07:33:13Z,2022-05-24T07:33:13Z,4,,3.9627777777777777,1,0,Merged
[COURSE] add Caltech CS122 & Database book ,2022-08-06T05:23:55Z,2022-08-06T17:09:40Z,2022-08-06T17:09:40Z,1,,11.7625,3,0,Merged
[BOOKS] Add CS books,2022-08-20T10:32:40Z,2022-08-25T12:40:45Z,2022-08-25T12:40:45Z,2,CHANGES_REQUESTED,122.13472222222222,1,18,Merged
[FEATURE] English version support using mkdocs-static-i18n,2022-09-13T14:38:50Z,2022-09-15T05:19:05Z,2022-09-15T05:19:05Z,1,CHANGES_REQUESTED,38.670833333333334,5,86,Merged
[TRANSLATION] Translate MITLA.md,2022-09-17T05:13:37Z,2022-09-17T11:33:48Z,2022-09-17T11:33:48Z,1,CHANGES_REQUESTED,6.336388888888889,1,116,Merged
[TRANSLATION] Translate CS61B.md,2022-09-18T06:41:02Z,2022-09-18T09:38:19Z,2022-09-18T09:38:19Z,1,,2.9547222222222222,1,0,Merged
[TRANSLATION] translate Data100.md,2022-09-18T09:45:02Z,2022-09-18T11:40:04Z,2022-09-18T11:40:04Z,1,,1.9172222222222222,1,0,Merged
[CORRECTION] Correct a tiny spelling error,2022-09-18T11:26:37Z,2022-09-18T12:35:56Z,2022-09-18T12:35:56Z,1,,1.1552777777777778,1,0,Merged
[TRANSLATION] translate CS50.md,2022-09-20T11:45:56Z,2022-09-20T13:13:06Z,2022-09-20T13:13:06Z,1,,1.4527777777777777,1,0,Merged
[TRANSLATION]Translate CS61A.md CS106B.md CS106L.md,2022-09-21T05:13:16Z,2022-09-21T13:10:06Z,2022-09-21T13:10:06Z,2,,7.947222222222222,3,0,Merged
[TRANSLATION] translate 6.042J.md,2022-09-21T12:29:46Z,2022-09-21T13:34:26Z,2022-09-21T13:34:26Z,1,,1.0777777777777777,1,0,Merged
[TRANSLATION] translate CS144.md,2022-09-22T02:59:50Z,2022-09-22T04:42:13Z,2022-09-22T04:42:13Z,1,,1.706388888888889,1,0,Merged
[TRANSLATION]Translate ML.md,2022-09-22T04:46:46Z,2022-09-22T06:21:41Z,2022-09-22T06:21:41Z,1,,1.5819444444444444,1,0,Merged
[TRANSLATION] translate CS142.md,2022-09-22T12:43:38Z,2022-09-23T01:05:53Z,2022-09-23T01:05:53Z,1,,12.370833333333334,1,0,Merged
[TRANSLATION] translate topdown.md,2022-09-23T11:45:20Z,2022-09-24T04:25:18Z,2022-09-24T04:25:18Z,1,,16.66611111111111,1,0,Merged
[TRANSLATION]Translate CS70.md,2022-09-24T01:54:11Z,2022-09-24T14:34:06Z,2022-09-24T14:34:06Z,1,,12.665277777777778,1,0,Merged
[TRANSLATION] translate EE16.md,2022-09-24T11:58:30Z,2022-09-24T15:06:17Z,2022-09-24T15:06:17Z,1,,3.129722222222222,1,0,Merged
[TRANSLATION] translate MITmaths.md && CS126.md,2022-09-25T10:14:45Z,2022-09-25T12:09:53Z,2022-09-25T12:09:53Z,1,,1.9188888888888889,3,0,Merged
[TRANSLATION] translate Algo.md,2022-09-25T11:30:37Z,2022-09-25T12:48:05Z,2022-09-25T12:48:05Z,1,,1.291111111111111,1,0,Merged
[TRANSLATION] translate numerical.md,2022-09-26T02:18:24Z,2022-09-26T04:43:34Z,2022-09-26T04:43:34Z,1,,2.4194444444444443,3,0,Merged
[TRANSLATION] translate Signals_and_Systems_AVO.md,2022-09-26T13:35:51Z,2022-09-27T01:03:21Z,2022-09-27T01:03:21Z,1,,11.458333333333334,1,0,Merged
[TRANSLATION] translate convex.md,2022-09-27T00:32:01Z,2022-09-29T10:13:05Z,2022-09-29T10:13:05Z,1,,57.684444444444445,1,0,Merged
[TRANSLATION] translate The_Information_Theory_Pattern_Recognition_and_Neural_Networks.md,2022-09-28T12:25:08Z,2022-09-29T03:14:05Z,2022-09-29T03:14:05Z,1,,14.815833333333334,1,0,Merged
[TRANSLATE] translate N2T.en.md,2022-09-29T14:26:15Z,2022-09-29T17:21:16Z,2022-09-29T17:21:16Z,2,,2.9169444444444443,1,123,Merged
[TRANSLATE] Translated MIT6.S081.md,2022-09-29T19:37:17Z,2022-09-30T04:36:20Z,2022-09-30T04:36:20Z,1,,8.984166666666667,1,59,Merged
[TRANSLATE] translate Duke-Coursera-Intro-C.md,2022-09-30T02:36:21Z,2022-09-30T06:31:21Z,2022-09-30T06:31:21Z,1,,3.9166666666666665,2,0,Merged
[TRANSLATION] translate CS110L.md and correct a tiny error,2022-09-30T07:23:04Z,2022-09-30T23:17:12Z,2022-09-30T23:17:13Z,1,,15.902222222222223,4,0,Merged
[TRANSLATION] translate signal.md,2022-10-01T08:35:32Z,2022-10-01T16:06:19Z,2022-10-01T16:06:19Z,1,,7.513055555555556,1,0,Merged
[TRANSLATION] translate CS186.md,2022-10-01T12:26:09Z,2022-10-02T09:20:02Z,2022-10-02T09:20:02Z,1,,20.898055555555555,1,0,Merged
[TRANSLATION] translate CS170.md,2022-10-03T10:43:21Z,2022-10-03T14:00:27Z,2022-10-03T14:00:27Z,1,,3.285,9,0,Merged
[TRANSLATION] translate Git.md,2022-10-03T12:17:50Z,2022-10-03T14:16:44Z,2022-10-03T14:16:44Z,1,,1.9816666666666667,1,0,Merged
[TRANSLATION] translate 6031.md and fix a tiny error,2022-10-04T03:51:26Z,2022-10-04T06:36:08Z,2022-10-04T06:36:08Z,3,,2.745,2,0,Merged
[TRANSLATION] translate CMake.md,2022-10-08T05:17:54Z,2022-10-08T06:33:00Z,2022-10-08T06:33:00Z,2,,1.2516666666666667,1,0,Merged
[TRANSLATION] translate CS169.md,2022-10-08T07:19:05Z,2022-10-08T16:39:54Z,2022-10-08T16:39:54Z,1,,9.346944444444444,2,0,Merged
[TRANSLATION] translate DDCA.md and CS61C.md,2022-10-09T04:59:06Z,2022-10-10T10:50:29Z,2022-10-10T10:50:29Z,1,,29.85638888888889,2,0,Merged
[TRANSLATION] translate CSAPP.md,2022-10-11T08:41:05Z,2022-10-11T13:37:43Z,2022-10-11T13:37:43Z,1,,4.943888888888889,1,0,Merged
[TRANSLATION] translate CS161.md ,2022-10-12T01:52:17Z,2022-10-14T02:08:20Z,2022-10-14T02:08:20Z,1,,48.2675,2,14,Merged
[TRANSLATION] translate CS162.md and fix a tiny erro,2022-10-12T11:44:34Z,2022-10-14T10:15:24Z,2022-10-14T10:15:24Z,1,,46.513888888888886,9,0,Merged
[TRANSLATION] translate MIT6.858.md and fix typo,2022-10-15T05:59:36Z,2022-10-16T14:05:35Z,2022-10-16T14:05:35Z,1,,32.09972222222222,7,0,Merged
[TRANSLATION] translate cs189.md,2022-10-18T02:18:41Z,2022-10-18T08:15:50Z,2022-10-18T08:15:50Z,1,,5.9525,1,0,Merged
[TRANSLATION] translate CS149.md,2022-10-20T10:35:15Z,2022-10-21T15:30:04Z,2022-10-21T15:30:04Z,1,,28.913611111111113,1,0,Merged
[TRANSLATION] translate MIT6.824.md,2022-10-22T08:33:16Z,2022-10-22T15:32:15Z,2022-10-22T15:32:15Z,1,,6.983055555555556,1,0,Merged
[TRANSLATION] translate topdown_ustc.md,2022-10-23T11:05:02Z,2022-10-24T10:26:13Z,2022-10-24T10:26:13Z,1,,23.353055555555557,1,0,Merged
[TRANSLATION] translate mitweb.md,2022-10-25T15:05:29Z,2022-10-25T16:55:55Z,2022-10-25T16:55:55Z,1,,1.8405555555555555,1,0,Merged
[ENHANCE] Added MIT6.S081 xv6 support resource,2022-10-27T05:12:13Z,2022-10-28T16:27:51Z,2022-10-28T16:27:51Z,2,,35.260555555555555,2,0,Merged
[TRANSLATION] translate 15445.md and fix a typo,2022-10-31T12:19:18Z,2022-10-31T18:06:45Z,2022-10-31T18:06:45Z,1,,5.7908333333333335,2,0,Merged
[TOOLS] Add scoop article in tools,2022-10-31T16:38:31Z,2022-11-02T06:02:28Z,2022-11-02T06:02:28Z,1,,37.399166666666666,3,5,Merged
[FEAT]Update the textbook resource,2022-11-04T17:24:05Z,2022-11-05T06:08:14Z,2022-11-05T06:08:14Z,2,,12.735833333333334,1,320,Merged
[TRANSLATE] Translate Stanford's Compiler Course ,2022-11-16T04:14:37Z,2022-11-17T08:45:04Z,2022-11-17T08:45:04Z,1,,28.5075,1,105,Merged
