title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Adding some missing descriptions...,2017-07-07T18:19:01Z,2017-10-02T17:09:00Z,2017-10-02T17:09:00Z,8,,2086.8330555555553,1,186,Merged
Updated the information about editing the wiki page.,2018-05-11T11:59:43Z,,2019-01-19T16:26:50Z,3,,6076.451944444444,4,210,Closed
API.md: radialLine must be lineRadial,2018-05-13T11:44:04Z,2019-01-19T16:22:11Z,2019-01-19T16:22:11Z,2,,6028.635277777777,1,154,Merged
CI using Azure Pipelines from Microsoft,2018-11-29T00:12:07Z,,2019-08-01T15:02:27Z,2,,5894.8388888888885,6,9279,Closed
"NPM command was not visible enough , so quoted it.",2018-12-05T10:57:47Z,,2019-08-01T15:03:11Z,1,,5740.09,1,107,Closed
improve docs on modules,2018-12-19T05:57:35Z,,2019-08-01T15:08:11Z,1,,5409.176666666666,1,0,Closed
Remove beta from observablehq.com links,2019-09-24T22:45:14Z,2019-09-25T05:15:43Z,2019-09-25T05:15:43Z,2,,6.508055555555556,1,94,Merged
Six,2020-07-27T16:45:02Z,2020-08-26T21:34:57Z,2020-08-26T21:34:57Z,3,,724.8319444444444,7,441,Merged
Remove Bower support.,2020-08-23T23:27:20Z,2020-08-26T20:38:10Z,2020-08-26T20:38:10Z,1,APPROVED,69.18055555555556,2,0,Merged
Use @rollup/plugin-node-resolve instead of rollup-plugin-node-resolve,2020-12-30T08:24:47Z,,2021-06-11T17:50:21Z,1,,3921.426111111111,3,88,Closed
Add a configuration file of GitHub Action for ESLint,2021-03-16T18:15:55Z,,2021-06-11T17:50:21Z,1,,2087.573888888889,5,426,Closed
vitepress docs,2023-05-17T01:00:36Z,2023-06-08T01:30:48Z,2023-06-08T01:30:48Z,3,,528.5033333333333,139,12,Merged
"Add short ""D3 in React"" section",2023-06-07T23:13:06Z,2023-06-08T00:22:04Z,2023-06-08T00:22:04Z,5,APPROVED,1.1494444444444445,1,607,Merged
fix broken anchors,2023-06-08T17:29:31Z,2023-06-09T02:36:35Z,2023-06-09T02:36:35Z,2,APPROVED,9.117777777777778,46,0,Merged
Fixing broken links in docs,2023-06-08T19:41:26Z,2023-06-08T21:21:39Z,2023-06-08T21:21:39Z,2,,1.6702777777777778,15,100,Merged
more anchor fixes & restructure API/geo,2023-06-09T07:15:45Z,2023-06-09T14:22:35Z,2023-06-09T14:22:35Z,1,APPROVED,7.113888888888889,10,0,Merged
two more anchors… hopefully the last,2023-06-09T14:53:36Z,2023-06-09T16:08:58Z,2023-06-09T16:08:58Z,2,APPROVED,1.2561111111111112,2,0,Merged
add color,2023-06-11T20:02:06Z,2023-06-15T18:02:34Z,2023-06-15T18:02:34Z,1,APPROVED,94.00777777777778,3,71,Merged
example chord,2023-06-11T20:04:46Z,2023-06-15T18:43:45Z,2023-06-15T18:43:45Z,1,APPROVED,94.64972222222222,2,188,Merged
fix textStroke,2023-06-12T08:12:36Z,2023-06-12T13:36:51Z,2023-06-12T13:36:51Z,1,APPROVED,5.404166666666667,2,163,Merged
test documentation links,2023-06-12T09:36:38Z,2023-06-13T16:57:29Z,2023-06-13T16:57:29Z,1,APPROVED,31.3475,5,264,Merged
State a general principle for which d3 modules compete with React,2023-06-12T15:10:34Z,2023-06-12T19:35:50Z,2023-06-12T19:35:50Z,3,APPROVED,4.421111111111111,1,479,Merged
avoid rotation jumpiness,2023-06-13T14:10:05Z,2023-06-13T16:33:02Z,2023-06-13T16:33:02Z,1,APPROVED,2.3825,1,0,Merged
Simplify the quotes for readability,2023-06-15T04:54:51Z,,2023-06-15T06:40:50Z,1,,1.7663888888888888,1,67,Closed
an intro for axis,2023-06-15T06:34:19Z,2023-06-16T20:41:47Z,2023-06-16T20:41:47Z,2,APPROVED,38.12444444444444,2,118,Merged
remove line hash,2023-06-25T10:05:44Z,2023-06-25T15:02:26Z,2023-06-25T15:02:26Z,1,APPROVED,4.945,1,0,Merged
a few links to notebooks that have been refreshed,2023-07-05T07:13:17Z,2023-07-29T16:44:37Z,2023-07-29T16:44:37Z,1,APPROVED,585.5222222222222,18,29,Merged
Fix d3-time example,2023-08-09T11:50:13Z,2023-08-21T18:09:14Z,2023-08-21T18:09:14Z,1,APPROVED,294.31694444444446,1,118,Merged
add mutation warnings,2023-08-21T19:34:38Z,2023-08-21T21:05:07Z,2023-08-21T21:05:07Z,1,APPROVED,1.5080555555555555,2,12,Merged
fix link to example,2023-08-23T14:31:06Z,2023-08-23T15:46:12Z,2023-08-23T15:46:12Z,2,APPROVED,1.2516666666666667,1,0,Merged
single module,2023-10-05T16:43:22Z,2023-10-05T19:25:29Z,2023-10-05T19:25:29Z,1,CHANGES_REQUESTED,2.7019444444444445,1,213,Merged
remove newsletter link for now,2023-10-05T16:52:27Z,2023-10-05T19:12:59Z,2023-10-05T19:12:59Z,1,APPROVED,2.3422222222222224,1,0,Merged
"restructure README, redirect API",2023-10-06T15:44:33Z,2023-10-06T16:59:53Z,2023-10-06T16:59:53Z,1,APPROVED,1.2555555555555555,3,36,Merged
Update Slack invite links,2023-10-12T21:57:34Z,2023-10-12T23:19:58Z,2023-10-12T23:19:58Z,1,APPROVED,1.3733333333333333,3,120,Merged
always have exactly two/three elements,2023-10-13T17:56:29Z,2023-10-15T07:17:56Z,2023-10-15T07:17:56Z,4,APPROVED,37.3575,2,0,Merged
scaleTime example,2023-10-23T13:37:54Z,2023-10-23T16:33:40Z,2023-10-23T16:33:40Z,1,APPROVED,2.9294444444444445,1,100,Merged
Documentation for d3-geo#281,2023-11-20T15:40:19Z,2024-03-12T21:17:10Z,2024-03-12T21:17:11Z,1,APPROVED,2717.6141666666667,1,55,Merged
Fix: Typo in README is corrected,2023-12-29T01:10:54Z,,2024-05-27T16:20:03Z,1,,3615.1525,1,0,Closed
