title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Add Icon Finder to Icon List,2020-05-07T01:51:57Z,,2020-05-07T13:22:26Z,1,,11.508055555555556,1,0,Closed
Add Line Awesome,2020-05-07T13:21:54Z,,2020-05-07T15:53:48Z,1,,2.5316666666666667,1,31,Closed
added MVP.css,2020-05-07T21:38:39Z,2020-05-08T10:06:06Z,2020-05-08T10:06:06Z,1,APPROVED,12.4575,1,0,Merged
Added Semantic UI,2020-05-08T06:59:12Z,,2020-05-08T10:07:34Z,1,CHANGES_REQUESTED,3.1394444444444445,1,58,Closed
Delete not free library (TypeIt JS),2020-05-08T08:00:55Z,2020-05-08T10:05:42Z,2020-05-08T10:05:42Z,2,APPROVED,2.0797222222222222,1,0,Merged
Add Vuesax in Vue UI,2020-05-08T08:20:05Z,2020-05-08T10:40:47Z,2020-05-08T10:40:47Z,1,APPROVED,2.345,1,0,Merged
[LogoHub] -> [Icons],2020-05-08T11:44:47Z,2020-05-08T13:42:23Z,2020-05-08T13:42:23Z,1,APPROVED,1.96,1,19,Merged
[NG Zorro] -> [Angular UI Libraries],2020-05-08T12:08:19Z,2020-05-08T13:40:25Z,2020-05-08T13:40:25Z,1,APPROVED,1.535,1,29,Merged
[Musopen] -> [Stock Music & Sound Effects],2020-05-08T12:23:36Z,2020-05-08T13:45:16Z,2020-05-08T13:45:17Z,1,APPROVED,1.3611111111111112,1,32,Merged
[SaaS Landing Page] -> [Design Inspiration],2020-05-08T12:32:25Z,2020-05-08T13:45:59Z,2020-05-08T13:45:59Z,1,APPROVED,1.2261111111111112,1,34,Merged
[Webflow] -> [Online Design Tools],2020-05-08T15:02:28Z,2020-05-08T16:14:14Z,2020-05-08T16:14:14Z,1,APPROVED,1.1961111111111111,1,254,Merged
[CompressJPEG] remove  duplicate [Image Compression] ,2020-05-08T18:10:56Z,,2020-05-09T01:22:43Z,1,APPROVED,7.1963888888888885,1,217,Closed
Update readme.MD,2020-05-08T19:11:55Z,,2020-05-09T09:39:51Z,1,CHANGES_REQUESTED,14.465555555555556,1,80,Closed
[Chocolat.js] -> [A free lightbox plugin],2020-05-09T11:35:15Z,2020-05-09T20:42:08Z,2020-05-09T20:42:08Z,2,CHANGES_REQUESTED,9.114722222222222,1,211,Merged
[Nappy] -> [Stock Photos],2020-05-13T02:21:05Z,2020-05-13T09:31:01Z,2020-05-13T09:31:01Z,2,APPROVED,7.165555555555556,1,420,Merged
