title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Fix some issues,2017-03-19T13:32:51Z,,2017-03-23T05:14:20Z,1,,87.6913888888889,2,141,Closed
"Added a list of Linux & Unix server distributions, and Emacs as text editor",2018-01-11T02:10:03Z,2018-02-27T08:57:27Z,2018-02-27T08:57:27Z,1,,1134.79,2,351,Merged
fixes #369,2018-01-30T22:21:06Z,,2018-02-04T21:16:06Z,1,,118.91666666666667,1,0,Closed
Added Cypress,2018-02-13T22:41:10Z,,2020-01-10T22:50:16Z,1,,16704.15166666667,2,0,Closed
Emoji for both genders,2018-10-11T02:09:55Z,2018-10-11T20:48:08Z,2018-10-11T20:48:08Z,1,,18.636944444444445,1,47,Merged
him -> them,2018-10-13T22:00:01Z,,2020-01-04T07:21:27Z,1,,10737.357222222223,1,37,Closed
"fix the cut off names teamcity, LXC, and puppet",2018-11-29T21:08:43Z,2019-03-17T06:06:20Z,2019-03-17T06:06:21Z,1,,2576.9602777777777,2,60,Merged
Change hosting to hoisting,2018-12-31T09:16:04Z,,2019-05-06T16:37:15Z,3,,3031.3530555555553,2,132,Closed
Brazilian Portuguese translation,2019-02-01T00:42:06Z,,2020-01-18T09:17:55Z,3,,8432.596944444444,11,287,Closed
Grammar and words correction for readme.md,2019-08-10T22:11:36Z,,2020-01-10T22:48:11Z,1,,3672.6097222222224,1,85,Closed
Prometheus added,2019-10-16T02:41:44Z,,2020-01-18T09:03:14Z,3,,2262.358333333333,3,246,Closed
Changed SASS -> Sass,2019-10-29T17:42:05Z,,2020-01-03T14:58:05Z,2,,1581.2666666666667,2,75,Closed
fix broken link,2020-01-07T14:42:16Z,2020-01-08T10:05:32Z,2020-01-08T10:05:32Z,1,,19.387777777777778,1,159,Merged
Fix typo Gitlab -> GitLab,2020-02-20T05:49:47Z,,2020-03-13T21:15:05Z,1,,543.4216666666666,6,812,Closed
Farsi/Persian Support added,2020-03-29T00:33:19Z,2020-03-29T08:05:34Z,2020-03-29T08:05:34Z,2,,7.5375,2,220,Merged
Translate back-end roadmap into Chinese,2020-03-29T10:48:11Z,2020-03-29T11:52:13Z,2020-03-29T11:52:13Z,1,,1.0672222222222223,2,854,Merged
Translation to Spanish,2020-03-30T03:41:41Z,2020-03-30T05:59:39Z,2020-03-30T05:59:39Z,1,,2.2994444444444446,10,1054,Merged
#669 adding arabic translations frontend map + intro map,2020-04-04T14:05:24Z,2020-04-04T18:02:53Z,2020-04-04T18:02:53Z,1,,3.9580555555555557,5,872,Merged
add gridsome to frontend,2020-04-16T15:20:33Z,2020-04-17T16:55:11Z,2020-04-17T16:55:11Z,1,CHANGES_REQUESTED,25.577222222222222,2,913,Merged
Translat devops into Chinese,2020-04-20T05:52:03Z,2020-04-20T20:10:49Z,2020-04-20T20:10:49Z,1,,14.312777777777777,3,777,Merged
"Fix some grammar in ""Learn a Language""",2020-04-20T15:46:55Z,2020-04-20T20:10:03Z,2020-04-20T20:10:03Z,1,,4.385555555555555,1,724,Merged
correcting typo on Devop Roadmap startup management(initd) to startup…,2020-04-23T23:24:49Z,,2020-05-06T00:00:05Z,1,,288.5877777777778,1,899,Closed
Add Polish translations,2020-05-05T13:20:16Z,2020-05-06T23:35:35Z,2020-05-06T23:35:35Z,1,,34.25527777777778,10,1018,Merged
Gitlab Error in png #705 resolved,2020-05-10T01:38:50Z,,2021-12-03T13:20:10Z,6,,13739.68888888889,133,781,Closed
Added GraphQL to backend,2020-05-23T23:53:49Z,,2021-01-09T09:29:41Z,2,,5529.597777777778,2,793,Closed
Turkish Translation,2020-05-29T19:41:24Z,2020-05-30T13:05:18Z,2020-05-30T13:05:18Z,1,,17.398333333333333,12,834,Merged
Translate backend into japanese,2020-07-03T07:08:07Z,2020-07-06T08:48:23Z,2020-07-06T08:48:23Z,1,,73.67111111111112,3,803,Merged
Remove double entry for dig,2020-07-03T21:07:44Z,2020-07-06T08:47:40Z,2020-07-06T08:47:40Z,1,,59.66555555555556,2,976,Merged
