title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours
Fix typo in Study Guide section,2017-03-09T10:50:34Z,2017-03-10T00:36:12Z,2017-03-10T00:36:12Z,1,APPROVED,13.760555555555555
Fix typo - lobsided -> lopsided,2017-03-09T14:21:29Z,2017-03-10T00:37:40Z,2017-03-10T00:37:40Z,1,APPROVED,10.269722222222223
Add Dyn DDoS attack link,2017-03-10T04:30:56Z,2017-03-11T02:07:51Z,2017-03-11T02:07:51Z,1,APPROVED,21.615277777777777
Fix multiple typos,2017-03-10T07:53:56Z,2017-03-11T02:06:35Z,2017-03-11T02:06:35Z,1,,18.210833333333333
Fix #6: Migrate links from exercises/solutions to use internal links,2017-03-16T22:49:05Z,2017-03-19T19:23:03Z,2017-03-19T19:23:03Z,1,APPROVED,68.56611111111111
"Delete duplicate word ""does"" in design exercises",2017-03-18T04:17:42Z,2017-03-18T15:37:17Z,2017-03-18T15:37:17Z,1,APPROVED,11.32638888888889
Fix typo JSS -> JS,2017-03-18T16:45:40Z,2017-03-19T19:24:13Z,2017-03-19T19:24:13Z,1,APPROVED,26.6425
Declare variable key in the get_user example,2017-03-19T22:54:10Z,2017-03-21T11:39:11Z,2017-03-21T11:39:11Z,1,APPROVED,36.750277777777775
Fix typo,2017-03-22T16:44:21Z,2017-03-23T02:53:16Z,2017-03-23T02:53:16Z,2,APPROVED,10.14861111111111
Fix typos,2017-03-23T22:30:10Z,2017-03-24T02:42:03Z,2017-03-24T02:42:03Z,1,APPROVED,4.198055555555555
change the service discovery documenation example to use consul/etcd,2017-03-24T11:32:50Z,,2017-03-26T17:02:10Z,2,,53.48888888888889
Explain difference between PUT & PATCH,2017-03-25T22:50:04Z,2017-03-29T10:19:15Z,2017-03-29T10:19:15Z,1,APPROVED,83.48638888888888
"Update service discovery section to include consul, etcd, and additional details",2017-03-26T16:58:09Z,2017-03-28T11:45:13Z,2017-03-28T11:45:13Z,3,,42.784444444444446
Change AP wording for clarity,2017-04-04T08:27:14Z,2017-04-04T09:56:39Z,2017-04-04T09:56:39Z,1,APPROVED,1.4902777777777778
zh-cn: Add Simplified Chinese translation v1.0,2017-04-15T07:44:20Z,2017-04-15T13:32:32Z,2017-04-15T13:32:32Z,1,APPROVED,5.803333333333334
