title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
clipboard: api to write multiple formats to same writer,2015-07-07T06:36:32Z,2015-07-10T04:14:58Z,2015-07-10T04:14:58Z,1,,69.64055555555555,3,100,Merged
Implement 'activate' event for app.,2015-09-14T12:38:49Z,2015-09-15T03:17:41Z,2015-09-15T03:17:41Z,1,,14.647777777777778,8,14,Merged
Load content scripts in webview devtools,2016-06-14T00:05:05Z,2016-06-15T07:26:27Z,2016-06-15T07:26:27Z,1,,31.35611111111111,6,609,Merged
Use Ctrl+Q as default accelerator for quit role on Linux,2016-07-07T16:21:10Z,2016-07-08T00:32:07Z,2016-07-08T00:32:07Z,1,,8.1825,2,239,Merged
Allow accessing remote function properties,2016-08-16T17:44:12Z,2016-08-31T08:28:09Z,2016-08-31T08:28:09Z,1,,350.7325,6,346,Merged
Add sandbox option and support native window.open,2016-08-21T16:15:30Z,2016-09-27T12:02:57Z,2016-09-27T12:02:58Z,6,,883.7908333333334,35,1473,Merged
Offscreen invalidate and sizing fix,2016-09-01T22:25:13Z,2016-09-19T06:38:11Z,2016-09-19T06:38:11Z,5,,416.2161111111111,5,188,Merged
browser: provide a default filename when unable to generate from download data,2016-09-10T12:19:38Z,2016-09-16T12:19:21Z,2016-09-16T12:19:21Z,3,,143.99527777777777,6,230,Merged
Add an app API method to fetch the system ColorizationColor,2016-09-11T04:42:16Z,2016-09-20T05:06:21Z,2016-09-20T05:06:21Z,8,,216.4013888888889,6,141,Merged
Guard against missing remote function properties,2016-09-14T18:01:39Z,2016-09-16T12:11:12Z,2016-09-16T12:11:12Z,1,,42.159166666666664,3,307,Merged
Ensure correct types for commandLine,2016-09-16T18:48:06Z,2016-09-19T17:22:28Z,2016-09-19T17:22:28Z,3,,70.57277777777777,1,353,Merged
Use Ctrl+Y as the accelerator of redo on Windows,2016-09-17T08:08:40Z,2016-09-19T06:53:45Z,2016-09-19T06:53:45Z,3,,46.75138888888889,2,78,Merged
allow GOOGLE_API_KEY to be set,2016-09-20T21:05:46Z,2016-09-21T06:16:29Z,2016-09-21T06:16:29Z,3,,9.178611111111111,3,670,Merged
"Split up debugging-main-process.md, add electron-inspector guide",2016-09-21T09:46:47Z,2016-09-22T15:40:38Z,2016-09-22T15:40:39Z,3,,29.8975,3,323,Merged
Fix for missing additional features fields when creating new popup windows,2016-09-21T16:00:07Z,2016-10-04T06:42:36Z,2016-10-04T06:42:36Z,2,,302.7080555555556,12,453,Merged
add type to webview style tag,2016-09-22T21:34:36Z,2016-09-27T11:03:08Z,2016-09-27T11:03:08Z,1,,109.47555555555556,1,68,Merged
Update debugging-main-process and Add planned-breaking-changes,2016-09-23T03:59:14Z,2016-09-26T04:56:22Z,2016-09-26T04:56:22Z,1,,72.95222222222222,4,0,Merged
Add /LARGEADDRESSAWARE to linker options for electron.exe,2016-09-24T00:47:12Z,,2016-10-06T05:42:18Z,1,,292.91833333333335,1,85,Closed
Fix getAccentColor() docs in system-preferences.md,2016-09-24T18:45:58Z,2016-09-26T07:39:40Z,2016-09-26T07:39:40Z,1,APPROVED,36.895,1,41,Merged
Document the return values of all methods in the docs,2016-09-25T00:00:57Z,2016-09-27T14:39:25Z,2016-09-27T14:39:25Z,15,,62.64111111111111,22,186,Merged
Update docs to contain more specific return values,2016-09-28T05:29:29Z,2016-09-29T08:44:08Z,2016-09-29T08:44:08Z,1,,27.24416666666667,11,84,Merged
Move reused object structures to a standard structures folder,2016-09-28T07:01:21Z,2016-10-12T05:28:39Z,2016-10-12T05:28:39Z,9,,334.455,18,191,Merged
Only begin sheet when no sheet parent,2016-09-29T18:53:09Z,2016-09-30T20:08:35Z,2016-09-30T20:08:35Z,2,,25.25722222222222,1,413,Merged
add REPL documentation,2016-10-02T12:57:52Z,2016-10-06T18:38:48Z,2016-10-06T18:38:48Z,3,,101.68222222222222,2,96,Merged
Use standard style JavaScript in all docs translations,2016-10-03T22:52:04Z,2016-10-12T05:37:54Z,2016-10-12T05:37:54Z,3,,198.76388888888889,122,402,Merged
Support resizing and cropping native images,2016-10-04T18:29:53Z,2016-10-06T06:01:41Z,2016-10-06T06:01:41Z,1,,35.53,4,201,Merged
Preserve custom properties passed to MenuItem constructor,2016-10-05T19:24:34Z,2016-10-11T21:24:13Z,2016-10-11T21:24:14Z,9,,145.99416666666667,3,12,Merged
