title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Fix Stackoverflow link,2017-09-07T01:08:31Z,2017-09-07T15:57:54Z,2017-09-07T15:57:54Z,1,,14.823055555555555,1,0,Merged
Add What Every Programmer Should Know About Memory,2017-09-14T21:34:42Z,2017-09-16T16:16:12Z,2017-09-16T16:16:12Z,1,,42.69166666666667,1,193,Merged
Update README.md,2017-09-18T07:26:45Z,2017-09-18T12:36:35Z,2017-09-18T12:36:35Z,1,APPROVED,5.163888888888889,1,61,Merged
Slight typo in CONTRIBUTING.md,2017-09-25T06:51:05Z,2017-09-28T11:47:04Z,2017-09-28T11:47:04Z,1,,76.93305555555555,1,23,Merged
proof theory book for discrete math,2017-09-28T07:05:06Z,2017-10-03T14:04:09Z,2017-10-03T14:04:09Z,1,,126.98416666666667,1,106,Merged
add best-resume-ever,2017-10-06T06:59:21Z,,2020-03-10T21:14:02Z,1,,21278.24472222222,1,0,Closed
Added Code Complete book,2017-10-06T11:47:01Z,,2017-11-01T21:59:45Z,1,,634.2122222222222,1,103,Closed
Create UX/Usability section ,2017-10-07T10:35:04Z,2017-10-13T17:40:36Z,2017-10-13T17:40:36Z,3,,151.09222222222223,1,102,Merged
Add Teach Yourself Programming in Ten Years,2017-10-07T11:36:48Z,2017-10-13T17:39:02Z,2017-10-13T17:39:02Z,2,,150.03722222222223,1,45,Merged
fix spelling error,2017-10-16T07:56:38Z,2017-10-25T18:18:49Z,2017-10-25T18:18:49Z,1,,226.3697222222222,1,43,Merged
"Add ""How open source licenses work and how to add them to your projects"" to list",2017-10-18T10:24:58Z,2020-03-11T10:52:11Z,2020-03-11T10:52:11Z,3,,21000.453611111112,1,521,Merged
"Add links ""How javascript works""",2017-10-27T07:13:26Z,2018-01-17T15:52:38Z,2018-01-17T15:52:38Z,2,,1976.6533333333334,1,92,Merged
add lintcode.com,2017-10-31T05:42:07Z,2018-01-17T15:44:48Z,2018-01-17T15:44:48Z,1,,1882.0447222222222,1,49,Merged
"Few links for RegEx, Designers and UX",2017-11-01T05:18:09Z,,2020-07-01T12:58:16Z,1,,23359.668611111112,1,0,Closed
Add toddmotto's public-apis list,2018-10-10T21:05:40Z,,2023-10-03T19:37:37Z,1,,43654.5325,1,64,Closed
Add Google SRE Handbook,2018-10-26T01:04:47Z,2018-12-05T21:09:18Z,2018-12-05T21:09:18Z,1,,980.0752777777777,1,0,Merged
Adding devdocs,2019-10-05T15:09:38Z,,2022-08-27T20:00:16Z,1,,25372.84388888889,1,491,Closed
Added Abstract API,2020-09-14T22:18:37Z,2021-04-19T13:49:37Z,2021-04-19T13:49:37Z,1,,5199.516666666666,1,0,Merged
"added website, uri, for programming practice",2020-09-25T17:12:50Z,,2022-11-22T14:10:23Z,1,,18908.959166666667,1,94,Closed
Added the book 'Code Complete' under Practices category,2020-11-08T16:43:38Z,2021-04-19T13:50:27Z,2021-04-19T13:50:27Z,1,,3885.113611111111,1,83,Merged
fix distributed section dead link,2021-03-10T08:38:04Z,2021-04-19T13:48:45Z,2021-04-19T13:48:45Z,1,,965.1780555555556,1,132,Merged
Updated SEO link,2021-09-09T13:59:43Z,2022-11-23T11:04:48Z,2022-11-23T11:04:48Z,1,,10557.084722222222,1,16,Merged
"Add more resources on Engineering Philosophy, Practices and Career.",2022-04-18T16:30:51Z,2022-11-23T11:06:04Z,2022-11-23T11:06:05Z,1,,5250.586944444444,1,0,Merged
