title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Release 5.0,2014-07-14T16:29:18Z,2024-09-10T04:41:36Z,2024-09-10T04:41:36Z,1,APPROVED,89052.205,65,3548,Merged
Add tracing capabilities to Express,2014-11-11T12:17:34Z,,2016-11-18T17:31:57Z,24,REVIEW_REQUIRED,17717.23972222222,5,726,Closed
expose the matched routes for a request,2016-10-12T19:21:32Z,,2020-04-15T06:51:21Z,1,REVIEW_REQUIRED,30731.496944444443,4,623,Closed
Issue #3129 : few typos fixes,2016-11-17T08:06:59Z,,2016-11-18T18:44:07Z,2,APPROVED,34.61888888888889,7,248,Closed
Gracefully handle invalid status codes,2016-11-23T19:32:56Z,,2016-11-27T20:50:55Z,1,REVIEW_REQUIRED,97.29972222222223,2,513,Closed
Gracefully handle invalid status codes,2016-11-27T20:50:36Z,,2020-04-19T00:50:13Z,4,REVIEW_REQUIRED,29715.993611111113,2,24,Closed
Fix response headers usage with upcoming node changes,2017-01-14T01:35:28Z,,2017-02-28T00:39:05Z,1,REVIEW_REQUIRED,1079.0602777777779,1,0,Closed
Fix minor grammatical error,2017-01-18T06:32:40Z,,2017-01-21T05:26:04Z,2,APPROVED,70.89,1,162,Closed
Update Security.md,2017-01-20T14:07:06Z,,2017-01-21T05:27:35Z,1,REVIEW_REQUIRED,15.341388888888888,1,51,Closed
[examples] Replace Jade with Pug,2017-01-27T11:00:24Z,,2017-02-26T13:07:38Z,1,REVIEW_REQUIRED,722.1205555555556,30,97,Closed
Release 4.15,2017-01-29T03:48:33Z,2017-03-01T22:14:07Z,2017-03-01T22:14:07Z,2,APPROVED,762.4261111111111,20,1840,Merged
Fix unnecessary semicolon.,2017-02-01T09:28:46Z,,2017-02-05T01:44:24Z,1,APPROVED,88.26055555555556,1,207,Closed
test: rename 'decode querystring' to 'decode params',2017-02-06T12:11:16Z,,2017-02-08T00:44:50Z,1,APPROVED,36.559444444444445,1,138,Closed
Remove direct http dependency,2017-02-20T17:14:09Z,,2024-09-10T02:40:53Z,12,CHANGES_REQUESTED,66201.44555555556,4,635,Closed
Replace http.STATUS_CODES with the statuses module,2017-02-20T21:38:34Z,,2017-03-01T22:14:09Z,8,APPROVED,216.59305555555557,3,546,Closed
Settings functionality moved out of core,2017-02-21T03:55:52Z,,2024-07-08T21:52:36Z,1,,64673.945555555554,31,1326,Closed
Replace search example with static html/js,2017-02-26T13:39:38Z,,2017-03-01T23:23:05Z,2,APPROVED,81.72416666666666,4,156,Closed
Clarify debugging message in express:router:layer,2017-02-28T12:42:17Z,,2017-03-06T02:05:36Z,1,REVIEW_REQUIRED,133.38861111111112,1,208,Closed
Removed link to expired domain,2017-03-08T14:11:06Z,,2017-03-10T04:37:51Z,1,APPROVED,38.44583333333333,1,175,Closed
Use EJS instead of Jade for route-separation example,2017-03-08T14:54:19Z,,2017-03-17T04:11:10Z,1,REVIEW_REQUIRED,205.28083333333333,18,87,Closed
Update package.json,2017-03-20T16:25:17Z,,2017-03-23T04:07:21Z,1,REVIEW_REQUIRED,59.70111111111111,1,35,Closed
test: Made unit test passing with node-chakracore,2017-03-21T22:01:50Z,,2017-09-22T02:46:50Z,4,REVIEW_REQUIRED,4420.75,5,298,Closed
Fix security heading in README,2017-03-24T08:54:10Z,,2017-03-24T21:08:00Z,1,APPROVED,12.230555555555556,1,74,Closed
"Add 'json escape' option to unicode escape <, >, and &",2017-04-05T22:00:06Z,,2017-09-28T17:46:31Z,2,REVIEW_REQUIRED,4219.773611111111,3,11,Closed
test: convert var to const,2017-05-07T23:10:35Z,,2020-04-15T08:12:18Z,8,REVIEW_REQUIRED,25761.028611111113,53,177,Closed
res.cookie JSDoc fix,2017-05-09T20:37:32Z,,2017-05-11T19:48:34Z,1,REVIEW_REQUIRED,47.18388888888889,1,0,Closed
issue #3303 better error message,2017-05-10T04:17:53Z,,2017-05-11T03:34:35Z,5,REVIEW_REQUIRED,23.278333333333332,2,75,Closed
Throwing an explicit error when Content-Type gets set to an array.,2017-05-10T20:25:19Z,,2017-05-15T03:58:48Z,4,REVIEW_REQUIRED,103.55805555555555,2,67,Closed
fix several examples,2017-05-17T08:09:12Z,,2017-05-18T01:46:08Z,8,APPROVED,17.615555555555556,6,825,Closed
fix examples/cookie-sessions and the test,2017-05-18T16:19:51Z,,2017-07-26T17:06:38Z,1,REVIEW_REQUIRED,1656.7797222222223,2,174,Closed
Issue #3313: DRY up etag and wetag code.,2017-05-18T18:07:43Z,,2017-09-28T17:46:29Z,3,REVIEW_REQUIRED,3191.646111111111,1,85,Closed
update debug -> 2.6.8,2017-05-25T16:39:13Z,,2017-05-25T17:47:26Z,1,REVIEW_REQUIRED,1.1369444444444445,1,495,Closed
updated package.json,2017-06-12T00:39:51Z,,2017-07-26T15:38:27Z,2,APPROVED,1070.9766666666667,1,157,Closed
Readme: fix typo,2017-06-27T09:48:14Z,,2017-07-26T15:53:47Z,1,APPROVED,702.0925,1,0,Closed
handle undefined statusCode with an error,2017-07-07T14:48:41Z,,2017-07-08T11:27:15Z,1,REVIEW_REQUIRED,20.642777777777777,1,2193,Closed
"Request for request #3327, allowing res.download to supply options to res.sendFile",2017-07-20T12:09:27Z,,2017-09-28T17:46:30Z,3,APPROVED,1685.6175,2,341,Closed
fix broken 'ok' assertions in tests,2017-08-05T11:03:33Z,,2017-08-06T00:11:03Z,1,APPROVED,13.125,13,442,Closed
Initial support proposal for http2,2017-08-08T11:11:52Z,,2018-11-06T18:18:48Z,42,REVIEW_REQUIRED,10927.115555555556,18,453,Closed
fix typo in a comment,2017-09-27T13:20:16Z,,2017-09-28T17:46:30Z,1,REVIEW_REQUIRED,28.43722222222222,1,0,Closed
deps: vary@~1.1.2,2017-09-28T04:35:50Z,,2017-09-28T17:46:30Z,2,REVIEW_REQUIRED,13.177777777777777,2,53,Closed
deps: send 0.16.0,2017-09-28T09:26:32Z,,2017-09-28T17:46:31Z,2,REVIEW_REQUIRED,8.333055555555555,3,119,Closed
TypeError in send(Buffer) when an ETag is set,2017-10-09T19:56:55Z,,2017-10-10T02:12:15Z,1,REVIEW_REQUIRED,6.2555555555555555,2,420,Closed
remove unecessary comparison in test/res.send.js,2017-10-11T03:03:18Z,,2018-01-03T00:11:45Z,2,REVIEW_REQUIRED,2013.1408333333334,1,120,Closed
expose text middleware of bodyparser,2017-10-23T15:03:21Z,2019-05-09T04:08:33Z,2019-05-09T04:08:33Z,1,,13501.086666666666,4,39,Merged
Update equality (==)  operators for identically (===) operators,2018-01-22T01:16:51Z,,2018-02-14T00:31:49Z,1,REVIEW_REQUIRED,551.2494444444444,17,0,Closed
"Change forEach loop to for loop, reverse, pre-decrement",2018-01-22T22:58:01Z,,2018-09-24T18:21:41Z,1,REVIEW_REQUIRED,5875.394444444444,3,134,Closed
lint: rename .eslintrc to .eslintrc.yml,2018-02-13T08:32:05Z,,2018-02-13T21:46:48Z,4,APPROVED,13.245277777777778,4,218,Closed
Added app.extend(),2018-02-16T04:04:16Z,,2020-04-15T06:59:49Z,13,,18938.925833333335,4,250,Closed
Update downloads-url to point to graph of downloads,2018-03-02T00:46:23Z,2020-03-25T20:24:33Z,2020-03-25T20:24:24Z,1,REVIEW_REQUIRED,18115.63611111111,1,524,Merged
Better error handling for sendFile,2018-03-04T00:58:54Z,2018-10-27T17:26:17Z,2018-10-27T17:26:17Z,3,,5704.456388888889,3,81,Merged
res.format(): call default using `obj` as the context,2018-03-13T06:30:18Z,2022-03-26T05:55:54Z,2022-03-26T05:55:54Z,1,,35375.426666666666,3,967,Merged
Document options as optional in Router constructor,2018-03-20T10:01:11Z,2018-05-07T20:36:47Z,2018-05-07T20:36:47Z,1,APPROVED,1162.5933333333332,1,11,Merged
remove nodejs 9 in nightly ,2018-04-10T12:14:00Z,2018-10-27T05:22:53Z,2018-10-27T05:22:53Z,2,,4793.148055555555,2,77,Merged
Change default setting of query parser from extended to simple,2018-04-15T08:31:11Z,2021-12-18T05:09:55Z,2021-12-18T05:09:55Z,1,REVIEW_REQUIRED,32228.645555555555,3,42,Merged
Add app.createRouter function,2018-04-16T13:30:05Z,,2018-04-16T14:48:10Z,2,REVIEW_REQUIRED,1.301388888888889,2,61,Closed
Add app.createRouter function,2018-04-16T14:47:01Z,,2020-04-16T06:37:24Z,22,APPROVED,17535.839722222223,2,56,Closed
Bump body-parser to remove Node 10 deprecations,2018-05-15T09:13:20Z,2018-09-19T16:38:47Z,2018-09-19T16:38:47Z,2,REVIEW_REQUIRED,3055.4241666666667,2,254,Merged
Update build matrix,2018-05-16T16:39:42Z,2018-10-27T06:00:52Z,2018-10-27T06:00:52Z,1,,3925.3527777777776,2,214,Merged
add app.listenPromise,2018-06-23T08:55:02Z,,2018-08-11T15:14:41Z,1,REVIEW_REQUIRED,1182.3275,1,558,Closed
Move removed middlewares to a variable,2018-06-27T08:41:02Z,2018-09-13T23:11:02Z,2018-09-13T23:11:02Z,1,REVIEW_REQUIRED,1886.5,1,19,Merged
Expose bodyParser.raw on express,2018-08-08T04:47:54Z,2019-05-09T01:04:22Z,2019-05-09T01:04:22Z,3,APPROVED,6572.274444444444,4,444,Merged
Add install size badge to README,2018-08-09T19:01:49Z,2022-03-02T15:28:09Z,2022-03-02T15:28:08Z,2,REVIEW_REQUIRED,31220.43888888889,1,121,Merged
add prefix for routes,2018-08-11T12:23:48Z,,2018-08-11T13:43:23Z,1,REVIEW_REQUIRED,1.3263888888888888,1,78,Closed
Update index.js,2018-08-15T01:41:30Z,2018-09-13T22:34:18Z,2018-09-13T22:34:18Z,4,APPROVED,716.88,2,23,Merged
updated routing path,2018-08-21T09:15:20Z,,2018-09-13T22:19:00Z,1,APPROVED,565.0611111111111,1,0,Closed
remove utils merge,2018-11-04T18:27:38Z,,2019-05-25T22:13:28Z,4,,4851.763888888889,6,480,Closed
Fixed typos in History.md,2018-11-27T03:02:20Z,2018-12-18T02:30:21Z,2018-12-18T02:30:21Z,2,APPROVED,503.46694444444444,1,0,Merged
fix: expression minor bugs,2018-11-29T08:07:17Z,2018-12-18T04:34:56Z,2018-12-18T04:34:56Z,3,,452.4608333333333,3,0,Merged
Fixed a typo in Contributing.md,2018-12-13T07:10:57Z,2018-12-18T00:45:36Z,2018-12-18T00:45:36Z,3,APPROVED,113.5775,1,102,Merged
docs: add contributing guidelines ,2019-01-05T07:41:49Z,2019-04-17T21:47:02Z,2019-04-17T21:47:02Z,1,REVIEW_REQUIRED,2462.0869444444443,1,50,Merged
路由观察器,2019-01-08T02:59:01Z,,2019-05-09T22:05:05Z,1,REVIEW_REQUIRED,2923.101111111111,1,50,Closed
Typo fix,2019-01-17T17:33:15Z,2019-04-16T15:35:20Z,2019-04-16T15:35:20Z,1,,2134.034722222222,1,0,Merged
Added some meta tags in examples,2019-01-22T12:16:43Z,2020-03-25T21:29:12Z,2020-03-25T21:29:08Z,1,REVIEW_REQUIRED,10281.208055555555,14,0,Merged
#3867 docs: update the example in the readme so that it uses const instead of var,2019-01-30T22:55:07Z,2019-04-16T23:48:22Z,2019-04-16T23:48:22Z,1,,1824.8875,1,12,Merged
readme: document default port,2019-02-05T09:40:02Z,2019-04-16T05:20:41Z,2019-04-16T05:20:41Z,1,,1675.6775,1,0,Merged
Fixed typos in tests,2019-02-08T04:32:08Z,2019-04-16T18:31:44Z,2019-04-16T18:31:44Z,2,,1621.9933333333333,6,0,Merged
Setting Up CI With Azure Pipelines,2019-04-05T01:35:47Z,,2020-04-15T08:00:58Z,3,REVIEW_REQUIRED,9030.419722222223,3,801,Closed
Fixed issue #2832.,2019-04-11T06:10:20Z,,2020-04-15T07:59:41Z,1,REVIEW_REQUIRED,8881.8225,1,244,Closed
Validate `maxAge` appropriateness before use,2019-04-18T13:00:40Z,2022-03-27T17:21:47Z,2022-03-27T17:21:48Z,2,,25780.351944444443,3,23,Merged
