title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Append `Vary: Cookies` header to response when session is accessed,2014-04-16T21:45:42Z,,2017-05-20T19:16:26Z,1,,27117.512222222223,2,408,Closed
Move object_hook outside loads method so class can be extend and reused,2015-05-05T16:09:34Z,,2017-06-02T06:13:18Z,2,,18206.062222222223,2,141,Closed
Fix static route when using host_matching = True,2015-08-23T14:30:27Z,2017-04-07T14:31:54Z,2017-04-07T14:31:54Z,3,APPROVED,14232.024166666666,4,596,Merged
Remove deprecation warnings for add_etags & mimetype guessing for send_file(),2016-06-02T17:07:59Z,,2016-06-03T12:53:13Z,3,,19.753888888888888,3,0,Closed
"Added make target for test coverage, simplified contributing doc",2016-06-08T01:46:51Z,2017-05-25T21:16:23Z,2017-05-25T21:16:23Z,1,,8443.492222222223,3,692,Merged
Add the ability to combine MethodViews,2016-06-29T10:02:35Z,,2017-04-21T17:46:22Z,4,,7111.729722222222,2,999,Closed
JSON request/response mixin,2016-08-19T19:26:16Z,,2017-06-04T18:55:34Z,3,,6935.488333333334,7,62,Closed
make use of range requests if available in werkzeug,2016-09-20T08:09:13Z,2016-09-26T10:43:46Z,2016-09-26T10:43:46Z,15,,146.57583333333332,3,219,Merged
Default environ,2016-10-01T16:54:53Z,2016-10-12T06:54:25Z,2016-10-12T06:54:25Z,15,,253.9922222222222,3,642,Merged
Add possible overriding of builtin cli cmds,2016-10-09T02:50:57Z,,2017-05-27T15:48:28Z,2,,5532.958611111111,4,344,Closed
Fix safe_join test behavior on Windows,2016-10-17T13:10:32Z,,2017-05-16T00:11:35Z,3,,5051.0175,2,253,Closed
"View.dispatch_request doesn't take args, raises error about that instead of not implemented error",2016-10-18T10:01:23Z,,2016-10-19T07:30:04Z,2,,21.478055555555557,2,54,Closed
Adding coverage generation to tox,2016-10-31T20:24:19Z,2016-10-31T22:10:27Z,2016-10-31T22:10:27Z,4,,1.768888888888889,2,57,Merged
Parameterizing test,2016-11-01T20:46:57Z,2016-11-03T17:11:24Z,2016-11-03T17:11:24Z,6,,44.4075,1,0,Merged
Add routes command to flask cli,2016-11-20T18:45:09Z,,2017-04-26T17:35:09Z,4,,3766.8333333333335,3,1232,Closed
