title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
hackers,2015-10-15T11:30:32Z,,2019-11-05T08:14:18Z,2,,35564.72944444444,1,0,Closed
fix: Android学习之路 url 404,2017-12-03T04:22:04Z,,2020-02-04T12:21:58Z,1,,19039.998333333333,1,0,Closed
Add vim-galore 中译本和 SpaceVim,2017-12-25T11:33:47Z,,2020-04-11T13:36:45Z,1,,20114.049444444445,1,17,Closed
推荐java编程思想,2018-04-12T13:03:13Z,,2018-11-05T07:13:41Z,1,,4962.174444444445,1,53,Closed
添加电子书“《Real-Time Rendering 3rd》提炼总结”,2018-04-23T03:18:02Z,2018-11-05T09:20:57Z,2018-11-05T09:20:57Z,1,,4710.048611111111,1,36,Merged
Merge pull request #1 from justjavac/master,2018-07-13T08:36:05Z,,2020-02-04T12:22:36Z,1,,13707.775277777779,0,13,Closed
Update .editorconfig,2018-10-19T12:36:13Z,,2018-11-05T09:22:56Z,1,,404.7786111111111,1,0,Closed
新增《Python编程 从入门到实践》（2016版）,2018-11-22T03:40:14Z,,2020-02-04T12:25:12Z,1,,10544.749444444444,1,182,Closed
fix link: Clojure/Clojure入门教程,2019-06-20T15:12:40Z,2020-02-04T12:26:59Z,2020-02-04T12:26:59Z,1,,5493.238611111111,1,185,Merged
Leetcode-php,2019-10-12T10:05:33Z,2020-02-05T02:49:11Z,2020-02-05T02:49:11Z,1,CHANGES_REQUESTED,2776.7272222222223,1,29,Merged
修改“用Python做科学计算”网址,2020-04-30T00:42:28Z,2022-06-13T03:18:42Z,2022-06-13T03:18:42Z,1,APPROVED,18578.60388888889,1,148,Merged
更新了emacs 相关和 两本thinkphp开发手册,2020-05-01T02:28:41Z,2022-06-13T03:19:10Z,2022-06-13T03:19:10Z,1,APPROVED,18552.84138888889,1,101,Merged
Add 2 learning resources on Git / Version Control,2020-05-19T12:05:28Z,2022-06-13T03:19:40Z,2022-06-13T03:19:40Z,1,APPROVED,18111.236666666668,1,0,Merged
Merge pull request #1 from justjavac/master,2020-11-27T03:40:06Z,,2022-06-13T03:19:51Z,1,,13511.6625,0,8,Closed
更新《Google Java编程风格指南》的链接,2021-01-13T11:28:17Z,2022-06-13T03:20:27Z,2022-06-13T03:20:27Z,1,APPROVED,12375.869444444445,1,0,Merged
"[Feature](README.md): add ""labuladong 的算法小抄"".",2021-01-24T03:59:16Z,2022-06-13T03:20:50Z,2022-06-13T03:20:50Z,1,APPROVED,12119.359444444444,1,80,Merged
add book 《游戏引擎 浅入浅出》,2022-02-16T16:11:04Z,2022-06-13T03:25:12Z,2022-06-13T03:25:12Z,3,APPROVED,2795.2355555555555,1,0,Merged
Update README.md（添加Node相关电子书籍）,2022-03-03T12:34:28Z,2022-06-13T03:23:11Z,2022-06-13T03:23:11Z,1,APPROVED,2438.8119444444446,1,48,Merged
通过例子学 Rust 中文版,2022-03-04T07:51:11Z,2022-06-13T03:22:46Z,2022-06-13T03:22:46Z,1,APPROVED,2419.526388888889,1,0,Merged
添加了R语言教程、Python黑魔法手册,2022-03-15T10:01:34Z,2022-06-13T03:22:30Z,2022-06-13T03:22:30Z,1,APPROVED,2153.3488888888887,1,16,Merged
Linux 设备驱动 (第三版) 链接失效,2022-03-22T14:03:29Z,2022-06-13T03:22:07Z,2022-06-13T03:22:07Z,1,APPROVED,1981.3105555555555,1,0,Merged
[编程艺术] add 重构 改善既有代码的设计,2024-03-20T10:08:18Z,,2024-04-07T06:59:02Z,1,,428.84555555555556,1,0,Closed
