title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Disable global install and verify folder structure,2016-11-29T06:47:33Z,,2017-06-01T18:40:05Z,4,REVIEW_REQUIRED,4427.875555555555,4,720,Closed
"add postcss to processing less and sass, fixes '@import' issue",2017-01-08T17:50:50Z,2017-01-09T19:10:55Z,2017-01-09T19:10:55Z,4,REVIEW_REQUIRED,25.334722222222222,1,0,Merged
Add replaceDOMRenderer API (#658).,2017-02-08T23:46:28Z,2017-02-09T20:36:11Z,2017-02-09T20:36:11Z,1,REVIEW_REQUIRED,20.828611111111112,2,188,Merged
Add Offline and Manifest plugin,2017-02-21T01:45:02Z,2017-02-22T00:56:23Z,2017-02-22T00:56:23Z,2,,23.189166666666665,29,3414,Merged
update to the app structure section,2017-03-09T02:16:41Z,2017-03-09T18:03:04Z,2017-03-09T18:03:04Z,1,,15.773055555555555,1,144,Merged
Link prefix in markdown,2017-03-09T17:50:22Z,2017-03-20T00:47:25Z,2017-03-20T00:47:25Z,4,REVIEW_REQUIRED,246.95083333333332,4,174,Merged
Contributing Guide for 1.0,2017-03-19T02:24:09Z,2017-03-21T18:01:16Z,2017-03-21T18:01:16Z,3,,63.618611111111115,3,267,Merged
Support for compile-to-ES6 languages,2017-03-19T17:33:50Z,2017-03-21T17:58:10Z,2017-03-21T17:58:10Z,2,,48.40555555555556,5,3364,Merged
Run lerna bootstrap on postinstall,2017-03-21T00:32:22Z,2017-03-21T21:22:44Z,2017-03-21T21:22:44Z,1,,20.839444444444446,7,0,Merged
Allow remark headings to be queried by level,2017-03-21T02:03:13Z,2017-03-21T17:59:27Z,2017-03-21T17:59:27Z,2,,15.937222222222223,3,164,Merged
Adds plugin support for CoffeeScript 2.x.,2017-03-21T19:11:53Z,2017-03-21T22:02:18Z,2017-03-21T22:02:18Z,3,,2.8402777777777777,7,1292,Merged
[1.0] Fix windows paths,2017-04-07T07:31:45Z,2017-04-10T20:46:29Z,2017-04-10T20:46:29Z,3,,85.24555555555555,23,543,Merged
[1.0] Change directory structure,2017-04-14T19:55:34Z,2017-04-18T20:46:51Z,2017-04-18T20:46:51Z,12,,96.85472222222222,134,1260,Merged
Update dev readme some more,2017-04-19T16:16:34Z,2017-04-19T17:24:16Z,2017-04-19T17:24:16Z,2,,1.1283333333333334,2,89,Merged
