title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Adding chapter 1 Introduction to generative AI,2023-09-21T16:32:34Z,2023-10-23T11:48:48Z,2023-10-23T11:48:48Z,11,APPROVED,763.2705555555556,9,164,Merged
Feat/add codespaces jupyter,2023-09-27T12:45:43Z,2023-10-11T18:40:00Z,2023-10-11T18:40:00Z,1,APPROVED,341.90472222222223,10,86,Merged
Adding chapter 2 - Introduction to Generative AI,2023-09-29T18:14:11Z,2023-10-23T11:49:24Z,2023-10-23T11:49:24Z,4,APPROVED,569.5869444444445,13,260,Merged
"Building Chat Applications, Lesson 7",2023-10-03T09:24:54Z,2023-10-23T21:00:02Z,2023-10-23T21:00:02Z,3,APPROVED,491.5855555555556,6,0,Merged
Lesson 12: designing UX for AI,2023-10-05T18:49:26Z,2023-10-23T11:54:25Z,2023-10-23T11:54:25Z,1,REVIEW_REQUIRED,425.0830555555556,9,62,Merged
Adding Lesson 10: Build Low Code AI Applications,2023-10-06T13:49:50Z,2023-10-23T11:54:01Z,2023-10-23T11:54:01Z,2,REVIEW_REQUIRED,406.0697222222222,15,0,Merged
Lesson 4 - Intro to Prompt Engineering,2023-10-07T00:09:18Z,2023-10-23T11:50:24Z,2023-10-23T11:50:24Z,2,APPROVED,395.685,14,243,Merged
Added the Notebook for Lesson 11,2023-10-09T20:33:19Z,2023-10-22T18:48:08Z,2023-10-22T18:48:08Z,1,REVIEW_REQUIRED,310.24694444444447,3,44,Merged
"Adding Chapter 6 , Text Generation app, adding text generation, initial commit",2023-10-16T18:47:52Z,2023-10-26T07:13:03Z,2023-10-26T07:13:03Z,4,REVIEW_REQUIRED,228.41972222222222,4,113,Merged
Adding Chapter 9,2023-10-18T17:01:37Z,2023-10-26T07:15:30Z,2023-10-26T07:15:31Z,1,CHANGES_REQUESTED,182.2313888888889,14,49,Merged
Building Search Apps with Vectors,2023-10-19T10:02:24Z,2023-10-25T22:00:36Z,2023-10-25T22:00:36Z,1,APPROVED,155.97,18,75,Merged
Final review - Chapter 2,2023-10-26T13:14:43Z,,2023-10-27T13:24:06Z,16,APPROVED,24.156388888888888,1,119,Closed
Update notebooks to highlight differences between accessing services,2023-10-27T18:50:53Z,2023-10-30T10:47:52Z,2023-10-30T10:47:52Z,1,APPROVED,63.94972222222222,2,174,Merged
Minor fixes to lesson 12 and 13,2023-10-30T09:43:28Z,2023-10-30T10:49:28Z,2023-10-30T10:49:28Z,1,APPROVED,1.1,2,201,Merged
Added instructions on how to run code locally.,2023-10-31T09:20:59Z,2023-10-31T16:17:13Z,2023-10-31T16:17:13Z,1,APPROVED,6.937222222222222,1,0,Merged
Ch4 - adding challenge and knowledge check,2023-10-31T12:49:11Z,2023-10-31T16:12:37Z,2023-10-31T16:12:37Z,1,APPROVED,3.3905555555555558,1,57,Merged
Chapter 5 - adding challenge,2023-10-31T12:53:56Z,2023-10-31T16:12:14Z,2023-10-31T16:12:14Z,1,APPROVED,3.305,1,33,Merged
"Chapter 6, adding challenge",2023-10-31T13:13:47Z,2023-10-31T16:10:10Z,2023-10-31T16:10:10Z,1,APPROVED,2.939722222222222,1,18,Merged
"Revert ""Add Chinese support""",2023-11-01T12:23:53Z,2023-11-01T14:34:04Z,2023-11-01T14:34:04Z,1,APPROVED,2.169722222222222,124,98,Merged
Update README.md,2023-11-01T17:37:04Z,2023-11-01T19:14:52Z,2023-11-01T19:14:52Z,1,APPROVED,1.63,1,19,Merged
fix: typos and grammar 00-06,2023-11-01T18:38:39Z,2023-11-02T08:38:05Z,2023-11-02T08:38:05Z,3,APPROVED,13.990555555555556,9,102,Merged
WIP: adding dotnet support on text gen app,2023-11-01T21:23:23Z,2023-11-02T08:38:40Z,2023-11-02T08:38:40Z,1,APPROVED,11.254722222222222,1,46,Merged
fix: typos and grammar 07-13,2023-11-03T01:24:51Z,2023-11-03T06:35:54Z,2023-11-03T06:35:54Z,1,APPROVED,5.184166666666667,10,102,Merged
Update page title,2023-11-03T03:13:39Z,2023-11-03T06:34:55Z,2023-11-03T06:34:55Z,2,APPROVED,3.3544444444444443,1,45,Merged
typo fix in README.md,2023-11-03T03:15:14Z,2023-11-03T06:31:38Z,2023-11-03T06:31:38Z,1,APPROVED,3.2733333333333334,1,0,Merged
Add 06-text-generation-apps Chinese content,2023-11-03T09:00:36Z,2023-11-03T18:37:38Z,2023-11-03T18:37:38Z,1,APPROVED,9.617222222222223,3,43,Merged
Fix typo in 00-course-setup/translations/cn/README.md,2023-11-03T12:40:09Z,2023-11-03T18:37:03Z,2023-11-03T18:37:03Z,1,APPROVED,5.948333333333333,1,0,Merged
Lesson 2: remove references to unexistent model,2023-11-03T15:53:30Z,2023-11-03T18:36:12Z,2023-11-03T18:36:12Z,1,APPROVED,2.7116666666666664,1,398,Merged
making instructions clearer,2023-11-03T15:57:42Z,2023-11-03T19:09:54Z,2023-11-03T19:09:54Z,1,APPROVED,3.203333333333333,1,85,Merged
Maintain links consistency,2023-11-03T19:15:06Z,2023-11-04T11:04:58Z,2023-11-04T11:04:58Z,2,APPROVED,15.831111111111111,15,354,Merged
add all chinese content ,2023-11-04T08:01:52Z,2023-11-04T10:24:24Z,2023-11-04T10:24:24Z,2,APPROVED,2.3755555555555556,13,24,Merged
Remove template file,2023-11-04T12:37:39Z,2023-11-06T15:57:08Z,2023-11-06T15:57:08Z,1,APPROVED,51.32472222222222,2,62,Merged
Move images,2023-11-04T12:43:23Z,2023-11-06T15:56:42Z,2023-11-06T15:56:42Z,2,APPROVED,51.221944444444446,11,83,Merged
Update README.md,2023-11-06T02:56:50Z,2023-11-07T19:59:23Z,2023-11-07T19:59:23Z,1,APPROVED,41.0425,1,4,Merged
Update README.md,2023-11-06T14:27:37Z,2023-11-06T15:54:19Z,2023-11-06T15:54:19Z,1,APPROVED,1.445,1,22,Merged
Create italian readme,2023-11-06T20:31:56Z,,2024-01-23T13:36:57Z,1,REVIEW_REQUIRED,1865.0836111111112,1,81,Closed
Add Portugese translation,2023-11-07T16:38:04Z,2023-11-27T14:53:36Z,2023-11-27T14:53:36Z,2,APPROVED,478.25888888888886,48,523,Merged
fix: links issues,2023-11-08T10:45:25Z,2023-11-08T14:40:33Z,2023-11-08T14:40:33Z,1,APPROVED,3.918888888888889,20,385,Merged
fix: links issues 2,2023-11-08T15:05:36Z,,2023-11-08T21:15:03Z,1,APPROVED,6.1575,21,26,Closed
fixed Chinese content,2023-11-09T02:34:20Z,2023-11-09T07:06:26Z,2023-11-09T07:06:26Z,1,APPROVED,4.535,15,21,Merged
Fix typos on prompt engineering fundamentals chapter,2023-11-09T15:16:31Z,2023-11-10T11:46:43Z,2023-11-10T11:46:43Z,1,APPROVED,20.503333333333334,1,0,Merged
Improve workflow,2023-11-09T16:29:20Z,2023-11-09T18:10:48Z,2023-11-09T18:10:48Z,1,APPROVED,1.691111111111111,1,140,Merged
Contributing guidance,2023-11-10T00:58:41Z,2023-11-10T09:18:10Z,2023-11-10T09:18:10Z,2,APPROVED,8.324722222222222,18,83,Merged
DevContainer Setup fix,2023-11-10T09:40:48Z,2023-11-10T14:12:47Z,2023-11-10T14:12:47Z,1,APPROVED,4.533055555555555,3,334,Merged
Fixed Missing Notebook links,2023-11-10T14:56:12Z,2023-11-10T18:07:40Z,2023-11-10T18:07:40Z,4,APPROVED,3.1911111111111112,2,422,Merged
Add line breaks to improve image alignment in README,2023-11-11T06:59:52Z,2023-11-14T13:30:19Z,2023-11-14T13:30:19Z,1,APPROVED,78.5075,1,542,Merged
Update README.md,2023-11-11T11:13:34Z,2023-11-11T22:34:25Z,2023-11-11T22:34:25Z,1,APPROVED,11.3475,1,24,Merged
Update README.md,2023-11-11T11:33:42Z,2023-11-11T22:35:16Z,2023-11-11T22:35:16Z,1,APPROVED,11.026111111111112,1,166,Merged
"using the ""your"" voice in the readme file",2023-11-11T22:42:56Z,2023-11-13T15:33:16Z,2023-11-13T15:33:16Z,1,APPROVED,40.83888888888889,1,0,Merged
Fixed VSCode hyperlink,2023-11-13T09:36:54Z,2023-11-13T15:34:31Z,2023-11-13T15:34:31Z,1,APPROVED,5.960277777777778,1,66,Merged
Chore/fix openai update,2023-11-14T04:31:36Z,2023-11-14T09:31:23Z,2023-11-14T09:31:23Z,1,APPROVED,4.996388888888889,1,180,Merged
