title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Listen to CloseNotifier in stream handler.,2015-07-22T19:21:49Z,,2019-03-01T15:45:53Z,2,APPROVED,31628.40111111111,1,947,Closed
add import path to .travis.yml,2016-01-27T17:45:07Z,2017-07-08T17:17:14Z,2017-07-08T17:17:14Z,1,APPROVED,12671.535277777777,1,528,Merged
Made Context.RequestHeader(string) public access.,2016-02-01T18:22:51Z,,2017-05-01T15:15:10Z,1,,10916.871944444445,1,289,Closed
Implement QueryArray and PostFormArray methods,2016-03-30T01:00:36Z,2016-12-03T00:12:19Z,2016-12-03T00:12:19Z,2,APPROVED,5951.195277777778,2,140,Merged
add Engine.ResetRoutes() for clean existed routes,2016-05-19T06:22:49Z,,2019-05-20T12:45:38Z,4,REVIEW_REQUIRED,26310.38027777778,2,39,Closed
better display for log message,2016-05-19T09:46:58Z,2017-01-05T08:29:34Z,2017-01-05T08:29:34Z,2,APPROVED,5542.71,1,0,Merged
fix default log format,2016-05-26T08:23:09Z,2016-12-05T09:49:16Z,2016-12-05T09:49:16Z,2,APPROVED,4633.435277777778,1,69,Merged
Fix incorrect error implmentation,2016-05-29T20:09:01Z,2016-12-05T09:58:31Z,2016-12-05T09:58:31Z,2,APPROVED,4549.825,1,35,Merged
Remove an obsolete func in README,2016-06-07T22:47:06Z,2016-12-05T09:47:24Z,2016-12-05T09:47:24Z,2,APPROVED,4331.005,1,82,Merged
Add PureJSON renderer,2016-08-31T18:02:49Z,2018-08-20T07:15:31Z,2018-08-20T07:15:31Z,7,REVIEW_REQUIRED,17245.211666666666,8,12,Merged
Context.Get() does not need to test whether Keys is nil or not,2016-09-09T09:42:00Z,2016-12-06T19:39:01Z,2016-12-06T19:39:02Z,1,,2121.950277777778,1,96,Merged
Fix context keys get set,2016-09-12T08:55:04Z,,2018-12-06T13:11:18Z,1,,19564.270555555555,4,57,Closed
Make CreateTestContext public without importing net/http/httptest,2016-09-21T02:30:51Z,2016-12-05T08:48:30Z,2016-12-05T08:48:30Z,2,APPROVED,1806.2941666666666,3,0,Merged
Added HandleContext to re-enter soft-rewritten Requests.,2016-09-23T13:27:08Z,2017-02-10T14:44:55Z,2017-02-10T14:44:55Z,2,APPROVED,3361.296388888889,1,1077,Merged
Removed additional Iota,2016-09-29T14:02:38Z,2016-10-12T14:18:04Z,2016-10-12T14:18:04Z,1,,312.2572222222222,1,56,Merged
Remove net/http optional import from README,2016-10-13T05:42:02Z,,2016-10-27T05:21:12Z,1,REVIEW_REQUIRED,335.65277777777777,1,415,Closed
Move golang.org/x/net/context.Context interface implementation check to tests,2016-10-19T14:38:50Z,2016-12-05T09:55:06Z,2016-12-05T09:55:06Z,3,APPROVED,1123.2711111111112,2,311,Merged
remove coveralls services.,2016-10-28T15:14:42Z,2016-10-28T19:29:00Z,2016-10-28T19:29:00Z,1,,4.238333333333333,2,77,Merged
Honor normal gin write contract for context.JSON(),2016-11-16T00:05:44Z,,2016-12-11T02:20:32Z,2,APPROVED,602.2466666666667,1,543,Closed
Logger: skip ANSI color commands if output is not a tty,2016-11-17T21:41:07Z,2016-11-30T22:20:25Z,2016-11-30T22:20:25Z,2,APPROVED,312.655,1,1536,Merged
Support google appengine for IsTerminal func.,2016-12-04T01:47:12Z,2016-12-04T10:44:33Z,2016-12-04T10:44:33Z,1,,8.955833333333333,2,91,Merged
Fix #723,2016-12-05T10:22:55Z,2016-12-06T14:14:12Z,2016-12-06T14:14:12Z,2,APPROVED,27.85472222222222,4,0,Merged
Fix #731,2016-12-06T19:26:13Z,2016-12-16T16:02:31Z,2016-12-16T16:02:31Z,7,APPROVED,236.605,3,654,Merged
Improve document for #742,2016-12-23T01:13:39Z,2017-01-02T02:50:14Z,2017-01-02T02:50:14Z,2,,241.60972222222222,1,158,Merged
Support upload single or multiple files.,2016-12-24T04:44:12Z,2016-12-27T11:26:55Z,2016-12-27T11:26:55Z,1,,78.71194444444444,2,1255,Merged
RawPath and Unescape URL parameters,2016-12-29T14:57:08Z,,2017-02-28T10:30:03Z,1,CHANGES_REQUESTED,1459.548611111111,3,531,Closed
Add convenience method to check if websockets required,2017-01-02T01:23:22Z,2017-01-02T08:05:30Z,2017-01-02T08:05:30Z,4,APPROVED,6.702222222222222,2,422,Merged
Add comment for the logic behind func.,2017-01-02T10:02:20Z,2017-01-02T12:54:07Z,2017-01-02T12:54:07Z,1,APPROVED,2.8630555555555555,1,70,Merged
Fix #198,2017-01-02T12:45:08Z,2017-01-09T15:24:48Z,2017-01-09T15:24:48Z,5,APPROVED,170.6611111111111,12,688,Merged
update get client ip func,2017-01-03T02:21:58Z,2017-01-03T15:56:17Z,2017-01-03T15:56:17Z,1,APPROVED,13.571944444444444,2,153,Merged
Add upload file example.,2017-01-03T03:54:36Z,2017-01-03T16:05:00Z,2017-01-03T16:05:00Z,1,APPROVED,12.173333333333334,5,29,Merged
Fixed typos in Context,2017-02-01T09:27:06Z,2017-02-01T14:47:50Z,2017-02-01T14:47:51Z,1,APPROVED,5.345555555555555,1,41,Merged
chore(errorHandler):new abortWithStatus method with Json body,2017-02-11T13:27:07Z,2017-02-14T01:11:02Z,2017-02-14T01:11:02Z,8,CHANGES_REQUESTED,59.731944444444444,2,94,Merged
Support time.Time on form binding,2017-02-12T20:02:59Z,2017-02-17T13:32:37Z,2017-02-17T13:32:37Z,2,APPROVED,113.49388888888889,2,410,Merged
