title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
fix: total commits count,2020-07-10T09:15:33Z,,2020-07-31T08:07:40Z,5,REVIEW_REQUIRED,502.86861111111114,2,735,Closed
Add cache to function response,2020-07-11T09:42:52Z,2020-07-15T06:41:44Z,2020-07-15T06:41:44Z,8,CHANGES_REQUESTED,92.9811111111111,2,400,Merged
"feat: receives text, title and icon colors from URL",2020-07-11T19:11:03Z,2020-07-12T07:54:50Z,2020-07-12T07:54:50Z,1,REVIEW_REQUIRED,12.729722222222222,9,464,Merged
add request utils + remove duplicate codes,2020-07-11T20:16:32Z,2020-07-12T09:07:21Z,2020-07-12T09:07:21Z,3,APPROVED,12.846944444444444,3,0,Merged
perf: align icons and text vertical,2020-07-13T02:39:13Z,2020-07-16T10:21:21Z,2020-07-16T10:21:21Z,1,REVIEW_REQUIRED,79.70222222222222,17,967,Merged
improve: improved rating algorithm wip,2020-07-14T08:39:55Z,2020-07-15T14:40:54Z,2020-07-15T14:40:54Z,7,REVIEW_REQUIRED,30.01638888888889,4,132,Merged
fix: increase github rate limit with multiple PATs,2020-07-15T09:34:07Z,2020-07-15T12:23:44Z,2020-07-15T12:23:44Z,13,REVIEW_REQUIRED,2.8269444444444445,8,162,Merged
feat(repocard): parse emojis in description,2020-07-15T15:44:21Z,2020-07-24T13:26:27Z,2020-07-24T13:26:27Z,3,APPROVED,213.70166666666665,4,1799,Merged
Add gh-index field to stats,2020-07-16T00:51:25Z,,2020-12-13T18:54:24Z,1,REVIEW_REQUIRED,3618.049722222222,8,458,Closed
Display username in repo card (optional),2020-07-16T09:48:38Z,2020-07-16T12:33:34Z,2020-07-16T12:33:34Z,3,REVIEW_REQUIRED,2.7488888888888887,10,414,Merged
Changed hex colors to be copy/paste workable,2020-07-16T23:08:58Z,2020-07-17T15:24:48Z,2020-07-17T15:24:48Z,1,REVIEW_REQUIRED,16.26388888888889,1,233,Merged
Hide star and fork stats in repo card if count of equals to zero,2020-07-18T14:11:28Z,2020-07-18T16:50:05Z,2020-07-18T16:50:05Z,7,REVIEW_REQUIRED,2.643611111111111,1,60,Merged
:pencil: add Chinese translation,2020-07-19T04:04:32Z,2020-07-19T12:38:58Z,2020-07-19T12:38:58Z,3,REVIEW_REQUIRED,8.573888888888888,2,88,Merged
Update & Improvements on Existing Simplified Chinese Translation of README,2020-07-20T00:30:28Z,2020-07-20T06:46:05Z,2020-07-20T06:46:05Z,1,REVIEW_REQUIRED,6.260277777777778,1,634,Merged
feat: resize card width based on rank display,2020-07-20T06:29:16Z,,2020-12-13T14:47:29Z,6,REVIEW_REQUIRED,3512.303611111111,1,109,Closed
added new theme,2020-07-20T15:01:21Z,,2020-09-11T13:36:44Z,6,REVIEW_REQUIRED,1270.5897222222222,1,25,Closed
Added new theme,2020-07-21T05:41:40Z,2020-07-21T07:34:43Z,2020-07-21T07:34:43Z,2,REVIEW_REQUIRED,1.8841666666666668,2,138,Merged
docs: changed bugs and feature link,2020-07-21T17:50:57Z,2020-07-24T12:45:21Z,2020-07-24T12:45:21Z,3,REVIEW_REQUIRED,66.90666666666667,3,141,Merged
feat: added isTemplate badge & refactored console.logs,2020-07-22T16:21:34Z,2020-07-23T07:35:50Z,2020-07-23T07:35:50Z,25,REVIEW_REQUIRED,15.237777777777778,12,303,Merged
"Hide specific languages in ""Top languages"" card",2020-07-22T19:59:32Z,2020-07-23T14:17:05Z,2020-07-23T14:17:05Z,10,APPROVED,18.2925,6,16,Merged
Add german translation of Readme,2020-07-24T11:38:51Z,2020-07-28T15:31:53Z,2020-07-28T15:31:53Z,4,REVIEW_REQUIRED,99.88388888888889,2,0,Merged
