title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Response section expands if hidden when sending a request,2019-08-22T09:12:28Z,2019-08-22T10:33:46Z,2019-08-22T10:33:46Z,1,APPROVED,1.355,1,354,Merged
History is persisted in local storage,2019-08-22T11:47:22Z,2019-08-22T12:57:28Z,2019-08-22T12:57:28Z,1,APPROVED,1.1683333333333332,1,102,Merged
feat(PWA) make PWA easily installable,2019-08-22T19:53:26Z,,2019-08-23T04:18:59Z,1,,8.425833333333333,1,31,Closed
fix for pwa install issue,2019-08-22T22:26:29Z,2019-08-23T00:50:32Z,2019-08-23T00:50:32Z,1,APPROVED,2.4008333333333334,1,39,Merged
Auto Update Dependencies ,2019-08-23T05:46:50Z,,2019-08-23T13:58:43Z,1,,8.198055555555555,1,73,Closed
`Copy Response` Button ,2019-08-23T11:30:59Z,,2019-08-23T16:47:28Z,1,CHANGES_REQUESTED,5.2747222222222225,1,76,Closed
Add Share Buttons ,2019-08-23T22:05:36Z,,2019-08-28T00:52:38Z,1,CHANGES_REQUESTED,98.7838888888889,1,0,Closed
🎨 Add theme support (and settings storage),2019-08-25T00:01:14Z,2019-08-25T01:57:33Z,2019-08-25T01:57:34Z,2,APPROVED,1.938611111111111,15,1194,Merged
Feature/raw input,2019-08-25T21:15:05Z,2019-08-26T05:59:59Z,2019-08-26T05:59:59Z,2,,8.748333333333333,1,0,Merged
Added Copy response Button,2019-08-26T06:32:38Z,2019-08-26T08:25:30Z,2019-08-26T08:25:30Z,1,APPROVED,1.8811111111111112,2,26,Merged
Enable shareable requests with parameters in url queries,2019-08-27T22:20:05Z,2019-08-30T01:56:22Z,2019-08-30T01:56:22Z,2,APPROVED,51.60472222222222,1,723,Merged
Readable GitHub logo,2019-08-28T11:11:29Z,2019-08-28T13:32:04Z,2019-08-28T13:32:04Z,2,,2.3430555555555554,2,142,Merged
Websocket log auto scroll to bottom,2019-08-28T23:21:45Z,2019-08-29T02:33:02Z,2019-08-29T02:33:02Z,2,APPROVED,3.1880555555555556,3,157,Merged
"Use axios for requests, UI tweaks, and more...",2019-08-30T00:18:27Z,2019-08-30T01:20:57Z,2019-08-30T01:20:58Z,1,APPROVED,1.0416666666666667,9,858,Merged
fix styling issue of send again button,2019-08-30T18:53:27Z,2019-08-30T22:23:03Z,2019-08-30T22:23:03Z,1,APPROVED,3.493333333333333,1,66,Merged
Add version number to footer and improves .editorconfig,2019-08-30T19:03:09Z,2019-08-30T22:38:39Z,2019-08-30T22:38:39Z,1,APPROVED,3.591666666666667,7,445,Merged
Bind history state and query params of requests,2019-08-30T23:46:41Z,2019-08-31T10:49:11Z,2019-08-31T10:49:11Z,2,,11.041666666666666,1,944,Merged
Bump vuex-persist from 2.0.1 to 2.1.0,2019-08-31T00:13:49Z,2019-08-31T02:16:49Z,2019-08-31T02:16:49Z,3,APPROVED,2.05,2,4813,Merged
Bump nuxt from 2.9.1 to 2.9.2,2019-08-31T00:14:44Z,2019-08-31T01:15:51Z,2019-08-31T01:15:51Z,1,,1.0186111111111111,2,6184,Merged
⌨️Add autocomplete widget with command line completion,2019-08-31T01:40:53Z,2019-08-31T16:48:08Z,2019-08-31T16:48:08Z,2,APPROVED,15.120833333333334,5,553,Merged
update with PR for issue/bug #100,2019-08-31T02:24:46Z,2019-09-01T23:47:33Z,2019-09-01T23:47:33Z,1,APPROVED,45.37972222222222,4,412,Merged
Clear history is now disabled when there aren't any histories,2019-09-01T17:20:23Z,2019-09-01T23:31:45Z,2019-09-01T23:31:45Z,1,APPROVED,6.189444444444445,1,268,Merged
Copy requests,2019-09-03T04:27:58Z,2019-09-04T00:25:32Z,2019-09-04T00:25:32Z,1,APPROVED,19.959444444444443,1,0,Merged
curl import added,2019-09-06T10:55:52Z,2019-09-08T13:44:23Z,2019-09-08T13:44:23Z,7,APPROVED,50.80861111111111,4,574,Merged
⬆️ Bump @nuxtjs/pwa from 3.0.0-beta.16 to 3.0.0-beta.17,2019-09-07T00:13:54Z,,2019-09-11T11:02:00Z,1,APPROVED,106.80166666666666,2,5959,Closed
Code highlighting,2019-09-10T04:34:27Z,2019-09-11T10:59:33Z,2019-09-11T10:59:33Z,1,APPROVED,30.418333333333333,4,67,Merged
⬆️ Bump @nuxtjs/pwa from 3.0.0-beta.16 to 3.0.0-beta.19,2019-09-11T11:01:57Z,2019-09-25T14:36:29Z,2019-09-25T14:36:29Z,1,,339.5755555555556,2,7098,Merged
⬆️ Bump yargs-parser from 13.1.1 to 14.0.0,2019-09-14T00:17:43Z,2019-09-16T05:52:59Z,2019-09-16T05:52:59Z,1,APPROVED,53.58777777777778,2,6764,Merged
.htaccess file added,2019-09-14T15:22:43Z,2019-09-18T06:49:09Z,2019-09-18T06:49:10Z,5,,87.44055555555556,1,451,Merged
sort functionality added in history,2019-09-17T18:19:03Z,2019-09-18T03:59:46Z,2019-09-18T03:59:46Z,1,APPROVED,9.678611111111111,1,217,Merged
"Auto deploy testing branches, test and report",2019-09-17T19:45:54Z,,2019-10-03T18:13:40Z,2,APPROVED,382.4627777777778,13,1665,Closed
Sync path and parameters,2019-09-17T21:58:51Z,2019-09-18T08:28:55Z,2019-09-18T08:28:56Z,1,APPROVED,10.501111111111111,1,0,Merged
chore: minor code refactor,2019-09-18T09:03:56Z,2019-09-18T10:09:31Z,2019-09-18T10:09:31Z,3,APPROVED,1.0930555555555554,3,49,Merged
Post request headers issue resolved,2019-09-20T07:49:27Z,2019-09-20T09:42:18Z,2019-09-20T09:42:18Z,1,APPROVED,1.8808333333333334,1,113,Merged
Sync path and parameters,2019-09-22T21:28:04Z,2019-09-24T05:35:01Z,2019-09-24T05:35:01Z,1,APPROVED,32.115833333333335,1,84,Merged
Fixed bug where hal+json responses are not rendered properly,2019-09-23T20:01:46Z,2019-09-23T23:08:15Z,2019-09-23T23:08:15Z,1,CHANGES_REQUESTED,3.1080555555555556,1,19,Merged
clear buttons added,2019-09-24T09:33:42Z,2019-09-25T02:53:12Z,2019-09-25T02:53:13Z,4,APPROVED,17.325,1,110,Merged
add docker,2019-09-25T00:52:47Z,2019-09-25T01:59:45Z,2019-09-25T01:59:45Z,1,APPROVED,1.116111111111111,4,0,Merged
Activating Open Collective,2019-09-27T12:37:03Z,2019-09-27T17:10:05Z,2019-09-27T17:10:05Z,1,APPROVED,4.5505555555555555,1,1011,Merged
Update PWA configuration,2019-09-29T13:22:02Z,2019-09-29T15:27:10Z,2019-09-29T15:27:10Z,1,APPROVED,2.0855555555555556,1,8,Merged
Added Black Theme,2019-09-30T20:25:33Z,2019-09-30T22:17:24Z,2019-09-30T22:17:24Z,1,APPROVED,1.8641666666666667,2,225,Merged
Code Refactoring,2019-10-01T03:49:23Z,2019-10-01T07:47:39Z,2019-10-01T07:47:39Z,1,APPROVED,3.971111111111111,1,75,Merged
Collections,2019-10-01T22:33:29Z,2019-10-22T09:19:54Z,2019-10-22T09:19:54Z,1,APPROVED,490.7736111111111,10,400,Merged
Add basic e2e tests,2019-10-04T01:42:02Z,2019-10-06T00:16:15Z,2019-10-06T00:16:15Z,1,APPROVED,46.570277777777775,9,1620,Merged
Add Request name label for every requests,2019-10-04T09:22:37Z,2019-10-07T10:48:26Z,2019-10-07T10:48:26Z,6,APPROVED,73.43027777777777,2,465,Merged
Added auto theme,2019-10-04T23:50:38Z,2019-10-05T01:41:32Z,2019-10-05T01:41:32Z,1,APPROVED,1.8483333333333334,2,492,Merged
