title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
make .htaccess (a bit) less restrictive,2011-12-07T18:11:38Z,2011-12-30T14:53:34Z,2011-12-30T14:53:34Z,1,,548.6988888888889,1,467,Merged
Deprecated clip: add clip-path as PE,2017-03-10T14:44:57Z,2017-03-12T02:42:12Z,2017-03-12T02:42:12Z,1,,35.954166666666666,1,520,Merged
Migrated from jshint -> eslint,2017-03-25T21:15:35Z,,2018-03-06T03:02:14Z,3,CHANGES_REQUESTED,8285.7775,10,221,Closed
Adds Modernizr 3,2017-04-21T14:17:53Z,2017-05-28T12:54:45Z,2017-05-28T12:54:45Z,1,APPROVED,886.6144444444444,12,235,Merged
Typo in CHANGELOG.md,2017-07-16T19:31:39Z,2017-07-17T12:46:11Z,2017-07-17T12:46:11Z,1,APPROVED,17.24222222222222,1,882,Merged
Updating usage.md,2017-07-24T17:50:19Z,2017-07-25T15:04:18Z,2017-07-25T15:04:18Z,1,,21.233055555555556,1,27,Merged
double word on line 21 (be),2017-10-03T07:17:28Z,2017-10-03T18:56:05Z,2017-10-03T18:56:05Z,1,APPROVED,11.643611111111111,1,907,Merged
Update extend.md,2017-10-25T11:34:03Z,2017-11-08T01:54:07Z,2017-11-08T01:54:07Z,6,,326.33444444444444,1,856,Merged
"Updated tests (Travis and Mocha) and dependencies, rebuilt dist",2017-11-22T14:19:15Z,2017-11-28T19:13:46Z,2017-11-28T19:13:46Z,3,,148.9086111111111,8,1764,Merged
Add security.txt,2018-02-14T11:23:12Z,,2018-10-09T05:52:53Z,3,CHANGES_REQUESTED,5682.494722222223,3,808,Closed
Update CHANGELOG.md for v6.1,2018-03-29T15:16:43Z,2018-05-01T01:35:02Z,2018-05-01T01:35:02Z,1,APPROVED,778.3052777777777,1,0,Merged
Bump Apache Server Config to v3,2018-04-17T09:30:24Z,2018-04-17T17:19:36Z,2018-04-17T17:19:36Z,1,APPROVED,7.82,3,607,Merged
CSS classes to create safe-area on iPhone X,2018-04-19T01:19:20Z,,2018-07-07T00:23:37Z,2,,1895.0713888888888,1,1291,Closed
"change the attribute of ""notranslate"" to ""content""",2018-05-09T04:16:08Z,2018-05-16T18:15:10Z,2018-05-16T18:15:10Z,2,APPROVED,181.98388888888888,1,1470,Merged
Update dev deps,2018-07-31T19:12:31Z,2018-08-09T02:52:41Z,2018-08-09T02:52:41Z,1,APPROVED,199.66944444444445,2,224,Merged
Improve PWA manifest,2018-08-29T11:59:04Z,2018-10-08T16:11:41Z,2018-10-08T16:11:41Z,1,APPROVED,964.2102777777778,2,1237,Merged
update links,2018-09-13T11:04:39Z,2018-09-18T03:02:23Z,2018-09-18T03:02:23Z,1,APPROVED,111.96222222222222,2,1362,Merged
Fixing links on the EXTEND page,2018-09-18T03:48:05Z,2018-09-18T17:12:32Z,2018-09-18T17:12:32Z,1,APPROVED,13.4075,2,1004,Merged
v7.0 Docs Update,2018-10-04T03:39:17Z,2019-02-07T18:30:08Z,2019-02-07T18:30:08Z,1,APPROVED,3038.8475,15,1989,Merged
Update 404.html,2018-10-19T12:30:05Z,,2018-10-22T16:23:56Z,2,,75.8975,1,1237,Closed
"Removes ""display"": ""standalone"" from manifest",2018-10-29T14:32:00Z,2018-11-01T11:08:05Z,2018-11-01T11:08:05Z,1,APPROVED,68.60138888888889,2,1119,Merged
remove instances of shrink-to-fit=no,2018-12-13T12:48:47Z,2018-12-17T20:52:19Z,2018-12-17T20:52:19Z,1,APPROVED,104.05888888888889,2,657,Merged
Update index.html,2019-02-13T15:56:11Z,2019-02-14T03:16:15Z,2019-02-14T03:16:15Z,2,CHANGES_REQUESTED,11.334444444444445,2,1074,Merged
Minor update to eslint-plugin-mocha and eslint,2019-02-20T04:10:28Z,2019-02-20T19:15:38Z,2019-02-20T19:15:38Z,1,APPROVED,15.08611111111111,1,0,Merged
minor docs update,2019-02-20T06:25:31Z,2019-02-20T21:15:42Z,2019-02-20T21:15:42Z,1,APPROVED,14.836388888888889,2,95,Merged
Update Modernizr to 3.7.0,2019-03-05T06:42:07Z,2019-03-07T19:59:43Z,2019-03-07T19:59:43Z,1,APPROVED,61.29333333333334,3,1309,Merged
Upgrading modernizr and bumping version,2019-03-15T20:06:40Z,2019-03-18T17:16:08Z,2019-03-18T17:16:08Z,2,APPROVED,69.15777777777778,5,60,Merged
update jQuery to v3.4.0,2019-04-11T01:34:10Z,2019-04-11T18:29:00Z,2019-04-11T18:29:00Z,1,APPROVED,16.913888888888888,4,1357,Merged
update Apache Server Configs to 3.2.1,2019-05-24T06:51:51Z,2019-05-28T15:16:25Z,2019-05-28T15:16:25Z,6,APPROVED,104.40944444444445,2,93,Merged
Remove 'defer' from Google Analytics snippet,2019-06-03T01:58:46Z,2019-06-03T11:20:25Z,2019-06-03T11:20:25Z,1,APPROVED,9.360833333333334,2,2158,Merged
v7.2.0 release,2019-06-03T15:27:34Z,2019-06-04T14:53:40Z,2019-06-04T14:53:40Z,1,APPROVED,23.435,1,34,Merged
updating main.css,2019-06-03T19:56:13Z,2019-06-04T11:23:15Z,2019-06-04T11:23:15Z,1,APPROVED,15.450555555555555,2,0,Merged
fix broken links in TOC,2019-06-04T12:43:47Z,2019-06-04T14:53:09Z,2019-06-04T14:53:09Z,1,APPROVED,2.156111111111111,2,87,Merged
upgrade to gulp 4 and update others dev dependencies,2019-08-29T19:05:50Z,2019-09-03T18:49:43Z,2019-09-03T18:49:43Z,4,,119.73138888888889,4,1461,Merged
browserconfig.xml: change indent size to 2,2019-09-03T03:37:08Z,2019-09-03T18:24:05Z,2019-09-03T18:24:05Z,1,APPROVED,14.7825,2,928,Merged
remove .jscsrc config and remove gulp-jscs from package.json,2019-09-04T02:41:02Z,2019-10-14T17:41:04Z,2019-10-14T17:41:05Z,1,,975.0005555555556,4,995,Merged
HTTPS link to https://ogp.me/,2019-09-04T17:04:23Z,2019-09-04T22:12:26Z,2019-09-04T22:12:26Z,1,APPROVED,5.134166666666666,2,860,Merged
update dev deps,2019-10-15T05:35:44Z,2019-10-16T01:38:43Z,2019-10-16T01:38:43Z,1,APPROVED,20.049722222222222,3,288,Merged
Add bugs URL and keywords array to `package.json`,2019-10-16T02:26:51Z,2019-10-17T05:38:05Z,2019-10-17T05:38:05Z,1,APPROVED,27.18722222222222,1,1210,Merged
update links to enable-apache-httpd-modules,2019-10-17T06:42:07Z,2019-10-21T17:38:57Z,2019-10-21T17:38:57Z,1,APPROVED,106.94722222222222,2,1296,Merged
remove www from modernizr.com link,2019-10-17T06:44:56Z,2019-10-21T17:38:16Z,2019-10-21T17:38:16Z,1,APPROVED,106.88888888888889,2,899,Merged
Change indenting to 2 spaces to match `.editorconfig` code guide,2019-10-24T03:01:26Z,2019-10-25T15:18:17Z,2019-10-25T15:18:17Z,1,APPROVED,36.280833333333334,3,237,Merged
Release/ship v7.3.0,2019-10-25T15:18:45Z,2019-11-19T18:43:14Z,2019-11-19T18:43:14Z,3,,603.4080555555555,15,0,Merged
Single typo correction,2020-02-15T02:51:58Z,,2020-04-17T00:32:54Z,1,CHANGES_REQUESTED,1485.6822222222222,1,389,Closed
Dev Deps update,2020-02-20T03:52:12Z,2020-02-21T15:54:31Z,2020-02-21T15:54:31Z,1,APPROVED,36.03861111111111,2,515,Merged
Update links in docs,2020-02-20T04:07:01Z,2020-02-21T15:56:03Z,2020-02-21T15:56:03Z,1,APPROVED,35.81722222222222,12,614,Merged
Update to Modernizr v3.10.0,2020-04-14T07:28:34Z,2020-04-14T20:30:37Z,2020-04-14T20:30:37Z,1,APPROVED,13.034166666666666,7,150,Merged
Removing Browser Upgrade Prompt,2020-04-14T22:50:49Z,2020-04-15T15:04:44Z,2020-04-15T15:04:44Z,2,APPROVED,16.231944444444444,4,99,Merged
Sets anonymizeIp to true in GA snippet,2020-04-15T19:57:47Z,2020-04-16T22:35:15Z,2020-04-16T22:35:15Z,6,APPROVED,26.624444444444446,7,14,Merged
updating some markdown formatting,2020-04-16T22:47:48Z,2020-04-17T15:35:07Z,2020-04-17T15:35:07Z,2,,16.788611111111113,17,20,Merged
Removing jQuery,2020-04-28T02:49:21Z,2020-05-04T19:24:23Z,2020-05-04T19:24:24Z,2,,160.58388888888888,14,369,Merged
Update docs for v8,2020-05-13T10:51:38Z,2020-05-15T11:06:53Z,2020-05-15T11:06:53Z,1,APPROVED,48.25416666666667,6,384,Merged
"update deps (Modernizr, Apache Server Configs etc) + browserconfig  update",2020-05-17T06:15:02Z,2020-05-17T20:14:09Z,2020-05-17T20:14:09Z,2,APPROVED,13.985277777777778,8,172,Merged
updates Modernizr to 3.11.2,2020-05-19T16:15:41Z,2020-05-20T02:23:53Z,2020-05-20T02:23:53Z,1,APPROVED,10.136666666666667,4,65,Merged
Docs and readme update,2020-05-25T20:36:24Z,2020-05-30T22:44:34Z,2020-05-30T22:44:34Z,3,,122.1361111111111,17,0,Merged
updates changelog for 8.0.0,2020-05-31T02:43:28Z,2020-06-02T13:06:29Z,2020-06-02T13:06:29Z,1,,58.38361111111111,1,35,Merged
v8 fixes and docs tidy up,2020-06-02T16:22:46Z,2020-06-03T11:51:57Z,2020-06-03T11:51:57Z,1,APPROVED,19.48638888888889,6,343,Merged
DevDeps Update and Minor docs links update,2020-06-04T09:01:04Z,2020-06-04T12:44:38Z,2020-06-04T12:44:38Z,1,APPROVED,3.726111111111111,5,327,Merged
Adjust jQuery install command,2020-06-12T04:41:55Z,2020-06-12T11:11:20Z,2020-06-12T11:11:21Z,2,APPROVED,6.490277777777778,2,853,Merged
CI: use GitHub Actions for Pull Requests / Push tests,2020-06-12T05:10:12Z,2020-06-12T15:59:05Z,2020-06-12T15:59:05Z,4,APPROVED,10.814722222222223,4,53,Merged
chore: update dev dependencies & fix caniuse-lite warning,2020-08-18T17:46:20Z,2020-08-21T12:31:40Z,2020-08-21T12:31:40Z,1,APPROVED,66.75555555555556,2,188,Merged
Renames main.js to app.js,2020-09-24T23:18:24Z,2020-09-30T02:20:40Z,2020-09-30T02:20:40Z,1,,123.03777777777778,13,14,Merged
Rename main.css to style.css in build process,2020-09-27T08:50:34Z,2020-09-28T12:35:29Z,2020-09-28T12:35:29Z,3,APPROVED,27.74861111111111,14,1665,Merged
Remove plugins js,2020-09-28T18:43:51Z,2020-09-30T13:12:52Z,2020-09-30T13:12:52Z,2,,42.48361111111111,13,13,Merged
Jquery refs,2020-09-29T14:26:11Z,2020-09-30T13:13:29Z,2020-09-30T13:13:29Z,3,APPROVED,22.788333333333334,18,111,Merged
Add missing period,2020-11-26T06:59:53Z,2020-11-27T07:37:14Z,2020-11-27T07:37:14Z,1,APPROVED,24.6225,2,0,Merged
Update Modernizr to 3.11.4,2020-11-30T07:27:12Z,2020-12-11T02:53:23Z,2020-12-11T02:53:23Z,1,APPROVED,259.43638888888887,6,864,Merged
Update nodejs version and action,2021-02-02T03:27:24Z,2021-02-08T17:38:30Z,2021-02-08T17:38:30Z,1,APPROVED,158.185,1,865,Merged
Update html.md to tidy up link markdown,2021-03-05T02:15:29Z,2021-03-05T18:42:23Z,2021-03-05T18:42:23Z,1,APPROVED,16.448333333333334,2,1668,Merged
updates to modernizr 3.11.7,2021-04-22T07:26:23Z,2021-04-22T12:34:04Z,2021-04-22T12:34:04Z,1,APPROVED,5.128055555555555,7,650,Merged
update jQuery to 3.6.0,2021-06-29T08:20:55Z,2021-07-07T13:22:07Z,2021-07-07T13:22:07Z,1,APPROVED,197.02,3,379,Merged
