title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Increasing coverage for Command Package,2016-02-09T16:17:11Z,,2016-11-15T17:13:41Z,5,,6720.941666666667,1,405,Closed
Make the two common Taxonomy templates explicit #2,2016-02-11T08:55:15Z,,2017-10-02T17:18:55Z,1,,14384.394444444444,1,123,Closed
Standardize author data,2016-02-13T09:08:57Z,,2017-12-27T10:58:47Z,7,CHANGES_REQUESTED,16393.830555555556,5,1558,Closed
Updated disqus template with configuration-variables,2016-07-08T10:05:09Z,,2017-06-28T22:39:29Z,1,,8532.572222222223,1,1278,Closed
Add GitInfo,2016-07-19T18:23:34Z,2016-11-01T22:04:13Z,2016-11-01T22:04:13Z,1,,2523.6775,8,432,Merged
tpl: Add EnableMissingTranslationPlaceholders option,2016-09-16T11:52:43Z,2016-09-16T15:20:29Z,2016-09-16T15:20:29Z,2,CHANGES_REQUESTED,3.4627777777777777,4,12,Merged
Add vendoring with govendor,2016-09-16T20:54:24Z,2016-09-18T22:10:10Z,2016-09-18T22:10:10Z,3,,49.26277777777778,4,80,Merged
Map weight into Author,2016-09-17T22:37:58Z,,2016-09-18T04:01:50Z,1,,5.397777777777778,1,94,Closed
Author Tests,2016-09-18T01:48:01Z,,2016-09-18T22:15:19Z,2,,20.455,3,27,Closed
all: remove dead code,2016-09-25T08:10:12Z,2016-10-13T11:51:16Z,2016-10-13T11:51:16Z,1,,435.68444444444447,4,0,Merged
Avoid reading from Viper for path and URL funcs,2016-09-26T07:40:37Z,2016-10-24T11:45:30Z,2016-10-24T11:45:30Z,6,,676.0813888888889,26,432,Merged
tpl: Add partialCached template function,2016-10-11T00:46:43Z,,2016-10-11T21:56:25Z,7,CHANGES_REQUESTED,21.161666666666665,2,12,Closed
Add logging of asciidoc/-tor errors,2016-10-13T05:49:53Z,,2016-10-13T11:49:03Z,6,,5.986111111111111,3,338,Closed
Add page context to error logging in rendering,2016-10-17T10:14:22Z,2016-10-19T13:22:40Z,2016-10-19T13:22:40Z,2,,51.138333333333335,1,392,Merged
Fix a more summary corner case,2016-10-17T14:09:16Z,2016-10-18T06:43:44Z,2016-10-18T06:43:44Z,1,,16.574444444444445,3,184,Merged
Handle ToC before handling shortcodes.,2016-10-23T16:01:55Z,2016-10-24T12:40:57Z,2016-10-24T12:40:57Z,4,CHANGES_REQUESTED,20.650555555555556,2,253,Merged
all: Delete some redundant code,2016-10-24T19:04:01Z,,2016-11-11T09:08:49Z,4,,422.08,6,35,Closed
Schema org,2016-10-29T14:04:33Z,,2017-06-28T19:26:50Z,1,,5813.371388888889,1,57,Closed
Make Node a Page,2016-10-30T17:00:47Z,2016-11-22T08:57:03Z,2016-11-22T08:57:03Z,1,,543.9377777777778,50,1767,Merged
fix page names that contain dot,2016-10-31T13:33:32Z,2016-11-01T13:18:24Z,2016-11-01T13:18:24Z,2,,23.747777777777777,2,317,Merged
transform: Adds --optimize and MinifyHTML,2016-11-03T23:20:42Z,,2018-01-25T16:55:46Z,8,,10745.584444444445,7,593,Closed
