title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Standalone Windows and OSX OpenGL sample (no dependencies),2015-07-21T08:25:05Z,,2018-06-11T09:28:19Z,2,,25345.053888888888,9,478,Closed
"Fix dozens of compilation warnings, mostly related to const correctness.",2016-10-22T09:43:23Z,,2016-11-12T20:07:34Z,3,,514.4030555555555,7,0,Closed
Vulkan backend small fixes,2017-02-11T11:23:11Z,2017-05-01T13:27:40Z,2017-05-01T13:27:40Z,3,,1898.0747222222221,1,0,Merged
Bool literal,2018-04-25T15:49:32Z,2018-04-26T07:51:46Z,2018-04-26T07:51:46Z,5,,16.037222222222223,1,45,Merged
Fix OSX mouse clicks and drags,2018-07-22T21:07:13Z,,2019-09-20T13:49:16Z,1,,10192.700833333334,1,199,Closed
Configurable OpenGL loader in the example bindings.,2018-08-04T14:14:00Z,,2018-08-28T14:10:23Z,3,,575.9397222222223,4,525,Closed
Examples: add Gtk3/OpenGL3 example,2018-08-19T21:04:26Z,,2023-04-07T15:31:17Z,4,,40602.4475,5,529,Closed
Added angle_offset for rotating hexagon like circles.,2018-08-24T20:20:42Z,,2018-08-26T21:05:36Z,2,,48.748333333333335,2,842,Closed
OpenGL 3 Example: Use GLboolean for compile/link status,2018-10-03T23:28:53Z,2018-10-07T16:14:25Z,2018-10-07T16:14:25Z,3,,88.75888888888889,1,482,Merged
Fix issue #2288. Backup fog state and disable before drawing UI's.,2019-01-16T19:01:44Z,,2019-01-17T05:03:15Z,1,,10.025277777777777,1,108,Closed
add support for specifying text alignment on selectables,2019-02-13T23:11:30Z,,2019-02-14T19:30:34Z,1,,20.317777777777778,4,937,Closed
Add ability to pass HSV data to all Color widgets,2019-02-26T01:27:53Z,,2019-03-08T17:17:51Z,3,,255.83277777777778,3,1783,Closed
Added InputTextHinted,2019-03-05T05:09:45Z,,2019-03-06T16:30:09Z,2,,35.34,6,474,Closed
Fix docking branch of DX9 sample crash when resize window,2019-04-29T12:56:41Z,,2019-05-06T10:14:55Z,3,,165.30388888888888,1,475,Closed
