title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Update in.m3u,2019-03-24T18:12:04Z,2019-03-25T05:09:59Z,2019-03-25T05:09:59Z,1,REVIEW_REQUIRED,10.965277777777779,1,0,Merged
Added more channels and EPG information,2019-09-16T22:30:45Z,2019-09-17T15:25:00Z,2019-09-17T15:25:00Z,2,REVIEW_REQUIRED,16.904166666666665,1,0,Merged
Update in.m3u,2019-09-17T14:19:58Z,,2019-09-17T16:50:57Z,1,CHANGES_REQUESTED,2.516388888888889,1,3,Closed
Removes more broken links,2019-09-30T20:19:21Z,2019-09-30T21:48:44Z,2019-09-30T21:48:44Z,1,REVIEW_REQUIRED,1.4897222222222222,35,0,Merged
Update kr.m3u,2019-10-01T13:55:05Z,2019-10-02T00:05:50Z,2019-10-02T00:05:50Z,1,REVIEW_REQUIRED,10.179166666666667,1,42,Merged
Update id.m3u,2019-10-01T14:00:27Z,2019-10-02T00:03:17Z,2019-10-02T00:03:17Z,1,REVIEW_REQUIRED,10.047222222222222,1,17,Merged
Update uk.m3u,2019-10-01T14:11:50Z,2019-10-02T00:02:27Z,2019-10-02T00:02:27Z,1,REVIEW_REQUIRED,9.84361111111111,1,37,Merged
Update unsorted.m3u,2019-10-01T14:39:10Z,2019-10-02T00:15:51Z,2019-10-02T00:15:51Z,1,REVIEW_REQUIRED,9.61138888888889,1,35,Merged
Added new channels,2019-10-01T16:24:45Z,2019-10-01T19:28:03Z,2019-10-01T19:28:03Z,1,REVIEW_REQUIRED,3.055,1,0,Merged
Update tr.m3u,2019-10-01T20:39:30Z,2019-10-02T00:01:46Z,2019-10-02T00:01:46Z,1,REVIEW_REQUIRED,3.371111111111111,1,0,Merged
Update it.m3u,2019-10-01T20:40:35Z,2019-10-02T00:01:06Z,2019-10-02T00:01:06Z,1,REVIEW_REQUIRED,3.3419444444444446,1,0,Merged
Update ar.m3u,2019-10-01T20:42:31Z,2019-10-02T00:00:27Z,2019-10-02T00:00:27Z,1,REVIEW_REQUIRED,3.298888888888889,1,0,Merged
"Revert ""Added new channels""",2019-10-02T00:26:47Z,2019-10-02T13:27:03Z,2019-10-02T13:27:03Z,1,REVIEW_REQUIRED,13.004444444444445,1,218,Merged
Added NBS TV in Uganda,2019-10-02T12:09:28Z,2019-10-02T14:37:05Z,2019-10-02T14:37:05Z,1,REVIEW_REQUIRED,2.460277777777778,5,68,Merged
Update uk.m3u,2019-10-02T16:50:48Z,,2019-10-02T18:52:11Z,1,CHANGES_REQUESTED,2.0230555555555556,1,0,Closed
Update us.m3u,2019-10-02T16:51:38Z,,2019-10-02T21:12:05Z,1,CHANGES_REQUESTED,4.340833333333333,1,0,Closed
Update ec.m3u,2019-10-03T16:55:43Z,2019-10-04T19:37:03Z,2019-10-04T19:37:03Z,4,REVIEW_REQUIRED,26.68888888888889,1,16,Merged
Update si.m3u,2019-10-03T20:01:36Z,2019-10-04T16:08:33Z,2019-10-04T16:08:33Z,1,REVIEW_REQUIRED,20.115833333333335,1,16,Merged
Update hu.m3u,2019-10-03T20:23:17Z,2019-10-04T15:41:20Z,2019-10-04T15:41:20Z,1,REVIEW_REQUIRED,19.300833333333333,1,16,Merged
Update se.m3u,2019-10-03T20:40:19Z,2019-10-04T15:40:05Z,2019-10-04T15:40:05Z,1,REVIEW_REQUIRED,18.996111111111112,1,16,Merged
