title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Fix #12838: hook point for non-jQuery.ajax synchronous script fetch/execute in domManip,2012-12-02T05:15:57Z,,2013-04-17T15:55:37Z,1,,3274.661111111111,3,350,Closed
Core: Deprecate jQuery.isArray,2016-08-14T10:56:25Z,,2016-11-30T11:22:56Z,6,CHANGES_REQUESTED,2592.4419444444443,13,11,Closed
Move holdReady to deprecated,2016-08-31T04:04:52Z,,2017-02-13T15:56:26Z,1,,3995.8594444444443,3,19,Closed
Tests: move readywait to an iframe test,2016-09-25T05:54:58Z,,2017-03-18T17:49:22Z,2,CHANGES_REQUESTED,4187.906666666667,5,563,Closed
Offset: report offset for 0 sized elements,2016-10-19T07:11:51Z,2016-12-13T06:32:11Z,2016-12-13T06:32:11Z,2,APPROVED,1319.338888888889,2,743,Merged
Docs: Remove supported jQuery versions from ISSUE_TEMPLATE.md,2016-10-21T18:56:28Z,,2016-10-31T17:35:48Z,3,,238.65555555555557,1,660,Closed
Build: ESLint setup improvements,2016-11-02T23:52:45Z,2016-12-19T01:16:26Z,2016-12-19T01:16:26Z,23,APPROVED,1105.3947222222223,11,1007,Merged
"whatever the s.processData is, if s.data exist, jquery.param should execute if the data is not string for get request",2016-11-24T09:55:34Z,,2016-12-08T02:48:17Z,11,,328.8786111111111,1,215,Closed
Simplify global object and window-related logic,2016-12-03T22:48:12Z,,2016-12-05T18:21:02Z,11,CHANGES_REQUESTED,43.547222222222224,3,882,Closed
Build: Make the @CODE-replacing regex more robust,2016-12-04T00:21:40Z,,2016-12-05T17:53:02Z,2,,41.522777777777776,1,1140,Closed
Build: fix markerPattern and ticketPattern regexes in package.json,2016-12-07T16:10:19Z,2017-01-09T16:45:31Z,2017-01-09T16:45:31Z,2,APPROVED,792.5866666666667,1,995,Merged
Deferred: Stop inventing jQuery.when() resolution values,2016-12-11T00:16:15Z,2016-12-16T16:45:36Z,2016-12-16T16:45:36Z,5,APPROVED,136.48916666666668,2,13,Merged
Offset: Eliminate little-used internal function,2016-12-16T17:03:01Z,2016-12-19T17:00:47Z,2016-12-19T17:00:47Z,7,APPROVED,71.96277777777777,1,13,Merged
Traversing: $.fn.contents() supports HTMLTemplateElement,2016-12-20T12:55:56Z,2017-01-29T22:32:16Z,2017-01-29T22:32:16Z,28,CHANGES_REQUESTED,969.6055555555556,2,492,Merged
Manipulation: Restrict the tbody search to child nodes,2016-12-20T18:15:38Z,2017-01-09T19:37:13Z,2017-01-09T19:37:13Z,5,APPROVED,481.3597222222222,2,466,Merged
Callbacks: Prevent add() from unlocking with-memory lists,2016-12-23T05:27:55Z,2017-01-09T19:33:39Z,2017-01-09T19:33:40Z,1,APPROVED,422.09555555555556,2,13,Merged
Tests: Added tests for colon separated tag names,2016-12-24T16:41:51Z,,2016-12-29T20:03:41Z,3,APPROVED,123.3638888888889,1,425,Closed
Build: Drop support for building on Node.js 0.12,2016-12-30T11:17:57Z,2016-12-30T12:59:38Z,2016-12-30T12:59:38Z,1,APPROVED,1.6947222222222222,2,860,Merged
Fix .offset() and .position() bugs,2017-01-05T08:34:08Z,2017-04-24T16:15:39Z,2017-04-24T16:15:39Z,1,,2623.6919444444443,3,804,Merged
Tests: Update the loader so test pages always get jQuery,2017-01-05T08:56:59Z,2017-01-09T19:23:48Z,2017-01-09T19:23:48Z,1,APPROVED,106.44694444444444,1,28,Merged
Event: Added rcheckable to click.trigger function,2017-01-11T22:34:13Z,,2017-01-19T22:29:28Z,5,CHANGES_REQUESTED,191.92083333333332,4,803,Closed
9d822bc1c13dd3393b418210a99537c22c06f2c3 followup,2017-01-12T14:58:49Z,2017-01-16T18:18:49Z,2017-01-16T18:18:49Z,4,APPROVED,99.33333333333333,2,603,Merged
Core: Deprecate jQuery.nodeName,2017-01-17T18:20:44Z,,2017-03-01T10:54:24Z,4,APPROVED,1024.5611111111111,12,370,Closed
Build: Keep deprecated module in slim,2017-02-06T16:53:39Z,,2017-02-13T15:53:38Z,1,APPROVED,166.99972222222223,1,15,Closed
CSS: Support custom properties,2017-03-01T23:33:52Z,2017-03-07T14:05:04Z,2017-03-07T14:05:04Z,16,APPROVED,134.52,3,900,Merged
Effects: stabilize rAF logic & align timeout logic with it,2017-03-06T01:09:33Z,,2017-03-06T18:17:49Z,3,APPROVED,17.137777777777778,2,3218,Closed
Dimensions: ignore transforms when retrieving width/height,2017-03-06T23:25:09Z,,2017-03-13T17:33:51Z,14,APPROVED,162.145,2,733,Closed
CSS: Drop the float mapping from cssProps,2017-03-15T15:32:53Z,2017-05-06T18:52:08Z,2017-05-06T18:52:08Z,1,APPROVED,1251.3208333333334,1,895,Merged
Core: fix holdReady and move readywait to an iframe test,2017-03-18T17:48:15Z,,2017-03-20T15:38:08Z,4,APPROVED,45.83138888888889,5,537,Closed
Dimensions: fall back to offsetWidth/Height for inline elems,2017-03-18T18:22:16Z,,2017-03-20T16:16:49Z,9,CHANGES_REQUESTED,45.909166666666664,3,341,Closed
