title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
epoch_offset argument for fit functions,2016-04-29T16:55:10Z,,2016-11-21T19:22:36Z,1,,4946.457222222222,1,313,Closed
"Add two examples for Keras: ResNet for cifar10, DisturbLabel",2016-05-24T01:57:31Z,,2016-11-29T17:27:33Z,1,,4551.500555555555,2,245,Closed
Learning rate multipliers for convolutional and dense layers,2016-06-17T10:06:38Z,,2017-03-15T21:36:40Z,4,,6515.500555555555,6,194,Closed
Fix VAE example,2016-07-13T23:45:49Z,2016-07-24T21:09:34Z,2016-07-24T21:09:34Z,4,,261.3958333333333,1,514,Merged
Added support for CTC in both Theano and Tensorflow along with image OCR example.,2016-08-10T03:44:35Z,2016-08-16T20:25:26Z,2016-08-16T20:25:26Z,3,,160.68083333333334,4,2906,Merged
Make ZeroPadding2D optionally asymmetric,2016-08-26T13:13:47Z,2016-10-13T00:48:57Z,2016-10-13T00:48:57Z,18,CHANGES_REQUESTED,1139.5861111111112,4,1040,Merged
add audio models: audio_convnet and audio_conv_rnn,2016-09-08T07:40:53Z,2016-09-25T02:53:47Z,2016-09-25T02:53:47Z,9,,403.215,3,95,Merged
Fix ValueError(ndim of gamma and beta) of batch normalization when using Theano,2016-09-10T09:32:19Z,2016-09-16T01:09:02Z,2016-09-16T01:09:02Z,2,,135.61194444444445,1,294,Merged
make ImageDataGenerator behaviour fully seedable/repeatable,2016-09-12T11:24:51Z,2016-09-22T04:11:39Z,2016-09-22T04:11:39Z,2,CHANGES_REQUESTED,232.78,2,681,Merged
ReduceLROnPlateau Callback and CSVLogger Callback,2016-09-15T13:35:33Z,2016-09-24T04:16:19Z,2016-09-24T04:16:19Z,8,CHANGES_REQUESTED,206.67944444444444,2,262,Merged
Matthews Correlation Fix & Binary helpers,2016-09-17T18:50:15Z,,2016-09-20T15:48:43Z,1,CHANGES_REQUESTED,68.97444444444444,5,869,Closed
TimeDistributed : unroll RNN when using TF backend,2016-09-21T13:23:26Z,2016-09-22T00:31:46Z,2016-09-22T00:31:46Z,3,CHANGES_REQUESTED,11.13888888888889,1,47,Merged
Bypass shape inference in deconv2d and use the output shape provided by the user,2016-09-21T16:25:40Z,2016-09-28T20:40:44Z,2016-09-28T20:40:44Z,21,CHANGES_REQUESTED,172.2511111111111,3,438,Merged
Changed ELU implementation to use native ops,2016-09-22T09:24:13Z,2016-09-22T18:08:21Z,2016-09-22T18:08:21Z,3,CHANGES_REQUESTED,8.735555555555555,6,0,Merged
Add OneHot layer for generating one hot embedding for zero-based integer features,2016-09-22T15:22:32Z,,2016-09-22T16:58:38Z,2,,1.6016666666666666,2,0,Closed
Soft Exponential activation function,2016-09-22T19:45:51Z,,2017-03-15T21:37:58Z,13,,4177.868611111111,4,123,Closed
Choose format according to filename when plotting,2016-09-27T06:31:46Z,2016-09-28T18:43:23Z,2016-09-28T18:43:23Z,2,,36.19361111111111,1,0,Merged
Fix summary param counting problem (#3661),2016-09-27T07:55:15Z,2016-10-01T05:15:11Z,2016-10-01T05:15:11Z,3,,93.33222222222223,1,0,Merged
Add F-score metric to metrics.py,2016-09-28T10:02:59Z,2016-10-06T21:53:53Z,2016-10-06T21:53:53Z,7,,203.84833333333333,2,952,Merged
Added recurrent convolutionnal layer,2016-09-29T08:34:21Z,2016-11-05T20:46:28Z,2016-11-05T20:46:28Z,43,CHANGES_REQUESTED,900.2019444444444,4,758,Merged
Added ability to return more than one metric from a function,2016-09-29T09:31:05Z,2016-10-11T17:54:02Z,2016-10-11T17:54:02Z,6,,296.3825,3,15,Merged
Add GlobalMaxPooling3D and GlobalAveragePooling3D,2016-10-06T12:10:06Z,2016-10-07T22:06:19Z,2016-10-07T22:06:19Z,2,CHANGES_REQUESTED,33.93694444444444,2,13,Merged
Add top-k classification accuracy metrics,2016-10-06T16:09:09Z,2016-10-08T06:32:19Z,2016-10-08T06:32:19Z,1,CHANGES_REQUESTED,38.38611111111111,4,824,Merged
Add domain adaptation example and gradient reversal layer,2016-10-12T05:33:13Z,,2017-03-15T21:39:03Z,24,,3712.097222222222,8,1421,Closed
Subpixel,2016-10-14T17:22:33Z,,2016-10-19T04:31:23Z,1,,107.14722222222223,4,285,Closed
Fixes for Python 3,2016-10-19T21:46:38Z,2016-10-23T16:01:16Z,2016-10-23T16:01:16Z,10,CHANGES_REQUESTED,90.24388888888889,2,377,Merged
