title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Harrison/add huggingface hub,2022-10-26T03:23:09Z,2022-10-26T05:00:34Z,2022-10-26T05:00:34Z,7,,1.6236111111111111,11,168,Merged
[RFC] Self-consistent Draft,2022-10-27T13:33:00Z,,2023-04-12T00:36:50Z,3,,3995.063888888889,19,429,Closed
Fix cohere integration,2022-10-27T19:12:22Z,2022-10-28T01:17:04Z,2022-10-28T01:17:04Z,1,,6.078333333333333,1,119,Merged
prompt templating,2022-10-28T16:02:40Z,2022-10-30T16:45:28Z,2022-10-30T16:45:28Z,3,,48.71333333333333,3,0,Merged
add developer guide,2022-10-31T01:21:57Z,2022-10-31T05:48:52Z,2022-10-31T05:48:52Z,1,,4.448611111111111,1,63,Merged
FAISS and embedding support ,2022-11-01T04:33:38Z,2022-11-02T04:29:40Z,2022-11-02T04:29:40Z,2,,23.933888888888887,19,46,Merged
DynamicPrompt class creation,2022-11-01T04:58:32Z,2022-11-05T19:43:22Z,2022-11-05T19:43:22Z,6,,110.74722222222222,3,115,Merged
Add BasePrompt as abstract base class,2022-11-03T21:47:38Z,2022-11-04T15:42:45Z,2022-11-04T15:42:45Z,1,,17.91861111111111,4,0,Merged
add integration with manifest,2022-11-05T01:37:14Z,2022-11-10T19:24:12Z,2022-11-10T19:24:12Z,3,,137.78277777777777,5,0,Merged
"Refactor prompts into module, add example generation utils",2022-11-05T21:22:45Z,2022-11-06T23:40:33Z,2022-11-06T23:40:33Z,2,,26.296666666666667,20,0,Merged
ElasticVectorSearch: Add in vector search backed by Elastic,2022-11-05T23:51:39Z,2022-11-08T15:01:42Z,2022-11-08T15:01:42Z,4,,63.1675,5,118,Merged
Issam/hf embeddings,2022-11-06T16:18:27Z,2022-11-07T13:46:44Z,2022-11-07T13:46:44Z,2,,21.47138888888889,3,43,Merged
Improve credential handing to allow passing in constructors,2022-11-07T18:11:09Z,2022-11-07T21:34:45Z,2022-11-07T21:34:46Z,1,,3.3933333333333335,7,237,Merged
NLPCloud client integration,2022-11-08T03:15:24Z,2022-11-08T14:24:23Z,2022-11-08T14:24:23Z,2,,11.149722222222222,4,441,Merged
OptimizedPrompt -- k-shot example choice backed by semantic search,2022-11-08T23:08:31Z,2022-11-10T05:15:42Z,2022-11-10T05:15:42Z,1,,30.119722222222222,3,57,Merged
