title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Add parameter substitution to `download.sh`,2023-02-24T21:48:32Z,,2023-09-07T12:15:12Z,3,APPROVED,4670.444444444444,2,245,Closed
creating TARGET_FOLDER,2023-03-02T15:17:00Z,,2023-09-06T17:17:22Z,4,,4514.006111111111,1,143,Closed
Update README.md,2023-03-02T22:51:45Z,,2023-09-01T20:07:21Z,3,,4389.26,1,42,Closed
Save bandwidth by using a torrent to distribute more efficiently,2023-03-02T23:05:55Z,,2023-09-01T20:09:52Z,294,,4389.065833333333,1,0,Closed
Download weights from huggingface to help us save bandwith ,2023-03-04T16:41:23Z,,2023-09-01T20:14:49Z,3,,4347.557222222223,1,67,Closed
Update download.sh,2023-03-04T20:53:00Z,,2023-08-31T23:07:28Z,2,,4322.241111111111,1,0,Closed
Update download.sh,2023-03-04T21:03:01Z,,2023-08-31T23:07:36Z,2,,4322.076388888889,1,0,Closed
Update download.sh,2023-03-04T21:08:39Z,,2023-08-31T23:07:54Z,3,,4321.9875,1,0,Closed
Updating download.sh to check if weights exists before re-downloading them,2023-03-05T22:40:55Z,,2024-02-13T22:27:52Z,1,,8279.7825,5,316,Closed
Update download.sh,2023-03-06T19:05:43Z,,2023-09-06T16:10:36Z,3,,4413.081388888889,1,0,Closed
Formatting and Ruff fixes,2023-03-11T11:32:05Z,,2023-09-01T20:24:36Z,4,,4184.875277777778,8,0,Closed
"Change model license to Apache License, Version 2.0",2023-03-12T11:31:03Z,,2023-07-18T20:15:24Z,271,,3080.7391666666667,1,914,Closed
It improves the download script,2023-04-27T20:58:30Z,,2023-09-06T19:23:07Z,3,CHANGES_REQUESTED,3166.410277777778,0,825,Closed
Remove unused Any import,2023-07-18T18:55:02Z,2023-08-31T19:27:54Z,2023-08-31T19:27:54Z,2,,1056.5477777777778,1,0,Merged
Update README.md,2023-07-18T22:54:31Z,2023-07-19T12:22:30Z,2023-07-19T12:22:30Z,1,,13.466388888888888,1,37,Merged
added type hint in example code,2023-07-19T06:23:19Z,2023-08-31T20:34:12Z,2023-08-31T20:34:12Z,1,,1046.181388888889,3,52,Merged
Python download script for macos users,2023-07-19T17:20:01Z,,2024-09-11T07:43:39Z,2,,10070.39388888889,2,117,Closed
Update download.sh to not use hardcoded bash path for improved portability,2023-07-20T10:08:44Z,2023-09-05T09:21:33Z,2023-09-05T09:21:33Z,1,,1127.213611111111,1,166,Merged
Update model.py,2023-07-21T16:13:31Z,,2023-07-24T04:24:30Z,1,,60.183055555555555,2,0,Closed
Update README.md,2023-07-22T05:48:01Z,2023-08-31T19:37:44Z,2023-08-31T19:37:44Z,2,,973.8286111111111,1,27,Merged
Update README.md,2023-07-23T09:25:51Z,2023-08-31T18:14:35Z,2023-08-31T18:14:36Z,1,,944.8122222222222,1,0,Merged
Update MODEL_CARD.md,2023-07-23T09:28:10Z,2023-08-26T02:17:53Z,2023-08-26T02:17:53Z,1,APPROVED,808.8286111111111,1,0,Merged
Update LICENSE,2023-07-23T09:28:58Z,2023-08-26T02:14:54Z,2023-08-26T02:14:54Z,2,APPROVED,808.7655555555556,1,0,Merged
Update download.sh,2023-07-23T10:32:55Z,,2023-09-01T19:51:31Z,1,,969.31,1,79,Closed
Update download.sh,2023-07-24T12:56:15Z,,2023-09-05T09:43:20Z,2,,1028.7847222222222,1,0,Closed
fix file permissions (download.sh),2023-07-25T12:28:38Z,,2023-09-06T16:38:39Z,1,,1036.1669444444444,1,62,Closed
"Add ""-c"" flag to indicate ""wget"" to continue download",2023-07-26T09:28:38Z,,2023-09-06T19:26:58Z,1,,1017.9722222222222,1,484,Closed
Update download.sh,2023-07-30T07:53:54Z,,2023-09-05T09:39:03Z,1,,889.7525,1,0,Closed
Update download.sh,2023-08-07T10:27:29Z,,2023-09-05T09:36:06Z,1,,695.1436111111111,1,0,Closed
Return completion log probabilities,2023-08-09T03:24:23Z,2023-09-07T17:57:56Z,2023-09-07T17:57:56Z,1,,710.5591666666667,1,720,Merged
Update UPDATES.md,2023-08-11T13:22:26Z,2023-08-11T14:38:07Z,2023-08-11T14:38:07Z,1,,1.261388888888889,1,41,Merged
Update download.sh,2023-08-15T04:49:52Z,,2023-09-01T19:52:29Z,2,,423.0436111111111,1,0,Closed
Adopt xformers attention for better performance,2023-08-17T09:09:12Z,,2024-05-07T01:11:40Z,2,,6328.041111111111,1,220,Closed
make download.sh executable,2023-08-20T09:24:07Z,2023-09-01T16:41:43Z,2023-09-01T16:41:43Z,1,,295.29333333333335,1,0,Merged
use 'md5' instead of 'md5sum' if Applie Silicon,2023-08-28T05:22:59Z,2023-09-01T08:22:35Z,2023-09-01T08:22:35Z,1,,98.99333333333334,1,67,Merged
making a small change to avoid a confusion.,2023-09-02T22:24:35Z,2023-09-03T18:11:39Z,2023-09-03T18:11:39Z,2,CHANGES_REQUESTED,19.784444444444443,1,22,Merged
More portable shebang for download.sh,2023-09-03T10:20:23Z,2023-09-10T23:49:25Z,2023-09-10T23:49:25Z,2,APPROVED,181.48388888888888,1,81,Merged
add test,2023-09-08T15:53:38Z,,2023-09-18T00:14:16Z,2,,224.3438888888889,1,8,Closed
