title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Spelling,2016-10-20T15:39:34Z,2016-10-20T19:03:13Z,2016-10-20T19:03:13Z,2,,3.3941666666666666,2,0,Merged
WIP - Deep functionality for omit and pick ,2016-11-06T22:55:50Z,2016-11-07T00:43:26Z,2016-11-07T00:43:26Z,2,,1.7933333333333332,2,295,Merged
 make the documentation about _.isEqual clearer,2016-11-24T20:09:28Z,2016-11-24T21:12:14Z,2016-11-24T21:12:14Z,2,,1.0461111111111112,1,11,Merged
Add related function links for each function,2017-01-13T18:51:25Z,2017-01-16T00:27:42Z,2017-01-16T00:27:43Z,1,,53.60472222222222,85,168,Merged
unescape broken after remove semicolons action,2017-02-09T10:58:22Z,2017-02-09T16:19:32Z,2017-02-09T16:19:32Z,1,,5.352777777777778,1,5,Merged
Use parentheses around arrow function argument having a body with cur…,2017-02-09T12:40:14Z,,2017-02-09T16:18:21Z,1,,3.6352777777777776,3,154,Closed
Remove duplicate check symbol type,2017-02-11T16:24:13Z,2017-02-11T19:42:20Z,2017-02-11T19:42:20Z,1,,3.3019444444444446,1,160,Merged
_.update() docs grammar fix,2017-07-16T22:16:42Z,2017-07-17T01:11:00Z,2017-07-17T01:11:00Z,1,,2.905,1,35,Merged
Replacing a regex with a quick character check,2017-08-08T19:42:34Z,,2017-08-10T14:30:35Z,1,,42.80027777777778,1,85,Closed
Update compareMultiple.js,2017-08-23T15:43:53Z,,2017-08-23T16:52:19Z,2,,1.1405555555555555,1,804,Closed
function checking.,2017-10-09T15:26:55Z,,2017-10-09T16:36:30Z,1,,1.1597222222222223,1,139,Closed
Workaround memory leak issue caused by slice method,2017-11-01T22:24:22Z,,2017-11-02T17:49:53Z,3,,19.42527777777778,1,626,Closed
Tiny performance improvement by not compiling regular expression each time,2017-11-07T06:13:40Z,2017-11-07T14:28:18Z,2017-11-07T14:28:18Z,5,,8.24388888888889,1,209,Merged
