title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Added support for Windows (hopefully),2017-06-29T11:59:45Z,2017-08-05T00:46:06Z,2017-08-05T00:46:06Z,2,,876.7725,1,275,Merged
Improved stability for Windows NT OS,2017-09-27T09:50:10Z,2017-09-27T15:55:07Z,2017-09-27T15:55:07Z,1,,6.0825,2,288,Merged
Manim depends on Python 2.7 and is not yet compatible with Python 3.,2018-02-16T14:12:21Z,2018-03-31T20:05:03Z,2018-03-31T20:05:03Z,2,,1037.8783333333333,1,0,Merged
Add Continuous Integration,2018-03-11T23:54:59Z,,2018-06-02T17:43:18Z,3,,1985.8052777777777,4,410,Closed
Modernize Python 2 code to get ready for Python 3,2018-04-01T13:08:28Z,,2018-04-04T17:28:28Z,6,,76.33333333333333,118,402,Closed
Modernize Python 2 code to get ready for Python 3,2018-04-04T17:31:49Z,,2018-06-02T13:03:19Z,2,,1411.525,113,430,Closed
Added a way to easily customize the media directory,2018-05-24T19:04:49Z,2018-07-11T18:48:50Z,2018-07-11T18:48:50Z,4,,1151.733611111111,2,471,Merged
Modernize Python 2 code to get ready for Python 3 yet again,2018-06-02T13:01:29Z,2018-07-11T18:39:27Z,2018-07-11T18:39:27Z,5,,941.6327777777777,121,221,Merged
The file problem on Windows,2019-01-13T15:43:20Z,2019-01-18T17:06:59Z,2019-01-18T17:06:59Z,1,,121.39416666666666,2,593,Merged
Make manim installable using setuptools (setup.py),2019-04-28T06:12:27Z,2019-04-29T15:47:58Z,2019-04-29T15:47:58Z,3,,33.591944444444444,3,947,Merged
add option -i to save as gif,2019-05-08T05:11:55Z,2019-06-02T19:13:23Z,2019-06-02T19:13:23Z,4,,614.0244444444445,2,234,Merged
Add documentation for constants.py,2019-06-02T01:21:20Z,2019-06-03T01:21:12Z,2019-06-03T01:21:12Z,1,,23.997777777777777,2,0,Merged
Update learning_by_example.rst,2019-06-08T05:38:25Z,2019-06-08T23:37:54Z,2019-06-08T23:37:54Z,9,,17.99138888888889,2,0,Merged
Add documentation for the coordinate system,2019-06-10T21:41:20Z,2019-06-15T06:15:02Z,2019-06-15T06:15:02Z,10,,104.56166666666667,6,164,Merged
Install doc,2019-06-11T06:00:40Z,2019-06-19T21:46:34Z,2019-06-19T21:46:34Z,3,CHANGES_REQUESTED,207.765,3,145,Merged
More animations to Docs,2019-06-14T05:49:07Z,,2021-02-04T00:37:56Z,3,,14418.81361111111,8,125,Closed
Updated installation for linux,2019-07-12T00:25:10Z,,2021-02-04T00:46:08Z,8,,13752.349444444444,1,249,Closed
New Text Mobject,2019-08-12T01:53:27Z,2019-08-16T07:58:59Z,2019-08-16T07:58:59Z,1,,102.09222222222222,4,6287,Merged
Solve issue add sound in Windows 10,2019-08-20T06:35:49Z,2019-11-07T00:21:59Z,2019-11-07T00:21:59Z,1,,1889.7694444444444,1,38,Merged
Use generators for any and all calls and comprehensions,2019-10-11T05:26:31Z,,2021-02-04T00:55:27Z,1,,11563.482222222223,5,247,Closed
Add better discontinuity functionality.,2019-12-16T02:15:58Z,,2021-07-18T03:17:30Z,1,,13921.025555555556,2,1672,Closed
Add options for graph area to be bounded by another curve,2019-12-19T09:47:15Z,,2021-02-10T06:45:27Z,1,,10052.97,1,2036,Closed
#806 typo in WriteStuff,2019-12-23T16:31:09Z,2020-09-30T14:57:30Z,2020-09-30T14:57:30Z,1,,6766.439166666667,1,36,Merged
Fix BrokenPipeError caused by FFmpeg writing to closed stdin,2020-01-01T01:16:12Z,,2020-11-23T21:52:40Z,1,,7868.607777777778,1,1803,Closed
Fix small typo in installation instructions,2020-01-05T21:43:57Z,,2021-02-04T01:20:03Z,2,,9483.601666666667,1,85,Closed
Fix markup typo in README,2020-01-21T01:23:09Z,,2020-05-04T14:45:26Z,2,,2509.3713888888888,1,37,Closed
Update cairo versions in README.md,2020-03-27T07:21:12Z,,2020-09-30T15:07:25Z,1,,4495.770277777778,1,201,Closed
doc,2020-03-30T18:24:26Z,,2021-02-04T01:22:25Z,1,,7446.966388888889,28,392,Closed
Changed -1 to -1.0 for broader GPU suppot.,2020-03-30T18:26:53Z,2020-04-16T05:17:08Z,2020-04-16T05:17:08Z,1,,394.8375,1,613,Merged
Performance improvement for most scenes,2020-04-12T08:28:02Z,2020-04-25T04:04:09Z,2020-04-25T04:04:09Z,4,,307.6019444444444,3,2470,Merged
DOC: update Anaconda install instructions,2020-04-13T23:25:44Z,,2020-09-10T22:56:23Z,1,,3599.5108333333333,1,728,Closed
Code() in file Code_mobject.py to display code with color highlighted works correctly with updates in text_mobject.py and svg_mobject. ,2020-05-01T05:24:55Z,,2020-05-07T03:51:23Z,2,,142.4411111111111,6,4441,Closed
Improve example scene 'WriteStuff',2020-05-04T18:36:53Z,,2020-09-30T15:16:12Z,1,,3572.655277777778,1,485,Closed
Fix space characters problem of Text,2020-05-06T09:37:15Z,2020-05-07T08:16:39Z,2020-05-07T08:16:39Z,6,,22.656666666666666,2,1143,Merged
"Added DocStrings for all methods in Container, Scene, GraphScene, MovingCameraScene, SceneFileWriter, ThreeDScene, SpecialThreeDScene, ZoomedScene, VectorScene, and LinearTransformationScene.",2020-05-10T09:23:50Z,2020-05-14T05:41:23Z,2020-05-14T05:41:23Z,4,,92.2925,9,619,Merged
use FFMPEG_BIN constant,2020-05-10T12:59:30Z,,2021-02-04T01:25:39Z,1,,6468.435833333333,1,29,Closed
remove superfluous code,2020-05-10T13:01:19Z,2020-09-30T15:21:06Z,2020-09-30T15:21:06Z,2,,3434.3297222222222,1,152,Merged
Correctly return get_unit_size,2020-05-13T16:20:45Z,2020-09-30T15:21:57Z,2020-09-30T15:21:57Z,1,,3359.02,1,490,Merged
"Fix ""itslef"" to ""itself""",2020-05-14T19:43:47Z,2020-05-21T03:21:10Z,2020-05-21T03:21:11Z,1,,151.62305555555557,1,44,Merged
Fixed Some bugs of code_mobject.py and Text_mobject.py,2020-05-14T21:08:02Z,,2020-07-12T09:56:19Z,2,,1404.8047222222222,4,3154,Closed
Add directory change to README,2020-05-15T19:43:31Z,,2021-02-04T01:27:04Z,1,,6341.725833333333,1,87,Closed
Svgmobject update with basic processing of 'text' tag,2020-05-18T12:39:32Z,,2022-02-14T04:55:21Z,3,,15280.263611111111,2,1789,Closed
Pygments added to environment.yml,2020-06-22T11:53:11Z,2020-09-30T15:33:08Z,2020-09-30T15:33:08Z,1,,2403.6658333333335,1,362,Merged
Update complex_transformation_scene.py #498,2020-07-15T01:20:45Z,,2022-02-14T05:02:54Z,1,,13899.7025,1,518,Closed
Fixed import errors with diffyq files in active_projects directory,2020-08-26T17:21:31Z,,2021-02-04T01:38:50Z,1,,3872.288611111111,51,592,Closed
fixed deprecation warning: tostring -> tobytes,2020-08-27T11:05:25Z,2020-09-30T14:28:28Z,2020-09-30T14:28:28Z,2,,819.3841666666667,1,216,Merged
Change Ubuntu version to bionic in .travis.yml,2020-11-09T15:04:28Z,2020-11-14T02:53:26Z,2020-11-14T02:53:26Z,3,,107.81611111111111,2,516,Merged
fix typo docstring in scene_file_writer.py,2020-11-29T04:00:11Z,2020-11-29T11:23:47Z,2020-11-29T11:23:47Z,1,,7.3933333333333335,1,136,Merged
Interactive Mobjects Performance Improvements,2021-01-31T10:37:33Z,2021-02-01T17:30:05Z,2021-02-01T17:30:05Z,5,,30.875555555555554,3,1950,Merged
Add CONFIG parameter to allow disabling smoothing on ParametricCurve,2021-02-01T02:17:02Z,2021-02-03T20:09:34Z,2021-02-03T20:09:34Z,1,,65.87555555555555,1,2742,Merged
Replace redundant CONFIG key in NumberLine,2021-02-01T08:32:49Z,2021-02-03T20:10:03Z,2021-02-03T20:10:03Z,1,,59.620555555555555,1,2003,Merged
Update README.md,2021-02-02T03:47:18Z,,2021-02-02T06:13:46Z,2,CHANGES_REQUESTED,2.4411111111111112,1,493,Closed
updated installation of manim on macOS,2021-02-02T06:07:13Z,2021-02-03T20:33:59Z,2021-02-03T20:33:59Z,3,,38.44611111111111,1,453,Merged
Changed manim downloads location from default to custom_default config,2021-02-02T18:42:29Z,2021-02-03T19:59:09Z,2021-02-03T19:59:09Z,1,,25.27777777777778,2,612,Merged
Fixed prompt_user_for_choice and added number support,2021-02-05T07:58:23Z,2021-02-05T22:49:35Z,2021-02-05T22:49:35Z,1,,14.853333333333333,1,410,Merged
handle_play_like_call decorator to use functools.wraps,2021-02-05T10:12:28Z,2021-02-05T18:12:15Z,2021-02-05T18:12:15Z,1,,7.996388888888889,3,330,Merged
Fix NumberLine's unit_size,2021-02-06T10:00:14Z,2021-02-06T17:05:22Z,2021-02-06T17:05:22Z,1,,7.085555555555556,1,889,Merged
Allow setting scene_config via Scene.CONFIG,2021-02-11T11:50:32Z,,2021-04-22T03:45:45Z,4,CHANGES_REQUESTED,1671.9202777777778,1,2716,Closed
Use ManimPango for Text rendering,2021-02-12T07:15:25Z,2021-02-12T21:15:40Z,2021-02-12T21:15:40Z,1,,14.004166666666666,2,1050,Merged
fix issue #1509,2021-06-05T00:19:55Z,2021-06-14T16:42:41Z,2021-06-14T16:42:41Z,1,,232.37944444444443,1,242,Merged
Fixed the default size of Text,2021-06-15T11:15:02Z,2021-06-18T19:28:33Z,2021-06-18T19:28:33Z,10,,80.22527777777778,2,1715,Merged
Fix ControlsExample Scene,2021-06-17T06:14:30Z,2021-06-20T07:37:06Z,2021-06-20T07:37:06Z,1,,73.37666666666667,2,1160,Merged
Temporary hack for showing text correctly,2021-06-18T08:20:28Z,2021-06-19T16:53:24Z,2021-06-19T16:53:24Z,1,,32.54888888888889,2,2580,Merged
Scale Text Correctly,2021-06-18T12:35:11Z,2021-06-18T19:14:32Z,2021-06-18T19:14:33Z,2,,6.655833333333334,1,1968,Merged
Add MarkupText,2021-06-19T20:00:10Z,2021-07-28T14:45:50Z,2021-07-28T14:45:50Z,1,,930.7611111111111,1,1440,Merged
Transition build method to PEP 517,2021-06-26T04:36:38Z,2021-07-28T14:47:18Z,2021-07-28T14:47:19Z,1,,778.1777777777778,5,657,Merged
Add frame to the scene when initialization,2021-06-29T15:03:56Z,2021-07-28T14:48:02Z,2021-07-28T14:48:02Z,1,,695.735,1,214,Merged
Update Discord link,2021-07-17T05:51:52Z,2021-07-18T02:51:33Z,2021-07-18T02:51:33Z,1,,20.994722222222222,1,297,Merged
Add clarification on versions,2021-07-17T06:12:41Z,2021-07-18T02:58:48Z,2021-07-18T02:58:48Z,1,,20.76861111111111,1,405,Merged
fix put_start_and_end_on,2021-08-04T14:54:10Z,2021-08-06T17:25:47Z,2021-08-06T17:25:47Z,1,,50.526944444444446,1,303,Merged
Support the elliptical arc command for SVGMobject,2021-08-08T13:34:28Z,2021-08-09T23:19:15Z,2021-08-09T23:19:15Z,1,,33.74638888888889,1,1661,Merged
Manim Spanish,2021-08-10T23:00:03Z,,2022-02-14T04:51:47Z,1,,4493.862222222222,27,502,Closed
Typo fix in UpdatersExample,2021-08-24T05:30:24Z,2021-08-25T04:27:09Z,2021-08-25T04:27:09Z,1,,22.945833333333333,1,449,Merged
Add Code mobject with syntax highlighting,2021-09-15T08:18:21Z,2021-09-15T16:31:34Z,2021-09-15T16:31:34Z,1,,8.220277777777778,2,1875,Merged
Fix the bug of rotating camera,2021-10-18T11:20:32Z,2021-10-18T14:01:58Z,2021-10-18T14:01:58Z,1,,2.6905555555555556,1,629,Merged
Refactor command handling in `svg_mobject.py`,2021-10-24T14:34:28Z,2021-10-24T16:47:54Z,2021-10-24T16:47:54Z,1,,2.223888888888889,2,161,Merged
 Overridden add operations for mobjects,2021-10-31T12:04:10Z,2021-11-01T20:17:16Z,2021-11-01T20:17:16Z,2,,32.218333333333334,2,1020,Merged
Construct `MTex`,2021-11-12T13:26:37Z,2021-12-14T00:09:55Z,2021-12-14T00:09:56Z,1,,754.7216666666667,2,4276,Merged
Add option to add ticks on x-axis in BarChart(),2021-12-16T15:15:22Z,2021-12-17T17:30:53Z,2021-12-17T17:30:53Z,6,,26.25861111111111,1,1367,Merged
removed extra 'all' from comments,2021-12-31T05:12:21Z,2021-12-31T10:18:50Z,2021-12-31T10:18:50Z,1,,5.108055555555556,1,422,Merged
"Adding ""label_buff"" config parameter for Brace",2022-01-03T07:06:07Z,2022-01-03T16:53:35Z,2022-01-03T16:53:35Z,1,,9.79111111111111,1,2267,Merged
"Fix ""Code is unreachable Pylance"" warning for NumberPlane",2022-01-17T13:02:34Z,2022-01-17T16:56:09Z,2022-01-17T16:56:09Z,1,,3.8930555555555557,1,2138,Merged
Refactor MTex and some clean-ups,2022-01-26T05:30:28Z,2022-01-26T16:56:44Z,2022-01-26T16:56:44Z,1,,11.437777777777777,6,777,Merged
Handle explicit color-related commands,2022-01-27T15:18:55Z,2022-01-29T16:01:48Z,2022-01-29T16:01:48Z,2,,48.71472222222222,1,817,Merged
Refactor MTex and implement TransformMatchingMTex,2022-02-02T12:28:35Z,2022-02-07T16:21:53Z,2022-02-07T16:21:54Z,2,,123.88833333333334,2,10462,Merged
Implement ImplicitFunction,2022-02-05T08:30:13Z,2022-02-07T16:24:40Z,2022-02-07T16:24:41Z,1,,55.9075,3,674,Merged
Attempt to refactor SVGMobject with svgelements,2022-02-09T16:05:56Z,2022-02-11T15:53:21Z,2022-02-11T15:53:21Z,1,,47.790277777777774,10,2236,Merged
Add type hints according to PEP 484 and PEP 604,2022-02-12T15:52:45Z,2022-03-22T18:05:10Z,2022-03-22T18:05:10Z,7,,914.2069444444444,62,2227,Merged
"Imports update, dict keys removal etc.",2022-02-12T17:33:56Z,2022-02-13T03:12:41Z,2022-02-13T03:12:42Z,1,,9.645833333333334,6,203,Merged
Add text_config for DecimalNumber,2022-02-15T02:19:01Z,2022-02-15T17:59:46Z,2022-02-15T17:59:46Z,3,,15.679166666666667,1,1268,Merged
Reorganize inheriting order and refactor SVGMobject,2022-02-15T12:33:16Z,2022-02-15T18:05:53Z,2022-02-15T18:05:53Z,7,,5.543611111111111,7,1045,Merged
Refactor Text with the latest manimpango,2022-03-02T11:54:40Z,2022-03-22T16:50:43Z,2022-03-22T16:50:43Z,1,,484.93416666666667,4,3879,Merged
Reorganize getters for ParametricCurve,2022-03-06T05:59:27Z,2022-03-06T17:27:22Z,2022-03-06T17:27:22Z,1,,11.465277777777779,1,597,Merged
Fix the width of riemann rectangles,2022-03-17T06:16:07Z,2022-03-17T16:06:42Z,2022-03-17T16:06:42Z,1,,9.843055555555555,1,547,Merged
Adjust some typings,2022-03-23T04:27:34Z,2022-03-23T06:17:34Z,2022-03-23T06:17:34Z,1,,1.8333333333333333,6,488,Merged
