title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
[Card] support for controlled expansion,2016-02-09T09:38:53Z,2016-02-11T23:43:58Z,2016-02-11T23:43:58Z,1,REVIEW_REQUIRED,62.084722222222226,4,14,Merged
[Menu] Stop wheel events from propagating if scroll container is scrollable.,2016-05-05T10:07:42Z,2016-11-27T10:32:16Z,2016-11-27T10:32:16Z,1,APPROVED,4944.4094444444445,1,335,Merged
[Form components] Set `cursor:not-allowed` style when disabled ,2016-05-05T12:15:43Z,2016-06-19T23:09:33Z,2016-06-19T23:09:33Z,3,REVIEW_REQUIRED,1090.8972222222221,14,84,Merged
[WIP] [Core] Setup umd build,2016-05-25T16:51:05Z,,2016-12-18T10:21:47Z,1,REVIEW_REQUIRED,4961.511666666666,4,848,Closed
[DatePicker] Expose dialog container style,2016-05-26T18:07:24Z,2016-06-12T20:34:33Z,2016-06-12T20:34:33Z,2,REVIEW_REQUIRED,410.4525,2,752,Merged
[DropDownMenu] Add an onClose callback property,2016-05-29T16:00:43Z,,2016-11-26T11:10:46Z,1,CHANGES_REQUESTED,4339.1675,4,14,Closed
[Popover] Fix bad positioning on IOS devices,2016-07-06T22:00:11Z,2016-12-15T23:12:13Z,2016-12-15T23:12:13Z,9,APPROVED,3889.2005555555556,4,422,Merged
[DropDownMenu] Do not wrap below dropdown menu,2016-07-20T19:51:45Z,2016-11-27T10:11:56Z,2016-11-27T10:11:56Z,1,APPROVED,3110.336388888889,1,350,Merged
[MenuItem] Add right padding when there is icon,2016-07-21T12:01:29Z,2016-11-26T10:41:55Z,2016-11-26T10:41:55Z,1,APPROVED,3070.673888888889,1,338,Merged
[Popover] Making sure Popover has correct position,2016-07-27T20:44:28Z,2016-10-08T11:03:26Z,2016-10-08T11:03:26Z,1,APPROVED,1742.316111111111,1,406,Merged
[Tabs] Fix Firefox height issue,2016-08-11T13:41:51Z,,2016-10-19T21:27:14Z,1,REVIEW_REQUIRED,1663.756388888889,1,901,Closed
MenuItem Fix hoverColor muiTheme override,2016-08-11T14:56:40Z,,2016-11-01T21:35:39Z,1,REVIEW_REQUIRED,1974.6497222222222,2,188,Closed
