title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
fix gantt chart cli configuration broken,2016-12-13T04:37:16Z,2016-12-13T08:28:37Z,2016-12-13T08:28:37Z,1,,3.8558333333333334,1,100,Merged
Fix documentation for git graph.,2017-03-24T20:27:57Z,2017-04-01T09:45:08Z,2017-04-01T09:45:08Z,1,,181.2863888888889,1,0,Merged
Modernize mermaid,2017-04-21T12:47:53Z,2017-04-24T15:56:46Z,2017-04-24T15:56:46Z,1,APPROVED,75.14805555555556,58,1176,Merged
"Please do not use CDN for jquery, because we Chinese have a firewall.",2017-04-22T07:32:20Z,,2017-08-16T14:57:41Z,2,CHANGES_REQUESTED,2791.4225,12,0,Closed
Improve CLI output,2017-05-25T14:16:43Z,2017-05-31T14:51:59Z,2017-05-31T14:51:59Z,1,,144.58777777777777,3,80,Merged
Fixing busted build with node v10 and refactoring and fixing busted flow spec unit tests,2018-07-19T16:21:43Z,,2019-10-15T18:12:29Z,2,,10873.846111111112,15,271,Closed
wip: class diagram  cardinality display,2018-07-29T16:52:32Z,2019-06-09T18:22:03Z,2019-06-09T18:22:03Z,1,,7561.491944444444,2,173,Merged
fix uml and remove hard-coded styles,2018-09-03T22:26:10Z,,2019-09-24T10:41:22Z,1,,9252.253333333334,4,1087,Closed
Add SubGraphStyle to flow graph,2018-11-16T10:24:16Z,,2019-06-09T16:55:54Z,2,,4926.527222222222,8,419,Closed
Gantt milestones,2019-02-01T04:52:23Z,2019-06-09T17:56:26Z,2019-06-09T17:56:26Z,2,,3085.0675,6,1116,Merged
Added exclude weekdays to definition,2019-02-06T19:18:02Z,2019-05-28T20:12:19Z,2019-05-28T20:12:19Z,5,,2664.904722222222,9,367,Merged
Feature/allow inclusive enddates,2019-07-07T19:54:15Z,2019-07-12T16:05:22Z,2019-07-12T16:05:22Z,1,,116.18527777777778,6,793,Merged
Close stale issues,2019-09-13T18:23:13Z,2019-09-18T16:06:57Z,2019-09-18T16:06:57Z,1,,117.72888888888889,1,366,Merged
Fix accidental paste and code style in readme,2019-09-19T07:45:19Z,2019-09-19T13:00:59Z,2019-09-19T13:00:59Z,1,APPROVED,5.261111111111111,1,0,Merged
Use https in github urls,2019-09-19T19:31:36Z,2019-09-23T13:44:21Z,2019-09-23T13:44:21Z,1,APPROVED,90.2125,2,317,Merged
Fixes #848 - Use more secure PRNG,2019-10-02T01:30:25Z,2019-10-02T13:54:35Z,2019-10-02T13:54:35Z,1,APPROVED,12.402777777777779,4,172,Merged
Class diagram: annotations support,2019-10-04T19:13:48Z,2019-10-08T10:56:50Z,2019-10-08T10:56:50Z,1,,87.71722222222222,11,541,Merged
bug/984 Class diagram: properties with bracket syntax are reversed in order,2019-10-08T21:01:05Z,2019-10-15T16:39:20Z,2019-10-15T16:39:20Z,1,APPROVED,163.6375,2,14,Merged
reference the CONTRIBUTING.md in README,2019-10-15T20:23:58Z,2019-10-16T06:48:03Z,2019-10-16T06:48:03Z,1,APPROVED,10.401388888888889,2,58,Merged
Feature/1001 preview releases for release branches,2019-10-16T01:22:00Z,2019-10-17T17:31:57Z,2019-10-17T17:31:57Z,1,APPROVED,40.16583333333333,2,15,Merged
