title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
TarSum: versioning,2014-08-22T19:45:44Z,2014-09-10T22:08:36Z,2014-09-10T22:08:36Z,1,REVIEW_REQUIRED,458.3811111111111,8,383,Merged
Make V2 code more defensive against malformed content,2014-10-03T23:19:47Z,2014-10-11T00:20:00Z,2014-10-11T00:20:00Z,3,REVIEW_REQUIRED,169.0036111111111,4,205,Merged
Support INCLUDE in Dockerfiles,2015-04-24T15:12:39Z,,2018-11-26T23:06:03Z,3,REVIEW_REQUIRED,31495.89,8,580,Closed
Windows: Allow UNC paths on build,2015-08-06T02:38:33Z,2015-08-17T20:34:27Z,2015-08-17T20:34:27Z,1,REVIEW_REQUIRED,281.9316666666667,1,324,Merged
Content addressability,2015-11-12T01:24:15Z,2015-11-24T19:01:33Z,2015-11-24T19:01:33Z,1,REVIEW_REQUIRED,305.62166666666667,155,3189,Merged
Add authentication plugins to the docker daemon,2016-03-02T22:33:29Z,,2017-01-20T13:50:51Z,1,REVIEW_REQUIRED,7767.289444444445,18,298,Closed
Support running the Engine daemon inside a user namespace,2016-03-03T08:02:27Z,,2016-08-12T20:40:42Z,1,REVIEW_REQUIRED,3900.6375,6,231,Closed
add --net options for docker build .,2016-03-06T12:55:50Z,,2016-10-25T01:01:12Z,1,REVIEW_REQUIRED,5580.089444444445,5,709,Closed
Implement containerd API for checkpoints,2016-04-14T16:31:10Z,2016-09-09T17:36:55Z,2016-09-09T17:36:55Z,1,REVIEW_REQUIRED,3553.0958333333333,51,217,Merged
support insecure registry in configuration reload,2016-04-26T15:29:24Z,2016-10-20T18:41:23Z,2016-10-20T18:41:23Z,17,REVIEW_REQUIRED,4251.199722222223,8,324,Merged
Allow adding rules to cgroup devices.allow on container create/run,2016-05-06T22:42:03Z,2017-02-01T15:29:34Z,2017-02-01T15:29:34Z,11,CHANGES_REQUESTED,6496.791944444444,15,1023,Merged
Add config parameter to change per-container stop timeout during daemon shutdown,2016-05-07T01:29:03Z,2016-10-18T12:33:09Z,2016-10-18T12:33:09Z,2,APPROVED,3947.068333333333,20,947,Merged
Fix memory update to -1,2016-05-07T20:31:22Z,,2016-12-22T19:14:57Z,2,REVIEW_REQUIRED,5494.726388888889,4,775,Closed
Adds ability to flatten image after build,2016-05-10T20:31:04Z,2016-11-01T21:30:18Z,2016-11-01T21:30:18Z,15,APPROVED,4200.987222222222,21,3028,Merged
added logentries driver,2016-05-12T14:25:53Z,,2016-10-18T00:18:38Z,1,CHANGES_REQUESTED,3801.8791666666666,9,321,Closed
Support layers from external URLs,2016-05-20T21:31:45Z,2016-06-07T00:27:40Z,2016-06-07T00:27:40Z,3,REVIEW_REQUIRED,410.93194444444447,21,632,Merged
Add config parameter to change stop timeout during daemon shutdown,2016-05-27T01:26:11Z,2016-10-19T16:47:50Z,2016-10-19T16:47:50Z,10,APPROVED,3495.360833333333,6,754,Merged
Windows: Support credential specs,2016-06-08T23:02:39Z,2016-10-07T16:32:44Z,2016-10-07T16:32:45Z,17,APPROVED,2897.501388888889,15,1223,Merged
Add functional support for Docker sub commands on Solaris,2016-06-09T07:10:25Z,,2016-11-04T16:53:15Z,42,APPROVED,3561.713888888889,266,1151,Closed
Implementing support for --cpu-rt-period and --cpu-rt-runtime,2016-06-10T13:07:38Z,2016-10-26T22:22:06Z,2016-10-26T22:22:06Z,22,APPROVED,3321.241111111111,25,3746,Merged
