title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Fix path variables,2016-06-24T00:50:08Z,,2017-04-06T00:24:18Z,1,REVIEW_REQUIRED,6863.569444444444,1,0,Closed
re-generating error for 'char-map' missing in context.pbtxt,2016-08-27T05:37:00Z,,2018-02-07T23:59:40Z,1,REVIEW_REQUIRED,12714.377777777778,6,2469,Closed
Python 3 support for download_and_convert_data.py and add CIFAR100,2016-09-12T16:33:17Z,,2018-02-24T21:21:02Z,4,CHANGES_REQUESTED,12724.795833333334,11,420,Closed
"Create cluttered_mnist_rnn , implementation for recurrent spatial transformer ",2016-10-03T08:14:48Z,,2017-06-01T20:29:13Z,2,REVIEW_REQUIRED,5796.240277777778,1,95,Closed
Add differential privacy training.,2016-10-20T17:11:43Z,2016-10-21T17:13:52Z,2016-10-21T17:13:52Z,1,REVIEW_REQUIRED,24.035833333333333,13,0,Merged
fix module object has no attribute NodeDef for tensorflow 0.11,2016-10-21T03:00:43Z,2016-10-21T19:13:14Z,2016-10-21T19:13:14Z,2,REVIEW_REQUIRED,16.20861111111111,1,113,Merged
tf-model-slim doc typo,2016-10-31T06:55:35Z,2016-10-31T20:36:02Z,2016-10-31T20:36:02Z,1,REVIEW_REQUIRED,13.674166666666666,1,43,Merged
Create interface.py,2016-11-02T11:02:20Z,,2017-06-01T20:30:07Z,1,REVIEW_REQUIRED,5073.463055555556,1,140,Closed
val_captions_file -> captions_val2014.json,2016-11-09T15:51:57Z,2016-11-09T19:43:18Z,2016-11-09T19:43:18Z,1,REVIEW_REQUIRED,3.8558333333333334,1,103,Merged
Update README.md,2016-12-07T17:19:29Z,2016-12-27T21:05:02Z,2016-12-27T21:05:02Z,1,REVIEW_REQUIRED,483.75916666666666,1,28,Merged
Moving example models from github.com/tensorflow/tensorflow to github.com/tensorflow/models,2016-12-10T02:39:41Z,2016-12-10T08:28:25Z,2016-12-10T08:28:25Z,1,REVIEW_REQUIRED,5.812222222222222,45,61,Merged
Updated spatial_transformer.py to include `tf.meshgrid`,2016-12-19T16:44:38Z,,2017-06-01T20:37:45Z,1,REVIEW_REQUIRED,3939.885277777778,1,115,Closed
Variables defined in ExponentialMovingAverage need not to be shared.,2016-12-20T17:02:50Z,2017-01-11T19:29:11Z,2017-01-11T19:29:11Z,2,REVIEW_REQUIRED,530.4391666666667,1,528,Merged
tf.contrib.deprecated elimination bugfix for tf version 12,2016-12-21T08:05:05Z,2017-01-18T19:14:21Z,2017-01-18T19:14:21Z,1,REVIEW_REQUIRED,683.1544444444445,5,167,Merged
Word2vec can now be run if the users compile the ops on their own,2016-12-23T02:04:19Z,2016-12-28T00:23:20Z,2016-12-28T00:23:20Z,6,APPROVED,118.31694444444445,4,877,Merged
fix neural programmer link error in README.md,2016-12-24T15:47:26Z,2016-12-27T20:59:53Z,2016-12-27T20:59:53Z,1,REVIEW_REQUIRED,77.2075,1,0,Merged
DOC: Typo in resnet documentation,2016-12-27T00:25:59Z,2016-12-27T20:58:11Z,2016-12-27T20:58:11Z,1,REVIEW_REQUIRED,20.536666666666665,1,24,Merged
Fix rnn translate in python3,2016-12-28T00:52:10Z,2016-12-28T23:39:07Z,2016-12-28T23:39:07Z,1,REVIEW_REQUIRED,22.7825,2,55,Merged
Update resnet to run with tf r0.12 API.,2016-12-29T23:07:34Z,2017-01-16T03:21:25Z,2017-01-16T03:21:25Z,1,REVIEW_REQUIRED,412.23083333333335,3,162,Merged
im2txt: make python3 compatible adding lt and eq,2017-01-03T02:11:30Z,2017-01-13T16:05:30Z,2017-01-13T16:05:30Z,3,REVIEW_REQUIRED,253.9,1,255,Merged
Added README to tutorials/ recommending to the user to install TensorFlow from source,2017-01-06T00:25:26Z,2017-01-06T01:41:38Z,2017-01-06T01:41:38Z,3,APPROVED,1.27,1,128,Merged
Updated calls to '..._cross_entropy_with_logits' to add arguments,2017-01-09T19:51:56Z,2017-01-09T23:10:17Z,2017-01-09T23:10:17Z,1,APPROVED,3.305833333333333,2,0,Merged
Update the tensorflow submodule in syntaxnet in order to fix the zlib URL,2017-01-13T22:46:51Z,2017-01-14T00:05:19Z,2017-01-14T00:05:19Z,1,REVIEW_REQUIRED,1.3077777777777777,1,53,Merged
Upgrade Bazel in syntaxnet Dockerfile,2017-01-14T04:49:05Z,2017-01-15T08:54:53Z,2017-01-15T08:54:53Z,1,REVIEW_REQUIRED,28.096666666666668,1,19,Merged
Fix typos in models/slim/README.md,2017-01-15T22:47:36Z,2017-01-16T02:08:35Z,2017-01-16T02:08:35Z,1,REVIEW_REQUIRED,3.3497222222222223,1,11,Merged
Updated cifar10 examples for tensorflow 0.12.1,2017-01-16T14:46:43Z,,2017-03-15T01:50:56Z,2,REVIEW_REQUIRED,1379.0702777777778,3,65,Closed
Fix bugs and API usage on cifar10 and cifar10_multi_gpu_train,2017-01-17T03:18:03Z,2017-02-13T23:46:27Z,2017-02-13T23:46:27Z,3,REVIEW_REQUIRED,668.4733333333334,1,359,Merged
