title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
VimL (Vimscript) to Lua translator,2014-03-01T20:17:57Z,,2021-09-19T03:01:37Z,1,,66198.72777777778,90,5602,Closed
"[RFC] version: has(""nvim-1.2.3"")",2014-10-09T06:42:23Z,2016-10-25T10:16:03Z,2016-10-25T10:16:03Z,8,,17931.56111111111,5,231,Merged
[RFC] vim-patch:7.4.490,2014-12-23T15:28:42Z,2015-01-19T13:52:29Z,2015-01-19T13:52:29Z,1,,646.3963888888889,3,1392,Merged
[WIP] Improvements to Terminal,2015-05-17T08:21:34Z,,2022-11-08T10:42:05Z,2,,65570.34194444444,12,1862,Closed
[RFC] Only allow encoding=utf-8 and simplify multibyte code,2015-06-26T11:58:11Z,2016-11-05T17:12:14Z,2016-11-05T17:12:14Z,6,,11957.234166666667,21,2041,Merged
[RFC] tests: Migrate legacy test 69.,2015-07-10T13:37:50Z,,2017-02-04T00:24:22Z,1,,13786.775555555556,4,0,Closed
"[RDY] Allow resizing the terminal when setting &columns or &lines, or using :winsize, also in startup.",2015-07-18T20:22:43Z,,2015-07-22T03:58:38Z,3,,79.59861111111111,3,14,Closed
[RFC] Set 'keywordprg' for vim and help filetypes.,2015-07-26T15:04:18Z,,2017-07-08T13:23:59Z,3,,17110.328055555554,3,83,Closed
Fix handling of CursorHoldI events,2015-11-29T02:27:11Z,2019-07-15T23:35:44Z,2019-07-15T23:35:44Z,6,,31797.1425,2,214,Merged
Enable -Wconversion: tag.c (adoption),2016-01-17T17:58:45Z,,2017-06-15T19:45:06Z,1,,12361.7725,2,144,Closed
[RFC] tests: Migrate legacy test 8.,2016-02-05T21:56:13Z,,2017-02-04T00:32:46Z,1,,8738.609166666667,4,117,Closed
Lua interface,2016-03-04T18:45:48Z,2017-05-08T22:39:18Z,2017-05-08T22:39:18Z,20,,10323.891666666666,47,442,Merged
[RFC] implement <Cmd> key,2016-03-06T15:14:04Z,2018-03-24T16:45:49Z,2018-03-24T16:45:49Z,9,,17953.529166666667,12,1177,Merged
"paste: redesign, fixes, 10x speedup",2016-03-14T00:48:42Z,2019-08-27T23:56:03Z,2019-08-27T23:56:04Z,12,,30287.1225,26,1416,Merged
[RDY] Fix allowing arguments as part of shell for `:term` command,2016-03-29T12:53:38Z,,2017-03-17T17:04:40Z,42,,8476.183888888889,4,163,Closed
[RDY] atomic multi request for async remote plugins,2016-04-13T15:13:31Z,2016-10-22T10:50:50Z,2016-10-22T10:50:50Z,27,,4603.621944444444,9,1677,Merged
[RDY] Keep unnamed register on restart,2016-05-03T16:01:13Z,2017-05-31T21:43:41Z,2017-05-31T21:43:41Z,32,,9437.707777777778,9,603,Merged
tui: Do not wait for tui loop on teardown.,2016-05-20T00:24:37Z,2016-09-24T13:32:01Z,2016-09-24T13:32:01Z,2,,3061.1233333333334,3,114,Merged
[RDY] Use buffered reading/writing for ShaDa files,2016-06-01T19:43:06Z,2016-06-24T13:18:26Z,2016-06-24T13:18:26Z,1,,545.5888888888888,10,10,Merged
Fix recursive delete() escape problem,2016-06-18T00:55:20Z,,2020-08-22T15:49:56Z,10,,36638.91,2,131,Closed
[RFC] Fix function keys in embedded terminal,2016-07-06T05:05:47Z,2017-09-06T07:22:42Z,2017-09-06T07:22:42Z,1,,10250.281944444445,1,125,Merged
[RFC] - Extended Marks,2016-07-10T22:48:07Z,,2019-11-09T11:53:27Z,83,,29197.088888888888,27,1661,Closed
[RFC] eval: Refactor eval.c,2016-07-26T19:59:12Z,2017-03-29T21:15:08Z,2017-03-29T21:15:08Z,28,,5905.265555555556,113,11,Merged
[WIP] TermCursor* and TermTextChanged* autocmds,2016-07-30T20:13:41Z,,2018-02-08T13:26:39Z,1,,13385.21611111111,2,987,Closed
[RDY] Man and Help TOC,2016-08-05T06:18:40Z,,2017-05-01T16:11:58Z,40,,6465.888333333333,8,58,Closed
Refresh terminal before calling on_exit,2016-08-11T19:44:02Z,,2017-04-26T11:58:59Z,1,,6184.2491666666665,1,130,Closed
[RDY] Incsub 3,2016-08-15T21:00:37Z,2016-11-09T03:18:13Z,2016-11-09T03:18:13Z,23,,2046.2933333333333,25,241,Merged
"[RFC] vim-patch:7.4.{1952, 1990, 2033, 2284}",2016-08-25T19:35:20Z,2016-09-18T11:49:39Z,2016-09-18T11:49:39Z,2,,568.2386111111111,7,1088,Merged
[RFC] add kbtree_t and use it for bufhl,2016-08-28T18:07:44Z,2017-06-24T11:46:48Z,2017-06-24T11:46:48Z,16,,7193.651111111111,16,830,Merged
[RFC] functions to notify a co-process when the current buffer is modified,2016-08-29T16:02:58Z,,2018-06-06T00:35:08Z,23,,15488.53611111111,16,973,Closed
[RFC] Fix/spec system()/jobstart() for Windows,2016-09-01T15:11:04Z,,2017-01-10T23:33:34Z,1,,3152.375,8,4218,Closed
Fix #5270 syntax folding optimization,2016-09-05T12:45:24Z,2016-09-15T23:19:36Z,2016-09-15T23:19:36Z,4,,250.57,1,202,Merged
"Add support for the special color names ""bg"", ""background"", ""fg"", ""foreground""",2016-09-10T13:22:58Z,,2016-09-15T22:55:04Z,1,,129.535,2,1026,Closed
vim-patch:7.4.1558,2016-09-13T10:53:09Z,2016-09-13T12:05:34Z,2016-09-13T12:05:34Z,1,,1.2069444444444444,6,177,Merged
version.c: mark NA patches,2016-09-13T17:12:38Z,,2016-09-18T11:54:31Z,6,,114.69805555555556,1,1346,Closed
tests/ui: Stop the terminal job after testing,2016-09-14T14:27:22Z,2016-09-15T01:39:03Z,2016-09-15T01:39:03Z,11,,11.194722222222222,1,156,Merged
api: Establish API naming convention.,2016-09-15T12:19:06Z,2016-09-17T04:30:36Z,2016-09-17T04:30:36Z,4,,40.19166666666667,16,904,Merged
eval.c: Clean up spurious FAIL checks.,2016-09-15T23:15:04Z,2016-09-18T11:18:45Z,2016-09-18T11:18:45Z,2,,60.06138888888889,1,30,Merged
Fix fold update problem,2016-09-16T22:42:42Z,,2016-09-18T11:41:12Z,5,,36.975,3,260,Closed
"[RFC] vim-patch:7.4.{1648,1679,1681}",2016-09-18T15:54:57Z,2016-09-29T00:35:29Z,2016-09-29T00:35:29Z,12,,248.67555555555555,3,705,Merged
[RFC] vim-patch:7.4.1740,2016-09-21T10:17:14Z,2016-10-04T17:14:56Z,2016-10-04T17:14:56Z,1,,318.96166666666664,8,322,Merged
[RFC] window.c: Fix winframe_remove height calc,2016-09-22T00:33:10Z,,2016-12-08T16:26:42Z,1,,1863.8922222222222,1,197,Closed
"[RFC] vim-patch:7.4.1604,7.4.1620,7.4.1629,7.4.1630,7.4.1642,7.4.1697",2016-09-22T04:32:30Z,2016-09-27T02:16:17Z,2016-09-27T02:16:17Z,6,,117.72972222222222,12,1825,Merged
ci: .travis.yml: Upgrade to macOS 10.11 / xcode7.3,2016-09-23T13:03:23Z,2016-09-23T15:06:54Z,2016-09-23T15:06:55Z,1,,2.058611111111111,1,156,Merged
[RFC] allow event processing in getchar(),2016-09-25T07:55:22Z,2016-10-15T08:36:34Z,2016-10-15T08:36:34Z,4,,480.68666666666667,2,872,Merged
[RFC] Add version information to API metadata,2016-09-25T18:29:46Z,,2016-10-28T12:54:12Z,21,,786.4072222222222,10,383,Closed
[RFC] restore changed ui_try_resize metadata and filter metadata attributes,2016-09-26T17:23:12Z,2016-09-27T16:25:55Z,2016-09-27T16:25:55Z,8,,23.045277777777777,1,295,Merged
[RFC] refactor gendispatch.lua,2016-09-27T18:39:07Z,2016-10-19T13:16:05Z,2016-10-19T13:16:05Z,5,,522.6161111111111,5,244,Merged
log.h: adjust alignment/layout of log messages,2016-09-28T01:04:11Z,2016-09-28T10:46:03Z,2016-09-28T10:46:03Z,5,,9.697777777777778,11,241,Merged
