title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
small grammar fix,2017-05-12T18:27:51Z,,2017-05-13T09:52:13Z,1,,15.40611111111111,1,0,Closed
fix(package): Set typescript version as ~2.3.4 instead of ^2.2.1 and …,2017-07-12T17:57:23Z,,2017-09-12T11:18:22Z,2,,1481.3497222222222,1,33,Closed
Release v4,2017-07-23T09:37:31Z,2017-09-12T11:12:53Z,2017-09-12T11:12:53Z,2,,1225.5894444444446,285,176,Merged
Bug/Fixing a typo in error messages,2017-07-26T15:12:28Z,,2017-09-12T11:16:54Z,1,,1148.0738888888889,1,60,Closed
Update Readme.md,2017-08-20T12:51:22Z,,2017-09-12T11:16:11Z,1,,550.4136111111111,1,17,Closed
Add Lerna functionality,2017-10-23T03:56:58Z,,2017-10-31T12:06:53Z,1,,200.1652777777778,16,351,Closed
Fixed typo in Readme,2017-10-25T18:26:15Z,2017-10-30T19:54:20Z,2017-10-30T19:54:20Z,1,,121.46805555555555,1,63,Merged
"Bugfixes 18X, lerna, remove codependencies, update express",2017-11-02T19:11:25Z,2017-11-03T14:33:06Z,2017-11-03T14:33:06Z,1,,19.36138888888889,48,0,Merged
Use route custom param decorators,2017-11-11T19:28:11Z,2017-11-22T19:19:19Z,2017-11-22T19:19:19Z,1,,263.8522222222222,0,718,Merged
Create ISSUE_TEMPLATE to quickly sort out issues,2017-11-14T22:29:36Z,2017-11-19T19:01:26Z,2017-11-19T19:01:26Z,8,,116.53055555555555,1,0,Merged
Add contribution guidelines v1,2017-11-17T01:52:01Z,2017-12-15T21:55:35Z,2017-12-15T21:55:35Z,10,,692.0594444444445,3,70,Merged
ci(): add format checker,2017-11-17T02:04:19Z,,2017-12-21T19:15:47Z,9,,833.1911111111111,897,361,Closed
"fix(@nestjs/core) application context, support symbol",2017-11-30T05:56:38Z,2017-12-15T13:30:56Z,2017-12-15T13:30:56Z,2,,367.57166666666666,1,153,Merged
fix(microservices-example): Remove unused imports,2017-12-07T16:03:11Z,2017-12-10T20:04:19Z,2017-12-10T20:04:19Z,2,,76.0188888888889,1,53,Merged
Fix: ECONNREFUSED killing TCP microservice,2017-12-11T02:35:58Z,,2017-12-15T21:41:00Z,1,,115.0838888888889,1,327,Closed
[SEMVER-MAJOR] chore(): deprecate modules property,2017-12-23T19:41:42Z,2018-02-16T00:13:12Z,2018-02-16T00:13:12Z,1,,1300.525,3,147,Merged
Update dependency in mockgoose example,2018-01-02T21:07:28Z,2018-01-04T14:43:59Z,2018-01-04T14:44:00Z,1,,41.60861111111111,2,58,Merged
Improvement: Unused constant schema,2018-01-23T14:37:19Z,2018-02-04T08:39:33Z,2018-02-04T08:39:33Z,1,,282.0372222222222,1,0,Merged
Remove unused import,2018-01-24T00:33:49Z,2018-02-04T08:38:53Z,2018-02-04T08:38:53Z,1,,272.08444444444444,1,0,Merged
feat(@nestjs/common) improve the ValidationPipe,2018-01-29T14:09:07Z,2018-02-11T11:27:18Z,2018-02-11T11:27:18Z,10,,309.30305555555555,4,2459,Merged
Parse int pipe improvement,2018-01-30T08:36:48Z,2018-02-05T15:16:15Z,2018-02-05T15:16:15Z,2,,150.6575,2,716,Merged
allow to use symbols for get injected dependencies,2018-02-16T15:08:58Z,,2018-02-18T21:59:00Z,2,,54.833888888888886,1,8,Closed
fix(common): expose http module and service,2018-03-03T23:09:17Z,,2018-03-08T10:42:13Z,1,,107.54888888888888,1,86,Closed
chore: cache node_modules,2018-05-06T14:32:38Z,2018-07-25T17:54:43Z,2018-07-25T17:54:43Z,1,,1923.3680555555557,1,53,Merged
chore: add Node.js 10,2018-05-06T14:33:48Z,2018-07-25T17:57:10Z,2018-07-25T17:57:10Z,3,,1923.3894444444445,3,75,Merged
Added option for the logging in Fixes #709,2018-05-21T07:23:12Z,,2018-05-25T11:38:20Z,2,,100.25222222222222,3,1107,Closed
feat(sample): create example for using dynamodb data mapper annotations,2018-05-31T20:32:24Z,,2020-01-24T12:54:53Z,10,,14464.374722222223,16,1442,Closed
Feature/grpc cancellation,2018-06-08T14:15:51Z,2018-06-21T19:53:55Z,2018-06-21T19:53:55Z,1,,317.63444444444445,5,1652,Merged
feature(@nestjs/core) display known dependency names in unknown dependency exception,2018-06-26T08:03:29Z,2018-07-25T17:43:22Z,2018-07-25T17:43:22Z,6,,705.6647222222222,9,1031,Merged
refactor(@nestjs/websocket) ws support for connection req,2018-06-28T02:37:07Z,,2018-08-31T12:38:22Z,2,,1546.0208333333333,4,1192,Closed
refactor(): reduce complexity of NestFactory.create signature,2018-07-15T16:35:22Z,2018-07-25T17:49:51Z,2018-07-25T17:49:51Z,1,,241.24138888888888,1,1277,Merged
feature(@nestjs/microservices) RabbitMQ support,2018-07-17T16:27:48Z,,2018-10-05T20:49:06Z,5,,1924.355,20,1662,Closed
