title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Install bash programmble completions for bash/zsh,2015-05-23T06:14:53Z,2016-11-18T09:33:00Z,2016-11-18T09:33:00Z,21,APPROVED,13083.301944444445,1,0,Merged
[New] Add OpenBSD support,2016-04-15T00:58:24Z,2021-10-08T06:56:42Z,2021-10-08T06:56:42Z,1,APPROVED,48053.971666666665,1,70,Merged
Removes fin from the readme,2016-09-13T14:25:24Z,2016-09-17T05:38:04Z,2016-09-17T05:38:04Z,1,APPROVED,87.21111111111111,1,273,Merged
"Manually run git gc after nvm installation, fix #1226",2016-09-17T00:53:26Z,2016-09-17T05:35:05Z,2016-09-17T05:35:05Z,6,APPROVED,4.694166666666667,1,0,Merged
add a menu for readme for easier readability,2016-09-17T06:01:50Z,2016-09-18T08:15:56Z,2016-09-18T08:15:56Z,4,APPROVED,26.235,1,63,Merged
update test mocks,2016-09-28T08:35:28Z,2016-09-29T05:44:19Z,2016-09-29T05:44:19Z,2,APPROVED,21.1475,9,163,Merged
speed up when change directory in zsh,2016-10-13T14:43:22Z,2016-10-14T22:42:44Z,2016-10-14T22:42:44Z,4,APPROVED,31.989444444444445,1,724,Merged
Also run git gc after nvm upgraded,2016-10-28T01:13:22Z,2016-10-28T21:08:47Z,2016-10-28T21:08:47Z,1,APPROVED,19.92361111111111,1,0,Merged
"Bold leading ""Note:"" in readme for readability",2016-10-28T03:13:02Z,2016-10-28T08:17:38Z,2016-10-28T08:17:38Z,1,APPROVED,5.076666666666667,1,0,Merged
[Fix] Retab tab to 4 spaces in install.sh,2016-10-28T03:23:57Z,2016-10-29T17:08:33Z,2016-10-29T17:08:33Z,9,APPROVED,37.74333333333333,1,0,Merged
[New] Print the version is going to be installed,2016-11-06T12:49:11Z,2016-11-07T07:18:17Z,2016-11-07T07:18:17Z,4,APPROVED,18.485,2,911,Merged
"Improve nvm_download_artifact() process, fix #1291",2016-11-07T10:53:58Z,2016-11-12T20:17:54Z,2016-11-12T20:17:54Z,17,APPROVED,129.39888888888888,1,74,Merged
Add AIX support,2016-11-10T14:46:27Z,2016-11-10T21:41:58Z,2016-11-10T21:41:58Z,2,APPROVED,6.925277777777778,1,178,Merged
"[Fix] add missing ""command"" prefix call for the commands",2016-11-11T11:38:34Z,2016-11-13T17:28:44Z,2016-11-13T17:28:44Z,2,APPROVED,53.83611111111111,2,0,Merged
fix/retab indent in bash_completion [no-ci],2016-11-11T11:44:33Z,2016-11-12T19:52:09Z,2016-11-12T19:52:09Z,1,APPROVED,32.126666666666665,1,50,Merged
Do not remove src dir after compilation,2016-11-13T19:48:43Z,2016-11-16T07:23:57Z,2016-11-16T07:23:57Z,13,APPROVED,59.58722222222222,1,368,Merged
"[New] Use Clang as C/C++ compiler if we detected it, close #902",2016-11-13T21:40:52Z,2016-11-17T08:19:04Z,2016-11-17T08:19:04Z,13,REVIEW_REQUIRED,82.63666666666667,3,11,Merged
"Revert ""Also run git gc after nvm upgraded""",2016-11-13T22:22:43Z,2016-11-14T07:37:07Z,2016-11-14T07:37:07Z,1,APPROVED,9.24,1,258,Merged
"Auto install not exist version in zsh .nvmrc script, close #1272",2016-11-14T11:46:22Z,2016-11-24T06:12:35Z,2016-11-24T06:12:35Z,10,APPROVED,234.43694444444444,1,0,Merged
Increase compatibility with direnv & lazy loading,2016-11-14T19:38:45Z,,2016-11-21T10:01:07Z,4,REVIEW_REQUIRED,158.37277777777777,4,2430,Closed
[Doc] Add current version on the top of README,2016-11-16T13:23:29Z,2016-11-17T07:04:34Z,2016-11-17T07:04:34Z,5,APPROVED,17.684722222222224,1,0,Merged
Optimize package install process on Travis CI,2016-11-17T12:47:38Z,2016-11-17T18:06:12Z,2016-11-17T18:06:12Z,1,APPROVED,5.309444444444445,1,300,Merged
Use `which` instead of `type` to detect if command exists,2016-11-17T19:53:59Z,,2017-06-13T07:43:23Z,1,CHANGES_REQUESTED,4979.823333333334,3,63,Closed
Respect previously nvm-loaded node version when re-sourcing,2016-11-21T09:55:46Z,2018-06-10T06:32:59Z,2018-06-10T06:32:59Z,7,APPROVED,13580.620277777778,5,414,Merged
Preserve the order of PATH locations when changing node versions,2016-11-21T10:00:06Z,2017-09-20T22:06:16Z,2017-09-20T22:06:16Z,7,APPROVED,7284.102777777778,4,503,Merged
update nvm.sh to detect number of cores on aix,2016-11-23T11:30:43Z,2016-11-27T22:04:01Z,2016-11-27T22:04:01Z,17,APPROVED,106.555,1,142,Merged
Use Cabal to install shellcheck and upgrade to shellcheck v0.4.5,2016-11-23T14:05:16Z,2016-11-23T17:32:34Z,2016-11-23T17:32:34Z,1,REVIEW_REQUIRED,3.455,2,0,Merged
Add missing backslash for dots,2016-11-24T06:19:03Z,2016-11-25T05:44:11Z,2016-11-25T05:44:11Z,9,APPROVED,23.41888888888889,3,0,Merged
[Tests] Remove not working clang part until we refactor the workflow,2016-11-24T06:40:11Z,2016-11-24T07:40:46Z,2016-11-24T07:40:46Z,1,APPROVED,1.0097222222222222,1,164,Merged
Shellcheck bash_completion,2016-11-24T08:01:19Z,2016-11-25T05:42:31Z,2016-11-25T05:42:32Z,5,APPROVED,21.686666666666667,2,0,Merged
[Tests] Create shellcheck.sh to handle shellcheck tests,2016-11-24T08:53:43Z,,2016-11-25T05:48:10Z,9,REVIEW_REQUIRED,20.9075,2,257,Closed
Rename NVM_CPU_THREADS to NVM_CPU_CORES,2016-11-24T18:08:57Z,2016-11-26T05:02:00Z,2016-11-26T05:02:00Z,2,APPROVED,34.884166666666665,1,80,Merged
[Docs] update readme for alpine,2016-11-27T13:22:30Z,2016-11-27T19:16:24Z,2016-11-27T19:16:24Z,1,APPROVED,5.898333333333333,1,0,Merged
"[Refactor] Use ""case"" instead of multi ""if""",2016-11-27T19:41:40Z,2016-11-30T07:36:55Z,2016-11-30T07:36:55Z,8,APPROVED,59.920833333333334,1,81,Merged
Fix nvm unload,2016-11-27T20:17:27Z,2016-11-27T22:13:58Z,2016-11-27T22:13:58Z,1,APPROVED,1.9419444444444445,1,0,Merged
"[Fix] install from src should do ""nvm use"" before npm detection",2016-11-27T20:28:41Z,,2017-03-28T07:50:36Z,2,CHANGES_REQUESTED,2891.365277777778,1,282,Closed
[Fix] nvm unload missed node_version_has_solaris_binary(),2016-11-28T10:35:56Z,2016-11-29T01:58:15Z,2016-11-29T01:58:15Z,1,APPROVED,15.371944444444445,1,0,Merged
Tune CC and CXX assignment,2016-11-28T14:39:09Z,2016-12-02T08:05:01Z,2016-12-02T08:05:01Z,23,APPROVED,89.43111111111111,1,0,Merged
[Docs] Link version badge to the release page,2016-12-02T11:37:30Z,2016-12-02T19:20:32Z,2016-12-02T19:20:32Z,1,APPROVED,7.717222222222222,1,172,Merged
