title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Use better names for Linux screen capture sources,2014-07-13T04:37:52Z,2014-07-13T06:01:52Z,2014-07-13T06:01:52Z,1,,1.4,2,0,Merged
UI: Add option to auto record when streaming starts,2016-06-16T01:38:56Z,,2016-06-16T17:34:43Z,1,,15.929722222222223,5,147,Closed
Updated the Blackmagic SDK to 10.8.0,2016-09-23T22:36:34Z,,2016-10-16T08:54:24Z,1,,538.2972222222222,70,76,Closed
Increase MAX_BUFFERING_TICKS to Increase Max Audio Buffer Size,2016-10-01T01:27:06Z,,2016-10-03T02:14:20Z,1,,48.78722222222222,1,1918,Closed
UI: Add preview scaling options through edit and context menus. Allow scrolling of the preview when using a fixed scale by holding spacebar + click-n-drag.,2016-11-05T17:04:00Z,,2016-11-09T22:38:11Z,3,CHANGES_REQUESTED,101.56972222222223,7,196,Closed
UI: Enable scrolling while preview is locked,2016-11-10T14:34:23Z,2016-11-20T11:02:17Z,2016-11-20T11:02:17Z,1,CHANGES_REQUESTED,236.465,1,709,Merged
Color corrector improved,2016-11-29T05:01:50Z,,2016-12-21T07:08:57Z,3,CHANGES_REQUESTED,530.1186111111111,5,46,Closed
UI: Add connection status square to status bar,2016-12-08T02:12:19Z,,2017-01-24T23:56:50Z,1,CHANGES_REQUESTED,1149.7419444444445,2,64,Closed
UI: Display current dB with the volume meter,2016-12-27T03:46:12Z,,2017-07-02T18:13:55Z,1,,4502.461944444444,4,129,Closed
Add VST Plugin,2017-01-05T21:15:07Z,,2017-01-31T00:07:26Z,1,,602.8719444444445,3,90,Closed
Add property for libvlc network-caching media option,2017-02-03T10:59:01Z,,2017-06-25T19:10:14Z,1,CHANGES_REQUESTED,3416.1869444444446,2,233,Closed
"obs-ffmpeg, UI: Fix compiler warnings",2017-02-08T16:01:17Z,2017-02-25T10:35:47Z,2017-02-25T10:35:47Z,1,,402.575,2,0,Merged
