title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
adds examples and readme documentation,2022-05-31T21:06:15Z,2022-06-03T00:05:29Z,2022-06-03T00:05:29Z,1,APPROVED,50.98722222222222,28,0,Merged
[Mike] Fix link,2022-06-09T21:29:18Z,2022-06-10T00:32:27Z,2022-06-10T00:32:27Z,1,APPROVED,3.0525,1,76,Merged
fixes a few links,2022-06-10T00:46:56Z,2022-06-10T02:08:07Z,2022-06-10T02:08:08Z,1,APPROVED,1.3530555555555555,1,0,Merged
Adding transaction classification notebooks,2022-10-20T22:47:29Z,2022-10-27T00:50:50Z,2022-10-27T00:50:50Z,8,CHANGES_REQUESTED,146.05583333333334,5,336,Merged
Added .default scope to URI to get token using DefaultAzureCredential,2022-11-18T17:29:15Z,2022-12-12T19:24:06Z,2022-12-12T19:24:06Z,1,APPROVED,577.9141666666667,1,120,Merged
Fix a few typos,2022-12-10T00:18:14Z,2022-12-12T19:22:42Z,2022-12-12T19:22:42Z,1,APPROVED,67.07444444444444,1,0,Merged
Only get_embedding once,2022-12-23T20:30:48Z,2023-01-09T00:07:43Z,2023-01-09T00:07:43Z,1,APPROVED,387.6152777777778,1,322,Merged
line-wrap comment in code block for readability,2022-12-23T20:46:49Z,,2023-01-10T18:47:20Z,1,REVIEW_REQUIRED,430.0086111111111,1,181,Closed
Azure OpenAI GA,2022-12-27T08:57:09Z,2023-01-14T03:57:21Z,2023-01-14T03:57:21Z,1,APPROVED,427.00333333333333,3,121,Merged
Remove obsolete reference to old embedding engines,2023-01-04T03:00:25Z,2023-01-09T00:06:09Z,2023-01-09T00:06:09Z,1,APPROVED,117.09555555555555,1,0,Merged
Initial commit of vector database example with new embeddings,2023-01-05T09:56:40Z,2023-02-06T17:20:01Z,2023-02-06T17:20:01Z,31,REVIEW_REQUIRED,775.3891666666667,3,170,Merged
Add Qdrant as another example of vector database,2023-01-18T10:24:09Z,2023-01-19T17:37:38Z,2023-01-19T17:37:38Z,1,APPROVED,31.224722222222223,2,368,Merged
Add example for handling long input texts,2023-01-19T02:23:26Z,2023-01-19T18:32:00Z,2023-01-19T18:32:00Z,1,APPROVED,16.142777777777777,1,0,Merged
small grammar fix,2023-01-29T16:56:39Z,2023-02-05T18:51:14Z,2023-02-05T18:51:14Z,1,REVIEW_REQUIRED,169.90972222222223,1,0,Merged
Update Weaviate cookbooks,2023-01-30T15:10:22Z,2023-02-09T10:35:42Z,2023-02-09T10:35:42Z,2,APPROVED,235.42222222222222,7,0,Merged
Add W&B embedding projector example,2023-02-01T13:55:11Z,2023-02-09T18:35:03Z,2023-02-09T18:35:03Z,1,APPROVED,196.66444444444446,1,450,Merged
docs: fix example code in fine-tuned_qa section 2.3,2023-02-04T05:40:37Z,2023-02-06T17:37:27Z,2023-02-06T17:37:27Z,1,REVIEW_REQUIRED,59.94722222222222,1,0,Merged
Redefinition of unused 'pd' in line 17,2023-02-06T23:48:55Z,,2023-02-16T15:36:20Z,1,REVIEW_REQUIRED,231.7902777777778,1,0,Closed
Merging Weaviate notebooks to main,2023-02-09T10:36:35Z,2023-02-13T18:33:00Z,2023-02-13T18:33:01Z,1,APPROVED,103.94027777777778,7,67,Merged
Add Redis example notebooks and READMEs,2023-02-14T02:24:40Z,2023-02-15T16:04:02Z,2023-02-15T16:04:02Z,2,REVIEW_REQUIRED,37.65611111111111,6,602,Merged
Update README.md to add recently added section with links,2023-02-14T16:34:11Z,2023-02-14T18:29:08Z,2023-02-14T18:29:08Z,1,APPROVED,1.9158333333333333,1,0,Merged
Adding Milvus vector db,2023-02-14T22:25:26Z,2023-03-10T09:02:25Z,2023-03-10T09:02:25Z,1,APPROVED,562.6163888888889,2,203,Merged
 Create LICENSE file,2023-02-15T22:00:14Z,2023-02-15T23:20:07Z,2023-02-15T23:20:07Z,1,APPROVED,1.331388888888889,1,0,Merged
Add Qdrant notebooks,2023-02-16T17:46:21Z,2023-03-03T16:55:27Z,2023-03-03T16:55:27Z,4,APPROVED,359.15166666666664,3,563,Merged
Long document entity extraction example,2023-02-20T10:26:54Z,2023-03-01T12:02:20Z,2023-03-01T12:02:20Z,9,APPROVED,217.59055555555557,2,124,Merged
Removed empty code cell(typo),2023-02-21T08:38:01Z,2023-03-16T23:15:10Z,2023-03-16T23:15:10Z,1,REVIEW_REQUIRED,566.6191666666666,1,0,Merged
Catch the exception and continue processing the next link,2023-02-23T08:02:06Z,2023-09-11T22:55:57Z,2023-09-11T22:55:57Z,2,APPROVED,4814.8975,1,248,Merged
"Changed ""the the endpoint"" to ""to the endpoint""",2023-02-23T20:15:24Z,2023-02-23T21:51:41Z,2023-02-23T21:51:41Z,1,REVIEW_REQUIRED,1.6047222222222222,1,99,Merged
fix typo in Gen_QA.ipynb,2023-03-03T06:14:54Z,2023-03-03T19:20:30Z,2023-03-03T19:20:30Z,1,REVIEW_REQUIRED,13.093333333333334,1,18,Merged
Update techniques_to_improve_reliability.md,2023-03-03T15:09:32Z,2023-03-03T19:21:54Z,2023-03-03T19:21:54Z,1,REVIEW_REQUIRED,4.206111111111111,1,0,Merged
Handle a null answer from the server.,2023-03-05T18:55:07Z,,2023-09-11T22:48:33Z,1,REVIEW_REQUIRED,4563.890555555556,1,353,Closed
List Qdrant among the other vector databases,2023-03-07T08:52:22Z,2023-03-16T23:45:48Z,2023-03-16T23:45:49Z,1,REVIEW_REQUIRED,230.89055555555555,2,76,Merged
Update Gen_QA.ipynb,2023-03-07T11:53:36Z,2023-03-08T18:37:14Z,2023-03-08T18:37:14Z,1,REVIEW_REQUIRED,30.727222222222224,1,12,Merged
"Weaviate: update links, minor corrections",2023-03-09T12:43:56Z,2023-03-10T09:04:31Z,2023-03-10T09:04:31Z,1,APPROVED,20.343055555555555,1,110,Merged
Chatbot starter app used in conference,2023-03-10T10:47:06Z,2023-03-21T22:03:30Z,2023-03-21T22:03:30Z,1,REVIEW_REQUIRED,275.2733333333333,14,217,Merged
