title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Einstein’s 1905 Paper,2014-03-10T22:34:51Z,2014-03-19T12:05:43Z,2014-03-19T12:05:43Z,1,,205.51444444444445,2,250,Merged
running w/ templates and README updates,2016-02-20T06:26:57Z,2016-02-22T06:51:19Z,2016-02-22T06:51:19Z,1,,48.40611111111111,3,62,Merged
Add papers presented on SF chapter on Feb 23rd 2017,2017-02-25T18:00:14Z,2017-02-26T14:14:22Z,2017-02-26T14:14:22Z,2,,20.235555555555557,2,389,Merged
Add Medellín chapter to README,2017-04-04T02:43:51Z,2017-05-03T07:53:54Z,2017-05-03T07:53:54Z,1,,701.1675,1,200,Merged
Adding `B4: experience with a globally-deployed software defined WAN`,2018-03-04T19:30:29Z,2018-03-04T22:30:17Z,2018-03-04T22:30:17Z,1,APPROVED,2.9966666666666666,1,469,Merged
"Distributed File Systems, Search Engine Original Papers",2019-04-03T02:03:47Z,2020-03-29T19:38:47Z,2020-03-29T19:38:47Z,3,,8681.583333333334,19,231,Merged
"Add: Software Engineering topic, 2 research papers",2019-04-22T02:08:12Z,2019-04-22T18:41:32Z,2019-04-22T18:41:32Z,2,,16.555555555555557,1,405,Merged
paper at PWL conf,2019-07-11T14:58:09Z,2019-07-11T20:20:13Z,2019-07-11T20:20:13Z,1,,5.3677777777777775,1,1378,Merged
Add some of my favourite papers on unikernels,2019-07-13T16:47:40Z,2019-07-15T11:12:20Z,2019-07-15T11:12:20Z,1,,42.41111111111111,1,1781,Merged
added some literatures covering scientific data compression.,2019-09-09T17:46:44Z,2020-03-29T19:06:55Z,2020-03-29T19:06:55Z,1,,4849.336388888889,9,1094,Merged
Game design elements link fix,2019-10-24T16:06:38Z,2019-10-25T00:10:04Z,2019-10-25T00:10:04Z,1,,8.057222222222222,1,205,Merged
Add TDD with mutation testing (Roman & Mnich 2020),2020-12-01T13:32:13Z,2020-12-03T05:25:17Z,2020-12-03T05:25:17Z,2,APPROVED,39.88444444444445,1,404,Merged
Update link for f4 paper,2021-09-04T01:23:55Z,2021-09-04T13:27:23Z,2021-09-04T13:27:23Z,1,APPROVED,12.057777777777778,1,33,Merged
Fix no longer active link to John Backus’ Turning Award paper,2021-09-22T05:16:04Z,2021-09-22T16:05:26Z,2021-09-22T16:05:26Z,1,APPROVED,10.822777777777778,1,165,Merged
Fixed broken links,2021-12-31T15:28:04Z,2021-12-31T16:52:14Z,2021-12-31T16:52:14Z,1,APPROVED,1.4027777777777777,13,145,Merged
Directly link to organizers repo,2022-01-06T22:10:11Z,2022-01-25T20:12:13Z,2022-01-25T20:12:13Z,1,APPROVED,454.0338888888889,1,248,Merged
"Add link for Portland, OR chapter of Papers We Love",2022-07-09T15:24:51Z,2022-07-09T21:26:52Z,2022-07-09T21:26:52Z,1,APPROVED,6.033611111111111,1,199,Merged
discord link and some readme updates,2023-01-09T21:11:05Z,2023-01-10T14:53:15Z,2023-01-10T14:53:15Z,1,APPROVED,17.70277777777778,2,0,Merged
Update broken link to IronFleet paper,2023-01-14T12:35:58Z,2023-01-15T13:33:20Z,2023-01-15T13:33:20Z,1,APPROVED,24.95611111111111,1,505,Merged
Fix broken link of End-To-End Arguments in System Design,2023-01-29T08:24:37Z,2023-01-29T13:00:45Z,2023-01-29T13:00:45Z,1,APPROVED,4.602222222222222,1,207,Merged
Fix some broken links.,2023-02-06T22:44:00Z,2023-02-07T00:46:27Z,2023-02-07T00:46:27Z,1,APPROVED,2.0408333333333335,7,438,Merged
Fixed broken link.,2023-03-04T16:24:26Z,2023-03-04T18:46:57Z,2023-03-04T18:46:57Z,1,APPROVED,2.375277777777778,1,226,Merged
Improve Actor formalism paper source,2023-04-28T10:10:41Z,2023-04-28T12:39:57Z,2023-04-28T12:39:57Z,1,APPROVED,2.4877777777777776,2,215,Merged
Added Matting and three paper for this topic,2023-07-21T00:35:22Z,2023-07-21T10:24:21Z,2023-07-21T10:24:21Z,1,APPROVED,9.81638888888889,1,538,Merged
add zanzibar paper for authorization,2023-09-04T05:11:27Z,2023-09-04T21:57:07Z,2023-09-04T21:57:07Z,1,APPROVED,16.761111111111113,1,364,Merged
Update README.md,2024-04-22T10:56:01Z,2024-09-11T19:12:57Z,2024-09-11T19:12:57Z,7,CHANGES_REQUESTED,3416.282222222222,1,187,Merged
Add applied-ml GitHub repo for example papers,2024-05-19T18:07:22Z,2024-05-20T09:24:41Z,2024-05-20T09:24:41Z,1,APPROVED,15.288611111111111,1,57,Merged
Fix QuickCheck Testing for Fun and Profit link to archive.org,2024-05-28T03:48:13Z,2024-05-28T09:12:29Z,2024-05-28T09:12:29Z,1,APPROVED,5.404444444444445,1,82,Merged
"Update link to ""The Dynamic Window Approach to Collision Avoidance""",2024-06-29T13:02:58Z,2024-06-29T16:31:38Z,2024-06-29T16:31:38Z,1,APPROVED,3.477777777777778,1,14,Merged
