title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Build A Support Ticket Application With AdonisJs,2017-07-11T03:56:03Z,2017-07-11T14:07:37Z,2017-07-11T14:07:37Z,1,APPROVED,10.192777777777778,1,0,Merged
Added Thinkster.io to Additional Resources,2017-07-12T23:53:49Z,2017-07-13T03:41:54Z,2017-07-13T03:41:54Z,1,APPROVED,3.801388888888889,1,0,Merged
Added Goodheads.io to Additional Resources,2017-07-13T09:37:03Z,2017-07-14T00:41:40Z,2017-07-14T00:41:40Z,1,APPROVED,15.076944444444445,1,0,Merged
"Javascript: ""How to write your own Virtual DOM""",2018-04-17T04:09:04Z,2018-04-17T15:36:03Z,2018-04-17T15:36:03Z,1,APPROVED,11.449722222222222,1,0,Merged
"Javascript: ""Vue 2 + Firebase Authentication App""",2018-04-19T06:10:23Z,2018-04-20T04:17:17Z,2018-04-20T04:17:17Z,1,APPROVED,22.115,1,104,Merged
Add Handmade Hero tutorial.,2018-04-20T14:28:10Z,2018-04-27T17:25:36Z,2018-04-27T17:25:36Z,1,APPROVED,170.9572222222222,1,180,Merged
"Added React,Node and Deep Learning Tutorials",2018-04-21T09:53:13Z,2018-04-21T18:36:37Z,2018-04-21T18:36:37Z,1,APPROVED,8.723333333333333,1,0,Merged
Vue.js Application Tutorial – Creating a Simple Budgeting App with Vue,2018-04-21T18:50:39Z,2018-04-22T00:50:01Z,2018-04-22T00:50:01Z,1,APPROVED,5.989444444444445,1,0,Merged
"Added HTML/CSS topic,React,Python and R tutorials",2018-04-22T07:51:45Z,2018-04-24T18:59:37Z,2018-04-24T18:59:37Z,1,APPROVED,59.13111111111111,1,0,Merged
Added Deep Learning and Machine Learning Tutorials,2018-04-25T16:54:43Z,2018-04-26T21:39:59Z,2018-04-26T21:39:59Z,1,APPROVED,28.754444444444445,1,0,Merged
"Added React,Web Scraping and AI Tutorials",2018-04-29T05:39:21Z,2018-04-30T10:33:04Z,2018-04-30T10:33:04Z,1,APPROVED,28.89527777777778,1,0,Merged
Add tutorial about writing concurrent servers.,2018-05-09T09:59:37Z,2018-06-14T15:34:39Z,2018-06-14T15:34:39Z,1,APPROVED,869.5838888888889,1,238,Merged
Added Machine Learning and Javascript tutorials,2018-05-23T07:30:00Z,2018-05-24T19:47:44Z,2018-05-24T19:47:44Z,1,APPROVED,36.29555555555555,1,0,Merged
