title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Optimize CodedInputStream.readByteBuffer() for LiteralByteString,2015-08-02T17:58:29Z,,2018-06-23T04:48:46Z,1,,25330.838055555556,2,254,Closed
Silence VS code analysis,2015-10-16T14:45:49Z,,2018-06-12T15:26:29Z,1,APPROVED,23280.67777777778,1,714,Closed
D language support,2016-02-23T00:43:10Z,,2018-06-03T22:18:34Z,21,,19965.59,42,186,Closed
Removing undefined behavior and compiler warnings,2016-03-10T21:49:39Z,2017-05-23T23:22:58Z,2017-05-23T23:22:58Z,6,,10537.555277777778,7,300,Merged
Added C++ benchmark.,2016-05-12T00:54:33Z,2016-09-23T18:07:45Z,2016-09-23T18:07:45Z,8,,3233.22,9,1056,Merged
Conformance tests for JavaScript (Node.js). 15 tests are failing.,2016-06-08T19:40:25Z,2017-03-27T19:03:10Z,2017-03-27T19:03:10Z,1,,7007.379166666667,7,21,Merged
Add python protoc package,2016-07-15T23:07:51Z,,2021-06-07T13:45:17Z,1,,42902.62388888889,8,310,Closed
JS: Fix for high utf-8 codepoints.,2016-08-02T15:15:53Z,2016-11-15T17:29:46Z,2016-11-15T17:29:46Z,3,CHANGES_REQUESTED,2522.231388888889,3,36,Merged
Fix gcc 4.1 build (#1035),2016-08-03T00:59:49Z,2017-03-01T18:45:44Z,2017-03-01T18:45:44Z,5,,5057.765277777778,3,0,Merged
Add more JSON tests around underscores,2016-08-15T19:28:53Z,2016-08-16T13:02:28Z,2016-08-16T13:02:28Z,2,,17.559722222222224,5,0,Merged
Fixes static analyzer issues from xcode.,2016-08-30T18:58:06Z,2016-09-21T22:19:54Z,2016-09-21T22:19:54Z,2,,531.3633333333333,5,0,Merged
Initial check in of PHP implementation,2016-09-01T18:54:50Z,2016-09-15T18:09:01Z,2016-09-15T18:09:01Z,3,,335.2363888888889,58,210,Merged
Fix the version number for 3.0.2,2016-09-13T18:38:11Z,2016-09-15T22:01:59Z,2016-09-15T22:01:59Z,1,REVIEW_REQUIRED,51.39666666666667,13,0,Merged
Warn when objectivec compiled with ARC,2016-09-15T13:59:31Z,,2018-06-08T18:59:01Z,3,CHANGES_REQUESTED,15148.991666666667,11,199,Closed
issue-2108 [protoc/Java] Excessive copying on buildPartial(),2016-09-15T18:51:00Z,2018-06-18T22:00:07Z,2018-06-18T22:00:07Z,2,,15387.151944444444,5,417,Merged
Update change log for 3.1.0,2016-09-23T22:58:33Z,2016-09-24T01:33:25Z,2016-09-24T01:33:25Z,13,REVIEW_REQUIRED,2.581111111111111,1,0,Merged
Fixed references to foreign nested messages with CommonJS-style imports,2016-09-27T22:52:50Z,2016-10-04T20:14:12Z,2016-10-04T20:14:12Z,3,APPROVED,165.35611111111112,4,328,Merged
"Set platform to ""java"" under JRuby",2016-09-29T04:19:20Z,2016-10-04T18:21:34Z,2016-10-04T18:21:34Z,2,,134.03722222222223,3,23,Merged
Updated .gitignore with Java and JavaScript build artifacts,2016-09-29T23:22:27Z,2016-09-30T17:47:20Z,2016-09-30T17:47:20Z,1,,18.414722222222224,1,0,Merged
Fix gcc warning when using map,2016-09-30T20:06:14Z,2017-03-28T23:57:20Z,2017-03-28T23:57:20Z,1,CHANGES_REQUESTED,4299.8516666666665,1,96,Merged
Adding experimental runtime,2016-10-01T18:05:48Z,2016-10-04T17:32:58Z,2016-10-04T17:32:58Z,1,,71.45277777777778,41,0,Merged
Update the ObjC projects for Xcode 8,2016-10-03T18:34:29Z,2016-10-03T21:11:24Z,2016-10-03T21:11:24Z,1,,2.6152777777777776,9,366,Merged
Create paths for external repositories in a way that is forward and backward compatible,2016-10-06T14:12:35Z,2017-01-30T21:45:35Z,2017-01-30T21:45:35Z,3,,2791.55,1,540,Merged
Missed LIBPROTOC_EXPORT for GRPC added,2016-10-06T14:42:57Z,2016-12-16T18:56:36Z,2016-12-16T18:56:36Z,3,,1708.2275,4,0,Merged
Change CodedInputStream#DEFAULT_SIZE_LIMIT from 64MB to kint32max (0x7FFFFFF),2016-10-07T05:59:10Z,,2016-12-02T00:53:29Z,1,,1338.9052777777779,1,139,Closed
Fix python_cpp test on Mac,2016-10-07T20:54:06Z,2016-10-07T23:09:26Z,2016-10-07T23:09:26Z,1,REVIEW_REQUIRED,2.2555555555555555,2,106,Merged
Fix the bug that message without namespace is not found in the descriptor pool.,2016-10-10T22:46:09Z,2016-10-11T17:36:26Z,2016-10-11T17:36:26Z,1,REVIEW_REQUIRED,18.838055555555556,6,11,Merged
Add 32-bit machine test on jenkins.,2016-10-11T18:44:36Z,2016-10-12T19:55:48Z,2016-10-12T19:55:48Z,4,,25.186666666666667,6,0,Merged
Declare all inputs of protoc action,2016-10-12T12:03:55Z,2016-10-12T17:48:22Z,2016-10-12T17:48:22Z,1,,5.740833333333334,1,432,Merged
third party: discontinued repo -> new repo (sergei-ivanov/maven-protoc-plugin -> xolstice/protobuf-maven-plugin),2016-10-15T17:07:35Z,,2018-06-08T18:57:35Z,1,APPROVED,14425.833333333334,1,137,Closed
Fix pure php implementation for 32-bit machine.,2016-10-25T00:21:28Z,2016-10-26T00:27:05Z,2016-10-26T00:27:05Z,1,,24.093611111111112,17,0,Merged
Support extra parameters for plugins.,2016-10-26T00:46:35Z,2016-10-26T20:42:08Z,2016-10-26T20:42:08Z,4,APPROVED,19.925833333333333,3,0,Merged
Trigger update of docker for new changes in #2282.,2016-10-26T18:22:00Z,2016-10-27T17:41:44Z,2016-10-27T17:41:44Z,10,,23.32888888888889,2,0,Merged
Use user-supplied descriptor pools in FileDescriptor,2016-10-27T15:40:02Z,,2021-06-07T13:32:35Z,6,,40413.87583333333,1,268,Closed
total_bytes_limit_ with size when size is bigger 64MB,2016-10-28T02:14:18Z,,2018-06-08T19:12:00Z,3,,14128.961666666666,1,78,Closed
Fix for construction of messages in the C++ Python implementation.,2016-10-28T09:40:12Z,2019-02-28T00:41:34Z,2019-02-28T00:41:34Z,8,APPROVED,20463.022777777776,2,194,Merged
[PERF]Improved performance of RepeatedField deserialization,2016-10-30T16:55:38Z,,2016-10-31T19:15:09Z,6,,26.325277777777778,1,292,Closed
Low-level support for custom options in C#,2016-11-02T10:13:08Z,2017-01-19T06:46:05Z,2017-01-19T06:46:06Z,12,,1868.5491666666667,17,156,Merged
Change JSON field name formatting,2016-11-03T09:26:25Z,2016-11-03T18:06:00Z,2016-11-03T18:06:00Z,1,,8.659722222222221,5,183,Merged
Fix unused parameter warnings in arena_free,2016-11-04T17:02:30Z,2016-11-04T19:19:46Z,2016-11-04T19:19:46Z,1,,2.287777777777778,1,175,Merged
Implement RepeatedFieldIter for c extension.,2016-11-04T21:26:23Z,2016-11-08T19:38:34Z,2016-11-08T19:38:34Z,1,,94.20305555555555,5,10,Merged
Fix php c extension on 32-bit machines.,2016-11-09T21:46:43Z,2016-11-10T19:20:50Z,2016-11-10T19:20:50Z,1,,21.56861111111111,7,0,Merged
Speed up JSON parsing.,2016-11-11T02:15:08Z,2017-02-24T23:41:10Z,2017-02-24T23:41:10Z,1,,2541.4338888888888,2,445,Merged
Fixed JavaScript license declaration.,2016-11-14T18:40:40Z,2016-11-14T19:45:36Z,2016-11-14T19:45:36Z,1,,1.0822222222222222,1,53,Merged
Conformance Tests for Null Timestamp and Duration JSON Values,2016-11-16T16:15:42Z,2017-09-20T05:35:27Z,2017-09-20T05:35:27Z,4,,7381.329166666666,1,738,Merged
Fixed JSPB test failures,2016-11-21T17:22:42Z,2016-11-22T16:48:41Z,2016-11-22T16:48:41Z,4,,23.433055555555555,7,0,Merged
Fix php test on mac.,2016-11-21T20:09:06Z,2016-11-22T21:34:28Z,2016-11-22T21:34:28Z,1,REVIEW_REQUIRED,25.422777777777778,1,87,Merged
Generate phpdoc in php generated files.,2016-11-22T23:44:26Z,2016-12-01T22:50:53Z,2016-12-01T22:50:53Z,4,,215.1075,4,0,Merged
Change CodedInputStream#DEFAULT_SIZE_LIMIT from 64MB to,2016-12-02T00:50:41Z,2016-12-02T18:58:21Z,2016-12-02T18:58:21Z,1,,18.127777777777776,2,547,Merged
Make php generated code conform to PSR-4.,2016-12-02T23:35:48Z,2016-12-08T19:16:49Z,2016-12-08T19:16:49Z,2,,139.6836111111111,63,85,Merged
Add version number to plugin protocol.,2016-12-03T06:57:10Z,2016-12-06T19:07:10Z,2016-12-06T19:07:10Z,1,,84.16666666666667,10,0,Merged
Change StringOutputStream's interface for better performance.,2016-12-04T20:38:47Z,,2018-03-20T22:27:54Z,4,,11305.818611111112,4,326,Closed
JsonUtilTest: Add ParsePrimitiveMapIn subtest,2016-12-06T21:40:34Z,2017-02-13T18:46:41Z,2017-02-13T18:46:41Z,2,,1653.1019444444444,1,716,Merged
Send all protobuf logging to logcat by default on Android,2016-12-07T22:40:32Z,2016-12-07T23:41:48Z,2016-12-07T23:41:48Z,1,,1.021111111111111,1,523,Merged
Include -std=c++11 when compiling protobuf if available.,2016-12-07T22:55:03Z,2016-12-08T18:49:13Z,2016-12-08T18:49:13Z,2,,19.90277777777778,2,0,Merged
Update commit id in Dockerfile to trigger update.,2016-12-08T19:35:09Z,2016-12-08T22:39:20Z,2016-12-08T22:39:20Z,7,,3.069722222222222,4,0,Merged
Use uint32 in GOOGLE_PROTOBUF_GENERATED_MESSAGE_FIELD_OFFSET macro,2016-12-09T18:55:45Z,2016-12-09T21:45:18Z,2016-12-09T21:45:18Z,1,,2.825833333333333,1,219,Merged
[Ruby] fix floating point accuracy problem in Timestamp#to_f,2016-12-11T02:46:07Z,2017-07-06T15:11:50Z,2017-07-06T15:11:50Z,2,,4980.428611111111,2,1011,Merged
Add support for Windows ARM builds,2016-12-11T13:57:19Z,2016-12-13T19:11:19Z,2016-12-13T19:11:19Z,5,,53.233333333333334,16,237,Merged
remove leading whitespace in C# xml comments,2016-12-12T11:45:03Z,2016-12-13T12:42:23Z,2016-12-13T12:42:23Z,1,APPROVED,24.955555555555556,19,72,Merged
Added conformance testing for binary primitive types.,2016-12-12T23:19:23Z,2016-12-14T00:31:02Z,2016-12-14T00:31:02Z,2,,25.194166666666668,2,53,Merged
Removed Android-specific code from stubs/hash.h,2016-12-13T19:04:59Z,2016-12-14T21:39:31Z,2016-12-14T21:39:31Z,1,,26.575555555555557,2,260,Merged
A few more cases for binary conformance tests.,2016-12-15T00:50:29Z,2017-01-07T00:58:22Z,2017-01-07T00:58:22Z,3,,552.1313888888889,2,116,Merged
Remove spurious NULL checks in ArenaStringPtr::CreateInstance.,2016-12-15T21:26:32Z,2016-12-20T00:18:46Z,2016-12-20T00:18:46Z,1,,98.87055555555555,1,0,Merged
Fix PROTOBUF_GENERATED_MESSAGE_FIELD_OFFSET for Clang 3.7.x and older.,2016-12-16T00:30:39Z,,2018-03-21T00:16:42Z,6,,11039.7675,2,90,Closed
Auto-generate well_known_types_embed.cc,2016-12-19T19:53:22Z,2016-12-19T22:49:11Z,2016-12-19T22:49:11Z,5,,2.930277777777778,6,262,Merged
Added Bazel genrule for generating well_known_types_embed.cc,2016-12-20T17:13:44Z,2016-12-21T15:21:15Z,2016-12-21T15:21:15Z,1,,22.12527777777778,2,261,Merged
Class deprecation support,2016-12-21T21:33:34Z,2017-01-12T16:32:37Z,2017-01-12T16:32:37Z,2,,522.9841666666666,3,503,Merged
Add ByteString.FromStream and ByteString.FromStreamAsync in C#,2017-01-04T16:42:44Z,2017-01-10T13:05:28Z,2017-01-10T13:05:28Z,4,,140.3788888888889,5,12,Merged
Minor fix for autocreated object repeated fields and maps.,2017-01-04T21:47:00Z,2017-01-05T15:26:23Z,2017-01-05T15:26:23Z,5,,17.656388888888888,11,489,Merged
Fixed cross compilations with the Autotools build,2017-01-05T21:58:35Z,2017-01-05T23:28:38Z,2017-01-05T23:28:38Z,1,,1.5008333333333332,4,346,Merged
Change hint type to `const void*`,2017-01-07T01:06:03Z,2017-03-01T18:43:29Z,2017-03-01T18:43:29Z,2,,1289.6238888888888,1,64,Merged
Update AbstractMessage.java,2017-01-12T18:45:08Z,,2017-01-13T17:15:55Z,1,,22.513055555555557,1,98,Closed
Bazel support for javalite,2017-01-12T21:16:46Z,,2017-08-03T20:46:38Z,1,,4871.497777777778,2,17,Closed
Add python compatibility tests against v2.5.0,2017-01-23T22:53:17Z,2017-01-27T18:18:36Z,2017-01-27T18:18:36Z,5,APPROVED,91.42194444444445,32,127,Merged
FreeBSD compatibility,2017-01-25T21:05:52Z,2017-02-24T20:52:54Z,2017-02-24T20:52:54Z,1,,719.7838888888889,1,66,Merged
Oneof accessor should return the field name that is actually set.,2017-01-25T23:45:51Z,2017-01-27T21:17:55Z,2017-01-27T21:17:55Z,3,,45.534444444444446,6,0,Merged
Fix typo that breaks builds on big-endian,2017-01-26T00:12:31Z,2017-01-26T22:14:35Z,2017-01-26T22:14:35Z,1,REVIEW_REQUIRED,22.034444444444443,1,16,Merged
Allow OneofOptions to be extended in proto3.,2017-01-26T00:24:05Z,2017-01-26T22:00:09Z,2017-01-26T22:00:09Z,1,APPROVED,21.601111111111113,1,11,Merged
Python manylinux wheel builds,2017-01-26T11:43:36Z,,2017-02-13T14:35:42Z,1,,434.86833333333334,1,789,Closed
Add Oneof custom options test,2017-01-27T19:54:07Z,2017-01-28T23:31:44Z,2017-01-28T23:31:44Z,1,APPROVED,27.626944444444444,3,0,Merged
Fix python compatibility test,2017-01-30T23:36:59Z,2017-02-10T00:32:09Z,2017-02-10T00:32:09Z,2,,240.91944444444445,2,117,Merged
Merge 3.2.x branch into master,2017-01-31T02:31:53Z,2017-01-31T17:17:33Z,2017-01-31T17:17:33Z,1,,14.761111111111111,146,0,Merged
Add conformance test for php,2017-01-31T22:41:46Z,2017-02-01T20:47:59Z,2017-02-01T20:47:59Z,1,,22.10361111111111,6,16,Merged
"Bug fix: When encoding, negative int32 values should be padded to int64 in order to be wire compatible.",2017-02-03T21:42:49Z,2017-02-08T05:33:29Z,2017-02-08T05:33:29Z,1,REVIEW_REQUIRED,103.84444444444445,8,0,Merged
Add fixed version to phpunit used in travis,2017-02-06T20:44:20Z,2017-02-07T18:55:49Z,2017-02-07T18:55:49Z,1,,22.191388888888888,1,90,Merged
JS compatibility tests,2017-02-06T21:52:24Z,2017-04-03T21:39:27Z,2017-04-03T21:39:27Z,4,,1343.7841666666666,33,177,Merged
Implement json encoding decoding for php c extension.,2017-02-07T18:58:26Z,2017-02-08T18:27:55Z,2017-02-08T18:27:55Z,1,,23.49138888888889,9,0,Merged
Add scripts to build python wheel for linux.,2017-02-08T23:08:35Z,2017-06-28T22:22:20Z,2017-06-28T22:22:20Z,3,,3359.2291666666665,5,16,Merged
Switch to gcc atomic intrinsics for macOS and delete the file that uses the deprecated atomics,2017-02-09T21:24:01Z,2017-02-10T22:55:35Z,2017-02-10T22:55:35Z,5,,25.52611111111111,4,211,Merged
Add clear method to PHP message,2017-02-09T22:24:21Z,2017-02-12T00:36:18Z,2017-02-12T00:36:18Z,1,,50.19916666666666,10,0,Merged
Add csharp compatibility tests against v3.0.0,2017-02-10T00:53:06Z,2017-02-13T18:54:35Z,2017-02-13T18:54:35Z,6,,90.02472222222222,37,0,Merged
Improve support for plugin parameters.,2017-02-13T22:25:29Z,2017-02-14T19:04:30Z,2017-02-14T19:04:30Z,8,,20.650277777777777,2,349,Merged
Fixes to make Google.Protobuf.dll compatible with .NET 3.5,2017-02-14T00:41:25Z,2017-02-23T10:51:54Z,2017-02-23T10:51:54Z,1,APPROVED,226.17472222222221,15,671,Merged
Add PreferredAlias into OriginalNameAttribute,2017-02-16T23:55:11Z,2017-02-28T18:51:20Z,2017-02-28T18:51:20Z,4,APPROVED,282.93583333333333,6,160,Merged
Disable deprecated implementation warnings for Tests,2017-02-22T18:51:40Z,,2017-02-28T18:14:21Z,1,,143.37805555555556,1,0,Closed
Disable static analyzer for message semaphore creation,2017-02-22T22:50:30Z,2017-03-01T19:00:57Z,2017-03-01T19:00:57Z,2,,164.17416666666668,1,0,Merged
Added a header only cc_library target for the protobuf library.,2017-02-23T16:18:57Z,2017-03-06T18:41:20Z,2017-03-06T18:41:20Z,4,,266.37305555555554,1,0,Merged
Add GPBMessageDropUnknownFieldsRecursively() and tests.,2017-02-23T17:31:00Z,2017-02-23T20:18:18Z,2017-02-23T20:18:18Z,2,,2.7883333333333336,3,146,Merged
Add Ruby compatibilty test against 3.0.0.,2017-02-24T01:59:04Z,2017-03-02T22:33:02Z,2017-03-02T22:33:02Z,1,APPROVED,164.5661111111111,11,136,Merged
Modified NPM package to make all dependencies dev dependencies.,2017-02-24T20:10:25Z,,2017-02-24T22:03:28Z,1,,1.8841666666666668,1,371,Closed
Add mergeFrom method on Message,2017-02-27T21:25:37Z,2017-03-01T18:39:49Z,2017-03-01T18:39:49Z,1,,45.236666666666665,11,371,Merged
