title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Add support for Object#in? in Active Support,2011-04-10T17:51:43Z,,2011-04-12T17:08:22Z,1,,47.2775,47,672,Closed
Add a `:subject_interpolations` option to `ActionMailer::Base#mail`,2013-01-23T18:26:44Z,2013-01-25T12:23:08Z,2013-01-25T12:23:08Z,1,,41.94,4,617,Merged
Extracted attributes assingment from ActiveRecord to ActiveModel,2013-05-28T07:39:05Z,2015-01-23T21:55:23Z,2015-01-23T21:55:23Z,1,,14534.271666666667,10,570,Merged
Documentation and cleanup of automatic discovery of inverse associations,2013-06-08T05:07:25Z,2013-06-09T08:58:43Z,2013-06-09T08:58:43Z,1,,27.855,11,757,Merged
Fix search for create_table_migration template override,2014-02-08T02:48:21Z,,2018-07-18T21:04:54Z,1,,38922.27583333333,1,2287,Closed
Activemodal::Errors added methods error_message_format and i18n_priority_format,2014-03-03T16:17:31Z,,2019-12-08T01:09:00Z,3,,50528.85805555555,4,859,Closed
Fix preloading of st models on has_many through associations,2014-03-07T10:00:48Z,,2017-09-01T22:40:37Z,4,CHANGES_REQUESTED,30588.66361111111,4,147,Closed
Only apply DATABASE_URL for Rails.env,2014-04-07T18:59:20Z,2014-04-08T16:57:47Z,2014-04-08T16:57:47Z,4,,21.974166666666665,14,390,Merged
Simplify Finding Default Layout,2014-05-10T01:52:59Z,,2019-12-25T11:39:05Z,1,,49329.76833333333,4,808,Closed
Add Content Security Policy(CSP),2014-06-17T19:44:12Z,,2017-12-03T10:24:35Z,2,,30350.673055555555,11,1356,Closed
Integrate ActiveJob / DeliverLater / GlobalID with Rails,2014-08-12T23:25:32Z,2014-08-17T23:44:30Z,2014-08-17T23:44:30Z,1,,120.31611111111111,80,5,Merged
PostgreSQL interval datatype support,2014-09-14T20:49:53Z,,2020-09-30T22:00:04Z,10,,52993.16972222222,9,1310,Closed
Fix #1627: prepared statement pool can be corrupted by exception,2014-11-13T10:06:40Z,,2019-12-30T18:43:13Z,2,,44960.60916666667,3,4300,Closed
Accept and default to base64_urlsafe CSRF tokens.,2015-01-13T22:50:19Z,2020-03-29T04:07:10Z,2020-03-29T04:07:10Z,9,APPROVED,45629.28083333333,3,149,Merged
Deprecate exception#original_exception in favor of exception#cause,2015-02-01T20:23:01Z,2015-11-03T15:33:46Z,2015-11-03T15:33:46Z,1,,6595.179166666667,30,1006,Merged
test demonstrating touching others when touched,2015-02-13T22:58:52Z,,2019-12-25T13:38:53Z,1,,42614.66694444444,1,154,Closed
Require `belongs_to` by default.,2015-02-14T02:27:40Z,2015-02-23T14:18:54Z,2015-02-23T14:18:54Z,4,,227.8538888888889,14,84,Merged
Add support for PostgreSQL operator classes to add_index,2015-02-26T12:25:26Z,2017-12-01T10:20:28Z,2017-12-01T10:20:28Z,5,,24213.917222222222,9,1951,Merged
Add midnight? predicate to check if a time is equal to midnight,2015-02-26T17:26:03Z,,2019-12-25T06:39:04Z,1,,42301.216944444444,3,117,Closed
Add dirty methods for store accessors,2015-03-14T16:56:22Z,2019-03-31T17:15:04Z,2019-03-31T17:15:04Z,3,,35472.31166666667,3,354,Merged
allow serializable objects to bypass full attributes hash construction...,2015-03-17T22:22:22Z,,2019-12-08T02:38:38Z,1,,41428.27111111111,1,539,Closed
Allow properly log remote ip address when set config.action_dispatch.trusted_proxies,2015-04-09T17:23:57Z,,2016-12-30T22:16:05Z,1,,15148.868888888888,2,670,Closed
wrap request.path_parameters for request.paramters,2015-04-22T17:54:46Z,,2019-12-25T12:39:02Z,2,,40986.73777777778,2,381,Closed
Return a `Point` object from the PG Point type,2015-06-05T15:07:43Z,2015-06-07T18:53:29Z,2015-06-07T18:53:29Z,1,,51.76277777777778,6,755,Merged
Ensure input to distance_of_time_in_words is not nil,2015-06-25T23:13:58Z,2017-04-27T20:11:47Z,2017-04-27T20:11:47Z,15,,16124.96361111111,3,1383,Merged
"Restore the record state (e.g. id, new_record, destroyed) after rollback",2015-07-24T23:33:58Z,,2018-05-19T01:11:47Z,2,,24697.63027777778,3,173,Closed
Use `SET CONSTRAINTS` for `disable_referential_integrity` without superuser privileges,2015-08-14T08:58:40Z,2017-01-04T01:38:51Z,2017-01-04T01:38:51Z,6,,12208.669722222223,25,13,Merged
Bug fix: auto generate timestamps for hm:t join tables,2015-08-23T08:08:22Z,,2019-12-25T06:39:00Z,1,,38038.51055555556,9,464,Closed
Support non-ASCII encodings in Content-Disposition field per RFC 5987 and RFC 6266,2015-09-02T07:04:46Z,,2018-09-26T11:06:53Z,3,,26884.035277777777,1,39,Closed
Add configurable serializers in each renderer,2015-09-04T10:08:54Z,,2019-12-25T12:39:16Z,1,,37754.50611111111,3,3929,Closed
Use collection ids and timestamps to generate truly unique collection cache keys,2015-09-04T22:06:40Z,,2020-03-24T06:06:11Z,1,,39895.991944444446,2,3432,Closed
Add created_at to schema_migrations and some code cleanup,2015-09-18T21:22:51Z,,2019-12-25T11:39:12Z,3,,37406.2725,8,505,Closed
Avoid loading all records in Relation#inspect,2015-11-10T10:53:53Z,,2017-04-30T11:38:41Z,6,,12888.746666666666,3,249,Closed
ActiveRecord::Relation#destroy_all destroys records in batches,2015-12-06T16:00:54Z,,2020-03-24T22:00:22Z,1,,37685.991111111114,9,563,Closed
Add Generated Columns support for MySQL 5.7,2015-12-14T21:05:22Z,,2017-02-02T05:15:10Z,18,,9968.163333333334,13,363,Closed
Make `ActionMailer::TestCase.fixture_path` to be configurable.,2015-12-26T04:25:48Z,,2019-12-25T10:38:59Z,1,CHANGES_REQUESTED,35046.219722222224,5,235,Closed
Implement custom url helpers and polymorphic mapping,2016-01-20T15:26:51Z,2017-02-21T20:00:31Z,2017-02-21T20:00:32Z,22,,9556.56111111111,8,179,Merged
ActionCable testing,2016-01-23T15:02:35Z,,2018-08-19T23:36:16Z,1,,22544.561388888887,7,675,Closed
AR::Relation#exists? doesn't have to query if the relation is loaded and no condition was given,2016-01-29T10:02:56Z,,2019-12-25T09:38:52Z,1,,34223.59888888889,3,53,Closed
Improve documenation for url_helper.rb,2016-01-31T13:12:23Z,,2019-12-25T14:38:54Z,1,,34177.44194444444,1,548,Closed
Correctly dump native timestamp types for MySQL,2016-02-07T22:38:10Z,2017-02-23T04:17:31Z,2017-02-23T04:17:31Z,1,APPROVED,9149.655833333334,10,998,Merged
index option added for change_table migrations,2016-02-10T16:51:28Z,2018-10-01T01:40:57Z,2018-10-01T01:40:57Z,2,APPROVED,23120.824722222223,3,836,Merged
fix #23640 allow strong parameters to accept nested arrays,2016-02-13T02:37:10Z,,2020-03-24T23:00:24Z,5,,36044.38722222222,3,289,Closed
Make collection caching explicit.,2016-02-15T21:51:02Z,2016-02-20T18:09:11Z,2016-02-20T18:09:11Z,1,,116.3025,16,358,Merged
Eagerly set reg exp on route path,2016-02-15T23:45:32Z,,2016-12-12T22:53:15Z,2,,7223.128611111111,0,193,Closed
Modify ActiveRecord eql? to Handle STI classes,2016-02-18T18:15:19Z,,2020-01-06T18:11:21Z,3,,34031.93388888889,3,136,Closed
Use base 35 for generating secure tokens,2016-03-02T13:24:44Z,,2019-12-25T11:39:06Z,1,CHANGES_REQUESTED,33430.23944444444,5,1738,Closed
Do not duplicate join records for has_and_belong_to_many associations,2016-03-06T04:47:35Z,,2018-09-18T17:36:44Z,1,,22236.819166666668,6,375,Closed
ActiveRecord: limit() and primary_key,2016-03-10T03:50:57Z,2018-07-21T12:49:35Z,2018-07-21T12:49:35Z,2,,20720.977222222224,3,901,Merged
add inherit_validation_context flag to AssociatedValidator,2016-03-10T10:04:33Z,,2024-01-03T19:44:58Z,5,CHANGES_REQUESTED,68529.67361111111,3,561,Closed
Use algorithm while removing index with db:rollback,2016-03-15T01:06:52Z,2017-09-21T10:20:24Z,2017-09-21T10:20:24Z,3,,13329.225555555555,3,56,Merged
Creates development and test databases in db:migrate task,2016-03-15T01:44:29Z,2016-03-17T13:27:49Z,2016-03-17T13:27:49Z,1,,59.72222222222222,3,501,Merged
fix datatime error,2016-03-15T01:52:01Z,2016-11-03T16:19:01Z,2016-11-03T16:19:01Z,1,,5606.45,3,52,Merged
Do not bind Arel attributes,2016-03-15T11:57:18Z,,2019-04-30T21:07:04Z,4,,27393.16277777778,3,243,Closed
Fix TimeZone::MAPPING for 'Kyiv',2016-03-30T21:17:23Z,,2016-03-31T15:21:04Z,1,,18.06138888888889,1,428,Closed
Strong ETag validators,2016-04-01T01:13:11Z,2016-04-02T01:09:30Z,2016-04-02T01:09:30Z,1,,23.93861111111111,6,761,Merged
Change `filter_parameters` to use returned `value` when procs are passed,2016-04-02T02:24:15Z,,2019-12-25T10:38:53Z,1,,32696.24388888889,3,270,Closed
Honor shallow: false on nested resources,2016-04-03T02:07:19Z,2019-04-02T23:32:13Z,2019-04-02T23:32:13Z,1,,26277.415,2,600,Merged
Fail db rake tasks when the configuration misses the database name,2016-04-08T06:52:49Z,,2018-09-19T15:26:50Z,1,,21464.566944444443,1,556,Closed
Make variable_size_secure_compare public,2016-04-11T21:12:27Z,2017-11-25T16:40:36Z,2017-11-25T16:40:36Z,8,CHANGES_REQUESTED,14227.469166666666,5,224,Merged
Print the proper ::Float::INFINITY value when used as a default value,2016-04-15T22:36:15Z,2016-10-04T21:37:04Z,2016-10-04T21:37:04Z,1,,4127.0136111111115,3,709,Merged
merge parent joins for through associations,2016-04-21T20:41:10Z,,2017-07-05T06:55:55Z,4,,10546.245833333332,4,1124,Closed
Subclasses should inherit associations from parents,2016-04-24T21:08:25Z,,2019-12-25T09:38:53Z,1,,32148.507777777777,2,217,Closed
Allow `deep_transform_keys` to `Array`,2016-04-25T00:51:21Z,,2017-03-06T18:45:05Z,1,,7577.895555555556,1,99,Closed
update regexp which cleaned root path,2016-05-03T20:17:12Z,,2018-09-27T20:57:36Z,1,,21048.673333333332,2,95,Closed
Implement helpers proxy in controller instance level,2016-05-05T18:34:23Z,2016-05-05T22:12:25Z,2016-05-05T22:12:25Z,2,,3.633888888888889,5,1280,Merged
API only apps: Preserve request format for HTML requests too,2016-05-08T01:49:04Z,2016-05-11T14:13:36Z,2016-05-11T14:13:36Z,1,,84.4088888888889,2,536,Merged
sanitized_value should not remove cjk character,2016-05-10T01:21:25Z,,2019-12-25T10:39:15Z,1,,31785.297222222223,4,381,Closed
fix fixtures on multiple databases,2016-05-10T14:21:50Z,,2019-12-25T13:38:58Z,4,,31775.285555555554,1,644,Closed
Broaden compat with other minitest plugins.,2016-05-17T14:29:34Z,,2017-06-25T19:09:30Z,2,,9700.665555555555,2,559,Closed
[Action Cable] Add parameter filtering to logging,2016-05-21T00:03:52Z,,2018-11-28T23:13:30Z,1,CHANGES_REQUESTED,22127.160555555554,5,74,Closed
Rename controller _filters to _callbacks in docs,2016-05-22T20:14:43Z,,2019-02-06T19:36:29Z,16,,23759.362777777777,6,212,Closed
Pass request params to ActionMailer::Preview,2016-05-30T00:19:12Z,,2017-02-28T15:07:07Z,2,,6590.798611111111,5,145,Closed
use ruby Enumerable#sum if available,2016-05-30T20:54:44Z,,2017-04-19T02:06:00Z,3,,7757.187777777778,1,278,Closed
Collapse all new default initializers into a single file,2016-06-01T00:38:45Z,2016-06-01T09:37:47Z,2016-06-01T09:37:47Z,1,,8.983888888888888,10,152,Merged
For PostgreSQL >= 9.4 use `gen_random_uuid()`,2016-06-13T21:11:38Z,2016-11-23T23:48:29Z,2016-11-23T23:48:29Z,4,,3914.6141666666667,6,417,Merged
Translate NOT NULL violation to the specific exception,2016-06-20T15:44:03Z,2016-12-06T12:06:32Z,2016-12-06T12:06:32Z,2,,4052.3747222222223,7,131,Merged
