title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Handle className properly on SVG nodes,2014-05-23T03:30:25Z,2014-05-28T17:14:59Z,2014-05-28T17:14:59Z,1,,133.74277777777777,1,234,Merged
Replace the header_links plugin with client-side generated anchors.,2015-06-18T04:58:56Z,2017-03-01T19:52:55Z,2017-03-01T19:52:55Z,3,,14942.899722222222,4,26,Merged
ErrorBoundaries: Initial pass at the easy case of updates,2016-02-11T18:00:48Z,,2016-10-12T14:02:16Z,1,,5852.024444444444,2,268,Closed
Don't set children attribute on SVG nodes,2016-03-02T00:51:01Z,2016-03-02T11:02:50Z,2016-03-02T11:02:50Z,1,,10.196944444444444,2,208,Merged
6049 add support for onCancel event,2016-03-11T14:06:10Z,2017-01-31T14:10:48Z,2017-01-31T14:10:48Z,2,,7824.077222222222,3,98,Merged
Fix event handling when input name='nodeName',2016-03-21T20:29:32Z,,2017-06-30T01:30:24Z,1,CHANGES_REQUESTED,11165.014444444445,3,111,Closed
Properly set value and defaultValue for input and textarea,2016-04-04T17:22:45Z,2016-05-25T01:28:01Z,2016-05-25T01:28:01Z,3,,1208.0877777777778,8,513,Merged
"Add React.PureComponent, inherit purity for functional components",2016-05-28T22:37:05Z,,2017-03-01T21:34:04Z,1,CHANGES_REQUESTED,6646.949722222223,14,2715,Closed
Flat bundle using Rollup,2016-07-03T07:12:56Z,,2017-03-10T02:08:32Z,1,CHANGES_REQUESTED,5994.926666666666,74,2670,Closed
Add React.PureComponent,2016-07-05T21:05:31Z,2016-07-06T20:24:44Z,2016-07-06T20:24:44Z,3,,23.32027777777778,4,486,Merged
Allow custom attributes by default,2016-07-20T01:24:07Z,,2017-08-08T01:37:57Z,65,CHANGES_REQUESTED,9216.230555555556,10,843,Closed
React Release Manager,2016-07-21T23:26:49Z,2017-01-06T14:00:10Z,2017-01-06T14:00:10Z,1,,4046.5558333333333,17,1374,Merged
Fix Chrome number input backspace and invalid input issue,2016-07-27T01:15:46Z,2017-03-27T16:39:19Z,2017-03-27T16:39:19Z,33,,5847.3925,11,1729,Merged
Freeze `defaultProps` in development mode,2016-08-09T05:02:13Z,,2018-01-05T15:26:16Z,1,,12346.400833333333,2,84,Closed
"Use an ordered property list for inputs, fix some Chrome number input issues",2016-08-11T20:11:04Z,,2016-11-19T17:10:36Z,4,,2396.992222222222,8,2026,Closed
Test renderer traversal,2016-08-17T22:53:17Z,,2017-09-08T22:24:28Z,3,APPROVED,9287.519722222221,3,835,Closed
Returning an error if a PropType is passed to ReactPropTypes.oneOf.,2016-08-19T05:28:48Z,,2017-10-04T23:11:08Z,2,,9881.705555555556,3,1362,Closed
Process props with Symbol key (#7552),2016-08-24T12:40:04Z,,2017-10-04T23:12:28Z,2,,9754.54,2,209,Closed
[docs] Use react-standalone,2016-09-06T17:23:13Z,,2017-01-26T17:54:22Z,2,,3408.5191666666665,21,99,Closed
[examples] Use babel-standalone,2016-09-06T17:23:47Z,2017-01-26T17:57:01Z,2017-01-26T17:57:01Z,1,,3408.553888888889,8,66,Merged
Convert ReactCSSTransitionGroupChild to React.Component,2016-09-12T11:54:00Z,,2017-01-27T04:35:36Z,3,,3280.693333333333,1,1032,Closed
"[Fiber] Child Reconciliation, Refs and Life-Cycles",2016-09-12T22:15:10Z,2016-10-17T20:17:31Z,2016-10-17T20:17:31Z,23,,838.0391666666667,18,874,Merged
Ensure that dangerous innerHTML is a string if set,2016-09-13T13:25:02Z,,2017-11-21T14:14:23Z,2,,10416.8225,2,578,Closed
Exlude disabled elements from propagation,2016-09-13T22:06:22Z,,2017-11-21T14:14:50Z,2,CHANGES_REQUESTED,10408.141111111112,2,237,Closed
Russian translation for self-closing-tag of tips,2016-09-14T15:56:08Z,2016-09-19T10:39:46Z,2016-09-19T10:39:46Z,2,,114.72722222222222,2,0,Merged
Add React.PureComponent to documentation,2016-09-14T18:03:05Z,,2016-10-23T14:35:25Z,5,,932.5388888888889,1,75,Closed
