title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Added GET to ZRANGEBYSCORE commands,2010-11-11T22:43:05Z,,2024-03-06T12:27:10Z,1,REVIEW_REQUIRED,116725.73472222222,3,482,Closed
Make the timer event list in sorted order && Fix for issue #633,2012-08-30T07:08:32Z,,2024-03-06T11:03:36Z,1,REVIEW_REQUIRED,100947.91777777778,1,584,Closed
 Adds path expansion to the config file parser.,2012-12-01T12:19:42Z,,2021-06-01T06:25:32Z,1,REVIEW_REQUIRED,74490.09722222222,2,105,Closed
Use accept4 on linux,2013-10-21T21:53:57Z,,2021-06-30T12:18:49Z,1,REVIEW_REQUIRED,67406.41444444444,2,624,Closed
Optimize networking (demo of concept),2013-12-25T13:10:12Z,,2024-03-12T11:10:57Z,1,REVIEW_REQUIRED,89518.0125,1,1026,Closed
Add oom-score-adj configuration option to control Linux OOM killer.,2014-04-15T18:51:52Z,2020-08-12T14:58:57Z,2020-08-12T14:58:57Z,3,APPROVED,55460.118055555555,8,587,Merged
added a new config parameter that allows disabling honoring key expiry.,2014-05-07T13:42:02Z,,2024-03-01T04:37:29Z,1,REVIEW_REQUIRED,86054.92416666666,6,442,Closed
Fix code format and check overcommit_memory failed.,2014-08-28T13:15:02Z,,2023-11-29T15:07:11Z,1,REVIEW_REQUIRED,81121.86916666667,2,0,Closed
Don't notify change when set same bit twice with SETBIT (Fix issue #1314),2014-10-06T14:37:21Z,,2022-04-07T09:39:27Z,1,REVIEW_REQUIRED,65755.035,2,309,Closed
Fix ziplist length updates on bigendian platforms,2014-10-20T01:12:54Z,2021-06-30T13:46:06Z,2021-06-30T13:46:07Z,1,REVIEW_REQUIRED,58692.55333333334,1,73,Merged
redis-cli to flush output for pubsub_mode,2014-10-22T02:20:41Z,,2021-10-20T09:01:53Z,1,REVIEW_REQUIRED,61326.68666666667,1,13,Closed
redis-check-*: output msg correct,2014-12-22T16:36:15Z,,2024-02-22T08:46:32Z,1,REVIEW_REQUIRED,80368.17138888889,2,217,Closed
t_set/srandmemberWithCountCommand(): use setTypeRandomElements to deal with case 3 & 4,2015-01-03T02:35:01Z,,2024-02-15T12:18:49Z,1,REVIEW_REQUIRED,79929.73,2,152,Closed
utils/hashtable/rehashing.c: Fix typos,2015-03-03T03:39:30Z,,2020-09-09T16:29:32Z,1,REVIEW_REQUIRED,48420.83388888889,1,0,Closed
Networking,2015-03-12T01:14:10Z,,2021-05-25T12:40:34Z,1,REVIEW_REQUIRED,54395.44,1,222,Closed
Added slowlog length to info output.,2015-03-19T19:52:18Z,,2024-02-22T08:52:42Z,1,REVIEW_REQUIRED,78277.00666666667,1,122,Closed
Small config file documentation improvements,2015-03-23T08:23:56Z,,2020-09-09T16:29:29Z,1,REVIEW_REQUIRED,47936.0925,1,0,Closed
"listDup, handle theoretical failure of listAddNodeTail",2015-03-31T10:28:43Z,,2021-06-22T05:56:09Z,1,REVIEW_REQUIRED,54595.45722222222,1,90,Closed
redis-trib support [IPv6]:Port inputs for nodes,2015-04-04T18:40:50Z,,2024-02-22T08:49:05Z,1,REVIEW_REQUIRED,77894.1375,1,151,Closed
migrate command with password,2015-04-08T11:19:21Z,2018-01-09T16:36:04Z,2018-01-09T16:36:04Z,2,REVIEW_REQUIRED,24173.278611111113,1,446,Merged
Typo and grammar fixes,2015-05-08T09:13:32Z,,2020-09-09T16:29:26Z,1,REVIEW_REQUIRED,46831.265,2,144,Closed
Update anet.c,2015-07-07T08:42:45Z,,2021-06-17T09:40:21Z,1,REVIEW_REQUIRED,52128.96,2,54,Closed
Fix bug of sds.c,2015-07-26T14:08:29Z,,2021-06-30T09:23:31Z,4,APPROVED,51979.250555555554,1,132,Closed
Fix errno,2015-08-28T01:57:51Z,,2021-04-21T06:36:01Z,3,REVIEW_REQUIRED,49516.63611111111,2,43,Closed
redis-benchmark: Added HSET and HMSET tests,2015-09-08T11:00:48Z,,2021-03-18T14:55:55Z,1,REVIEW_REQUIRED,48435.91861111111,1,236,Closed
Add NX/XX/GT/LT options to EXPIRE command group,2015-10-03T02:39:35Z,2021-08-02T05:57:49Z,2021-08-02T05:57:50Z,23,APPROVED,51123.30388888889,3,937,Merged
support move one specific slot from node to another.,2015-10-13T02:29:56Z,,2024-03-01T07:15:28Z,1,REVIEW_REQUIRED,73492.75888888889,1,433,Closed
Add LIMIT support with M[LR]POP and BM[LR]POP,2015-11-23T21:23:59Z,,2024-02-18T06:59:40Z,1,REVIEW_REQUIRED,72201.59472222222,5,989,Closed
ttl: clarify that the time to live is in seconds,2015-12-02T09:30:09Z,,2021-07-20T06:13:21Z,3,REVIEW_REQUIRED,49364.72,1,54,Closed
Fix format strings serverLogObjectDebugInfo to use unsigned,2015-12-09T06:09:18Z,2021-07-18T12:27:42Z,2021-07-18T12:27:42Z,3,APPROVED,49158.306666666664,1,139,Merged
Fix typos in source code comment.,2015-12-10T13:13:10Z,,2020-09-09T16:29:23Z,1,REVIEW_REQUIRED,41643.27027777778,20,161,Closed
Update Lua debugging help message commands for consistency.,2015-12-14T23:52:44Z,2021-07-18T11:11:10Z,2021-07-18T11:11:10Z,2,APPROVED,49019.307222222225,1,0,Merged
Add cluster-automatic-failover config,2016-01-14T11:43:44Z,,2024-03-01T07:18:27Z,1,REVIEW_REQUIRED,71251.57861111111,5,376,Closed
change argument name for deleteDict() and dictDeleteNoFree() in dict.c,2016-05-24T23:11:18Z,,2021-07-26T12:56:37Z,1,REVIEW_REQUIRED,45325.755277777775,1,192,Closed
"Fix the firstkey, lastkey, and keystep of moduleCommand",2016-06-29T09:20:24Z,2018-01-09T17:58:31Z,2018-01-09T17:58:31Z,1,REVIEW_REQUIRED,13424.635277777777,1,145,Merged
Redis Module API calls to allow re-use of data type RDB save/load.,2016-07-11T15:01:37Z,2019-11-19T09:55:43Z,2019-11-19T09:55:43Z,1,REVIEW_REQUIRED,29418.90166666667,6,97,Merged
fix some comments,2016-07-18T05:56:11Z,,2020-09-09T16:27:49Z,1,APPROVED,36346.52722222222,2,0,Closed
fixing resource leak,2016-08-14T07:33:41Z,,2021-07-26T13:15:31Z,1,REVIEW_REQUIRED,43373.697222222225,1,85,Closed
redis-trib.rb: improve master / replicas associations,2016-08-23T14:25:20Z,,2023-11-29T15:08:49Z,1,REVIEW_REQUIRED,63696.72472222222,1,143,Closed
