title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
feat(compose): optimize one function case,2016-05-07T09:52:29Z,2016-05-08T11:45:01Z,2016-05-08T11:45:01Z,2,,25.875555555555554,2,0,Merged
Proof of Concept: Enhancer Overhaul,2016-05-09T03:43:32Z,,2018-09-02T18:55:02Z,1,,20319.191666666666,3,4572,Closed
add examples with Flowtype support + libdefs for redux and react-redux,2016-08-09T15:27:20Z,2016-09-19T21:21:26Z,2016-09-19T21:21:26Z,13,,989.9016666666666,23,1127,Merged
Structuring reducers page,2016-09-04T23:23:24Z,2016-09-25T22:57:47Z,2016-09-25T22:57:47Z,9,,503.5730555555556,12,227,Merged
Use more ES6 syntaxes in the real world example,2016-09-12T18:55:10Z,2016-09-18T20:27:51Z,2016-09-18T20:27:51Z,2,,145.54472222222222,16,172,Merged
Use more ES6 syntaxes in the shopping cart example,2016-09-12T19:29:46Z,2016-09-18T20:41:30Z,2016-09-18T20:41:30Z,3,,145.19555555555556,16,123,Merged
#1944 converting test suite from Mocha to Jest,2016-09-13T15:54:42Z,2016-09-21T13:13:04Z,2016-09-21T13:13:05Z,5,,189.3061111111111,10,368,Merged
Fix listeners array leak,2016-09-17T04:44:48Z,2016-09-19T15:16:25Z,2016-09-19T15:16:25Z,1,,58.526944444444446,2,90,Merged
Add a URL to 'You Might Not Need Redux',2016-09-27T16:30:21Z,2016-09-28T13:58:01Z,2016-09-28T13:58:01Z,3,CHANGES_REQUESTED,21.461111111111112,1,383,Merged
Update README.md,2016-09-27T18:46:10Z,,2016-09-27T20:05:08Z,1,,1.316111111111111,1,0,Closed
Add missing [enhancers] argument to API reference,2016-09-30T13:45:57Z,2016-09-30T19:22:47Z,2016-09-30T19:22:47Z,2,,5.613888888888889,1,0,Merged
Typo fix in InitializingState.md,2016-10-05T10:58:10Z,2016-10-05T12:42:57Z,2016-10-05T12:42:57Z,1,,1.746388888888889,1,9,Merged
Doc: Immutable Data FAQ,2016-11-23T15:41:03Z,2017-02-19T21:46:39Z,2017-02-19T21:46:39Z,24,CHANGES_REQUESTED,2118.0933333333332,5,383,Merged
Add optional 'immediate' argument to unsubscribe.,2016-11-30T14:46:07Z,,2017-10-06T01:08:27Z,3,,7426.372222222222,2,373,Closed
Modification to docs/basics/Reducers to make imports more clear. This…,2016-12-08T22:07:47Z,2016-12-09T19:12:36Z,2016-12-09T19:12:36Z,3,APPROVED,21.080277777777777,1,373,Merged
Simplify composer,2016-12-10T01:38:17Z,2016-12-13T17:51:19Z,2016-12-13T17:51:19Z,1,,88.21722222222222,1,95,Merged
fixed condition where multiple bad values would be filtered out and h…,2016-12-11T15:26:08Z,2016-12-13T17:52:12Z,2016-12-13T17:52:12Z,1,,50.434444444444445,2,151,Merged
Update variables to ES6,2016-12-27T05:45:11Z,2016-12-30T00:30:19Z,2016-12-30T00:30:19Z,4,,66.75222222222222,6,131,Merged
Alternate Proof of Concept: Enhancer Overhaul,2017-01-22T02:47:20Z,,2017-11-16T14:57:37Z,4,,7164.171388888889,25,12870,Closed
no need to access error property again,2017-01-25T23:26:40Z,2017-01-26T20:49:31Z,2017-01-26T20:49:31Z,1,,21.38083333333333,1,0,Merged
updated dependencies to last version,2017-02-21T23:37:53Z,2017-02-22T18:03:12Z,2017-02-22T18:03:12Z,1,,18.421944444444446,1,39,Merged
Fix issue : 2264,2017-02-26T15:27:45Z,2017-02-26T18:43:24Z,2017-02-26T18:43:24Z,1,,3.2608333333333333,1,169,Merged
Correct example codes in UsageWithReactRouter.md,2017-02-28T06:45:51Z,2017-03-15T00:21:54Z,2017-03-15T00:21:54Z,3,CHANGES_REQUESTED,353.60083333333336,1,433,Merged
Build umd with rollup,2017-03-07T23:10:58Z,2017-03-08T01:22:31Z,2017-03-08T01:22:31Z,1,APPROVED,2.1925,5,48,Merged
"Docs: update ""import createLogger"" to modern ""import {createLogger}""",2017-03-29T19:51:34Z,2017-03-30T02:51:49Z,2017-03-30T02:51:49Z,3,APPROVED,7.004166666666666,2,467,Merged
return a curried bindActionCreators function if only actionCreators are present,2017-04-04T11:25:54Z,,2017-04-04T20:37:59Z,2,APPROVED,9.20138888888889,2,565,Closed
"Use the state accessors in the tests, instead of testing the store st…",2017-04-21T14:08:09Z,2017-04-21T16:57:28Z,2017-04-21T16:57:28Z,2,,2.8219444444444446,1,13,Merged
add a hook to redux-devtools-extension,2017-04-27T04:46:20Z,,2017-04-27T14:54:21Z,2,,10.133611111111112,1,432,Closed
Prettier to basics folder,2017-05-03T10:26:14Z,2017-05-12T17:31:15Z,2017-05-12T17:31:15Z,4,APPROVED,223.0836111111111,6,111,Merged
Prettier to advanced folder,2017-05-03T10:50:09Z,2017-05-12T17:34:04Z,2017-05-12T17:34:04Z,4,APPROVED,222.73194444444445,4,6,Merged
Prettier to recipes folder,2017-05-03T11:28:29Z,2017-05-12T17:37:35Z,2017-05-12T17:37:35Z,3,APPROVED,222.15166666666667,7,6,Merged
Prettier to api folder,2017-05-03T11:42:38Z,2017-05-12T17:35:04Z,2017-05-12T17:35:04Z,2,APPROVED,221.8738888888889,5,33,Merged
Give a clearer warning that react-router guide is outdated,2017-05-03T20:15:54Z,2017-10-06T01:06:52Z,2017-10-06T01:06:52Z,1,,3724.8494444444445,1,294,Merged
Unify the usage of arrow functions,2017-05-07T06:31:05Z,2017-05-07T19:19:32Z,2017-05-07T19:19:32Z,3,,12.8075,2,68,Merged
Add 100% test coverage for todos-flow example,2017-05-17T10:07:16Z,2017-05-24T18:01:31Z,2017-05-24T18:01:31Z,4,,175.90416666666667,53,617,Merged
Updated the definition of 'Reducer' and 'Dispatch' for TypeScript 2.3+,2017-06-29T02:10:30Z,,2017-10-06T01:05:30Z,9,,2374.9166666666665,1,0,Closed
Update UsageWithReactRouter.md,2017-07-14T00:58:22Z,2017-10-06T01:32:06Z,2017-10-06T01:32:06Z,2,,2016.5622222222223,1,37,Merged
Clarify details on connecting with React,2017-07-24T17:07:02Z,2017-07-25T23:25:40Z,2017-07-25T23:25:40Z,1,,30.310555555555556,1,231,Merged
Add design decisions to FAQ document,2017-07-24T23:35:14Z,2017-08-08T00:59:03Z,2017-08-08T00:59:03Z,3,CHANGES_REQUESTED,337.39694444444444,2,340,Merged
Update FAQ: Why should I use action creators?,2017-07-28T08:44:12Z,2017-07-31T15:53:24Z,2017-07-31T15:53:24Z,2,,79.15333333333334,1,145,Merged
"Update FAQ: ""Dispatch multiple actions"" links",2017-07-28T09:58:36Z,2017-07-31T15:55:13Z,2017-07-31T15:55:13Z,2,,77.94361111111111,1,142,Merged
shopping-cart example: add the ability to remove items from your cart,2017-08-14T18:34:02Z,,2017-10-06T01:25:20Z,2,,1254.855,15,272,Closed
Make middleware API dispatch pass through all call arguments,2017-08-15T08:51:37Z,2017-08-15T13:48:45Z,2017-08-15T13:48:45Z,3,,4.952222222222222,2,229,Merged
Revamp TypeScript typing with more type safety,2017-08-16T20:05:30Z,2017-10-06T01:04:21Z,2017-10-06T01:04:21Z,36,,1204.9808333333333,5,1558,Merged
Improve note about WordPress framework,2017-08-19T21:01:37Z,2017-08-19T22:19:54Z,2017-08-19T22:19:54Z,1,APPROVED,1.3047222222222221,1,99,Merged
Update FAQ: When should I learn Redux?,2017-08-27T12:29:52Z,2017-08-29T03:11:05Z,2017-08-29T03:11:05Z,4,CHANGES_REQUESTED,38.68694444444444,1,133,Merged
Optimize dispatch plain object check,2017-09-05T03:26:42Z,2017-11-16T14:54:24Z,2017-11-16T14:54:24Z,16,,1739.4616666666666,8,645,Merged
Add listenerID to correctly remove subscription when listener was subscribed repeatedly,2017-09-11T09:06:13Z,,2017-09-11T15:41:40Z,2,,6.590833333333333,2,505,Closed
Warns when type of reducers passed is invalid to avoid silent failure,2017-10-02T02:11:56Z,,2017-10-23T00:46:11Z,7,,502.5708333333333,3,291,Closed
REPLACE action for replaceReducers,2017-10-22T21:51:47Z,2017-11-03T17:24:20Z,2017-11-03T17:24:20Z,7,,283.5425,4,201,Merged
Upgrade flow version to 0.57.3 for flow-redux example,2017-10-23T22:29:43Z,2017-10-24T13:52:00Z,2017-10-24T13:52:00Z,7,APPROVED,15.37138888888889,6,242,Merged
[chore] Added prettier formatting to src and test,2017-10-24T05:05:18Z,2017-12-11T00:58:30Z,2017-12-11T00:58:30Z,6,,1147.8866666666668,21,600,Merged
Make clear where reducers act on a state slice instead of on whole state,2017-11-27T09:38:22Z,2017-11-27T15:09:55Z,2017-11-27T15:09:55Z,1,,5.525833333333333,1,271,Merged
feat(es-modules): native es-module support,2017-11-30T12:53:46Z,,2017-11-30T16:47:52Z,6,,3.901666666666667,6,282,Closed
Update TodoMVC example to be more in line with other examples,2017-12-15T02:29:26Z,2018-04-09T17:04:29Z,2018-04-09T17:04:29Z,3,,2774.5841666666665,28,159,Merged
Update TypeScript typings,2017-12-21T14:48:01Z,2018-01-24T18:15:25Z,2018-01-24T18:15:26Z,3,,819.4566666666667,14,2012,Merged
TypeScript: `combineReducers` returns reducer that accepts partial state,2018-01-24T18:38:51Z,,2018-12-13T15:47:31Z,1,,7749.144444444444,2,84,Closed
[todos] [refactor] improve the general style of the approach to React,2018-02-21T19:01:29Z,2018-03-13T20:32:34Z,2018-03-13T20:32:34Z,5,APPROVED,481.5180555555556,11,135,Merged
Add a sideEffects: false flag for Webpack 4,2018-03-02T22:02:44Z,2018-03-03T19:54:56Z,2018-03-03T19:54:56Z,1,,21.87,1,378,Merged
