title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Update package.json,2016-10-12T18:02:04Z,,2016-12-06T10:38:32Z,1,,1312.6077777777778,1,75,Closed
Fix whitespace detection and stripping in getMarkdownFromSlide,2017-07-28T03:57:31Z,,2018-03-22T23:10:01Z,1,,5707.208333333333,1,690,Closed
add support for overriding the default layout,2018-03-10T15:01:29Z,2018-03-22T10:06:19Z,2018-03-22T10:06:19Z,2,,283.0805555555556,1,61,Merged
add a full list of transitions to readme,2018-06-04T20:53:23Z,2018-08-01T08:36:07Z,2018-08-01T08:36:07Z,3,,1379.7122222222222,1,0,Merged
Resize Event,2019-01-15T12:22:50Z,2019-01-31T19:09:46Z,2019-01-31T19:09:46Z,2,,390.78222222222223,2,301,Merged
impove randomness,2019-01-30T16:42:12Z,2019-02-18T14:14:40Z,2019-02-18T14:14:40Z,2,,453.5411111111111,1,428,Merged
add text effects for span grow and shrink fragments,2019-03-03T03:33:45Z,,2023-02-19T10:25:13Z,2,,34782.857777777775,2,215,Closed
Revert 2325 revert 2312 improve random number generation,2019-04-06T13:03:27Z,,2019-04-06T15:11:37Z,3,,2.136111111111111,39,0,Closed
Handle lazy-loading of background iframes/videos,2019-04-30T18:53:49Z,,2019-05-06T22:57:19Z,1,,148.05833333333334,1,617,Closed
"Notes: Introduce alternate pacing timer, based on total presentation time",2019-05-09T22:58:29Z,2019-05-27T06:11:43Z,2019-05-27T06:11:43Z,14,,415.22055555555556,2,1321,Merged
Bug fix: spelling errors,2019-09-19T02:10:14Z,2020-01-11T19:51:02Z,2020-01-11T19:51:02Z,1,,2753.68,1,198,Merged
css,2019-10-16T10:16:03Z,,2019-12-09T19:52:03Z,1,,1305.6,1,0,Closed
Add mobileViewDistance config key,2019-10-18T11:40:43Z,2019-12-09T20:00:59Z,2019-12-09T20:00:59Z,1,,1256.3377777777778,1,328,Merged
Expose theme variables in CSS custom properties,2019-10-29T14:52:15Z,2020-03-03T14:22:08Z,2020-03-03T14:22:09Z,4,,3023.4980555555558,14,210,Merged
add recycle for unbinding event,2019-11-21T10:57:58Z,,2020-03-05T13:34:06Z,1,,2522.6022222222223,1,0,Closed
Bundler friendliness (part II) - Repackage print style sheets,2020-03-10T13:22:15Z,2020-03-13T18:54:25Z,2020-03-13T18:54:25Z,4,,77.53611111111111,13,1042,Merged
reveal.js 4.0.0,2020-04-23T09:44:12Z,2020-05-19T09:11:27Z,2020-05-19T09:11:27Z,1,,623.4541666666667,159,2114,Merged
use native CSS vars from exposer,2020-07-29T11:39:05Z,2021-05-27T07:46:53Z,2021-05-27T07:46:53Z,1,,7244.13,24,324,Merged
Start relative paths in CSS with ./,2020-08-18T17:04:33Z,2020-09-09T08:24:05Z,2020-09-09T08:24:05Z,1,,519.3255555555555,14,196,Merged
Adding greetings for users on raising their first PR,2020-10-11T23:58:23Z,,2021-05-05T09:07:09Z,1,,4929.146111111111,4,155,Closed
Add lakhan345's file,2020-11-01T17:20:26Z,,2020-11-30T17:41:41Z,3,,696.3541666666666,167,13,Closed
Require node > 10 but < 15,2020-11-11T16:51:26Z,,2020-11-25T14:09:53Z,1,,333.3075,1,4743,Closed
Create simple.css,2020-11-25T10:30:31Z,,2021-05-05T08:19:31Z,1,,3861.8166666666666,1,0,Closed
New UI changes added ,2020-11-30T15:47:06Z,,2021-05-05T08:08:52Z,4,,3736.362777777778,1,62,Closed
Installation added,2021-02-03T05:50:56Z,,2021-05-05T08:07:11Z,3,,2186.2708333333335,1,44,Closed
Implement auto-animate id and restart,2021-02-07T18:30:58Z,2021-05-27T07:54:46Z,2021-05-27T07:54:46Z,1,,2605.3966666666665,2,3335,Merged
Update README.md,2021-03-06T06:39:36Z,,2021-05-05T08:04:50Z,3,,1441.4205555555557,1,21,Closed
Fix typo in comment,2021-03-29T03:20:43Z,,2021-05-05T08:03:50Z,3,,892.7186111111112,2,380,Closed
Fix: multiple image-urls in data-background-image,2021-04-23T09:04:52Z,2021-04-28T06:55:30Z,2021-04-28T06:55:30Z,1,,117.84388888888888,1,407,Merged
Create 0000-01-02-YOUR-USERNAME.md,2021-05-29T08:35:37Z,,2021-05-29T09:35:43Z,1,,1.0016666666666667,1,78,Closed
Support multiple aside notes elements per slide,2021-09-16T10:45:27Z,,2022-09-05T09:13:23Z,1,,8494.465555555556,7,351,Closed
"Call me crazy, but this seems like a typo",2021-09-29T00:38:23Z,2022-03-21T08:40:31Z,2022-03-21T08:40:31Z,1,,4160.035555555555,1,0,Merged
Fix overview spacing for disabled auto layout,2022-09-29T07:48:12Z,2023-02-22T03:01:21Z,2023-02-22T03:01:21Z,1,,3499.2191666666668,4,281,Merged
Notes plugin: notes from data-notes attribute were not shown,2023-09-17T21:31:08Z,2023-09-19T07:20:19Z,2023-09-19T07:20:19Z,1,,33.819722222222225,1,75,Merged
