title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
debuginfo: Captured variables and large pass-by-value arguments,2013-08-29T12:53:38Z,,2013-09-04T20:00:51Z,1,,151.12027777777777,17,1217,Closed
Adding OpenBSD support to rust,2015-01-29T16:27:48Z,2015-02-03T06:41:11Z,2015-02-03T06:41:11Z,1,,110.22305555555556,43,1057,Merged
Add starts_with and ends_with to OsStr,2015-06-22T12:32:12Z,,2015-06-30T23:31:09Z,1,,202.9825,1,343,Closed
Add Send/Sync traits on LookupHost struct,2015-08-23T20:30:47Z,2015-08-25T06:32:21Z,2015-08-25T06:32:21Z,1,,34.02611111111111,2,102,Merged
Add File::try_clone,2016-01-21T05:25:50Z,2016-02-04T13:41:48Z,2016-02-04T13:41:48Z,1,,344.2661111111111,5,165,Merged
[breaking batch] Remove some unnecessary indirection from AST structures,2016-02-11T21:01:53Z,2016-02-12T16:42:12Z,2016-02-12T16:42:12Z,1,,19.671944444444446,23,114,Merged
Make transmuting from fn item types to pointer-sized types a hard error.,2016-06-10T09:53:12Z,2017-03-01T11:59:53Z,2017-03-01T11:59:53Z,8,CHANGES_REQUESTED,6338.1113888888885,8,279,Merged
Add error codes in libsyntax,2016-06-28T17:43:51Z,2016-07-02T13:27:15Z,2016-07-02T13:27:15Z,2,,91.72333333333333,5,35,Merged
Fix ICE from #33364 by selectively skipping confirmation pass.,2016-06-30T11:41:54Z,,2016-10-17T20:34:46Z,1,,2624.8811111111113,6,344,Closed
[RFC accepted] add wrapper for discriminant_value intrinsic,2016-07-12T17:19:32Z,,2016-09-29T07:15:12Z,6,,1885.9277777777777,2,558,Closed
Support nested `macro_rules!`,2016-07-19T20:26:59Z,2016-07-23T14:42:38Z,2016-07-23T14:42:38Z,1,,90.26083333333334,2,24,Merged
rustbuild: Add install target. #34675,2016-08-13T06:57:27Z,2016-10-07T03:20:26Z,2016-10-07T03:20:26Z,3,,1316.3830555555555,6,120,Merged
Implement `read_offset` and `write_offset`,2016-08-16T00:18:17Z,2016-10-15T08:48:46Z,2016-10-15T08:48:47Z,8,,1448.5080555555555,10,164,Merged
exclusive range patterns,2016-08-16T11:14:23Z,2017-01-25T04:36:10Z,2017-01-25T04:36:10Z,9,APPROVED,3881.3630555555555,25,297,Merged
Initial implementation of the 128-bit integers,2016-08-24T00:13:49Z,,2016-11-21T04:43:41Z,2,,2140.4977777777776,108,1437,Closed
Fix optimization regressions for operations on [x; n]-initialized arrays.,2016-08-29T23:51:39Z,2016-09-04T04:56:39Z,2016-09-04T04:56:39Z,3,,125.08333333333333,3,446,Merged
refactor to remove trans::adt and make rustc::ty::layout authoritative,2016-08-30T22:54:51Z,2016-09-26T05:03:30Z,2016-09-26T05:03:31Z,9,APPROVED,630.1441666666667,21,474,Merged
Adds a `ProcMacro` form of syntax extension,2016-08-31T00:04:45Z,2016-09-23T02:54:59Z,2016-09-23T02:54:59Z,3,,554.8372222222222,12,878,Merged
Special case a few colors for Windows,2016-08-31T22:24:37Z,2016-09-03T04:02:47Z,2016-09-03T04:02:47Z,3,,53.63611111111111,2,796,Merged
"Implement `replace_with`, a function similar to the one provided by the `take_mut` crate.",2016-09-01T09:54:18Z,,2016-10-13T18:41:48Z,4,,1016.7916666666666,2,179,Closed
Fix bad error message with `::<` in types,2016-09-02T00:09:59Z,2016-10-28T20:42:24Z,2016-10-28T20:42:24Z,2,,1364.5402777777779,2,1595,Merged
Changed error message E0408 to new format,2016-09-06T21:04:04Z,2016-10-15T02:33:06Z,2016-10-15T02:33:06Z,1,CHANGES_REQUESTED,917.4838888888889,4,216,Merged
Add information in case of markdown block code test failure,2016-09-07T14:46:27Z,2017-02-04T04:03:44Z,2017-02-04T04:03:44Z,20,,3589.2880555555557,15,40,Merged
Working asmjs and wasm targets,2016-09-08T02:16:44Z,2016-10-01T06:49:03Z,2016-10-01T06:49:03Z,6,APPROVED,556.5386111111111,84,1967,Merged
Implement RFC 1679,2016-09-08T04:06:09Z,2016-11-27T03:49:41Z,2016-11-27T03:49:41Z,4,,1919.7255555555555,7,29,Merged
Add ThreadId for comparing threads,2016-09-08T04:59:19Z,2016-10-10T18:34:15Z,2016-10-10T18:34:15Z,10,,781.5822222222222,1,865,Merged
Allow setting --docdir,2016-09-09T06:24:21Z,2016-09-12T11:39:02Z,2016-09-12T11:39:02Z,1,,77.24472222222222,2,355,Merged
fix silent overflows on `Step` impls,2016-09-09T16:22:08Z,2016-11-07T23:04:22Z,2016-11-07T23:04:22Z,2,APPROVED,1422.703888888889,3,67,Merged
Update E0050 to new error format,2016-09-10T13:28:57Z,2016-09-29T01:31:11Z,2016-09-29T01:31:11Z,7,,444.0372222222222,3,52,Merged
"Change encode_utf{8,16}() to write to a buffer and panic if it's too small",2016-09-10T13:43:23Z,2016-09-29T21:32:10Z,2016-09-29T21:32:10Z,4,,463.81305555555554,9,93,Merged
librustc_mir: Implement def-use chains and trivial copy propagation on MIR.,2016-09-10T19:46:16Z,2016-09-20T21:41:37Z,2016-09-20T21:41:37Z,9,APPROVED,241.9225,20,197,Merged
"Add basic doc examples for `std::panic::{set_hook, take_hook}`.",2016-09-10T21:09:25Z,2016-09-18T21:00:10Z,2016-09-18T21:00:10Z,1,APPROVED,191.84583333333333,1,0,Merged
Delete stray ` character in error message.,2016-09-11T22:46:18Z,2016-09-15T16:58:33Z,2016-09-15T16:58:33Z,1,APPROVED,90.20416666666667,1,0,Merged
Detect missing `;` on methods with return type `()`,2016-09-12T00:00:49Z,,2017-01-03T16:26:06Z,10,,2728.421388888889,20,703,Closed
Tweak std::marker docs,2016-09-12T20:17:49Z,2016-09-16T21:15:21Z,2016-09-16T21:15:21Z,4,,96.9588888888889,1,35,Merged
set SO_NOSIGPIPE on apple platforms,2016-09-12T20:43:19Z,,2016-09-29T08:49:20Z,5,,396.10027777777776,0,843,Closed
"impl Add<{str, Cow<str>}> for Cow<str>",2016-09-12T21:57:21Z,2016-09-30T03:25:49Z,2016-09-30T03:25:49Z,1,,413.47444444444443,2,10,Merged
Expand is_uninhabited,2016-09-13T12:29:59Z,2016-11-23T20:31:45Z,2016-11-23T20:31:45Z,15,,1712.0294444444444,3,276,Merged
Use primitive indexing in slice's Index/IndexMut,2016-09-13T19:02:40Z,2016-09-15T16:58:36Z,2016-09-15T16:58:36Z,1,APPROVED,45.93222222222222,2,678,Merged
fix stack overflow by enum and const,2016-09-13T20:10:45Z,,2016-10-31T20:43:41Z,1,,1152.548888888889,2,13,Closed
Update E0072 bonus to new error format,2016-09-14T01:54:26Z,,2016-10-31T20:36:16Z,3,,1146.6972222222223,1,54,Closed
Clarify the workings of StringReader in the lexer,2016-09-14T05:41:19Z,,2016-10-04T22:41:53Z,1,APPROVED,497.00944444444445,3,517,Closed
doc: make that sound better,2016-09-14T20:42:51Z,2016-09-16T21:15:23Z,2016-09-16T21:15:23Z,1,,48.54222222222222,1,0,Merged
Don't ignore a doc code-block we can compile.,2016-09-15T02:49:39Z,2016-09-16T21:15:23Z,2016-09-16T21:15:23Z,2,APPROVED,42.42888888888889,1,0,Merged
Overhaul char_lit(),2016-09-15T03:24:03Z,2016-09-17T13:18:02Z,2016-09-17T13:18:02Z,4,,57.89972222222222,1,445,Merged
save-analysis: better 'parent' info,2016-09-15T04:11:37Z,2016-09-19T00:25:08Z,2016-09-19T00:25:08Z,1,CHANGES_REQUESTED,92.22527777777778,4,74,Merged
Make transmuting inhabited to uninhabited types an error,2016-09-15T05:18:04Z,,2016-11-16T10:44:40Z,1,APPROVED,1493.4433333333334,2,205,Closed
Remove data structure specialization for .zip() iterator,2016-09-15T08:10:47Z,2016-09-17T19:02:42Z,2016-09-17T19:02:42Z,6,CHANGES_REQUESTED,58.86527777777778,2,1116,Merged
